Epoch 000	LOSS: 1201.63	MAE: 193.11	RMSE: 241.19
Epoch 001	LOSS: 1077.66	MAE: 170.68	RMSE: 218.98
Epoch 002	LOSS: 1030.21	MAE: 155.61	RMSE: 202.20
Epoch 003	LOSS: 988.56	MAE: 150.23	RMSE: 196.32
Epoch 004	LOSS: 951.30	MAE: 148.77	RMSE: 195.18
Epoch 005	LOSS: 908.40	MAE: 148.39	RMSE: 196.42
Epoch 006	LOSS: 881.25	MAE: 147.97	RMSE: 197.30
Epoch 007	LOSS: 846.78	MAE: 144.90	RMSE: 194.27
Epoch 008	LOSS: 845.82	MAE: 140.17	RMSE: 188.36
Epoch 009	LOSS: 839.74	MAE: 136.72	RMSE: 184.02
Epoch 010	LOSS: 817.31	MAE: 135.33	RMSE: 182.50
Epoch 011	LOSS: 813.77	MAE: 135.62	RMSE: 183.38
Epoch 012	LOSS: 796.69	MAE: 136.25	RMSE: 184.37
Epoch 013	LOSS: 792.83	MAE: 135.31	RMSE: 183.04
Epoch 014	LOSS: 777.57	MAE: 134.21	RMSE: 181.16
Epoch 015	LOSS: 780.76	MAE: 133.48	RMSE: 180.35
Epoch 016	LOSS: 759.03	MAE: 132.66	RMSE: 180.20
Epoch 017	LOSS: 763.71	MAE: 132.13	RMSE: 180.14
Epoch 018	LOSS: 749.04	MAE: 131.61	RMSE: 179.48
Epoch 019	LOSS: 748.01	MAE: 131.58	RMSE: 179.25
Epoch 020	LOSS: 755.61	MAE: 131.28	RMSE: 179.09
Epoch 021	LOSS: 741.70	MAE: 130.18	RMSE: 178.06
Epoch 022	LOSS: 741.81	MAE: 130.02	RMSE: 177.71
Epoch 023	LOSS: 720.33	MAE: 129.60	RMSE: 177.12
Epoch 024	LOSS: 722.51	MAE: 128.73	RMSE: 176.18
Epoch 025	LOSS: 712.22	MAE: 128.46	RMSE: 175.73
Epoch 026	LOSS: 720.89	MAE: 128.30	RMSE: 175.50
Epoch 027	LOSS: 713.82	MAE: 126.92	RMSE: 173.97
Epoch 028	LOSS: 706.87	MAE: 126.61	RMSE: 173.46
Epoch 029	LOSS: 697.32	MAE: 126.03	RMSE: 173.03
Epoch 030	LOSS: 695.71	MAE: 125.34	RMSE: 171.81
Epoch 031	LOSS: 705.42	MAE: 124.74	RMSE: 171.32
Epoch 032	LOSS: 694.30	MAE: 124.44	RMSE: 170.79
Epoch 033	LOSS: 694.20	MAE: 123.30	RMSE: 169.32
Epoch 034	LOSS: 681.43	MAE: 123.15	RMSE: 169.17
Epoch 035	LOSS: 692.82	MAE: 122.07	RMSE: 167.83
Epoch 036	LOSS: 682.44	MAE: 121.45	RMSE: 167.00
Epoch 037	LOSS: 687.46	MAE: 120.68	RMSE: 165.95
Epoch 038	LOSS: 679.07	MAE: 119.93	RMSE: 165.18
Epoch 039	LOSS: 670.06	MAE: 119.06	RMSE: 164.03
Epoch 040	LOSS: 669.13	MAE: 118.72	RMSE: 163.56
Epoch 041	LOSS: 673.35	MAE: 117.84	RMSE: 162.33
Epoch 042	LOSS: 659.31	MAE: 117.17	RMSE: 161.68
Epoch 043	LOSS: 664.59	MAE: 116.11	RMSE: 160.30
Epoch 044	LOSS: 661.71	MAE: 116.11	RMSE: 160.24
Epoch 045	LOSS: 662.29	MAE: 114.89	RMSE: 158.77
Epoch 046	LOSS: 657.76	MAE: 113.97	RMSE: 157.65
Epoch 047	LOSS: 658.60	MAE: 113.87	RMSE: 157.44
Epoch 048	LOSS: 666.57	MAE: 113.24	RMSE: 156.73
Epoch 049	LOSS: 656.43	MAE: 112.31	RMSE: 155.67
Epoch 050	LOSS: 654.29	MAE: 111.72	RMSE: 154.80
Epoch 051	LOSS: 649.71	MAE: 111.03	RMSE: 154.15
Epoch 052	LOSS: 653.21	MAE: 110.32	RMSE: 153.24
Epoch 053	LOSS: 652.35	MAE: 109.53	RMSE: 152.18
Epoch 054	LOSS: 648.91	MAE: 109.10	RMSE: 151.79
Epoch 055	LOSS: 641.18	MAE: 108.39	RMSE: 150.92
Epoch 056	LOSS: 636.98	MAE: 107.87	RMSE: 150.17
Epoch 057	LOSS: 635.04	MAE: 107.48	RMSE: 149.86
Epoch 058	LOSS: 648.92	MAE: 106.42	RMSE: 148.52
Epoch 059	LOSS: 640.53	MAE: 105.91	RMSE: 147.91
Epoch 060	LOSS: 641.26	MAE: 105.73	RMSE: 147.73
Epoch 061	LOSS: 646.20	MAE: 104.38	RMSE: 146.14
Epoch 062	LOSS: 627.81	MAE: 104.22	RMSE: 145.94
Epoch 063	LOSS: 631.98	MAE: 103.92	RMSE: 145.55
Epoch 064	LOSS: 635.70	MAE: 103.07	RMSE: 144.67
Epoch 065	LOSS: 628.24	MAE: 102.92	RMSE: 144.40
Epoch 066	LOSS: 635.56	MAE: 102.00	RMSE: 143.31
Epoch 067	LOSS: 632.28	MAE: 101.63	RMSE: 143.05
Epoch 068	LOSS: 629.91	MAE: 101.26	RMSE: 142.50
Epoch 069	LOSS: 621.75	MAE: 100.34	RMSE: 141.38
Epoch 070	LOSS: 626.75	MAE: 100.32	RMSE: 141.48
Epoch 071	LOSS: 628.71	MAE: 99.81	RMSE: 140.80
Epoch 072	LOSS: 640.10	MAE: 98.73	RMSE: 139.61
Epoch 073	LOSS: 626.02	MAE: 98.90	RMSE: 139.80
Epoch 074	LOSS: 628.06	MAE: 98.01	RMSE: 138.74
Epoch 075	LOSS: 632.06	MAE: 97.69	RMSE: 138.39
Epoch 076	LOSS: 624.36	MAE: 96.74	RMSE: 137.38
Epoch 077	LOSS: 623.68	MAE: 96.90	RMSE: 137.42
Epoch 078	LOSS: 622.11	MAE: 96.07	RMSE: 136.60
Epoch 079	LOSS: 631.04	MAE: 95.76	RMSE: 136.16
Epoch 080	LOSS: 620.66	MAE: 95.03	RMSE: 135.36
Epoch 081	LOSS: 617.72	MAE: 95.06	RMSE: 135.46
Epoch 082	LOSS: 621.92	MAE: 94.35	RMSE: 134.51
Epoch 083	LOSS: 628.16	MAE: 94.35	RMSE: 134.68
Epoch 084	LOSS: 614.27	MAE: 93.59	RMSE: 133.61
Epoch 085	LOSS: 613.06	MAE: 93.31	RMSE: 133.49
Epoch 086	LOSS: 611.87	MAE: 92.94	RMSE: 132.99
Epoch 087	LOSS: 608.79	MAE: 92.47	RMSE: 132.41
Epoch 088	LOSS: 607.34	MAE: 92.24	RMSE: 132.29
Epoch 089	LOSS: 620.97	MAE: 91.72	RMSE: 131.52
Epoch 090	LOSS: 615.06	MAE: 91.36	RMSE: 131.17
Epoch 091	LOSS: 615.46	MAE: 90.87	RMSE: 130.84
Epoch 092	LOSS: 615.15	MAE: 90.69	RMSE: 130.28
Epoch 093	LOSS: 619.96	MAE: 90.14	RMSE: 129.93
Epoch 094	LOSS: 612.00	MAE: 89.49	RMSE: 129.07
Epoch 095	LOSS: 605.69	MAE: 90.18	RMSE: 129.86
Epoch 096	LOSS: 609.84	MAE: 88.69	RMSE: 128.13
Epoch 097	LOSS: 601.09	MAE: 88.81	RMSE: 128.34
Epoch 098	LOSS: 604.62	MAE: 88.62	RMSE: 128.06
Epoch 099	LOSS: 613.65	MAE: 88.07	RMSE: 127.54
Epoch 100	LOSS: 605.79	MAE: 87.63	RMSE: 126.93
Epoch 101	LOSS: 611.14	MAE: 87.79	RMSE: 127.13
Epoch 102	LOSS: 613.03	MAE: 87.25	RMSE: 126.54
Epoch 103	LOSS: 610.45	MAE: 86.78	RMSE: 126.01
Epoch 104	LOSS: 603.48	MAE: 86.70	RMSE: 125.80
Epoch 105	LOSS: 600.56	MAE: 86.23	RMSE: 125.49
Epoch 106	LOSS: 614.13	MAE: 85.88	RMSE: 124.89
Epoch 107	LOSS: 604.32	MAE: 85.82	RMSE: 124.86
Epoch 108	LOSS: 592.62	MAE: 85.29	RMSE: 124.27
Epoch 109	LOSS: 595.34	MAE: 85.36	RMSE: 124.35
Epoch 110	LOSS: 600.69	MAE: 84.81	RMSE: 123.76
Epoch 111	LOSS: 590.10	MAE: 84.67	RMSE: 123.53
Epoch 112	LOSS: 597.96	MAE: 84.15	RMSE: 122.99
Epoch 113	LOSS: 601.03	MAE: 84.03	RMSE: 122.88
Epoch 114	LOSS: 601.71	MAE: 83.38	RMSE: 122.12
Epoch 115	LOSS: 596.31	MAE: 83.71	RMSE: 122.30
Epoch 116	LOSS: 605.31	MAE: 82.86	RMSE: 121.62
Epoch 117	LOSS: 598.71	MAE: 82.99	RMSE: 121.46
Epoch 118	LOSS: 600.10	MAE: 82.58	RMSE: 121.29
Epoch 119	LOSS: 593.55	MAE: 82.64	RMSE: 121.02
Epoch 120	LOSS: 593.69	MAE: 81.94	RMSE: 120.62
Epoch 121	LOSS: 591.74	MAE: 82.23	RMSE: 120.55
Epoch 122	LOSS: 593.20	MAE: 81.37	RMSE: 119.84
Epoch 123	LOSS: 594.08	MAE: 81.70	RMSE: 120.04
Epoch 124	LOSS: 590.58	MAE: 80.83	RMSE: 119.05
Epoch 125	LOSS: 591.50	MAE: 81.21	RMSE: 119.62
Epoch 126	LOSS: 603.18	MAE: 80.75	RMSE: 118.98
Epoch 127	LOSS: 591.71	MAE: 80.61	RMSE: 118.77
Epoch 128	LOSS: 593.55	MAE: 80.14	RMSE: 118.35
Epoch 129	LOSS: 584.16	MAE: 80.04	RMSE: 118.10
Epoch 130	LOSS: 592.01	MAE: 79.93	RMSE: 117.96
Epoch 131	LOSS: 595.33	MAE: 79.62	RMSE: 117.69
Epoch 132	LOSS: 589.30	MAE: 79.73	RMSE: 117.71
Epoch 133	LOSS: 593.58	MAE: 78.92	RMSE: 116.87
Epoch 134	LOSS: 582.29	MAE: 79.15	RMSE: 117.15
Epoch 135	LOSS: 592.15	MAE: 78.53	RMSE: 116.39
Epoch 136	LOSS: 583.22	MAE: 78.67	RMSE: 116.53
Epoch 137	LOSS: 591.01	MAE: 78.16	RMSE: 116.06
Epoch 138	LOSS: 584.15	MAE: 77.96	RMSE: 115.60
Epoch 139	LOSS: 593.13	MAE: 78.09	RMSE: 115.91
Epoch 140	LOSS: 595.68	MAE: 77.48	RMSE: 115.06
Epoch 141	LOSS: 588.46	MAE: 77.47	RMSE: 115.24
Epoch 142	LOSS: 596.04	MAE: 77.50	RMSE: 115.21
Epoch 143	LOSS: 573.71	MAE: 76.88	RMSE: 114.33
Epoch 144	LOSS: 589.03	MAE: 76.99	RMSE: 114.60
Epoch 145	LOSS: 585.08	MAE: 77.01	RMSE: 114.53
Epoch 146	LOSS: 582.09	MAE: 76.34	RMSE: 113.75
Epoch 147	LOSS: 595.37	MAE: 76.66	RMSE: 114.05
Epoch 148	LOSS: 591.65	MAE: 75.84	RMSE: 113.26
Epoch 149	LOSS: 575.25	MAE: 76.28	RMSE: 113.63
Epoch 150	LOSS: 584.40	MAE: 75.62	RMSE: 112.98
Epoch 151	LOSS: 581.37	MAE: 75.88	RMSE: 113.13
Epoch 152	LOSS: 583.09	MAE: 75.57	RMSE: 112.85
Epoch 153	LOSS: 581.83	MAE: 75.21	RMSE: 112.47
Epoch 154	LOSS: 584.26	MAE: 75.27	RMSE: 112.46
Epoch 155	LOSS: 583.81	MAE: 75.09	RMSE: 112.32
Epoch 156	LOSS: 577.76	MAE: 74.71	RMSE: 111.78
Epoch 157	LOSS: 590.82	MAE: 74.85	RMSE: 111.97
Epoch 158	LOSS: 572.98	MAE: 74.05	RMSE: 111.11
Epoch 159	LOSS: 578.90	MAE: 74.60	RMSE: 111.62
Epoch 160	LOSS: 578.78	MAE: 73.88	RMSE: 110.88
Epoch 161	LOSS: 576.98	MAE: 74.61	RMSE: 111.62
Epoch 162	LOSS: 584.89	MAE: 73.61	RMSE: 110.47
Epoch 163	LOSS: 579.97	MAE: 73.78	RMSE: 110.65
Epoch 164	LOSS: 580.34	MAE: 73.64	RMSE: 110.57
Epoch 165	LOSS: 583.21	MAE: 74.00	RMSE: 110.73
Epoch 166	LOSS: 572.01	MAE: 72.86	RMSE: 109.70
Epoch 167	LOSS: 576.43	MAE: 73.69	RMSE: 110.36
Epoch 168	LOSS: 576.93	MAE: 72.65	RMSE: 109.35
Epoch 169	LOSS: 570.47	MAE: 72.79	RMSE: 109.38
Epoch 170	LOSS: 571.07	MAE: 72.63	RMSE: 109.30
Epoch 171	LOSS: 582.43	MAE: 72.53	RMSE: 109.01
Epoch 172	LOSS: 567.74	MAE: 72.67	RMSE: 109.32
Epoch 173	LOSS: 581.14	MAE: 72.04	RMSE: 108.51
Epoch 174	LOSS: 576.73	MAE: 72.50	RMSE: 109.10
Epoch 175	LOSS: 574.68	MAE: 72.09	RMSE: 108.53
Epoch 176	LOSS: 570.62	MAE: 71.97	RMSE: 108.45
Epoch 177	LOSS: 570.52	MAE: 71.99	RMSE: 108.51
Epoch 178	LOSS: 576.45	MAE: 71.76	RMSE: 108.16
Epoch 179	LOSS: 573.88	MAE: 71.63	RMSE: 107.96
Epoch 180	LOSS: 577.84	MAE: 71.93	RMSE: 108.36
Epoch 181	LOSS: 576.27	MAE: 71.26	RMSE: 107.51
Epoch 182	LOSS: 569.34	MAE: 71.50	RMSE: 107.84
Epoch 183	LOSS: 572.19	MAE: 71.15	RMSE: 107.48
Epoch 184	LOSS: 573.01	MAE: 71.44	RMSE: 107.70
Epoch 185	LOSS: 570.19	MAE: 70.89	RMSE: 107.07
Epoch 186	LOSS: 571.46	MAE: 71.30	RMSE: 107.52
Epoch 187	LOSS: 565.11	MAE: 70.39	RMSE: 106.56
Epoch 188	LOSS: 556.36	MAE: 70.94	RMSE: 107.06
Epoch 189	LOSS: 571.03	MAE: 70.44	RMSE: 106.63
Epoch 190	LOSS: 562.03	MAE: 70.76	RMSE: 106.85
Epoch 191	LOSS: 574.45	MAE: 70.31	RMSE: 106.36
Epoch 192	LOSS: 565.77	MAE: 70.64	RMSE: 106.64
Epoch 193	LOSS: 576.55	MAE: 69.91	RMSE: 105.85
Epoch 194	LOSS: 562.83	MAE: 70.26	RMSE: 106.13
Epoch 195	LOSS: 570.70	MAE: 69.61	RMSE: 105.47
Epoch 196	LOSS: 561.40	MAE: 69.97	RMSE: 105.81
Epoch 197	LOSS: 567.17	MAE: 69.72	RMSE: 105.64
Epoch 198	LOSS: 567.71	MAE: 69.36	RMSE: 104.98
Epoch 199	LOSS: 571.79	MAE: 69.65	RMSE: 105.52
Epoch 200	LOSS: 566.63	MAE: 69.18	RMSE: 104.78
Epoch 201	LOSS: 564.98	MAE: 69.34	RMSE: 105.04
Epoch 202	LOSS: 563.58	MAE: 69.27	RMSE: 105.01
Epoch 203	LOSS: 559.71	MAE: 68.97	RMSE: 104.58
Epoch 204	LOSS: 559.79	MAE: 68.82	RMSE: 104.38
Epoch 205	LOSS: 570.82	MAE: 68.76	RMSE: 104.33
Epoch 206	LOSS: 564.19	MAE: 68.71	RMSE: 104.26
Epoch 207	LOSS: 563.27	MAE: 68.54	RMSE: 104.08
Epoch 208	LOSS: 570.97	MAE: 68.49	RMSE: 103.96
Epoch 209	LOSS: 558.21	MAE: 68.47	RMSE: 103.94
Epoch 210	LOSS: 565.46	MAE: 68.18	RMSE: 103.57
Epoch 211	LOSS: 556.66	MAE: 68.42	RMSE: 103.86
Epoch 212	LOSS: 565.16	MAE: 68.15	RMSE: 103.50
Epoch 213	LOSS: 563.23	MAE: 68.00	RMSE: 103.39
Epoch 214	LOSS: 555.63	MAE: 68.22	RMSE: 103.64
Epoch 215	LOSS: 559.74	MAE: 67.66	RMSE: 102.88
Epoch 216	LOSS: 553.61	MAE: 67.87	RMSE: 103.22
Epoch 217	LOSS: 552.92	MAE: 67.78	RMSE: 102.99
Epoch 218	LOSS: 555.00	MAE: 67.72	RMSE: 102.99
Epoch 219	LOSS: 553.89	MAE: 67.49	RMSE: 102.59
Epoch 220	LOSS: 564.21	MAE: 67.55	RMSE: 102.77
Epoch 221	LOSS: 558.52	MAE: 67.54	RMSE: 102.61
Epoch 222	LOSS: 563.29	MAE: 67.48	RMSE: 102.58
Epoch 223	LOSS: 555.48	MAE: 67.29	RMSE: 102.41
Epoch 224	LOSS: 560.28	MAE: 67.08	RMSE: 102.08
Epoch 225	LOSS: 560.79	MAE: 67.40	RMSE: 102.44
Epoch 226	LOSS: 559.59	MAE: 66.75	RMSE: 101.62
Epoch 227	LOSS: 556.87	MAE: 67.74	RMSE: 102.79
Epoch 228	LOSS: 565.47	MAE: 66.66	RMSE: 101.48
Epoch 229	LOSS: 555.69	MAE: 66.99	RMSE: 101.86
Epoch 230	LOSS: 560.74	MAE: 66.83	RMSE: 101.72
Epoch 231	LOSS: 558.25	MAE: 66.58	RMSE: 101.50
Epoch 232	LOSS: 550.68	MAE: 66.64	RMSE: 101.38
Epoch 233	LOSS: 548.11	MAE: 66.33	RMSE: 101.18
Epoch 234	LOSS: 554.68	MAE: 66.69	RMSE: 101.44
Epoch 235	LOSS: 555.63	MAE: 66.37	RMSE: 101.18
Epoch 236	LOSS: 559.11	MAE: 66.41	RMSE: 101.00
Epoch 237	LOSS: 557.57	MAE: 66.33	RMSE: 101.16
Epoch 238	LOSS: 554.26	MAE: 66.72	RMSE: 101.37
Epoch 239	LOSS: 548.99	MAE: 65.65	RMSE: 100.27
Epoch 240	LOSS: 548.31	MAE: 66.78	RMSE: 101.40
Epoch 241	LOSS: 555.15	MAE: 65.62	RMSE: 100.24
Epoch 242	LOSS: 550.83	MAE: 66.07	RMSE: 100.54
Epoch 243	LOSS: 554.46	MAE: 65.70	RMSE: 100.27
Epoch 244	LOSS: 551.38	MAE: 65.72	RMSE: 100.19
Epoch 245	LOSS: 552.21	MAE: 65.89	RMSE: 100.37
Epoch 246	LOSS: 552.44	MAE: 65.47	RMSE: 99.90
Epoch 247	LOSS: 546.43	MAE: 65.79	RMSE: 100.21
Epoch 248	LOSS: 549.96	MAE: 65.54	RMSE: 99.93
Epoch 249	LOSS: 555.40	MAE: 65.20	RMSE: 99.48
Epoch 250	LOSS: 552.22	MAE: 65.37	RMSE: 99.62
Epoch 251	LOSS: 546.93	MAE: 65.29	RMSE: 99.53
Epoch 252	LOSS: 562.78	MAE: 65.16	RMSE: 99.52
Epoch 253	LOSS: 553.00	MAE: 65.34	RMSE: 99.41
Epoch 254	LOSS: 558.19	MAE: 64.99	RMSE: 99.20
Epoch 255	LOSS: 555.10	MAE: 64.91	RMSE: 99.03
Epoch 256	LOSS: 539.79	MAE: 65.19	RMSE: 99.36
Epoch 257	LOSS: 548.57	MAE: 64.49	RMSE: 98.54
Epoch 258	LOSS: 548.82	MAE: 65.06	RMSE: 99.13
Epoch 259	LOSS: 539.78	MAE: 64.49	RMSE: 98.60
Epoch 260	LOSS: 539.13	MAE: 64.64	RMSE: 98.58
Epoch 261	LOSS: 546.34	MAE: 64.26	RMSE: 98.30
Epoch 262	LOSS: 542.65	MAE: 65.04	RMSE: 98.96
Epoch 263	LOSS: 542.02	MAE: 64.26	RMSE: 98.38
Epoch 264	LOSS: 549.35	MAE: 64.34	RMSE: 98.09
Epoch 265	LOSS: 540.82	MAE: 64.18	RMSE: 98.20
Epoch 266	LOSS: 548.38	MAE: 64.38	RMSE: 98.26
Epoch 267	LOSS: 541.19	MAE: 64.26	RMSE: 98.10
Epoch 268	LOSS: 542.44	MAE: 64.26	RMSE: 98.14
Epoch 269	LOSS: 539.52	MAE: 64.24	RMSE: 98.05
Epoch 270	LOSS: 542.96	MAE: 64.06	RMSE: 97.89
Epoch 271	LOSS: 542.73	MAE: 64.10	RMSE: 97.85
Epoch 272	LOSS: 542.48	MAE: 64.29	RMSE: 98.16
Epoch 273	LOSS: 550.04	MAE: 64.15	RMSE: 97.86
Epoch 274	LOSS: 541.02	MAE: 63.98	RMSE: 97.68
