Epoch 000	LOSS: 1207.81	MAE: 201.31	RMSE: 250.80
Epoch 001	LOSS: 1068.83	MAE: 184.42	RMSE: 235.17
Epoch 002	LOSS: 1054.75	MAE: 170.98	RMSE: 220.32
Epoch 003	LOSS: 1010.65	MAE: 161.44	RMSE: 208.64
Epoch 004	LOSS: 967.19	MAE: 156.01	RMSE: 202.51
Epoch 005	LOSS: 920.58	MAE: 155.82	RMSE: 201.95
Epoch 006	LOSS: 880.99	MAE: 153.06	RMSE: 199.29
Epoch 007	LOSS: 862.04	MAE: 147.91	RMSE: 194.64
Epoch 008	LOSS: 837.15	MAE: 144.52	RMSE: 191.73
Epoch 009	LOSS: 835.32	MAE: 142.96	RMSE: 190.32
Epoch 010	LOSS: 815.47	MAE: 141.71	RMSE: 189.52
Epoch 011	LOSS: 822.11	MAE: 140.98	RMSE: 189.10
Epoch 012	LOSS: 792.01	MAE: 140.68	RMSE: 188.80
Epoch 013	LOSS: 784.94	MAE: 139.41	RMSE: 187.44
Epoch 014	LOSS: 775.48	MAE: 137.48	RMSE: 185.59
Epoch 015	LOSS: 773.85	MAE: 137.57	RMSE: 185.40
Epoch 016	LOSS: 763.38	MAE: 137.79	RMSE: 186.02
Epoch 017	LOSS: 761.07	MAE: 136.83	RMSE: 185.11
Epoch 018	LOSS: 754.87	MAE: 135.54	RMSE: 183.66
Epoch 019	LOSS: 753.24	MAE: 134.86	RMSE: 183.00
Epoch 020	LOSS: 751.06	MAE: 134.73	RMSE: 182.72
Epoch 021	LOSS: 746.95	MAE: 134.68	RMSE: 182.64
Epoch 022	LOSS: 741.77	MAE: 133.87	RMSE: 181.85
Epoch 023	LOSS: 735.35	MAE: 133.38	RMSE: 181.23
Epoch 024	LOSS: 725.13	MAE: 133.47	RMSE: 181.15
Epoch 025	LOSS: 718.89	MAE: 133.00	RMSE: 181.05
Epoch 026	LOSS: 714.41	MAE: 131.82	RMSE: 179.77
Epoch 027	LOSS: 727.31	MAE: 131.72	RMSE: 179.13
Epoch 028	LOSS: 715.23	MAE: 131.48	RMSE: 179.23
Epoch 029	LOSS: 699.74	MAE: 130.69	RMSE: 178.38
Epoch 030	LOSS: 712.49	MAE: 130.27	RMSE: 177.81
Epoch 031	LOSS: 705.89	MAE: 129.91	RMSE: 177.24
Epoch 032	LOSS: 692.87	MAE: 129.80	RMSE: 177.17
Epoch 033	LOSS: 698.03	MAE: 128.77	RMSE: 176.15
Epoch 034	LOSS: 704.93	MAE: 128.17	RMSE: 175.30
Epoch 035	LOSS: 688.37	MAE: 128.44	RMSE: 175.53
