Epoch 000	LOSS: 1244.32	MAE: 200.92	RMSE: 249.38
Epoch 001	LOSS: 1122.41	MAE: 182.86	RMSE: 233.47
Epoch 002	LOSS: 1071.83	MAE: 171.38	RMSE: 222.37
Epoch 003	LOSS: 1032.53	MAE: 165.46	RMSE: 214.77
Epoch 004	LOSS: 1005.28	MAE: 158.69	RMSE: 206.98
Epoch 005	LOSS: 920.13	MAE: 152.74	RMSE: 199.96
Epoch 006	LOSS: 907.68	MAE: 146.70	RMSE: 194.01
Epoch 007	LOSS: 887.91	MAE: 142.59	RMSE: 189.73
Epoch 008	LOSS: 862.20	MAE: 139.94	RMSE: 186.99
Epoch 009	LOSS: 863.05	MAE: 139.29	RMSE: 186.52
Epoch 010	LOSS: 841.42	MAE: 139.53	RMSE: 186.61
Epoch 011	LOSS: 819.10	MAE: 138.76	RMSE: 185.40
Epoch 012	LOSS: 807.92	MAE: 138.05	RMSE: 184.28
Epoch 013	LOSS: 802.28	MAE: 137.05	RMSE: 183.27
Epoch 014	LOSS: 794.37	MAE: 135.94	RMSE: 182.20
Epoch 015	LOSS: 787.53	MAE: 135.58	RMSE: 182.20
Epoch 016	LOSS: 793.18	MAE: 135.34	RMSE: 182.20
Epoch 017	LOSS: 767.01	MAE: 134.55	RMSE: 181.27
Epoch 018	LOSS: 761.34	MAE: 133.76	RMSE: 180.18
Epoch 019	LOSS: 759.30	MAE: 133.44	RMSE: 179.70
Epoch 020	LOSS: 747.93	MAE: 133.31	RMSE: 179.83
Epoch 021	LOSS: 746.89	MAE: 132.76	RMSE: 179.36
Epoch 022	LOSS: 751.11	MAE: 131.99	RMSE: 178.26
Epoch 023	LOSS: 746.57	MAE: 131.82	RMSE: 178.00
Epoch 024	LOSS: 726.20	MAE: 131.69	RMSE: 177.97
Epoch 025	LOSS: 734.39	MAE: 130.99	RMSE: 177.27
Epoch 026	LOSS: 722.24	MAE: 130.50	RMSE: 176.63
Epoch 027	LOSS: 720.51	MAE: 130.29	RMSE: 176.50
Epoch 028	LOSS: 710.65	MAE: 129.67	RMSE: 175.55
Epoch 029	LOSS: 705.30	MAE: 129.44	RMSE: 175.23
Epoch 030	LOSS: 713.22	MAE: 128.93	RMSE: 174.93
Epoch 031	LOSS: 705.09	MAE: 128.65	RMSE: 174.43
Epoch 032	LOSS: 707.71	MAE: 128.39	RMSE: 173.93
Epoch 033	LOSS: 699.23	MAE: 127.70	RMSE: 173.49
Epoch 034	LOSS: 694.36	MAE: 127.38	RMSE: 172.80
Epoch 035	LOSS: 700.18	MAE: 126.82	RMSE: 172.42
Epoch 036	LOSS: 695.77	MAE: 126.02	RMSE: 171.51
Epoch 037	LOSS: 690.86	MAE: 125.79	RMSE: 171.10
Epoch 038	LOSS: 693.56	MAE: 125.65	RMSE: 171.13
Epoch 039	LOSS: 687.48	MAE: 124.70	RMSE: 169.91
Epoch 040	LOSS: 684.04	MAE: 124.38	RMSE: 169.63
Epoch 041	LOSS: 678.85	MAE: 123.77	RMSE: 169.12
Epoch 042	LOSS: 673.88	MAE: 123.45	RMSE: 168.56
Epoch 043	LOSS: 674.36	MAE: 122.86	RMSE: 168.01
Epoch 044	LOSS: 677.13	MAE: 122.34	RMSE: 167.31
Epoch 045	LOSS: 665.70	MAE: 121.81	RMSE: 166.82
Epoch 046	LOSS: 668.81	MAE: 121.45	RMSE: 166.34
Epoch 047	LOSS: 661.37	MAE: 120.70	RMSE: 165.51
Epoch 048	LOSS: 664.69	MAE: 120.14	RMSE: 164.91
Epoch 049	LOSS: 660.62	MAE: 120.02	RMSE: 164.79
Epoch 050	LOSS: 664.27	MAE: 119.51	RMSE: 164.13
Epoch 051	LOSS: 661.45	MAE: 118.64	RMSE: 163.16
Epoch 052	LOSS: 660.71	MAE: 118.81	RMSE: 163.21
Epoch 053	LOSS: 655.75	MAE: 117.74	RMSE: 162.21
Epoch 054	LOSS: 646.96	MAE: 117.21	RMSE: 161.39
Epoch 055	LOSS: 643.51	MAE: 117.12	RMSE: 161.38
Epoch 056	LOSS: 640.83	MAE: 116.60	RMSE: 160.82
Epoch 057	LOSS: 651.88	MAE: 115.56	RMSE: 159.53
Epoch 058	LOSS: 647.46	MAE: 115.57	RMSE: 159.60
Epoch 059	LOSS: 643.05	MAE: 115.08	RMSE: 158.94
Epoch 060	LOSS: 642.23	MAE: 114.45	RMSE: 158.20
Epoch 061	LOSS: 640.52	MAE: 114.62	RMSE: 158.55
Epoch 062	LOSS: 644.45	MAE: 113.01	RMSE: 156.63
Epoch 063	LOSS: 637.06	MAE: 113.54	RMSE: 157.09
Epoch 064	LOSS: 645.49	MAE: 112.46	RMSE: 156.02
Epoch 065	LOSS: 643.15	MAE: 112.50	RMSE: 155.93
Epoch 066	LOSS: 642.89	MAE: 111.77	RMSE: 155.12
Epoch 067	LOSS: 641.01	MAE: 111.66	RMSE: 154.97
Epoch 068	LOSS: 632.27	MAE: 111.40	RMSE: 154.69
Epoch 069	LOSS: 626.56	MAE: 110.93	RMSE: 154.15
Epoch 070	LOSS: 633.44	MAE: 110.22	RMSE: 153.37
Epoch 071	LOSS: 630.68	MAE: 110.18	RMSE: 153.22
Epoch 072	LOSS: 623.19	MAE: 109.71	RMSE: 152.87
Epoch 073	LOSS: 633.14	MAE: 109.49	RMSE: 152.40
Epoch 074	LOSS: 630.13	MAE: 108.86	RMSE: 151.79
Epoch 075	LOSS: 634.32	MAE: 108.69	RMSE: 151.60
Epoch 076	LOSS: 626.32	MAE: 108.38	RMSE: 151.20
Epoch 077	LOSS: 627.63	MAE: 108.00	RMSE: 150.69
Epoch 078	LOSS: 632.49	MAE: 107.66	RMSE: 150.46
Epoch 079	LOSS: 621.03	MAE: 107.54	RMSE: 150.18
Epoch 080	LOSS: 620.89	MAE: 107.01	RMSE: 149.79
Epoch 081	LOSS: 623.45	MAE: 106.83	RMSE: 149.31
Epoch 082	LOSS: 625.30	MAE: 106.84	RMSE: 149.41
Epoch 083	LOSS: 613.67	MAE: 106.27	RMSE: 148.65
Epoch 084	LOSS: 626.78	MAE: 105.87	RMSE: 148.47
Epoch 085	LOSS: 628.42	MAE: 105.93	RMSE: 148.16
Epoch 086	LOSS: 627.30	MAE: 105.29	RMSE: 147.72
Epoch 087	LOSS: 625.48	MAE: 105.18	RMSE: 147.49
Epoch 088	LOSS: 618.68	MAE: 104.70	RMSE: 146.92
Epoch 089	LOSS: 622.18	MAE: 104.31	RMSE: 146.55
Epoch 090	LOSS: 611.37	MAE: 104.59	RMSE: 146.73
Epoch 091	LOSS: 609.11	MAE: 103.80	RMSE: 146.01
Epoch 092	LOSS: 611.37	MAE: 103.74	RMSE: 145.83
Epoch 093	LOSS: 615.40	MAE: 103.30	RMSE: 145.41
Epoch 094	LOSS: 616.74	MAE: 103.32	RMSE: 145.32
Epoch 095	LOSS: 609.47	MAE: 103.14	RMSE: 145.12
Epoch 096	LOSS: 617.60	MAE: 102.50	RMSE: 144.49
Epoch 097	LOSS: 618.77	MAE: 102.73	RMSE: 144.57
Epoch 098	LOSS: 614.93	MAE: 102.05	RMSE: 143.94
Epoch 099	LOSS: 617.65	MAE: 101.81	RMSE: 143.63
Epoch 100	LOSS: 610.23	MAE: 101.82	RMSE: 143.55
Epoch 101	LOSS: 606.10	MAE: 101.55	RMSE: 143.39
Epoch 102	LOSS: 609.24	MAE: 100.95	RMSE: 142.62
Epoch 103	LOSS: 606.30	MAE: 100.80	RMSE: 142.53
Epoch 104	LOSS: 601.74	MAE: 101.40	RMSE: 142.95
Epoch 105	LOSS: 612.45	MAE: 100.41	RMSE: 142.13
Epoch 106	LOSS: 608.66	MAE: 100.24	RMSE: 141.73
Epoch 107	LOSS: 616.16	MAE: 100.32	RMSE: 141.84
Epoch 108	LOSS: 613.42	MAE: 99.85	RMSE: 141.37
Epoch 109	LOSS: 603.54	MAE: 99.76	RMSE: 141.30
Epoch 110	LOSS: 604.43	MAE: 99.66	RMSE: 140.98
Epoch 111	LOSS: 600.98	MAE: 99.47	RMSE: 140.99
Epoch 112	LOSS: 600.21	MAE: 99.01	RMSE: 140.27
Epoch 113	LOSS: 603.03	MAE: 98.97	RMSE: 140.37
Epoch 114	LOSS: 608.67	MAE: 98.55	RMSE: 139.90
Epoch 115	LOSS: 611.43	MAE: 98.36	RMSE: 139.60
Epoch 116	LOSS: 611.29	MAE: 98.33	RMSE: 139.54
Epoch 117	LOSS: 602.14	MAE: 98.20	RMSE: 139.43
Epoch 118	LOSS: 591.74	MAE: 97.98	RMSE: 139.15
Epoch 119	LOSS: 616.19	MAE: 97.60	RMSE: 138.76
Epoch 120	LOSS: 601.88	MAE: 97.37	RMSE: 138.42
Epoch 121	LOSS: 601.03	MAE: 97.03	RMSE: 138.14
Epoch 122	LOSS: 608.81	MAE: 97.28	RMSE: 138.27
Epoch 123	LOSS: 601.90	MAE: 96.80	RMSE: 137.79
Epoch 124	LOSS: 599.04	MAE: 96.90	RMSE: 137.82
Epoch 125	LOSS: 601.68	MAE: 96.22	RMSE: 137.18
Epoch 126	LOSS: 599.92	MAE: 96.80	RMSE: 137.57
Epoch 127	LOSS: 600.34	MAE: 95.79	RMSE: 136.71
Epoch 128	LOSS: 599.48	MAE: 96.20	RMSE: 137.08
Epoch 129	LOSS: 602.40	MAE: 95.57	RMSE: 136.28
Epoch 130	LOSS: 604.17	MAE: 95.39	RMSE: 136.23
Epoch 131	LOSS: 605.17	MAE: 95.81	RMSE: 136.50
Epoch 132	LOSS: 605.45	MAE: 95.09	RMSE: 135.83
Epoch 133	LOSS: 594.23	MAE: 95.11	RMSE: 135.83
Epoch 134	LOSS: 593.22	MAE: 94.58	RMSE: 135.19
Epoch 135	LOSS: 604.65	MAE: 94.92	RMSE: 135.50
Epoch 136	LOSS: 603.05	MAE: 94.45	RMSE: 135.07
Epoch 137	LOSS: 598.91	MAE: 94.51	RMSE: 135.16
Epoch 138	LOSS: 594.48	MAE: 94.08	RMSE: 134.53
Epoch 139	LOSS: 596.98	MAE: 93.75	RMSE: 134.41
Epoch 140	LOSS: 597.62	MAE: 93.65	RMSE: 134.07
Epoch 141	LOSS: 592.87	MAE: 93.27	RMSE: 133.87
Epoch 142	LOSS: 594.65	MAE: 93.14	RMSE: 133.50
Epoch 143	LOSS: 596.02	MAE: 93.54	RMSE: 133.95
Epoch 144	LOSS: 597.48	MAE: 92.83	RMSE: 133.19
Epoch 145	LOSS: 585.99	MAE: 92.30	RMSE: 132.68
Epoch 146	LOSS: 588.73	MAE: 92.60	RMSE: 132.79
Epoch 147	LOSS: 585.58	MAE: 92.49	RMSE: 132.79
Epoch 148	LOSS: 595.53	MAE: 91.94	RMSE: 132.08
Epoch 149	LOSS: 596.82	MAE: 91.91	RMSE: 132.29
Epoch 150	LOSS: 584.78	MAE: 91.93	RMSE: 131.90
Epoch 151	LOSS: 589.62	MAE: 91.50	RMSE: 131.73
Epoch 152	LOSS: 592.15	MAE: 91.88	RMSE: 131.89
Epoch 153	LOSS: 590.13	MAE: 90.89	RMSE: 130.91
Epoch 154	LOSS: 596.26	MAE: 90.90	RMSE: 130.94
Epoch 155	LOSS: 587.56	MAE: 91.21	RMSE: 131.13
Epoch 156	LOSS: 591.00	MAE: 90.42	RMSE: 130.48
