Epoch 000	LOSS: 272.56	MAE: 60.50	RMSE: 75.95
Epoch 001	LOSS: 243.12	MAE: 57.66	RMSE: 73.78
Epoch 002	LOSS: 228.49	MAE: 55.65	RMSE: 72.40
Epoch 003	LOSS: 221.18	MAE: 54.39	RMSE: 71.38
Epoch 004	LOSS: 215.44	MAE: 53.24	RMSE: 70.33
Epoch 005	LOSS: 210.03	MAE: 52.07	RMSE: 69.26
Epoch 006	LOSS: 204.94	MAE: 51.13	RMSE: 68.29
Epoch 007	LOSS: 202.69	MAE: 50.26	RMSE: 67.39
Epoch 008	LOSS: 199.76	MAE: 49.55	RMSE: 66.54
Epoch 009	LOSS: 197.85	MAE: 48.74	RMSE: 65.63
Epoch 010	LOSS: 193.29	MAE: 48.04	RMSE: 64.79
Epoch 011	LOSS: 191.22	MAE: 47.36	RMSE: 63.91
Epoch 012	LOSS: 189.91	MAE: 46.65	RMSE: 63.04
Epoch 013	LOSS: 187.07	MAE: 45.97	RMSE: 62.22
Epoch 014	LOSS: 184.71	MAE: 45.34	RMSE: 61.36
Epoch 015	LOSS: 183.48	MAE: 44.82	RMSE: 60.60
Epoch 016	LOSS: 182.04	MAE: 44.24	RMSE: 59.81
Epoch 017	LOSS: 180.55	MAE: 43.76	RMSE: 59.07
Epoch 018	LOSS: 178.52	MAE: 43.24	RMSE: 58.32
Epoch 019	LOSS: 177.17	MAE: 42.86	RMSE: 57.71
Epoch 020	LOSS: 174.55	MAE: 42.36	RMSE: 57.01
Epoch 021	LOSS: 173.54	MAE: 41.76	RMSE: 56.21
Epoch 022	LOSS: 172.89	MAE: 41.42	RMSE: 55.62
Epoch 023	LOSS: 170.93	MAE: 41.08	RMSE: 55.09
Epoch 024	LOSS: 169.54	MAE: 40.65	RMSE: 54.47
Epoch 025	LOSS: 168.31	MAE: 40.33	RMSE: 53.91
Epoch 026	LOSS: 167.31	MAE: 39.82	RMSE: 53.24
Epoch 027	LOSS: 165.51	MAE: 39.55	RMSE: 52.71
Epoch 028	LOSS: 164.20	MAE: 39.20	RMSE: 52.09
Epoch 029	LOSS: 162.42	MAE: 38.87	RMSE: 51.53
Epoch 030	LOSS: 162.03	MAE: 38.60	RMSE: 51.06
Epoch 031	LOSS: 160.43	MAE: 38.43	RMSE: 50.67
Epoch 032	LOSS: 159.17	MAE: 37.75	RMSE: 49.87
Epoch 033	LOSS: 157.40	MAE: 37.70	RMSE: 49.58
Epoch 034	LOSS: 156.92	MAE: 37.54	RMSE: 49.19
Epoch 035	LOSS: 155.66	MAE: 37.19	RMSE: 48.66
Epoch 036	LOSS: 153.49	MAE: 36.90	RMSE: 48.22
Epoch 037	LOSS: 153.61	MAE: 36.76	RMSE: 47.90
Epoch 038	LOSS: 151.85	MAE: 36.59	RMSE: 47.56
Epoch 039	LOSS: 151.52	MAE: 36.38	RMSE: 47.14
Epoch 040	LOSS: 149.87	MAE: 36.00	RMSE: 46.59
Epoch 041	LOSS: 148.99	MAE: 35.93	RMSE: 46.26
Epoch 042	LOSS: 147.24	MAE: 35.60	RMSE: 45.81
Epoch 043	LOSS: 146.23	MAE: 35.41	RMSE: 45.46
Epoch 044	LOSS: 145.67	MAE: 35.30	RMSE: 45.18
Epoch 045	LOSS: 145.10	MAE: 35.14	RMSE: 44.81
Epoch 046	LOSS: 143.97	MAE: 34.77	RMSE: 44.29
Epoch 047	LOSS: 142.57	MAE: 34.60	RMSE: 43.94
Epoch 048	LOSS: 141.55	MAE: 34.29	RMSE: 43.55
Epoch 049	LOSS: 140.45	MAE: 34.22	RMSE: 43.33
Epoch 050	LOSS: 139.19	MAE: 33.90	RMSE: 42.91
Epoch 051	LOSS: 138.52	MAE: 33.78	RMSE: 42.63
Epoch 052	LOSS: 137.46	MAE: 33.81	RMSE: 42.46
Epoch 053	LOSS: 136.07	MAE: 33.48	RMSE: 42.09
Epoch 054	LOSS: 135.37	MAE: 33.51	RMSE: 41.97
Epoch 055	LOSS: 134.17	MAE: 33.08	RMSE: 41.53
Epoch 056	LOSS: 133.88	MAE: 33.15	RMSE: 41.42
Epoch 057	LOSS: 132.04	MAE: 32.78	RMSE: 40.98
Epoch 058	LOSS: 131.59	MAE: 32.61	RMSE: 40.77
Epoch 059	LOSS: 130.37	MAE: 32.51	RMSE: 40.57
Epoch 060	LOSS: 129.64	MAE: 32.36	RMSE: 40.32
Epoch 061	LOSS: 128.09	MAE: 32.33	RMSE: 40.24
Epoch 062	LOSS: 127.52	MAE: 32.15	RMSE: 40.02
Epoch 063	LOSS: 126.21	MAE: 31.96	RMSE: 39.84
Epoch 064	LOSS: 124.91	MAE: 31.89	RMSE: 39.71
Epoch 065	LOSS: 124.40	MAE: 31.72	RMSE: 39.59
Epoch 066	LOSS: 123.27	MAE: 31.66	RMSE: 39.49
Epoch 067	LOSS: 122.00	MAE: 31.52	RMSE: 39.35
Epoch 068	LOSS: 121.53	MAE: 31.57	RMSE: 39.36
Epoch 069	LOSS: 119.85	MAE: 31.21	RMSE: 39.12
Epoch 070	LOSS: 118.68	MAE: 31.09	RMSE: 39.05
Epoch 071	LOSS: 117.78	MAE: 31.15	RMSE: 39.02
Epoch 072	LOSS: 117.00	MAE: 31.04	RMSE: 38.95
Epoch 073	LOSS: 115.91	MAE: 31.04	RMSE: 38.96
Epoch 074	LOSS: 114.87	MAE: 30.91	RMSE: 38.88
Epoch 075	LOSS: 113.59	MAE: 30.79	RMSE: 38.82
Epoch 076	LOSS: 112.69	MAE: 30.81	RMSE: 38.82
Epoch 077	LOSS: 112.36	MAE: 30.80	RMSE: 38.83
Epoch 078	LOSS: 110.78	MAE: 30.65	RMSE: 38.75
Epoch 079	LOSS: 110.88	MAE: 30.67	RMSE: 38.79
Epoch 080	LOSS: 108.88	MAE: 30.57	RMSE: 38.79
Epoch 081	LOSS: 107.54	MAE: 30.52	RMSE: 38.73
Epoch 082	LOSS: 106.98	MAE: 30.48	RMSE: 38.76
Epoch 083	LOSS: 105.93	MAE: 30.40	RMSE: 38.74
Epoch 084	LOSS: 105.07	MAE: 30.39	RMSE: 38.80
