Epoch 000	LOSS: 268.15	MAE: 61.22	RMSE: 76.35
Epoch 001	LOSS: 239.54	MAE: 57.54	RMSE: 73.87
Epoch 002	LOSS: 225.22	MAE: 55.96	RMSE: 72.73
Epoch 003	LOSS: 216.64	MAE: 54.72	RMSE: 71.78
Epoch 004	LOSS: 209.80	MAE: 53.60	RMSE: 70.81
Epoch 005	LOSS: 205.88	MAE: 52.59	RMSE: 69.87
Epoch 006	LOSS: 200.06	MAE: 51.72	RMSE: 68.98
Epoch 007	LOSS: 196.48	MAE: 50.96	RMSE: 68.17
Epoch 008	LOSS: 193.34	MAE: 50.17	RMSE: 67.31
Epoch 009	LOSS: 190.28	MAE: 49.37	RMSE: 66.47
Epoch 010	LOSS: 187.66	MAE: 48.79	RMSE: 65.76
Epoch 011	LOSS: 186.26	MAE: 48.19	RMSE: 65.01
Epoch 012	LOSS: 183.18	MAE: 47.64	RMSE: 64.38
Epoch 013	LOSS: 180.92	MAE: 47.05	RMSE: 63.69
Epoch 014	LOSS: 179.76	MAE: 46.70	RMSE: 63.16
Epoch 015	LOSS: 177.12	MAE: 46.11	RMSE: 62.50
Epoch 016	LOSS: 175.59	MAE: 45.80	RMSE: 61.97
Epoch 017	LOSS: 174.55	MAE: 45.30	RMSE: 61.44
Epoch 018	LOSS: 172.28	MAE: 45.00	RMSE: 60.89
Epoch 019	LOSS: 171.38	MAE: 44.64	RMSE: 60.43
Epoch 020	LOSS: 169.60	MAE: 44.16	RMSE: 59.80
Epoch 021	LOSS: 168.21	MAE: 43.85	RMSE: 59.36
Epoch 022	LOSS: 166.38	MAE: 43.57	RMSE: 58.85
Epoch 023	LOSS: 165.67	MAE: 43.35	RMSE: 58.53
Epoch 024	LOSS: 163.87	MAE: 42.99	RMSE: 58.04
Epoch 025	LOSS: 162.52	MAE: 42.67	RMSE: 57.60
Epoch 026	LOSS: 161.24	MAE: 42.41	RMSE: 57.14
Epoch 027	LOSS: 160.00	MAE: 42.02	RMSE: 56.57
Epoch 028	LOSS: 159.35	MAE: 41.89	RMSE: 56.28
Epoch 029	LOSS: 157.47	MAE: 41.68	RMSE: 55.88
Epoch 030	LOSS: 155.23	MAE: 41.26	RMSE: 55.36
Epoch 031	LOSS: 154.78	MAE: 41.26	RMSE: 55.15
Epoch 032	LOSS: 152.95	MAE: 40.93	RMSE: 54.72
Epoch 033	LOSS: 151.70	MAE: 40.66	RMSE: 54.26
Epoch 034	LOSS: 151.54	MAE: 40.45	RMSE: 53.88
Epoch 035	LOSS: 149.96	MAE: 40.21	RMSE: 53.52
Epoch 036	LOSS: 148.80	MAE: 39.86	RMSE: 53.06
Epoch 037	LOSS: 147.27	MAE: 39.68	RMSE: 52.74
Epoch 038	LOSS: 146.53	MAE: 39.47	RMSE: 52.37
Epoch 039	LOSS: 145.37	MAE: 39.41	RMSE: 52.11
