Epoch 000	LOSS: 276.35	MAE: 60.28	RMSE: 75.81
Epoch 001	LOSS: 246.00	MAE: 57.15	RMSE: 73.69
Epoch 002	LOSS: 234.14	MAE: 55.78	RMSE: 72.66
Epoch 003	LOSS: 226.39	MAE: 54.78	RMSE: 71.78
Epoch 004	LOSS: 218.88	MAE: 53.55	RMSE: 70.79
Epoch 005	LOSS: 212.75	MAE: 52.38	RMSE: 69.78
Epoch 006	LOSS: 208.44	MAE: 51.54	RMSE: 68.91
Epoch 007	LOSS: 205.74	MAE: 50.62	RMSE: 67.99
Epoch 008	LOSS: 201.52	MAE: 49.87	RMSE: 67.15
Epoch 009	LOSS: 198.72	MAE: 49.09	RMSE: 66.34
Epoch 010	LOSS: 195.50	MAE: 48.49	RMSE: 65.65
Epoch 011	LOSS: 192.35	MAE: 47.92	RMSE: 65.00
Epoch 012	LOSS: 191.41	MAE: 47.37	RMSE: 64.35
Epoch 013	LOSS: 189.47	MAE: 46.81	RMSE: 63.71
Epoch 014	LOSS: 187.99	MAE: 46.47	RMSE: 63.26
Epoch 015	LOSS: 185.97	MAE: 46.08	RMSE: 62.80
Epoch 016	LOSS: 184.48	MAE: 45.79	RMSE: 62.34
Epoch 017	LOSS: 183.37	MAE: 45.45	RMSE: 61.94
Epoch 018	LOSS: 180.96	MAE: 45.04	RMSE: 61.45
Epoch 019	LOSS: 180.94	MAE: 44.74	RMSE: 60.99
Epoch 020	LOSS: 177.98	MAE: 44.51	RMSE: 60.67
Epoch 021	LOSS: 176.92	MAE: 44.25	RMSE: 60.33
Epoch 022	LOSS: 175.84	MAE: 43.90	RMSE: 59.92
Epoch 023	LOSS: 173.97	MAE: 43.69	RMSE: 59.67
Epoch 024	LOSS: 172.52	MAE: 43.34	RMSE: 59.12
Epoch 025	LOSS: 172.14	MAE: 43.12	RMSE: 58.72
Epoch 026	LOSS: 169.96	MAE: 42.92	RMSE: 58.43
Epoch 027	LOSS: 169.00	MAE: 42.56	RMSE: 57.89
Epoch 028	LOSS: 167.42	MAE: 42.40	RMSE: 57.63
Epoch 029	LOSS: 166.59	MAE: 42.14	RMSE: 57.23
Epoch 030	LOSS: 165.59	MAE: 42.07	RMSE: 57.15
Epoch 031	LOSS: 165.16	MAE: 41.70	RMSE: 56.51
Epoch 032	LOSS: 164.14	MAE: 41.34	RMSE: 56.07
Epoch 033	LOSS: 161.16	MAE: 41.13	RMSE: 55.72
Epoch 034	LOSS: 161.97	MAE: 40.85	RMSE: 55.29
Epoch 035	LOSS: 160.78	MAE: 40.69	RMSE: 55.05
Epoch 036	LOSS: 159.35	MAE: 40.48	RMSE: 54.73
Epoch 037	LOSS: 158.25	MAE: 40.45	RMSE: 54.54
Epoch 038	LOSS: 157.11	MAE: 40.13	RMSE: 54.13
Epoch 039	LOSS: 156.84	MAE: 40.00	RMSE: 53.85
Epoch 040	LOSS: 154.97	MAE: 39.82	RMSE: 53.56
Epoch 041	LOSS: 155.12	MAE: 39.66	RMSE: 53.34
Epoch 042	LOSS: 152.95	MAE: 39.43	RMSE: 52.94
Epoch 043	LOSS: 152.61	MAE: 39.23	RMSE: 52.60
Epoch 044	LOSS: 151.07	MAE: 39.08	RMSE: 52.40
Epoch 045	LOSS: 150.50	MAE: 38.74	RMSE: 51.82
Epoch 046	LOSS: 149.65	MAE: 38.75	RMSE: 51.74
Epoch 047	LOSS: 149.25	MAE: 38.68	RMSE: 51.51
Epoch 048	LOSS: 147.58	MAE: 38.56	RMSE: 51.43
Epoch 049	LOSS: 146.78	MAE: 38.45	RMSE: 51.22
Epoch 050	LOSS: 145.15	MAE: 38.13	RMSE: 50.77
Epoch 051	LOSS: 144.32	MAE: 37.99	RMSE: 50.54
Epoch 052	LOSS: 143.78	MAE: 37.81	RMSE: 50.25
Epoch 053	LOSS: 142.36	MAE: 37.79	RMSE: 50.09
Epoch 054	LOSS: 141.91	MAE: 37.66	RMSE: 49.77
Epoch 055	LOSS: 140.23	MAE: 37.32	RMSE: 49.29
Epoch 056	LOSS: 140.41	MAE: 37.09	RMSE: 48.94
Epoch 057	LOSS: 138.94	MAE: 36.96	RMSE: 48.69
Epoch 058	LOSS: 137.43	MAE: 36.71	RMSE: 48.32
