Epoch 000	LOSS: 296.21	MAE: 53.37	RMSE: 67.22
Epoch 001	LOSS: 264.37	MAE: 50.25	RMSE: 64.31
Epoch 002	LOSS: 251.63	MAE: 48.70	RMSE: 62.86
Epoch 003	LOSS: 239.97	MAE: 48.00	RMSE: 62.20
Epoch 004	LOSS: 232.11	MAE: 47.45	RMSE: 61.55
Epoch 005	LOSS: 224.63	MAE: 47.17	RMSE: 61.03
Epoch 006	LOSS: 219.62	MAE: 46.67	RMSE: 60.30
Epoch 007	LOSS: 213.66	MAE: 46.37	RMSE: 59.82
Epoch 008	LOSS: 210.46	MAE: 45.84	RMSE: 59.08
Epoch 009	LOSS: 205.96	MAE: 45.37	RMSE: 58.39
Epoch 010	LOSS: 203.29	MAE: 45.16	RMSE: 57.96
Epoch 011	LOSS: 200.87	MAE: 44.79	RMSE: 57.40
Epoch 012	LOSS: 198.52	MAE: 44.00	RMSE: 56.45
Epoch 013	LOSS: 198.24	MAE: 43.26	RMSE: 55.54
Epoch 014	LOSS: 194.44	MAE: 42.96	RMSE: 55.08
Epoch 015	LOSS: 192.66	MAE: 42.77	RMSE: 54.71
Epoch 016	LOSS: 190.61	MAE: 42.74	RMSE: 54.53
Epoch 017	LOSS: 189.62	MAE: 41.93	RMSE: 53.61
Epoch 018	LOSS: 187.89	MAE: 41.54	RMSE: 53.05
Epoch 019	LOSS: 185.86	MAE: 41.12	RMSE: 52.50
Epoch 020	LOSS: 184.35	MAE: 40.71	RMSE: 51.99
Epoch 021	LOSS: 184.00	MAE: 40.02	RMSE: 51.19
Epoch 022	LOSS: 182.24	MAE: 39.71	RMSE: 50.77
Epoch 023	LOSS: 180.88	MAE: 39.32	RMSE: 50.30
Epoch 024	LOSS: 179.84	MAE: 39.32	RMSE: 50.21
Epoch 025	LOSS: 177.63	MAE: 38.69	RMSE: 49.48
Epoch 026	LOSS: 177.20	MAE: 38.42	RMSE: 49.19
