Epoch 000	LOSS: 275.95	MAE: 60.94	RMSE: 76.08
Epoch 001	LOSS: 246.99	MAE: 57.61	RMSE: 73.85
Epoch 002	LOSS: 235.10	MAE: 55.67	RMSE: 72.47
Epoch 003	LOSS: 225.45	MAE: 54.26	RMSE: 71.36
Epoch 004	LOSS: 219.89	MAE: 53.23	RMSE: 70.37
Epoch 005	LOSS: 213.81	MAE: 51.90	RMSE: 69.23
Epoch 006	LOSS: 209.53	MAE: 50.83	RMSE: 68.19
Epoch 007	LOSS: 204.50	MAE: 49.94	RMSE: 67.23
Epoch 008	LOSS: 200.41	MAE: 49.08	RMSE: 66.30
Epoch 009	LOSS: 198.08	MAE: 48.23	RMSE: 65.39
Epoch 010	LOSS: 195.69	MAE: 47.51	RMSE: 64.54
Epoch 011	LOSS: 192.34	MAE: 46.87	RMSE: 63.79
Epoch 012	LOSS: 189.72	MAE: 46.28	RMSE: 63.06
Epoch 013	LOSS: 188.52	MAE: 45.76	RMSE: 62.34
Epoch 014	LOSS: 185.31	MAE: 45.30	RMSE: 61.77
Epoch 015	LOSS: 183.57	MAE: 44.77	RMSE: 61.14
Epoch 016	LOSS: 182.12	MAE: 44.38	RMSE: 60.60
Epoch 017	LOSS: 179.63	MAE: 43.98	RMSE: 60.08
Epoch 018	LOSS: 178.18	MAE: 43.58	RMSE: 59.54
Epoch 019	LOSS: 176.60	MAE: 43.26	RMSE: 59.09
Epoch 020	LOSS: 175.57	MAE: 43.01	RMSE: 58.69
Epoch 021	LOSS: 173.65	MAE: 42.73	RMSE: 58.32
Epoch 022	LOSS: 172.70	MAE: 42.50	RMSE: 57.98
Epoch 023	LOSS: 170.42	MAE: 42.27	RMSE: 57.61
Epoch 024	LOSS: 169.09	MAE: 41.85	RMSE: 56.89
Epoch 025	LOSS: 167.43	MAE: 41.61	RMSE: 56.60
Epoch 026	LOSS: 166.88	MAE: 41.33	RMSE: 56.22
Epoch 027	LOSS: 165.49	MAE: 41.07	RMSE: 55.82
Epoch 028	LOSS: 163.88	MAE: 40.99	RMSE: 55.70
Epoch 029	LOSS: 162.83	MAE: 40.80	RMSE: 55.37
Epoch 030	LOSS: 161.81	MAE: 40.55	RMSE: 54.98
Epoch 031	LOSS: 159.64	MAE: 40.28	RMSE: 54.57
Epoch 032	LOSS: 159.63	MAE: 40.05	RMSE: 54.18
Epoch 033	LOSS: 158.47	MAE: 39.88	RMSE: 53.89
Epoch 034	LOSS: 156.36	MAE: 39.50	RMSE: 53.39
Epoch 035	LOSS: 156.35	MAE: 39.35	RMSE: 53.13
Epoch 036	LOSS: 154.68	MAE: 39.28	RMSE: 52.96
