Epoch 000	LOSS: 275.91	MAE: 60.06	RMSE: 75.66
Epoch 001	LOSS: 246.86	MAE: 57.48	RMSE: 73.90
Epoch 002	LOSS: 239.22	MAE: 56.10	RMSE: 72.86
Epoch 003	LOSS: 229.28	MAE: 55.08	RMSE: 72.07
Epoch 004	LOSS: 223.36	MAE: 53.94	RMSE: 71.15
Epoch 005	LOSS: 218.01	MAE: 53.04	RMSE: 70.28
Epoch 006	LOSS: 213.96	MAE: 52.09	RMSE: 69.41
Epoch 007	LOSS: 211.14	MAE: 51.30	RMSE: 68.60
Epoch 008	LOSS: 207.37	MAE: 50.36	RMSE: 67.71
Epoch 009	LOSS: 203.40	MAE: 49.75	RMSE: 67.06
Epoch 010	LOSS: 200.94	MAE: 49.11	RMSE: 66.35
Epoch 011	LOSS: 199.43	MAE: 48.47	RMSE: 65.64
Epoch 012	LOSS: 197.66	MAE: 48.10	RMSE: 65.12
Epoch 013	LOSS: 194.82	MAE: 47.51	RMSE: 64.50
Epoch 014	LOSS: 192.71	MAE: 46.97	RMSE: 63.86
Epoch 015	LOSS: 191.46	MAE: 46.45	RMSE: 63.31
Epoch 016	LOSS: 188.96	MAE: 46.17	RMSE: 62.88
Epoch 017	LOSS: 187.95	MAE: 45.84	RMSE: 62.45
Epoch 018	LOSS: 186.22	MAE: 45.57	RMSE: 62.10
Epoch 019	LOSS: 184.79	MAE: 45.26	RMSE: 61.66
Epoch 020	LOSS: 183.80	MAE: 44.99	RMSE: 61.30
Epoch 021	LOSS: 182.76	MAE: 44.60	RMSE: 60.85
Epoch 022	LOSS: 181.73	MAE: 44.26	RMSE: 60.40
Epoch 023	LOSS: 179.66	MAE: 44.03	RMSE: 60.05
Epoch 024	LOSS: 179.49	MAE: 43.76	RMSE: 59.72
Epoch 025	LOSS: 176.42	MAE: 43.58	RMSE: 59.41
Epoch 026	LOSS: 175.50	MAE: 43.31	RMSE: 59.05
Epoch 027	LOSS: 174.26	MAE: 43.05	RMSE: 58.76
Epoch 028	LOSS: 172.86	MAE: 42.91	RMSE: 58.53
Epoch 029	LOSS: 172.62	MAE: 42.63	RMSE: 58.10
Epoch 030	LOSS: 170.72	MAE: 42.48	RMSE: 57.85
Epoch 031	LOSS: 170.60	MAE: 42.24	RMSE: 57.45
Epoch 032	LOSS: 168.51	MAE: 41.83	RMSE: 56.90
Epoch 033	LOSS: 168.42	MAE: 41.87	RMSE: 56.91
Epoch 034	LOSS: 166.75	MAE: 41.53	RMSE: 56.46
Epoch 035	LOSS: 165.91	MAE: 41.42	RMSE: 56.25
Epoch 036	LOSS: 164.63	MAE: 41.37	RMSE: 56.03
Epoch 037	LOSS: 163.38	MAE: 41.02	RMSE: 55.64
Epoch 038	LOSS: 163.50	MAE: 40.95	RMSE: 55.47
Epoch 039	LOSS: 161.16	MAE: 40.74	RMSE: 55.14
Epoch 040	LOSS: 160.40	MAE: 40.74	RMSE: 54.93
Epoch 041	LOSS: 160.03	MAE: 40.40	RMSE: 54.63
Epoch 042	LOSS: 159.13	MAE: 40.32	RMSE: 54.37
Epoch 043	LOSS: 158.87	MAE: 40.15	RMSE: 54.13
Epoch 044	LOSS: 157.56	MAE: 40.06	RMSE: 53.99
Epoch 045	LOSS: 156.97	MAE: 39.82	RMSE: 53.66
Epoch 046	LOSS: 155.44	MAE: 39.72	RMSE: 53.42
Epoch 047	LOSS: 155.82	MAE: 39.47	RMSE: 53.13
Epoch 048	LOSS: 153.81	MAE: 39.45	RMSE: 52.96
Epoch 049	LOSS: 152.89	MAE: 39.29	RMSE: 52.70
Epoch 050	LOSS: 152.96	MAE: 38.96	RMSE: 52.30
Epoch 051	LOSS: 151.63	MAE: 38.99	RMSE: 52.16
Epoch 052	LOSS: 149.82	MAE: 38.74	RMSE: 51.86
Epoch 053	LOSS: 149.29	MAE: 38.48	RMSE: 51.37
Epoch 054	LOSS: 148.07	MAE: 38.31	RMSE: 51.23
