Epoch 000	LOSS: 296.51	MAE: 52.36	RMSE: 66.47
Epoch 001	LOSS: 263.38	MAE: 44.27	RMSE: 58.35
Epoch 002	LOSS: 246.65	MAE: 38.12	RMSE: 52.67
Epoch 003	LOSS: 236.24	MAE: 33.28	RMSE: 48.40
Epoch 004	LOSS: 227.66	MAE: 30.56	RMSE: 45.95
Epoch 005	LOSS: 223.28	MAE: 29.09	RMSE: 44.60
Epoch 006	LOSS: 217.58	MAE: 28.04	RMSE: 43.38
Epoch 007	LOSS: 214.84	MAE: 27.78	RMSE: 42.78
Epoch 008	LOSS: 211.39	MAE: 27.32	RMSE: 42.09
Epoch 009	LOSS: 207.66	MAE: 27.13	RMSE: 41.57
Epoch 010	LOSS: 204.38	MAE: 26.86	RMSE: 40.96
Epoch 011	LOSS: 202.74	MAE: 26.00	RMSE: 39.78
Epoch 012	LOSS: 199.97	MAE: 25.95	RMSE: 39.49
Epoch 013	LOSS: 198.00	MAE: 25.59	RMSE: 38.75
Epoch 014	LOSS: 195.03	MAE: 25.11	RMSE: 38.01
Epoch 015	LOSS: 193.82	MAE: 25.10	RMSE: 37.94
Epoch 016	LOSS: 191.61	MAE: 24.84	RMSE: 37.43
Epoch 017	LOSS: 190.15	MAE: 24.56	RMSE: 36.96
Epoch 018	LOSS: 188.87	MAE: 24.23	RMSE: 36.42
Epoch 019	LOSS: 188.04	MAE: 24.21	RMSE: 36.18
Epoch 020	LOSS: 184.26	MAE: 24.27	RMSE: 36.19
Epoch 021	LOSS: 186.16	MAE: 23.90	RMSE: 35.54
Epoch 022	LOSS: 182.09	MAE: 23.78	RMSE: 35.42
Epoch 023	LOSS: 179.74	MAE: 23.72	RMSE: 35.26
Epoch 024	LOSS: 179.98	MAE: 23.43	RMSE: 34.81
Epoch 025	LOSS: 178.08	MAE: 23.40	RMSE: 34.68
Epoch 026	LOSS: 176.97	MAE: 23.15	RMSE: 34.31
Epoch 027	LOSS: 175.96	MAE: 23.11	RMSE: 34.04
Epoch 028	LOSS: 174.46	MAE: 23.54	RMSE: 34.32
Epoch 029	LOSS: 173.92	MAE: 22.56	RMSE: 33.10
Epoch 030	LOSS: 172.99	MAE: 22.77	RMSE: 33.28
Epoch 031	LOSS: 171.13	MAE: 22.42	RMSE: 32.71
Epoch 032	LOSS: 170.24	MAE: 22.31	RMSE: 32.44
Epoch 033	LOSS: 167.62	MAE: 22.55	RMSE: 32.56
Epoch 034	LOSS: 166.97	MAE: 21.96	RMSE: 31.86
Epoch 035	LOSS: 166.91	MAE: 21.55	RMSE: 31.03
Epoch 036	LOSS: 164.64	MAE: 21.60	RMSE: 31.03
Epoch 037	LOSS: 163.87	MAE: 21.57	RMSE: 31.09
Epoch 038	LOSS: 163.61	MAE: 21.58	RMSE: 30.98
Epoch 039	LOSS: 161.58	MAE: 21.40	RMSE: 30.80
Epoch 040	LOSS: 160.76	MAE: 21.22	RMSE: 30.55
Epoch 041	LOSS: 159.74	MAE: 21.27	RMSE: 30.54
Epoch 042	LOSS: 159.25	MAE: 20.83	RMSE: 29.88
Epoch 043	LOSS: 157.70	MAE: 20.75	RMSE: 29.74
Epoch 044	LOSS: 156.84	MAE: 20.69	RMSE: 29.58
Epoch 045	LOSS: 154.86	MAE: 20.44	RMSE: 29.23
Epoch 046	LOSS: 154.27	MAE: 20.32	RMSE: 28.83
Epoch 047	LOSS: 153.54	MAE: 20.17	RMSE: 28.62
Epoch 048	LOSS: 151.92	MAE: 19.92	RMSE: 28.42
Epoch 049	LOSS: 150.41	MAE: 19.82	RMSE: 28.22
Epoch 050	LOSS: 149.54	MAE: 19.81	RMSE: 28.19
Epoch 051	LOSS: 147.94	MAE: 19.66	RMSE: 28.02
Epoch 052	LOSS: 146.78	MAE: 19.35	RMSE: 27.61
Epoch 053	LOSS: 145.53	MAE: 19.44	RMSE: 27.71
Epoch 054	LOSS: 143.72	MAE: 19.12	RMSE: 27.38
Epoch 055	LOSS: 143.05	MAE: 19.14	RMSE: 27.39
Epoch 056	LOSS: 141.09	MAE: 18.84	RMSE: 27.05
Epoch 057	LOSS: 140.19	MAE: 18.89	RMSE: 27.20
Epoch 058	LOSS: 138.43	MAE: 18.62	RMSE: 26.82
Epoch 059	LOSS: 137.38	MAE: 18.56	RMSE: 26.66
Epoch 060	LOSS: 135.94	MAE: 18.34	RMSE: 26.38
Epoch 061	LOSS: 134.19	MAE: 18.03	RMSE: 26.05
Epoch 062	LOSS: 132.52	MAE: 18.13	RMSE: 26.11
Epoch 063	LOSS: 131.82	MAE: 18.02	RMSE: 25.98
Epoch 064	LOSS: 130.96	MAE: 17.88	RMSE: 25.61
Epoch 065	LOSS: 129.15	MAE: 18.29	RMSE: 26.78
Epoch 066	LOSS: 126.55	MAE: 17.58	RMSE: 25.61
Epoch 067	LOSS: 126.26	MAE: 17.66	RMSE: 25.54
Epoch 068	LOSS: 124.63	MAE: 17.11	RMSE: 25.31
