Epoch 000	LOSS: 292.88	MAE: 54.90	RMSE: 69.14
Epoch 001	LOSS: 262.39	MAE: 51.96	RMSE: 66.41
Epoch 002	LOSS: 245.72	MAE: 50.65	RMSE: 65.02
Epoch 003	LOSS: 234.97	MAE: 50.10	RMSE: 64.38
Epoch 004	LOSS: 227.56	MAE: 49.62	RMSE: 63.81
Epoch 005	LOSS: 220.62	MAE: 49.38	RMSE: 63.39
Epoch 006	LOSS: 214.85	MAE: 49.37	RMSE: 63.10
Epoch 007	LOSS: 211.16	MAE: 48.93	RMSE: 62.53
Epoch 008	LOSS: 207.46	MAE: 48.88	RMSE: 62.22
Epoch 009	LOSS: 203.76	MAE: 48.60	RMSE: 61.79
Epoch 010	LOSS: 201.78	MAE: 48.32	RMSE: 61.29
Epoch 011	LOSS: 198.60	MAE: 47.96	RMSE: 60.76
Epoch 012	LOSS: 196.02	MAE: 47.95	RMSE: 60.56
Epoch 013	LOSS: 194.05	MAE: 47.72	RMSE: 60.16
Epoch 014	LOSS: 192.81	MAE: 47.56	RMSE: 59.84
Epoch 015	LOSS: 191.39	MAE: 47.30	RMSE: 59.42
Epoch 016	LOSS: 188.98	MAE: 47.14	RMSE: 59.08
Epoch 017	LOSS: 186.30	MAE: 46.83	RMSE: 58.64
Epoch 018	LOSS: 185.55	MAE: 46.83	RMSE: 58.50
Epoch 019	LOSS: 184.46	MAE: 46.66	RMSE: 58.18
Epoch 020	LOSS: 182.85	MAE: 46.53	RMSE: 57.95
Epoch 021	LOSS: 181.54	MAE: 46.27	RMSE: 57.54
Epoch 022	LOSS: 179.60	MAE: 46.08	RMSE: 57.25
Epoch 023	LOSS: 178.39	MAE: 45.86	RMSE: 56.88
Epoch 024	LOSS: 176.64	MAE: 45.84	RMSE: 56.75
Epoch 025	LOSS: 175.67	MAE: 45.40	RMSE: 56.17
Epoch 026	LOSS: 174.37	MAE: 45.32	RMSE: 55.98
Epoch 027	LOSS: 173.75	MAE: 45.11	RMSE: 55.65
Epoch 028	LOSS: 172.49	MAE: 44.75	RMSE: 55.21
Epoch 029	LOSS: 171.41	MAE: 44.50	RMSE: 54.86
Epoch 030	LOSS: 170.13	MAE: 44.35	RMSE: 54.59
Epoch 031	LOSS: 168.85	MAE: 44.18	RMSE: 54.33
Epoch 032	LOSS: 167.01	MAE: 43.91	RMSE: 53.97
Epoch 033	LOSS: 167.04	MAE: 43.76	RMSE: 53.73
Epoch 034	LOSS: 165.34	MAE: 43.57	RMSE: 53.43
Epoch 035	LOSS: 164.00	MAE: 43.64	RMSE: 53.47
Epoch 036	LOSS: 163.53	MAE: 43.25	RMSE: 52.93
