Epoch 000	LOSS: 295.95	MAE: 54.76	RMSE: 68.70
Epoch 001	LOSS: 263.90	MAE: 51.37	RMSE: 65.46
Epoch 002	LOSS: 249.21	MAE: 49.55	RMSE: 63.74
Epoch 003	LOSS: 237.89	MAE: 48.56	RMSE: 62.75
Epoch 004	LOSS: 228.07	MAE: 48.04	RMSE: 62.12
Epoch 005	LOSS: 221.09	MAE: 47.65	RMSE: 61.54
Epoch 006	LOSS: 215.25	MAE: 46.98	RMSE: 60.64
Epoch 007	LOSS: 211.35	MAE: 46.47	RMSE: 59.94
Epoch 008	LOSS: 205.40	MAE: 46.00	RMSE: 59.27
Epoch 009	LOSS: 203.38	MAE: 45.09	RMSE: 58.18
Epoch 010	LOSS: 200.57	MAE: 44.74	RMSE: 57.57
Epoch 011	LOSS: 197.51	MAE: 44.36	RMSE: 56.96
Epoch 012	LOSS: 194.86	MAE: 43.34	RMSE: 55.74
Epoch 013	LOSS: 192.00	MAE: 43.53	RMSE: 55.66
Epoch 014	LOSS: 190.50	MAE: 42.83	RMSE: 54.84
Epoch 015	LOSS: 189.05	MAE: 42.10	RMSE: 53.96
Epoch 016	LOSS: 187.11	MAE: 41.64	RMSE: 53.36
Epoch 017	LOSS: 185.83	MAE: 40.94	RMSE: 52.49
Epoch 018	LOSS: 182.54	MAE: 40.67	RMSE: 52.08
Epoch 019	LOSS: 181.29	MAE: 40.04	RMSE: 51.37
Epoch 020	LOSS: 178.89	MAE: 39.92	RMSE: 51.07
Epoch 021	LOSS: 177.82	MAE: 39.42	RMSE: 50.51
Epoch 022	LOSS: 176.01	MAE: 38.85	RMSE: 49.80
Epoch 023	LOSS: 175.94	MAE: 38.05	RMSE: 48.90
Epoch 024	LOSS: 174.36	MAE: 37.34	RMSE: 48.11
Epoch 025	LOSS: 172.47	MAE: 37.46	RMSE: 48.15
Epoch 026	LOSS: 171.39	MAE: 37.20	RMSE: 47.81
Epoch 027	LOSS: 170.02	MAE: 36.70	RMSE: 47.21
Epoch 028	LOSS: 168.40	MAE: 36.32	RMSE: 46.80
Epoch 029	LOSS: 166.01	MAE: 35.91	RMSE: 46.23
Epoch 030	LOSS: 164.89	MAE: 35.86	RMSE: 46.20
Epoch 031	LOSS: 163.52	MAE: 35.07	RMSE: 45.30
Epoch 032	LOSS: 162.54	MAE: 34.99	RMSE: 45.10
Epoch 033	LOSS: 160.81	MAE: 34.53	RMSE: 44.55
Epoch 034	LOSS: 159.92	MAE: 33.90	RMSE: 43.89
Epoch 035	LOSS: 157.62	MAE: 34.07	RMSE: 43.94
Epoch 036	LOSS: 157.85	MAE: 33.47	RMSE: 43.17
Epoch 037	LOSS: 156.57	MAE: 33.12	RMSE: 42.80
Epoch 038	LOSS: 155.00	MAE: 33.35	RMSE: 43.01
Epoch 039	LOSS: 153.64	MAE: 32.86	RMSE: 42.53
Epoch 040	LOSS: 152.65	MAE: 32.33	RMSE: 41.94
Epoch 041	LOSS: 150.97	MAE: 32.23	RMSE: 41.70
Epoch 042	LOSS: 149.97	MAE: 31.99	RMSE: 41.36
Epoch 043	LOSS: 148.64	MAE: 31.79	RMSE: 41.14
Epoch 044	LOSS: 147.14	MAE: 31.44	RMSE: 40.69
Epoch 045	LOSS: 146.55	MAE: 31.08	RMSE: 40.30
Epoch 046	LOSS: 144.53	MAE: 30.80	RMSE: 39.93
Epoch 047	LOSS: 143.57	MAE: 30.84	RMSE: 40.02
Epoch 048	LOSS: 141.89	MAE: 30.51	RMSE: 39.54
Epoch 049	LOSS: 141.24	MAE: 30.05	RMSE: 38.94
Epoch 050	LOSS: 140.29	MAE: 29.96	RMSE: 38.84
Epoch 051	LOSS: 137.99	MAE: 29.70	RMSE: 38.60
Epoch 052	LOSS: 137.65	MAE: 29.51	RMSE: 38.52
Epoch 053	LOSS: 136.33	MAE: 29.36	RMSE: 38.10
Epoch 054	LOSS: 133.77	MAE: 29.02	RMSE: 37.72
Epoch 055	LOSS: 134.11	MAE: 28.70	RMSE: 37.31
Epoch 056	LOSS: 132.17	MAE: 28.39	RMSE: 36.96
Epoch 057	LOSS: 131.59	MAE: 28.03	RMSE: 36.53
Epoch 058	LOSS: 129.86	MAE: 28.02	RMSE: 36.55
Epoch 059	LOSS: 129.60	MAE: 27.52	RMSE: 35.90
Epoch 060	LOSS: 128.22	MAE: 27.28	RMSE: 35.57
Epoch 061	LOSS: 127.30	MAE: 27.29	RMSE: 35.65
Epoch 062	LOSS: 125.18	MAE: 26.94	RMSE: 35.20
Epoch 063	LOSS: 124.93	MAE: 26.71	RMSE: 34.91
Epoch 064	LOSS: 123.69	MAE: 26.52	RMSE: 34.72
Epoch 065	LOSS: 122.81	MAE: 26.28	RMSE: 34.36
Epoch 066	LOSS: 121.56	MAE: 26.46	RMSE: 34.75
Epoch 067	LOSS: 120.79	MAE: 26.03	RMSE: 34.13
Epoch 068	LOSS: 119.97	MAE: 25.62	RMSE: 33.66
Epoch 069	LOSS: 118.60	MAE: 25.44	RMSE: 33.49
Epoch 070	LOSS: 117.34	MAE: 25.21	RMSE: 33.17
Epoch 071	LOSS: 117.12	MAE: 25.35	RMSE: 33.20
Epoch 072	LOSS: 115.43	MAE: 24.93	RMSE: 32.80
Epoch 073	LOSS: 114.06	MAE: 25.06	RMSE: 33.02
Epoch 074	LOSS: 113.20	MAE: 24.74	RMSE: 32.74
Epoch 075	LOSS: 112.31	MAE: 24.79	RMSE: 32.78
Epoch 076	LOSS: 111.13	MAE: 24.27	RMSE: 32.25
Epoch 077	LOSS: 110.39	MAE: 24.32	RMSE: 32.40
Epoch 078	LOSS: 109.30	MAE: 23.95	RMSE: 31.76
Epoch 079	LOSS: 108.28	MAE: 23.58	RMSE: 31.39
Epoch 080	LOSS: 107.92	MAE: 23.60	RMSE: 31.31
Epoch 081	LOSS: 106.38	MAE: 23.43	RMSE: 31.21
Epoch 082	LOSS: 105.55	MAE: 23.23	RMSE: 30.96
Epoch 083	LOSS: 104.51	MAE: 23.13	RMSE: 31.21
Epoch 084	LOSS: 103.25	MAE: 22.77	RMSE: 30.65
