Epoch 000	LOSS: 291.55	MAE: 54.65	RMSE: 68.79
Epoch 001	LOSS: 260.75	MAE: 52.00	RMSE: 66.16
Epoch 002	LOSS: 247.15	MAE: 50.25	RMSE: 64.50
Epoch 003	LOSS: 234.55	MAE: 49.50	RMSE: 63.84
Epoch 004	LOSS: 227.34	MAE: 48.75	RMSE: 62.98
Epoch 005	LOSS: 220.95	MAE: 48.25	RMSE: 62.32
Epoch 006	LOSS: 215.82	MAE: 47.96	RMSE: 61.77
Epoch 007	LOSS: 210.70	MAE: 47.43	RMSE: 61.07
Epoch 008	LOSS: 207.40	MAE: 46.93	RMSE: 60.34
Epoch 009	LOSS: 202.99	MAE: 46.96	RMSE: 60.14
Epoch 010	LOSS: 199.50	MAE: 46.39	RMSE: 59.38
Epoch 011	LOSS: 196.87	MAE: 45.91	RMSE: 58.72
Epoch 012	LOSS: 195.24	MAE: 45.61	RMSE: 58.20
Epoch 013	LOSS: 191.60	MAE: 45.39	RMSE: 57.79
Epoch 014	LOSS: 189.87	MAE: 44.85	RMSE: 57.06
Epoch 015	LOSS: 188.75	MAE: 44.53	RMSE: 56.57
Epoch 016	LOSS: 186.07	MAE: 44.47	RMSE: 56.34
Epoch 017	LOSS: 184.63	MAE: 44.12	RMSE: 55.82
Epoch 018	LOSS: 181.83	MAE: 43.55	RMSE: 55.13
Epoch 019	LOSS: 181.14	MAE: 43.03	RMSE: 54.45
Epoch 020	LOSS: 178.65	MAE: 43.09	RMSE: 54.37
Epoch 021	LOSS: 178.58	MAE: 42.47	RMSE: 53.66
Epoch 022	LOSS: 175.94	MAE: 42.23	RMSE: 53.27
Epoch 023	LOSS: 174.47	MAE: 41.93	RMSE: 52.87
Epoch 024	LOSS: 173.80	MAE: 41.70	RMSE: 52.56
Epoch 025	LOSS: 171.52	MAE: 41.50	RMSE: 52.26
Epoch 026	LOSS: 169.95	MAE: 41.04	RMSE: 51.71
Epoch 027	LOSS: 168.62	MAE: 40.96	RMSE: 51.57
Epoch 028	LOSS: 168.11	MAE: 40.20	RMSE: 50.68
Epoch 029	LOSS: 167.50	MAE: 39.98	RMSE: 50.31
Epoch 030	LOSS: 164.72	MAE: 39.70	RMSE: 50.04
Epoch 031	LOSS: 164.94	MAE: 39.29	RMSE: 49.51
Epoch 032	LOSS: 163.64	MAE: 38.88	RMSE: 49.04
Epoch 033	LOSS: 161.74	MAE: 38.78	RMSE: 48.89
Epoch 034	LOSS: 161.53	MAE: 38.18	RMSE: 48.15
Epoch 035	LOSS: 159.95	MAE: 37.95	RMSE: 47.86
Epoch 036	LOSS: 158.39	MAE: 37.86	RMSE: 47.74
Epoch 037	LOSS: 156.96	MAE: 37.64	RMSE: 47.45
Epoch 038	LOSS: 157.30	MAE: 37.10	RMSE: 46.76
Epoch 039	LOSS: 155.38	MAE: 37.10	RMSE: 46.75
Epoch 040	LOSS: 154.35	MAE: 36.35	RMSE: 45.92
Epoch 041	LOSS: 152.92	MAE: 36.35	RMSE: 45.87
Epoch 042	LOSS: 151.79	MAE: 36.06	RMSE: 45.54
Epoch 043	LOSS: 150.72	MAE: 35.99	RMSE: 45.37
Epoch 044	LOSS: 150.09	MAE: 35.60	RMSE: 44.89
Epoch 045	LOSS: 148.88	MAE: 35.34	RMSE: 44.62
Epoch 046	LOSS: 147.72	MAE: 35.06	RMSE: 44.32
Epoch 047	LOSS: 147.26	MAE: 34.39	RMSE: 43.51
Epoch 048	LOSS: 145.75	MAE: 34.33	RMSE: 43.42
Epoch 049	LOSS: 143.78	MAE: 34.51	RMSE: 43.61
Epoch 050	LOSS: 143.38	MAE: 34.06	RMSE: 43.07
Epoch 051	LOSS: 142.15	MAE: 33.86	RMSE: 42.77
Epoch 052	LOSS: 141.01	MAE: 33.75	RMSE: 42.56
Epoch 053	LOSS: 141.21	MAE: 33.57	RMSE: 42.37
Epoch 054	LOSS: 140.06	MAE: 33.10	RMSE: 41.86
Epoch 055	LOSS: 138.61	MAE: 32.83	RMSE: 41.46
Epoch 056	LOSS: 137.59	MAE: 32.84	RMSE: 41.46
Epoch 057	LOSS: 136.61	MAE: 32.50	RMSE: 41.00
Epoch 058	LOSS: 135.81	MAE: 32.06	RMSE: 40.51
Epoch 059	LOSS: 134.45	MAE: 31.89	RMSE: 40.29
Epoch 060	LOSS: 133.55	MAE: 31.72	RMSE: 40.13
Epoch 061	LOSS: 133.42	MAE: 31.25	RMSE: 39.54
Epoch 062	LOSS: 130.92	MAE: 31.06	RMSE: 39.32
Epoch 063	LOSS: 130.59	MAE: 30.68	RMSE: 38.99
Epoch 064	LOSS: 129.42	MAE: 30.80	RMSE: 39.07
Epoch 065	LOSS: 128.66	MAE: 30.42	RMSE: 38.57
Epoch 066	LOSS: 127.88	MAE: 30.36	RMSE: 38.53
Epoch 067	LOSS: 127.36	MAE: 30.07	RMSE: 38.13
Epoch 068	LOSS: 125.41	MAE: 29.91	RMSE: 37.87
Epoch 069	LOSS: 125.23	MAE: 29.46	RMSE: 37.40
Epoch 070	LOSS: 123.98	MAE: 29.41	RMSE: 37.33
Epoch 071	LOSS: 123.19	MAE: 29.11	RMSE: 36.92
Epoch 072	LOSS: 122.14	MAE: 29.19	RMSE: 37.10
Epoch 073	LOSS: 121.12	MAE: 28.83	RMSE: 36.65
Epoch 074	LOSS: 120.29	MAE: 28.14	RMSE: 35.89
Epoch 075	LOSS: 119.21	MAE: 27.93	RMSE: 35.69
Epoch 076	LOSS: 117.90	MAE: 27.90	RMSE: 35.66
Epoch 077	LOSS: 116.66	MAE: 27.87	RMSE: 35.61
Epoch 078	LOSS: 115.89	MAE: 27.60	RMSE: 35.30
Epoch 079	LOSS: 115.03	MAE: 27.33	RMSE: 35.01
Epoch 080	LOSS: 114.19	MAE: 27.11	RMSE: 34.81
Epoch 081	LOSS: 113.34	MAE: 26.98	RMSE: 34.57
Epoch 082	LOSS: 112.43	MAE: 26.84	RMSE: 34.52
Epoch 083	LOSS: 111.24	MAE: 26.72	RMSE: 34.32
Epoch 084	LOSS: 110.29	MAE: 26.25	RMSE: 33.83
Epoch 085	LOSS: 109.97	MAE: 26.24	RMSE: 33.77
Epoch 086	LOSS: 108.89	MAE: 25.94	RMSE: 33.47
Epoch 087	LOSS: 107.75	MAE: 25.40	RMSE: 32.83
Epoch 088	LOSS: 106.51	MAE: 25.45	RMSE: 32.97
Epoch 089	LOSS: 105.74	MAE: 25.25	RMSE: 32.65
Epoch 090	LOSS: 104.91	MAE: 25.06	RMSE: 32.56
Epoch 091	LOSS: 104.08	MAE: 24.76	RMSE: 32.05
Epoch 092	LOSS: 102.90	MAE: 25.00	RMSE: 32.36
Epoch 093	LOSS: 101.84	MAE: 24.49	RMSE: 31.86
Epoch 094	LOSS: 101.17	MAE: 24.34	RMSE: 31.77
Epoch 095	LOSS: 99.96	MAE: 24.06	RMSE: 31.37
Epoch 096	LOSS: 99.04	MAE: 24.13	RMSE: 31.61
Epoch 097	LOSS: 98.83	MAE: 23.64	RMSE: 30.92
Epoch 098	LOSS: 97.40	MAE: 23.59	RMSE: 30.90
Epoch 099	LOSS: 96.08	MAE: 23.51	RMSE: 30.81
Epoch 100	LOSS: 95.13	MAE: 23.19	RMSE: 30.47
Epoch 101	LOSS: 94.84	MAE: 23.05	RMSE: 30.32
Epoch 102	LOSS: 93.73	MAE: 23.02	RMSE: 30.40
Epoch 103	LOSS: 93.17	MAE: 22.72	RMSE: 29.99
Epoch 104	LOSS: 92.05	MAE: 22.62	RMSE: 29.85
Epoch 105	LOSS: 91.29	MAE: 22.18	RMSE: 29.38
Epoch 106	LOSS: 90.29	MAE: 22.22	RMSE: 29.48
Epoch 107	LOSS: 89.15	MAE: 21.96	RMSE: 29.19
Epoch 108	LOSS: 88.45	MAE: 21.91	RMSE: 29.20
Epoch 109	LOSS: 87.44	MAE: 21.61	RMSE: 28.85
Epoch 110	LOSS: 87.01	MAE: 21.53	RMSE: 28.78
Epoch 111	LOSS: 86.34	MAE: 21.29	RMSE: 28.55
Epoch 112	LOSS: 85.24	MAE: 21.41	RMSE: 28.70
Epoch 113	LOSS: 85.02	MAE: 20.79	RMSE: 28.02
Epoch 114	LOSS: 83.48	MAE: 20.74	RMSE: 28.01
Epoch 115	LOSS: 83.36	MAE: 20.62	RMSE: 27.83
Epoch 116	LOSS: 82.67	MAE: 20.44	RMSE: 27.69
Epoch 117	LOSS: 81.85	MAE: 20.60	RMSE: 27.91
Epoch 118	LOSS: 81.43	MAE: 20.25	RMSE: 27.56
Epoch 119	LOSS: 80.68	MAE: 19.98	RMSE: 27.32
Epoch 120	LOSS: 80.32	MAE: 19.95	RMSE: 27.44
Epoch 121	LOSS: 79.47	MAE: 19.89	RMSE: 27.24
Epoch 122	LOSS: 78.59	MAE: 20.00	RMSE: 27.37
Epoch 123	LOSS: 78.06	MAE: 20.14	RMSE: 28.37
Epoch 124	LOSS: 77.25	MAE: 19.69	RMSE: 27.06
Epoch 125	LOSS: 76.14	MAE: 19.81	RMSE: 27.95
Epoch 126	LOSS: 76.13	MAE: 19.69	RMSE: 26.99
Epoch 127	LOSS: 75.05	MAE: 19.10	RMSE: 26.38
Epoch 128	LOSS: 74.74	MAE: 19.17	RMSE: 26.60
Epoch 129	LOSS: 74.02	MAE: 19.11	RMSE: 26.74
Epoch 130	LOSS: 73.32	MAE: 18.59	RMSE: 25.88
Epoch 131	LOSS: 72.92	MAE: 19.04	RMSE: 26.86
Epoch 132	LOSS: 72.06	MAE: 18.78	RMSE: 26.15
Epoch 133	LOSS: 71.48	MAE: 18.68	RMSE: 25.95
Epoch 134	LOSS: 70.93	MAE: 18.64	RMSE: 26.21
Epoch 135	LOSS: 70.03	MAE: 18.35	RMSE: 25.70
Epoch 136	LOSS: 69.53	MAE: 18.30	RMSE: 25.71
Epoch 137	LOSS: 69.08	MAE: 17.64	RMSE: 25.23
Epoch 138	LOSS: 69.14	MAE: 17.84	RMSE: 25.58
Epoch 139	LOSS: 68.42	MAE: 17.89	RMSE: 25.68
Epoch 140	LOSS: 67.80	MAE: 18.31	RMSE: 25.88
Epoch 141	LOSS: 67.21	MAE: 17.92	RMSE: 25.42
Epoch 142	LOSS: 66.45	MAE: 17.39	RMSE: 25.01
Epoch 143	LOSS: 66.38	MAE: 17.60	RMSE: 25.79
Epoch 144	LOSS: 66.09	MAE: 17.54	RMSE: 25.57
Epoch 145	LOSS: 65.73	MAE: 17.39	RMSE: 25.30
Epoch 146	LOSS: 64.98	MAE: 17.21	RMSE: 24.81
Epoch 147	LOSS: 64.44	MAE: 17.03	RMSE: 24.66
Epoch 148	LOSS: 64.03	MAE: 17.14	RMSE: 24.58
Epoch 149	LOSS: 63.59	MAE: 17.25	RMSE: 24.90
Epoch 150	LOSS: 63.63	MAE: 17.40	RMSE: 25.34
Epoch 151	LOSS: 62.99	MAE: 16.87	RMSE: 24.59
Epoch 152	LOSS: 62.08	MAE: 17.02	RMSE: 24.72
Epoch 153	LOSS: 62.15	MAE: 16.82	RMSE: 24.28
Epoch 154	LOSS: 61.35	MAE: 16.40	RMSE: 24.17
Epoch 155	LOSS: 61.55	MAE: 16.79	RMSE: 24.37
Epoch 156	LOSS: 60.86	MAE: 16.75	RMSE: 24.45
Epoch 157	LOSS: 60.44	MAE: 16.53	RMSE: 24.38
Epoch 158	LOSS: 60.49	MAE: 16.71	RMSE: 24.43
Epoch 159	LOSS: 60.36	MAE: 16.70	RMSE: 24.21
Epoch 160	LOSS: 59.79	MAE: 16.79	RMSE: 24.26
Epoch 161	LOSS: 59.50	MAE: 16.62	RMSE: 24.36
Epoch 162	LOSS: 58.87	MAE: 16.55	RMSE: 24.46
Epoch 163	LOSS: 58.74	MAE: 16.23	RMSE: 23.96
Epoch 164	LOSS: 58.24	MAE: 16.30	RMSE: 24.09
Epoch 165	LOSS: 57.74	MAE: 16.09	RMSE: 24.13
Epoch 166	LOSS: 57.82	MAE: 16.13	RMSE: 23.96
Epoch 167	LOSS: 57.82	MAE: 16.13	RMSE: 24.36
Epoch 168	LOSS: 57.06	MAE: 16.04	RMSE: 23.73
Epoch 169	LOSS: 57.09	MAE: 15.81	RMSE: 23.60
Epoch 170	LOSS: 56.96	MAE: 16.37	RMSE: 24.41
Epoch 171	LOSS: 56.99	MAE: 15.92	RMSE: 23.70
Epoch 172	LOSS: 58.73	MAE: 16.76	RMSE: 25.95
Epoch 173	LOSS: 57.36	MAE: 15.87	RMSE: 24.13
Epoch 174	LOSS: 56.26	MAE: 16.32	RMSE: 25.27
Epoch 175	LOSS: 55.84	MAE: 16.24	RMSE: 25.86
Epoch 176	LOSS: 55.73	MAE: 15.77	RMSE: 23.94
Epoch 177	LOSS: 55.09	MAE: 15.89	RMSE: 24.67
Epoch 178	LOSS: 54.89	MAE: 15.60	RMSE: 23.91
Epoch 179	LOSS: 54.60	MAE: 15.49	RMSE: 23.37
Epoch 180	LOSS: 54.36	MAE: 15.28	RMSE: 23.40
Epoch 181	LOSS: 54.55	MAE: 16.07	RMSE: 24.68
Epoch 182	LOSS: 54.11	MAE: 15.54	RMSE: 23.31
Epoch 183	LOSS: 53.89	MAE: 15.21	RMSE: 23.63
Epoch 184	LOSS: 53.63	MAE: 15.10	RMSE: 23.27
Epoch 185	LOSS: 53.38	MAE: 15.40	RMSE: 23.50
Epoch 186	LOSS: 53.82	MAE: 15.77	RMSE: 24.46
Epoch 187	LOSS: 53.34	MAE: 15.23	RMSE: 23.69
Epoch 188	LOSS: 53.16	MAE: 16.28	RMSE: 26.43
Epoch 189	LOSS: 52.93	MAE: 15.30	RMSE: 24.21
Epoch 190	LOSS: 52.51	MAE: 15.17	RMSE: 23.60
Epoch 191	LOSS: 52.77	MAE: 15.24	RMSE: 23.37
Epoch 192	LOSS: 52.46	MAE: 15.53	RMSE: 24.37
Epoch 193	LOSS: 51.95	MAE: 15.03	RMSE: 23.58
Epoch 194	LOSS: 51.70	MAE: 15.36	RMSE: 23.87
Epoch 195	LOSS: 52.17	MAE: 15.08	RMSE: 23.45
Epoch 196	LOSS: 51.91	MAE: 15.16	RMSE: 23.97
Epoch 197	LOSS: 51.73	MAE: 14.97	RMSE: 23.20
Epoch 198	LOSS: 51.73	MAE: 14.86	RMSE: 22.99
Epoch 199	LOSS: 52.33	MAE: 15.33	RMSE: 23.38
Epoch 200	LOSS: 51.16	MAE: 15.47	RMSE: 24.81
Epoch 201	LOSS: 51.20	MAE: 15.08	RMSE: 23.36
Epoch 202	LOSS: 50.98	MAE: 14.92	RMSE: 23.62
Epoch 203	LOSS: 50.68	MAE: 14.82	RMSE: 23.27
Epoch 204	LOSS: 50.74	MAE: 14.85	RMSE: 23.53
Epoch 205	LOSS: 50.26	MAE: 15.05	RMSE: 24.04
Epoch 206	LOSS: 50.60	MAE: 15.00	RMSE: 23.44
Epoch 207	LOSS: 50.75	MAE: 14.76	RMSE: 22.81
Epoch 208	LOSS: 50.60	MAE: 14.73	RMSE: 23.10
Epoch 209	LOSS: 50.09	MAE: 14.61	RMSE: 23.38
Epoch 210	LOSS: 50.17	MAE: 15.02	RMSE: 23.66
Epoch 211	LOSS: 49.95	MAE: 14.73	RMSE: 23.40
Epoch 212	LOSS: 49.96	MAE: 14.81	RMSE: 23.45
Epoch 213	LOSS: 50.72	MAE: 14.91	RMSE: 22.77
Epoch 214	LOSS: 50.54	MAE: 15.04	RMSE: 22.83
Epoch 215	LOSS: 49.64	MAE: 14.78	RMSE: 23.20
Epoch 216	LOSS: 49.21	MAE: 14.64	RMSE: 22.47
Epoch 217	LOSS: 50.09	MAE: 14.71	RMSE: 23.08
Epoch 218	LOSS: 49.30	MAE: 14.88	RMSE: 23.29
Epoch 219	LOSS: 49.58	MAE: 15.46	RMSE: 23.90
Epoch 220	LOSS: 50.29	MAE: 15.55	RMSE: 24.07
Epoch 221	LOSS: 48.89	MAE: 15.24	RMSE: 25.05
Epoch 222	LOSS: 48.84	MAE: 14.42	RMSE: 23.24
Epoch 223	LOSS: 49.11	MAE: 14.53	RMSE: 22.66
Epoch 224	LOSS: 49.00	MAE: 15.47	RMSE: 24.36
Epoch 225	LOSS: 48.84	MAE: 14.77	RMSE: 23.17
Epoch 226	LOSS: 48.58	MAE: 14.89	RMSE: 24.07
Epoch 227	LOSS: 48.49	MAE: 15.05	RMSE: 24.92
Epoch 228	LOSS: 49.04	MAE: 15.28	RMSE: 24.39
Epoch 229	LOSS: 48.52	MAE: 14.34	RMSE: 22.12
Epoch 230	LOSS: 48.16	MAE: 14.51	RMSE: 23.64
Epoch 231	LOSS: 48.20	MAE: 14.53	RMSE: 23.17
Epoch 232	LOSS: 48.17	MAE: 14.47	RMSE: 22.88
Epoch 233	LOSS: 48.23	MAE: 14.31	RMSE: 22.55
Epoch 234	LOSS: 48.12	MAE: 14.37	RMSE: 22.63
Epoch 235	LOSS: 48.47	MAE: 14.79	RMSE: 22.88
Epoch 236	LOSS: 47.78	MAE: 14.18	RMSE: 22.43
