Epoch 000	LOSS: 290.50	MAE: 54.26	RMSE: 68.32
Epoch 001	LOSS: 255.99	MAE: 50.83	RMSE: 64.85
Epoch 002	LOSS: 242.99	MAE: 49.29	RMSE: 63.44
Epoch 003	LOSS: 229.72	MAE: 48.52	RMSE: 62.80
Epoch 004	LOSS: 222.74	MAE: 47.81	RMSE: 62.07
Epoch 005	LOSS: 215.98	MAE: 47.55	RMSE: 61.66
Epoch 006	LOSS: 211.09	MAE: 47.03	RMSE: 60.93
Epoch 007	LOSS: 205.28	MAE: 46.94	RMSE: 60.66
Epoch 008	LOSS: 201.56	MAE: 46.61	RMSE: 60.13
Epoch 009	LOSS: 197.23	MAE: 46.52	RMSE: 59.83
Epoch 010	LOSS: 195.47	MAE: 45.88	RMSE: 59.03
Epoch 011	LOSS: 192.91	MAE: 45.47	RMSE: 58.42
Epoch 012	LOSS: 189.36	MAE: 45.27	RMSE: 58.04
Epoch 013	LOSS: 186.53	MAE: 45.13	RMSE: 57.69
Epoch 014	LOSS: 184.09	MAE: 44.89	RMSE: 57.26
Epoch 015	LOSS: 182.88	MAE: 44.72	RMSE: 56.92
Epoch 016	LOSS: 181.16	MAE: 44.32	RMSE: 56.34
Epoch 017	LOSS: 177.95	MAE: 44.00	RMSE: 55.91
Epoch 018	LOSS: 178.02	MAE: 43.36	RMSE: 55.13
Epoch 019	LOSS: 176.41	MAE: 43.00	RMSE: 54.60
Epoch 020	LOSS: 174.12	MAE: 42.51	RMSE: 53.97
Epoch 021	LOSS: 172.39	MAE: 42.40	RMSE: 53.75
Epoch 022	LOSS: 171.91	MAE: 42.00	RMSE: 53.26
Epoch 023	LOSS: 169.46	MAE: 41.79	RMSE: 52.92
Epoch 024	LOSS: 168.51	MAE: 41.28	RMSE: 52.30
Epoch 025	LOSS: 167.10	MAE: 41.15	RMSE: 52.07
Epoch 026	LOSS: 164.83	MAE: 40.70	RMSE: 51.55
Epoch 027	LOSS: 164.92	MAE: 40.33	RMSE: 51.05
Epoch 028	LOSS: 163.51	MAE: 39.98	RMSE: 50.64
Epoch 029	LOSS: 161.69	MAE: 39.95	RMSE: 50.50
Epoch 030	LOSS: 160.23	MAE: 39.39	RMSE: 49.83
Epoch 031	LOSS: 158.58	MAE: 39.49	RMSE: 49.84
Epoch 032	LOSS: 157.36	MAE: 39.26	RMSE: 49.53
Epoch 033	LOSS: 157.68	MAE: 38.79	RMSE: 48.95
Epoch 034	LOSS: 156.21	MAE: 38.43	RMSE: 48.51
Epoch 035	LOSS: 155.26	MAE: 38.07	RMSE: 48.11
Epoch 036	LOSS: 154.14	MAE: 37.90	RMSE: 47.83
Epoch 037	LOSS: 152.86	MAE: 37.89	RMSE: 47.74
Epoch 038	LOSS: 152.32	MAE: 37.34	RMSE: 47.11
Epoch 039	LOSS: 151.28	MAE: 37.15	RMSE: 46.86
Epoch 040	LOSS: 150.20	MAE: 36.85	RMSE: 46.51
Epoch 041	LOSS: 149.12	MAE: 36.45	RMSE: 46.01
Epoch 042	LOSS: 147.83	MAE: 36.30	RMSE: 45.78
Epoch 043	LOSS: 147.53	MAE: 35.68	RMSE: 45.05
Epoch 044	LOSS: 145.94	MAE: 35.64	RMSE: 44.99
Epoch 045	LOSS: 146.04	MAE: 35.50	RMSE: 44.75
Epoch 046	LOSS: 143.86	MAE: 35.53	RMSE: 44.79
Epoch 047	LOSS: 142.69	MAE: 35.14	RMSE: 44.33
Epoch 048	LOSS: 142.87	MAE: 34.73	RMSE: 43.82
Epoch 049	LOSS: 141.18	MAE: 34.68	RMSE: 43.70
Epoch 050	LOSS: 140.30	MAE: 34.46	RMSE: 43.52
Epoch 051	LOSS: 138.93	MAE: 33.97	RMSE: 42.84
Epoch 052	LOSS: 138.79	MAE: 34.04	RMSE: 42.89
