Epoch 000	LOSS: 85.98	MAE: 54.60	RMSE: 57.99
Epoch 001	LOSS: 41.41	MAE: 51.30	RMSE: 55.65
Epoch 002	LOSS: 25.13	MAE: 48.71	RMSE: 54.64
Epoch 003	LOSS: 19.17	MAE: 48.34	RMSE: 54.68
Epoch 004	LOSS: 15.68	MAE: 48.50	RMSE: 54.81
Epoch 005	LOSS: 11.33	MAE: 47.93	RMSE: 54.78
Epoch 006	LOSS: 10.75	MAE: 48.04	RMSE: 54.85
Epoch 007	LOSS: 10.96	MAE: 48.21	RMSE: 54.91
Epoch 008	LOSS: 10.12	MAE: 48.11	RMSE: 54.91
Epoch 009	LOSS: 9.28	MAE: 48.02	RMSE: 54.90
Epoch 010	LOSS: 10.53	MAE: 47.89	RMSE: 54.81
Epoch 011	LOSS: 9.83	MAE: 47.85	RMSE: 54.81
Epoch 012	LOSS: 8.55	MAE: 47.81	RMSE: 54.79
Epoch 013	LOSS: 9.40	MAE: 48.00	RMSE: 54.79
Epoch 014	LOSS: 8.94	MAE: 47.74	RMSE: 54.71
Epoch 015	LOSS: 8.64	MAE: 47.62	RMSE: 54.62
Epoch 016	LOSS: 9.60	MAE: 47.53	RMSE: 54.51
Epoch 017	LOSS: 8.86	MAE: 47.16	RMSE: 54.13
Epoch 018	LOSS: 8.54	MAE: 46.57	RMSE: 53.66
Epoch 019	LOSS: 8.69	MAE: 46.33	RMSE: 53.43
Epoch 020	LOSS: 9.39	MAE: 46.18	RMSE: 53.19
Epoch 021	LOSS: 10.68	MAE: 46.03	RMSE: 53.10
Epoch 022	LOSS: 8.79	MAE: 46.05	RMSE: 53.21
Epoch 023	LOSS: 9.50	MAE: 46.25	RMSE: 53.36
Epoch 024	LOSS: 10.50	MAE: 45.65	RMSE: 52.88
Epoch 025	LOSS: 8.31	MAE: 45.02	RMSE: 52.64
Epoch 026	LOSS: 8.51	MAE: 44.52	RMSE: 52.29
Epoch 027	LOSS: 12.36	MAE: 44.50	RMSE: 52.14
Epoch 028	LOSS: 9.70	MAE: 44.87	RMSE: 52.27
Epoch 029	LOSS: 9.68	MAE: 45.25	RMSE: 52.38
Epoch 030	LOSS: 10.89	MAE: 44.26	RMSE: 51.91
Epoch 031	LOSS: 8.43	MAE: 43.76	RMSE: 51.55
Epoch 032	LOSS: 10.35	MAE: 43.81	RMSE: 51.44
Epoch 033	LOSS: 8.74	MAE: 43.33	RMSE: 51.10
Epoch 034	LOSS: 9.64	MAE: 43.42	RMSE: 51.19
Epoch 035	LOSS: 9.63	MAE: 45.80	RMSE: 52.80
Epoch 036	LOSS: 8.57	MAE: 46.21	RMSE: 53.26
Epoch 037	LOSS: 12.20	MAE: 46.25	RMSE: 53.04
Epoch 038	LOSS: 8.90	MAE: 44.82	RMSE: 52.30
Epoch 039	LOSS: 9.58	MAE: 44.44	RMSE: 51.99
Epoch 040	LOSS: 8.22	MAE: 44.22	RMSE: 51.90
Epoch 041	LOSS: 11.25	MAE: 45.07	RMSE: 52.22
Epoch 042	LOSS: 9.91	MAE: 45.85	RMSE: 52.76
Epoch 043	LOSS: 12.07	MAE: 45.67	RMSE: 52.42
Epoch 044	LOSS: 8.95	MAE: 44.93	RMSE: 51.95
Epoch 045	LOSS: 10.22	MAE: 44.80	RMSE: 51.86
Epoch 046	LOSS: 9.60	MAE: 44.93	RMSE: 51.92
Epoch 047	LOSS: 9.27	MAE: 44.71	RMSE: 51.71
Epoch 048	LOSS: 9.81	MAE: 44.59	RMSE: 51.50
Epoch 049	LOSS: 9.71	MAE: 44.48	RMSE: 51.37
Epoch 050	LOSS: 10.06	MAE: 44.45	RMSE: 51.34
Epoch 051	LOSS: 8.38	MAE: 43.68	RMSE: 50.43
Epoch 052	LOSS: 9.28	MAE: 41.30	RMSE: 47.81
Epoch 053	LOSS: 10.46	MAE: 39.38	RMSE: 45.26
Epoch 054	LOSS: 8.95	MAE: 34.72	RMSE: 40.67
Epoch 055	LOSS: 8.16	MAE: 35.25	RMSE: 40.78
Epoch 056	LOSS: 9.99	MAE: 35.75	RMSE: 41.25
Epoch 057	LOSS: 9.43	MAE: 35.22	RMSE: 40.82
Epoch 058	LOSS: 8.53	MAE: 30.56	RMSE: 35.85
Epoch 059	LOSS: 10.60	MAE: 26.99	RMSE: 31.88
Epoch 060	LOSS: 8.85	MAE: 22.76	RMSE: 26.93
Epoch 061	LOSS: 8.50	MAE: 22.51	RMSE: 26.60
Epoch 062	LOSS: 8.83	MAE: 30.11	RMSE: 35.61
Epoch 063	LOSS: 8.71	MAE: 25.74	RMSE: 30.46
Epoch 064	LOSS: 8.87	MAE: 13.47	RMSE: 17.31
Epoch 065	LOSS: 8.63	MAE: 8.06	RMSE: 14.61
Epoch 066	LOSS: 9.00	MAE: 11.88	RMSE: 15.96
Epoch 067	LOSS: 8.96	MAE: 13.53	RMSE: 17.33
Epoch 068	LOSS: 8.40	MAE: 12.45	RMSE: 16.56
Epoch 069	LOSS: 8.12	MAE: 16.37	RMSE: 19.74
Epoch 070	LOSS: 7.57	MAE: 23.23	RMSE: 27.46
Epoch 071	LOSS: 7.82	MAE: 25.31	RMSE: 29.87
Epoch 072	LOSS: 9.38	MAE: 22.23	RMSE: 26.25
Epoch 073	LOSS: 8.41	MAE: 13.18	RMSE: 15.97
Epoch 074	LOSS: 9.74	MAE: 7.61	RMSE: 11.05
Epoch 075	LOSS: 8.19	MAE: 6.42	RMSE: 10.31
Epoch 076	LOSS: 8.00	MAE: 8.32	RMSE: 11.72
Epoch 077	LOSS: 8.95	MAE: 11.21	RMSE: 14.37
Epoch 078	LOSS: 8.00	MAE: 9.94	RMSE: 13.05
Epoch 079	LOSS: 7.70	MAE: 6.82	RMSE: 10.30
Epoch 080	LOSS: 9.59	MAE: 9.68	RMSE: 12.40
Epoch 081	LOSS: 8.27	MAE: 11.51	RMSE: 14.23
Epoch 082	LOSS: 7.53	MAE: 11.30	RMSE: 13.99
Epoch 083	LOSS: 7.50	MAE: 11.51	RMSE: 14.16
Epoch 084	LOSS: 8.61	MAE: 7.04	RMSE: 10.35
Epoch 085	LOSS: 7.71	MAE: 7.45	RMSE: 11.10
Epoch 086	LOSS: 7.71	MAE: 7.56	RMSE: 11.52
Epoch 087	LOSS: 7.55	MAE: 14.82	RMSE: 17.47
Epoch 088	LOSS: 7.11	MAE: 17.40	RMSE: 20.34
Epoch 089	LOSS: 7.47	MAE: 17.75	RMSE: 20.60
Epoch 090	LOSS: 7.70	MAE: 17.71	RMSE: 20.61
Epoch 091	LOSS: 7.68	MAE: 17.83	RMSE: 20.75
Epoch 092	LOSS: 7.23	MAE: 17.87	RMSE: 20.84
Epoch 093	LOSS: 6.71	MAE: 18.13	RMSE: 21.10
Epoch 094	LOSS: 6.79	MAE: 18.41	RMSE: 21.38
Epoch 095	LOSS: 7.32	MAE: 18.37	RMSE: 21.46
Epoch 096	LOSS: 7.30	MAE: 15.20	RMSE: 18.06
Epoch 097	LOSS: 7.33	MAE: 11.81	RMSE: 14.54
Epoch 098	LOSS: 6.72	MAE: 10.04	RMSE: 12.82
Epoch 099	LOSS: 7.78	MAE: 14.86	RMSE: 17.59
Epoch 100	LOSS: 6.26	MAE: 16.55	RMSE: 19.45
Epoch 101	LOSS: 7.20	MAE: 9.84	RMSE: 12.66
Epoch 102	LOSS: 7.02	MAE: 7.08	RMSE: 11.06
Epoch 103	LOSS: 7.65	MAE: 7.57	RMSE: 11.46
Epoch 104	LOSS: 7.27	MAE: 12.97	RMSE: 16.26
Epoch 105	LOSS: 7.61	MAE: 16.53	RMSE: 19.94
Epoch 106	LOSS: 6.90	MAE: 12.25	RMSE: 15.43
Epoch 107	LOSS: 6.87	MAE: 9.64	RMSE: 13.00
Epoch 108	LOSS: 7.15	MAE: 6.57	RMSE: 10.31
Epoch 109	LOSS: 6.34	MAE: 11.80	RMSE: 14.45
Epoch 110	LOSS: 6.61	MAE: 11.24	RMSE: 13.79
Epoch 111	LOSS: 6.57	MAE: 9.37	RMSE: 12.27
Epoch 112	LOSS: 7.22	MAE: 10.30	RMSE: 13.05
Epoch 113	LOSS: 6.77	MAE: 13.33	RMSE: 16.01
Epoch 114	LOSS: 6.47	MAE: 15.20	RMSE: 18.10
Epoch 115	LOSS: 6.90	MAE: 16.51	RMSE: 19.49
Epoch 116	LOSS: 7.08	MAE: 17.16	RMSE: 20.36
Epoch 117	LOSS: 6.74	MAE: 14.28	RMSE: 17.00
Epoch 118	LOSS: 6.32	MAE: 10.17	RMSE: 12.83
Epoch 119	LOSS: 7.48	MAE: 8.79	RMSE: 11.47
Epoch 120	LOSS: 6.75	MAE: 8.49	RMSE: 11.23
Epoch 121	LOSS: 6.86	MAE: 8.36	RMSE: 11.13
Epoch 122	LOSS: 6.58	MAE: 6.89	RMSE: 9.98
Epoch 123	LOSS: 5.91	MAE: 6.31	RMSE: 9.60
Epoch 124	LOSS: 8.87	MAE: 7.38	RMSE: 10.23
