Epoch 000	LOSS: 109.47	MAE: 43.41	RMSE: 49.19
Epoch 001	LOSS: 50.86	MAE: 40.04	RMSE: 44.28
Epoch 002	LOSS: 33.08	MAE: 35.84	RMSE: 40.83
Epoch 003	LOSS: 26.97	MAE: 33.35	RMSE: 38.95
Epoch 004	LOSS: 18.70	MAE: 31.02	RMSE: 37.28
Epoch 005	LOSS: 16.30	MAE: 24.52	RMSE: 34.10
Epoch 006	LOSS: 16.87	MAE: 23.46	RMSE: 33.59
Epoch 007	LOSS: 14.33	MAE: 23.36	RMSE: 33.65
Epoch 008	LOSS: 13.58	MAE: 24.34	RMSE: 34.03
Epoch 009	LOSS: 15.85	MAE: 22.49	RMSE: 32.83
Epoch 010	LOSS: 12.84	MAE: 21.65	RMSE: 31.48
Epoch 011	LOSS: 14.77	MAE: 20.66	RMSE: 29.88
Epoch 012	LOSS: 12.57	MAE: 19.36	RMSE: 28.49
Epoch 013	LOSS: 11.22	MAE: 15.92	RMSE: 25.17
Epoch 014	LOSS: 18.79	MAE: 16.54	RMSE: 25.03
Epoch 015	LOSS: 11.57	MAE: 16.35	RMSE: 25.48
Epoch 016	LOSS: 13.97	MAE: 16.88	RMSE: 26.12
Epoch 017	LOSS: 13.75	MAE: 16.48	RMSE: 25.47
Epoch 018	LOSS: 12.49	MAE: 14.21	RMSE: 23.45
Epoch 019	LOSS: 13.85	MAE: 14.21	RMSE: 23.59
Epoch 020	LOSS: 12.27	MAE: 14.33	RMSE: 23.23
Epoch 021	LOSS: 18.07	MAE: 14.75	RMSE: 23.17
Epoch 022	LOSS: 12.19	MAE: 14.86	RMSE: 23.61
Epoch 023	LOSS: 10.44	MAE: 13.78	RMSE: 22.75
Epoch 024	LOSS: 12.72	MAE: 13.20	RMSE: 22.25
Epoch 025	LOSS: 14.94	MAE: 14.63	RMSE: 22.85
Epoch 026	LOSS: 11.82	MAE: 15.81	RMSE: 23.84
Epoch 027	LOSS: 13.00	MAE: 16.59	RMSE: 25.95
Epoch 028	LOSS: 11.75	MAE: 15.75	RMSE: 24.63
Epoch 029	LOSS: 12.04	MAE: 14.10	RMSE: 22.99
Epoch 030	LOSS: 11.63	MAE: 12.86	RMSE: 22.00
Epoch 031	LOSS: 14.30	MAE: 12.70	RMSE: 21.79
Epoch 032	LOSS: 11.29	MAE: 13.71	RMSE: 22.67
Epoch 033	LOSS: 11.36	MAE: 13.98	RMSE: 22.94
Epoch 034	LOSS: 12.46	MAE: 14.74	RMSE: 23.22
Epoch 035	LOSS: 11.28	MAE: 14.24	RMSE: 22.94
Epoch 036	LOSS: 13.87	MAE: 12.84	RMSE: 22.10
Epoch 037	LOSS: 10.81	MAE: 12.79	RMSE: 22.02
Epoch 038	LOSS: 10.61	MAE: 13.45	RMSE: 22.31
Epoch 039	LOSS: 14.54	MAE: 12.99	RMSE: 22.01
Epoch 040	LOSS: 10.73	MAE: 12.50	RMSE: 21.65
Epoch 041	LOSS: 11.33	MAE: 12.49	RMSE: 21.50
Epoch 042	LOSS: 11.07	MAE: 12.98	RMSE: 21.72
Epoch 043	LOSS: 11.17	MAE: 12.75	RMSE: 21.56
Epoch 044	LOSS: 10.65	MAE: 11.99	RMSE: 21.20
Epoch 045	LOSS: 9.88	MAE: 13.52	RMSE: 21.91
Epoch 046	LOSS: 10.40	MAE: 13.10	RMSE: 21.88
Epoch 047	LOSS: 10.31	MAE: 12.96	RMSE: 22.25
Epoch 048	LOSS: 13.60	MAE: 13.76	RMSE: 22.55
Epoch 049	LOSS: 12.04	MAE: 13.16	RMSE: 22.27
Epoch 050	LOSS: 16.71	MAE: 14.05	RMSE: 22.46
Epoch 051	LOSS: 12.78	MAE: 13.52	RMSE: 22.53
Epoch 052	LOSS: 11.94	MAE: 12.40	RMSE: 21.83
Epoch 053	LOSS: 12.18	MAE: 12.27	RMSE: 21.39
Epoch 054	LOSS: 14.08	MAE: 12.51	RMSE: 21.32
Epoch 055	LOSS: 15.22	MAE: 12.87	RMSE: 21.31
Epoch 056	LOSS: 11.90	MAE: 12.66	RMSE: 21.17
Epoch 057	LOSS: 10.65	MAE: 11.77	RMSE: 20.90
Epoch 058	LOSS: 11.21	MAE: 11.58	RMSE: 20.87
Epoch 059	LOSS: 10.22	MAE: 12.07	RMSE: 21.20
Epoch 060	LOSS: 10.64	MAE: 13.18	RMSE: 21.91
Epoch 061	LOSS: 16.00	MAE: 13.57	RMSE: 22.14
Epoch 062	LOSS: 11.69	MAE: 13.16	RMSE: 22.05
Epoch 063	LOSS: 10.60	MAE: 13.34	RMSE: 21.93
Epoch 064	LOSS: 10.73	MAE: 12.11	RMSE: 21.42
Epoch 065	LOSS: 12.27	MAE: 12.39	RMSE: 21.41
Epoch 066	LOSS: 11.14	MAE: 12.19	RMSE: 21.26
Epoch 067	LOSS: 10.00	MAE: 12.38	RMSE: 21.13
Epoch 068	LOSS: 11.06	MAE: 11.51	RMSE: 20.87
Epoch 069	LOSS: 16.89	MAE: 12.70	RMSE: 21.25
Epoch 070	LOSS: 10.91	MAE: 13.05	RMSE: 21.55
Epoch 071	LOSS: 12.31	MAE: 11.95	RMSE: 21.14
Epoch 072	LOSS: 11.19	MAE: 11.74	RMSE: 20.94
Epoch 073	LOSS: 9.06	MAE: 11.52	RMSE: 20.76
Epoch 074	LOSS: 9.74	MAE: 12.01	RMSE: 21.05
Epoch 075	LOSS: 11.39	MAE: 11.89	RMSE: 21.04
Epoch 076	LOSS: 11.46	MAE: 12.72	RMSE: 21.24
Epoch 077	LOSS: 11.46	MAE: 12.73	RMSE: 21.30
Epoch 078	LOSS: 10.58	MAE: 14.06	RMSE: 21.52
Epoch 079	LOSS: 11.80	MAE: 13.57	RMSE: 22.22
Epoch 080	LOSS: 10.60	MAE: 12.46	RMSE: 21.27
Epoch 081	LOSS: 11.17	MAE: 12.58	RMSE: 20.86
Epoch 082	LOSS: 12.48	MAE: 14.86	RMSE: 22.43
Epoch 083	LOSS: 12.14	MAE: 15.26	RMSE: 23.39
Epoch 084	LOSS: 14.48	MAE: 14.94	RMSE: 23.24
Epoch 085	LOSS: 10.30	MAE: 12.87	RMSE: 21.19
Epoch 086	LOSS: 10.39	MAE: 13.81	RMSE: 21.67
Epoch 087	LOSS: 9.68	MAE: 12.82	RMSE: 22.00
Epoch 088	LOSS: 10.63	MAE: 12.68	RMSE: 21.54
Epoch 089	LOSS: 10.58	MAE: 12.43	RMSE: 21.37
Epoch 090	LOSS: 9.37	MAE: 12.10	RMSE: 20.78
Epoch 091	LOSS: 10.74	MAE: 12.16	RMSE: 20.38
Epoch 092	LOSS: 11.74	MAE: 11.60	RMSE: 20.22
Epoch 093	LOSS: 11.06	MAE: 11.55	RMSE: 20.02
Epoch 094	LOSS: 10.85	MAE: 12.11	RMSE: 20.15
Epoch 095	LOSS: 11.01	MAE: 12.73	RMSE: 20.20
Epoch 096	LOSS: 10.85	MAE: 11.91	RMSE: 19.29
Epoch 097	LOSS: 12.50	MAE: 10.98	RMSE: 17.83
Epoch 098	LOSS: 9.84	MAE: 10.51	RMSE: 16.99
Epoch 099	LOSS: 10.97	MAE: 10.34	RMSE: 16.90
Epoch 100	LOSS: 10.70	MAE: 11.87	RMSE: 17.48
Epoch 101	LOSS: 10.22	MAE: 10.59	RMSE: 17.54
Epoch 102	LOSS: 9.73	MAE: 11.02	RMSE: 18.33
Epoch 103	LOSS: 10.70	MAE: 12.18	RMSE: 19.11
Epoch 104	LOSS: 9.48	MAE: 12.49	RMSE: 19.38
Epoch 105	LOSS: 9.66	MAE: 11.62	RMSE: 18.26
Epoch 106	LOSS: 9.40	MAE: 9.46	RMSE: 15.65
Epoch 107	LOSS: 9.91	MAE: 11.59	RMSE: 16.57
Epoch 108	LOSS: 9.96	MAE: 9.83	RMSE: 15.23
Epoch 109	LOSS: 10.21	MAE: 9.61	RMSE: 15.50
Epoch 110	LOSS: 9.44	MAE: 10.16	RMSE: 16.23
Epoch 111	LOSS: 9.75	MAE: 10.22	RMSE: 16.10
Epoch 112	LOSS: 9.27	MAE: 9.21	RMSE: 14.42
Epoch 113	LOSS: 9.36	MAE: 9.88	RMSE: 14.71
Epoch 114	LOSS: 11.54	MAE: 9.44	RMSE: 14.76
Epoch 115	LOSS: 9.62	MAE: 9.91	RMSE: 15.48
Epoch 116	LOSS: 8.53	MAE: 9.33	RMSE: 14.93
Epoch 117	LOSS: 9.85	MAE: 9.39	RMSE: 14.66
Epoch 118	LOSS: 9.98	MAE: 9.47	RMSE: 14.85
Epoch 119	LOSS: 9.64	MAE: 10.51	RMSE: 15.57
Epoch 120	LOSS: 9.01	MAE: 9.86	RMSE: 15.63
Epoch 121	LOSS: 10.07	MAE: 10.31	RMSE: 16.35
Epoch 122	LOSS: 9.03	MAE: 9.16	RMSE: 14.80
Epoch 123	LOSS: 9.11	MAE: 8.48	RMSE: 12.64
Epoch 124	LOSS: 8.30	MAE: 8.74	RMSE: 12.91
Epoch 125	LOSS: 8.92	MAE: 8.58	RMSE: 13.94
Epoch 126	LOSS: 13.38	MAE: 9.27	RMSE: 14.99
Epoch 127	LOSS: 8.50	MAE: 9.28	RMSE: 15.49
Epoch 128	LOSS: 8.44	MAE: 9.40	RMSE: 15.71
