Epoch 000	LOSS: 90.78	MAE: 46.18	RMSE: 50.48
Epoch 001	LOSS: 47.99	MAE: 40.28	RMSE: 44.56
Epoch 002	LOSS: 32.60	MAE: 34.12	RMSE: 39.50
Epoch 003	LOSS: 20.63	MAE: 28.74	RMSE: 36.09
Epoch 004	LOSS: 20.10	MAE: 24.10	RMSE: 34.09
Epoch 005	LOSS: 17.20	MAE: 24.55	RMSE: 34.31
Epoch 006	LOSS: 16.08	MAE: 23.18	RMSE: 33.52
Epoch 007	LOSS: 13.27	MAE: 23.02	RMSE: 33.36
Epoch 008	LOSS: 12.48	MAE: 22.60	RMSE: 32.75
Epoch 009	LOSS: 13.10	MAE: 20.70	RMSE: 30.52
Epoch 010	LOSS: 12.29	MAE: 17.15	RMSE: 26.13
Epoch 011	LOSS: 13.16	MAE: 15.13	RMSE: 24.58
Epoch 012	LOSS: 14.04	MAE: 16.26	RMSE: 24.81
Epoch 013	LOSS: 11.27	MAE: 15.28	RMSE: 24.70
Epoch 014	LOSS: 11.57	MAE: 16.42	RMSE: 25.01
Epoch 015	LOSS: 16.12	MAE: 14.76	RMSE: 24.07
Epoch 016	LOSS: 10.81	MAE: 14.02	RMSE: 23.42
Epoch 017	LOSS: 17.36	MAE: 15.00	RMSE: 23.68
Epoch 018	LOSS: 10.90	MAE: 14.12	RMSE: 23.46
Epoch 019	LOSS: 11.97	MAE: 16.65	RMSE: 25.97
Epoch 020	LOSS: 11.76	MAE: 16.76	RMSE: 26.28
Epoch 021	LOSS: 10.82	MAE: 13.50	RMSE: 22.91
Epoch 022	LOSS: 10.46	MAE: 15.24	RMSE: 24.28
Epoch 023	LOSS: 12.97	MAE: 16.58	RMSE: 25.42
Epoch 024	LOSS: 11.88	MAE: 15.57	RMSE: 24.44
Epoch 025	LOSS: 12.75	MAE: 15.40	RMSE: 24.19
Epoch 026	LOSS: 10.48	MAE: 14.73	RMSE: 23.71
Epoch 027	LOSS: 14.57	MAE: 15.19	RMSE: 23.71
Epoch 028	LOSS: 13.21	MAE: 13.85	RMSE: 22.65
Epoch 029	LOSS: 12.43	MAE: 12.85	RMSE: 21.90
