Epoch 000	LOSS: 65.56	MAE: 60.36	RMSE: 75.95
Epoch 001	LOSS: 30.86	MAE: 57.05	RMSE: 73.90
Epoch 002	LOSS: 25.89	MAE: 56.39	RMSE: 73.72
Epoch 003	LOSS: 24.54	MAE: 55.62	RMSE: 72.93
Epoch 004	LOSS: 24.49	MAE: 54.72	RMSE: 72.11
Epoch 005	LOSS: 23.87	MAE: 53.86	RMSE: 71.50
Epoch 006	LOSS: 23.43	MAE: 53.64	RMSE: 71.29
Epoch 007	LOSS: 23.58	MAE: 53.71	RMSE: 71.34
Epoch 008	LOSS: 23.51	MAE: 53.70	RMSE: 71.37
Epoch 009	LOSS: 23.63	MAE: 53.20	RMSE: 70.96
Epoch 010	LOSS: 22.98	MAE: 53.54	RMSE: 71.29
Epoch 011	LOSS: 23.17	MAE: 54.28	RMSE: 71.83
Epoch 012	LOSS: 22.47	MAE: 53.46	RMSE: 71.21
Epoch 013	LOSS: 22.26	MAE: 53.08	RMSE: 70.99
Epoch 014	LOSS: 21.68	MAE: 53.72	RMSE: 71.47
Epoch 015	LOSS: 20.22	MAE: 53.96	RMSE: 71.73
Epoch 016	LOSS: 19.42	MAE: 53.29	RMSE: 71.32
Epoch 017	LOSS: 18.17	MAE: 52.84	RMSE: 71.01
Epoch 018	LOSS: 17.91	MAE: 52.41	RMSE: 70.73
Epoch 019	LOSS: 17.62	MAE: 53.09	RMSE: 71.27
Epoch 020	LOSS: 17.43	MAE: 52.32	RMSE: 70.68
Epoch 021	LOSS: 17.30	MAE: 52.67	RMSE: 70.91
Epoch 022	LOSS: 17.26	MAE: 52.68	RMSE: 70.95
Epoch 023	LOSS: 16.87	MAE: 52.35	RMSE: 70.68
Epoch 024	LOSS: 17.11	MAE: 52.43	RMSE: 70.76
Epoch 025	LOSS: 16.73	MAE: 52.25	RMSE: 70.59
Epoch 026	LOSS: 16.54	MAE: 52.41	RMSE: 70.71
Epoch 027	LOSS: 16.25	MAE: 52.13	RMSE: 70.52
Epoch 028	LOSS: 16.43	MAE: 52.17	RMSE: 70.60
Epoch 029	LOSS: 16.03	MAE: 51.98	RMSE: 70.40
Epoch 030	LOSS: 16.27	MAE: 52.08	RMSE: 70.48
Epoch 031	LOSS: 16.14	MAE: 52.07	RMSE: 70.47
Epoch 032	LOSS: 15.68	MAE: 51.94	RMSE: 70.36
Epoch 033	LOSS: 15.59	MAE: 51.71	RMSE: 70.18
Epoch 034	LOSS: 16.23	MAE: 52.02	RMSE: 70.41
Epoch 035	LOSS: 15.91	MAE: 52.04	RMSE: 70.38
Epoch 036	LOSS: 15.69	MAE: 51.66	RMSE: 70.12
Epoch 037	LOSS: 16.21	MAE: 52.04	RMSE: 70.41
Epoch 038	LOSS: 15.44	MAE: 51.73	RMSE: 70.18
Epoch 039	LOSS: 15.27	MAE: 51.71	RMSE: 70.13
Epoch 040	LOSS: 15.31	MAE: 51.55	RMSE: 69.94
Epoch 041	LOSS: 15.37	MAE: 51.01	RMSE: 69.42
Epoch 042	LOSS: 15.64	MAE: 50.96	RMSE: 69.28
Epoch 043	LOSS: 15.86	MAE: 50.89	RMSE: 69.08
Epoch 044	LOSS: 15.89	MAE: 50.25	RMSE: 68.58
Epoch 045	LOSS: 15.58	MAE: 50.10	RMSE: 68.27
Epoch 046	LOSS: 15.63	MAE: 49.28	RMSE: 67.56
Epoch 047	LOSS: 15.14	MAE: 49.82	RMSE: 67.92
Epoch 048	LOSS: 15.17	MAE: 48.35	RMSE: 66.49
Epoch 049	LOSS: 15.02	MAE: 46.95	RMSE: 64.94
Epoch 050	LOSS: 15.46	MAE: 44.96	RMSE: 62.57
Epoch 051	LOSS: 15.08	MAE: 38.27	RMSE: 52.48
Epoch 052	LOSS: 15.12	MAE: 32.18	RMSE: 41.83
Epoch 053	LOSS: 15.39	MAE: 32.38	RMSE: 42.10
Epoch 054	LOSS: 14.99	MAE: 29.88	RMSE: 38.17
Epoch 055	LOSS: 15.15	MAE: 28.74	RMSE: 37.16
Epoch 056	LOSS: 15.04	MAE: 28.91	RMSE: 37.19
Epoch 057	LOSS: 15.03	MAE: 28.73	RMSE: 36.89
Epoch 058	LOSS: 16.22	MAE: 30.28	RMSE: 38.73
Epoch 059	LOSS: 15.47	MAE: 30.69	RMSE: 39.34
Epoch 060	LOSS: 15.15	MAE: 30.39	RMSE: 38.80
Epoch 061	LOSS: 14.90	MAE: 29.51	RMSE: 37.68
Epoch 062	LOSS: 15.48	MAE: 29.58	RMSE: 37.80
Epoch 063	LOSS: 15.23	MAE: 28.67	RMSE: 36.90
Epoch 064	LOSS: 14.85	MAE: 28.46	RMSE: 36.88
Epoch 065	LOSS: 14.72	MAE: 28.69	RMSE: 36.91
Epoch 066	LOSS: 14.76	MAE: 28.73	RMSE: 36.92
Epoch 067	LOSS: 14.76	MAE: 29.09	RMSE: 37.16
Epoch 068	LOSS: 14.83	MAE: 28.42	RMSE: 36.80
Epoch 069	LOSS: 14.80	MAE: 28.76	RMSE: 36.96
Epoch 070	LOSS: 14.52	MAE: 28.98	RMSE: 37.05
Epoch 071	LOSS: 14.67	MAE: 30.09	RMSE: 38.39
Epoch 072	LOSS: 14.60	MAE: 30.86	RMSE: 39.71
Epoch 073	LOSS: 14.63	MAE: 29.93	RMSE: 38.19
Epoch 074	LOSS: 14.49	MAE: 28.95	RMSE: 37.12
Epoch 075	LOSS: 14.57	MAE: 30.15	RMSE: 38.45
Epoch 076	LOSS: 14.41	MAE: 29.23	RMSE: 37.42
Epoch 077	LOSS: 14.29	MAE: 29.13	RMSE: 37.25
