Epoch 000	LOSS: 69.98	MAE: 46.50	RMSE: 59.69
Epoch 001	LOSS: 34.17	MAE: 34.53	RMSE: 48.64
Epoch 002	LOSS: 29.69	MAE: 28.59	RMSE: 44.20
Epoch 003	LOSS: 27.47	MAE: 27.63	RMSE: 42.84
Epoch 004	LOSS: 26.68	MAE: 22.55	RMSE: 35.51
Epoch 005	LOSS: 26.98	MAE: 20.13	RMSE: 32.72
Epoch 006	LOSS: 26.17	MAE: 22.42	RMSE: 35.38
Epoch 007	LOSS: 25.55	MAE: 20.14	RMSE: 32.29
Epoch 008	LOSS: 26.59	MAE: 20.13	RMSE: 32.12
Epoch 009	LOSS: 24.95	MAE: 20.04	RMSE: 31.90
Epoch 010	LOSS: 25.45	MAE: 18.82	RMSE: 30.72
Epoch 011	LOSS: 25.10	MAE: 19.22	RMSE: 31.06
Epoch 012	LOSS: 24.61	MAE: 18.92	RMSE: 30.59
Epoch 013	LOSS: 25.12	MAE: 18.70	RMSE: 30.44
Epoch 014	LOSS: 24.51	MAE: 18.43	RMSE: 29.98
Epoch 015	LOSS: 24.43	MAE: 18.26	RMSE: 29.77
Epoch 016	LOSS: 23.06	MAE: 18.66	RMSE: 30.37
Epoch 017	LOSS: 23.82	MAE: 18.07	RMSE: 30.13
Epoch 018	LOSS: 22.80	MAE: 18.42	RMSE: 30.41
Epoch 019	LOSS: 21.47	MAE: 17.48	RMSE: 29.23
Epoch 020	LOSS: 20.63	MAE: 17.70	RMSE: 29.69
Epoch 021	LOSS: 20.51	MAE: 16.99	RMSE: 28.69
Epoch 022	LOSS: 19.20	MAE: 17.19	RMSE: 28.76
Epoch 023	LOSS: 19.31	MAE: 17.44	RMSE: 29.37
Epoch 024	LOSS: 18.80	MAE: 16.70	RMSE: 28.30
Epoch 025	LOSS: 19.61	MAE: 16.82	RMSE: 28.61
Epoch 026	LOSS: 19.01	MAE: 16.94	RMSE: 28.74
Epoch 027	LOSS: 18.91	MAE: 16.24	RMSE: 27.87
Epoch 028	LOSS: 18.50	MAE: 16.40	RMSE: 28.29
Epoch 029	LOSS: 18.89	MAE: 16.59	RMSE: 28.44
Epoch 030	LOSS: 19.08	MAE: 16.51	RMSE: 28.24
Epoch 031	LOSS: 19.18	MAE: 16.12	RMSE: 27.83
Epoch 032	LOSS: 18.85	MAE: 16.64	RMSE: 28.12
Epoch 033	LOSS: 18.56	MAE: 16.23	RMSE: 28.01
Epoch 034	LOSS: 17.89	MAE: 16.36	RMSE: 28.28
Epoch 035	LOSS: 18.54	MAE: 16.00	RMSE: 28.04
Epoch 036	LOSS: 17.68	MAE: 16.39	RMSE: 28.60
Epoch 037	LOSS: 18.88	MAE: 16.36	RMSE: 28.45
Epoch 038	LOSS: 19.96	MAE: 16.29	RMSE: 28.27
Epoch 039	LOSS: 17.57	MAE: 16.21	RMSE: 28.50
Epoch 040	LOSS: 17.76	MAE: 16.94	RMSE: 29.23
Epoch 041	LOSS: 17.66	MAE: 16.47	RMSE: 28.56
Epoch 042	LOSS: 17.93	MAE: 15.47	RMSE: 27.35
Epoch 043	LOSS: 17.65	MAE: 15.51	RMSE: 27.34
Epoch 044	LOSS: 17.78	MAE: 15.75	RMSE: 27.40
Epoch 045	LOSS: 18.28	MAE: 15.02	RMSE: 26.64
Epoch 046	LOSS: 16.98	MAE: 16.18	RMSE: 28.70
Epoch 047	LOSS: 18.00	MAE: 15.38	RMSE: 27.31
Epoch 048	LOSS: 17.60	MAE: 15.54	RMSE: 27.44
Epoch 049	LOSS: 16.94	MAE: 15.67	RMSE: 27.78
Epoch 050	LOSS: 17.02	MAE: 15.52	RMSE: 27.73
Epoch 051	LOSS: 17.47	MAE: 15.36	RMSE: 27.36
Epoch 052	LOSS: 17.12	MAE: 14.77	RMSE: 26.43
