Epoch 000	LOSS: 117.72	MAE: 62.98	RMSE: 63.56
Epoch 001	LOSS: 115.43	MAE: 62.71	RMSE: 63.29
Epoch 002	LOSS: 115.40	MAE: 62.35	RMSE: 62.93
Epoch 003	LOSS: 114.92	MAE: 61.80	RMSE: 62.40
Epoch 004	LOSS: 114.01	MAE: 61.18	RMSE: 61.78
Epoch 005	LOSS: 112.69	MAE: 60.54	RMSE: 61.15
Epoch 006	LOSS: 112.19	MAE: 59.84	RMSE: 60.45
Epoch 007	LOSS: 110.94	MAE: 59.18	RMSE: 59.80
Epoch 008	LOSS: 109.25	MAE: 58.59	RMSE: 59.22
Epoch 009	LOSS: 108.38	MAE: 58.06	RMSE: 58.69
Epoch 010	LOSS: 107.87	MAE: 57.55	RMSE: 58.19
Epoch 011	LOSS: 106.15	MAE: 57.03	RMSE: 57.68
Epoch 012	LOSS: 105.69	MAE: 56.52	RMSE: 57.17
Epoch 013	LOSS: 104.51	MAE: 56.01	RMSE: 56.67
Epoch 014	LOSS: 103.42	MAE: 55.50	RMSE: 56.17
Epoch 015	LOSS: 102.57	MAE: 54.99	RMSE: 55.66
Epoch 016	LOSS: 101.60	MAE: 54.49	RMSE: 55.16
Epoch 017	LOSS: 100.08	MAE: 53.98	RMSE: 54.67
Epoch 018	LOSS: 99.06	MAE: 53.48	RMSE: 54.17
Epoch 019	LOSS: 99.00	MAE: 52.97	RMSE: 53.67
Epoch 020	LOSS: 97.63	MAE: 52.47	RMSE: 53.17
Epoch 021	LOSS: 96.47	MAE: 51.97	RMSE: 52.68
Epoch 022	LOSS: 95.20	MAE: 51.47	RMSE: 52.18
Epoch 023	LOSS: 94.73	MAE: 50.97	RMSE: 51.69
Epoch 024	LOSS: 93.97	MAE: 50.47	RMSE: 51.20
Epoch 025	LOSS: 92.52	MAE: 49.97	RMSE: 50.71
Epoch 026	LOSS: 92.28	MAE: 49.47	RMSE: 50.21
Epoch 027	LOSS: 91.08	MAE: 48.97	RMSE: 49.72
Epoch 028	LOSS: 90.27	MAE: 48.47	RMSE: 49.23
Epoch 029	LOSS: 89.33	MAE: 47.98	RMSE: 48.74
Epoch 030	LOSS: 87.76	MAE: 47.48	RMSE: 48.26
Epoch 031	LOSS: 86.97	MAE: 46.99	RMSE: 47.77
Epoch 032	LOSS: 86.08	MAE: 46.50	RMSE: 47.28
Epoch 033	LOSS: 85.63	MAE: 46.01	RMSE: 46.80
Epoch 034	LOSS: 84.86	MAE: 45.52	RMSE: 46.31
Epoch 035	LOSS: 82.71	MAE: 45.03	RMSE: 45.83
Epoch 036	LOSS: 82.82	MAE: 44.54	RMSE: 45.35
Epoch 037	LOSS: 81.53	MAE: 44.05	RMSE: 44.86
Epoch 038	LOSS: 80.37	MAE: 43.56	RMSE: 44.38
Epoch 039	LOSS: 79.40	MAE: 43.08	RMSE: 43.90
Epoch 040	LOSS: 78.98	MAE: 42.59	RMSE: 43.42
Epoch 041	LOSS: 77.69	MAE: 42.11	RMSE: 42.94
Epoch 042	LOSS: 76.95	MAE: 41.62	RMSE: 42.46
Epoch 043	LOSS: 75.69	MAE: 41.14	RMSE: 41.99
Epoch 044	LOSS: 74.69	MAE: 40.66	RMSE: 41.51
Epoch 045	LOSS: 74.45	MAE: 40.18	RMSE: 41.04
Epoch 046	LOSS: 73.20	MAE: 39.71	RMSE: 40.56
Epoch 047	LOSS: 71.86	MAE: 39.23	RMSE: 40.09
Epoch 048	LOSS: 70.78	MAE: 38.76	RMSE: 39.62
Epoch 049	LOSS: 70.62	MAE: 38.28	RMSE: 39.15
Epoch 050	LOSS: 69.96	MAE: 37.81	RMSE: 38.68
Epoch 051	LOSS: 68.47	MAE: 37.34	RMSE: 38.21
Epoch 052	LOSS: 67.41	MAE: 36.87	RMSE: 37.75
Epoch 053	LOSS: 66.81	MAE: 36.40	RMSE: 37.28
Epoch 054	LOSS: 65.80	MAE: 35.94	RMSE: 36.82
Epoch 055	LOSS: 65.02	MAE: 35.47	RMSE: 36.36
Epoch 056	LOSS: 64.20	MAE: 35.01	RMSE: 35.89
Epoch 057	LOSS: 63.61	MAE: 34.55	RMSE: 35.43
Epoch 058	LOSS: 62.26	MAE: 34.08	RMSE: 34.97
Epoch 059	LOSS: 61.95	MAE: 33.63	RMSE: 34.52
Epoch 060	LOSS: 60.59	MAE: 33.17	RMSE: 34.06
Epoch 061	LOSS: 59.76	MAE: 32.71	RMSE: 33.61
Epoch 062	LOSS: 58.71	MAE: 32.26	RMSE: 33.15
Epoch 063	LOSS: 58.08	MAE: 31.80	RMSE: 32.70
Epoch 064	LOSS: 57.78	MAE: 31.35	RMSE: 32.25
Epoch 065	LOSS: 56.64	MAE: 30.89	RMSE: 31.80
Epoch 066	LOSS: 55.83	MAE: 30.44	RMSE: 31.35
Epoch 067	LOSS: 54.46	MAE: 29.99	RMSE: 30.90
Epoch 068	LOSS: 53.43	MAE: 29.55	RMSE: 30.46
Epoch 069	LOSS: 53.13	MAE: 29.10	RMSE: 30.02
Epoch 070	LOSS: 52.20	MAE: 28.66	RMSE: 29.57
Epoch 071	LOSS: 51.14	MAE: 28.21	RMSE: 29.13
Epoch 072	LOSS: 50.43	MAE: 27.77	RMSE: 28.69
Epoch 073	LOSS: 49.34	MAE: 27.33	RMSE: 28.26
Epoch 074	LOSS: 49.11	MAE: 26.89	RMSE: 27.82
Epoch 075	LOSS: 48.35	MAE: 26.46	RMSE: 27.39
Epoch 076	LOSS: 47.36	MAE: 26.02	RMSE: 26.96
Epoch 077	LOSS: 46.49	MAE: 25.58	RMSE: 26.52
Epoch 078	LOSS: 45.48	MAE: 25.15	RMSE: 26.10
Epoch 079	LOSS: 44.55	MAE: 24.72	RMSE: 25.67
Epoch 080	LOSS: 43.74	MAE: 24.29	RMSE: 25.25
Epoch 081	LOSS: 43.29	MAE: 23.86	RMSE: 24.82
Epoch 082	LOSS: 42.46	MAE: 23.43	RMSE: 24.40
Epoch 083	LOSS: 41.21	MAE: 23.00	RMSE: 23.99
Epoch 084	LOSS: 40.98	MAE: 22.58	RMSE: 23.57
Epoch 085	LOSS: 40.06	MAE: 22.15	RMSE: 23.16
Epoch 086	LOSS: 39.30	MAE: 21.73	RMSE: 22.75
Epoch 087	LOSS: 38.55	MAE: 21.31	RMSE: 22.34
Epoch 088	LOSS: 37.51	MAE: 20.89	RMSE: 21.93
Epoch 089	LOSS: 36.95	MAE: 20.47	RMSE: 21.53
Epoch 090	LOSS: 36.25	MAE: 20.05	RMSE: 21.13
Epoch 091	LOSS: 35.41	MAE: 19.64	RMSE: 20.74
Epoch 092	LOSS: 34.63	MAE: 19.23	RMSE: 20.34
Epoch 093	LOSS: 33.74	MAE: 18.81	RMSE: 19.95
Epoch 094	LOSS: 33.00	MAE: 18.40	RMSE: 19.57
Epoch 095	LOSS: 32.32	MAE: 17.99	RMSE: 19.18
Epoch 096	LOSS: 31.65	MAE: 17.59	RMSE: 18.80
Epoch 097	LOSS: 30.82	MAE: 17.18	RMSE: 18.43
Epoch 098	LOSS: 30.02	MAE: 16.78	RMSE: 18.06
Epoch 099	LOSS: 29.36	MAE: 16.38	RMSE: 17.69
Epoch 100	LOSS: 28.58	MAE: 15.98	RMSE: 17.33
Epoch 101	LOSS: 27.87	MAE: 15.58	RMSE: 16.98
Epoch 102	LOSS: 27.03	MAE: 15.18	RMSE: 16.63
Epoch 103	LOSS: 26.47	MAE: 14.79	RMSE: 16.28
Epoch 104	LOSS: 25.41	MAE: 14.40	RMSE: 15.94
Epoch 105	LOSS: 24.96	MAE: 14.01	RMSE: 15.61
Epoch 106	LOSS: 24.12	MAE: 13.63	RMSE: 15.29
Epoch 107	LOSS: 23.55	MAE: 13.24	RMSE: 14.97
Epoch 108	LOSS: 22.75	MAE: 12.86	RMSE: 14.66
Epoch 109	LOSS: 22.03	MAE: 12.48	RMSE: 14.35
Epoch 110	LOSS: 21.27	MAE: 12.11	RMSE: 14.06
Epoch 111	LOSS: 20.68	MAE: 11.74	RMSE: 13.77
Epoch 112	LOSS: 19.98	MAE: 11.37	RMSE: 13.50
Epoch 113	LOSS: 19.32	MAE: 11.01	RMSE: 13.23
