Epoch 000	LOSS: 117.67	MAE: 63.01	RMSE: 63.59
Epoch 001	LOSS: 116.21	MAE: 62.79	RMSE: 63.37
Epoch 002	LOSS: 116.23	MAE: 62.51	RMSE: 63.09
Epoch 003	LOSS: 115.31	MAE: 62.12	RMSE: 62.71
Epoch 004	LOSS: 113.24	MAE: 61.54	RMSE: 62.14
Epoch 005	LOSS: 111.98	MAE: 60.84	RMSE: 61.44
Epoch 006	LOSS: 111.34	MAE: 60.07	RMSE: 60.68
Epoch 007	LOSS: 110.58	MAE: 59.31	RMSE: 59.93
Epoch 008	LOSS: 109.79	MAE: 58.68	RMSE: 59.30
Epoch 009	LOSS: 108.49	MAE: 58.13	RMSE: 58.76
Epoch 010	LOSS: 106.70	MAE: 57.60	RMSE: 58.24
Epoch 011	LOSS: 107.15	MAE: 57.09	RMSE: 57.73
Epoch 012	LOSS: 105.36	MAE: 56.58	RMSE: 57.23
Epoch 013	LOSS: 104.41	MAE: 56.07	RMSE: 56.73
Epoch 014	LOSS: 104.19	MAE: 55.57	RMSE: 56.23
Epoch 015	LOSS: 103.05	MAE: 55.06	RMSE: 55.73
Epoch 016	LOSS: 101.22	MAE: 54.55	RMSE: 55.23
Epoch 017	LOSS: 101.14	MAE: 54.05	RMSE: 54.73
Epoch 018	LOSS: 100.22	MAE: 53.55	RMSE: 54.23
Epoch 019	LOSS: 98.95	MAE: 53.04	RMSE: 53.74
Epoch 020	LOSS: 98.00	MAE: 52.54	RMSE: 53.24
Epoch 021	LOSS: 96.65	MAE: 52.04	RMSE: 52.75
Epoch 022	LOSS: 96.25	MAE: 51.54	RMSE: 52.26
Epoch 023	LOSS: 95.09	MAE: 51.04	RMSE: 51.76
Epoch 024	LOSS: 94.37	MAE: 50.54	RMSE: 51.27
Epoch 025	LOSS: 92.79	MAE: 50.04	RMSE: 50.78
Epoch 026	LOSS: 91.86	MAE: 49.55	RMSE: 50.29
Epoch 027	LOSS: 91.54	MAE: 49.05	RMSE: 49.80
Epoch 028	LOSS: 90.57	MAE: 48.55	RMSE: 49.31
Epoch 029	LOSS: 89.35	MAE: 48.06	RMSE: 48.82
Epoch 030	LOSS: 88.14	MAE: 47.56	RMSE: 48.33
Epoch 031	LOSS: 86.94	MAE: 47.07	RMSE: 47.84
Epoch 032	LOSS: 85.74	MAE: 46.58	RMSE: 47.36
Epoch 033	LOSS: 85.11	MAE: 46.09	RMSE: 46.87
Epoch 034	LOSS: 84.67	MAE: 45.60	RMSE: 46.39
Epoch 035	LOSS: 84.14	MAE: 45.11	RMSE: 45.91
Epoch 036	LOSS: 82.63	MAE: 44.62	RMSE: 45.42
Epoch 037	LOSS: 81.38	MAE: 44.13	RMSE: 44.94
Epoch 038	LOSS: 80.82	MAE: 43.64	RMSE: 44.46
Epoch 039	LOSS: 80.09	MAE: 43.16	RMSE: 43.98
Epoch 040	LOSS: 79.18	MAE: 42.67	RMSE: 43.50
Epoch 041	LOSS: 78.04	MAE: 42.19	RMSE: 43.02
Epoch 042	LOSS: 77.17	MAE: 41.71	RMSE: 42.54
Epoch 043	LOSS: 75.85	MAE: 41.23	RMSE: 42.06
Epoch 044	LOSS: 75.57	MAE: 40.75	RMSE: 41.59
Epoch 045	LOSS: 74.52	MAE: 40.27	RMSE: 41.11
Epoch 046	LOSS: 72.76	MAE: 39.79	RMSE: 40.64
Epoch 047	LOSS: 72.50	MAE: 39.32	RMSE: 40.17
Epoch 048	LOSS: 71.80	MAE: 38.84	RMSE: 39.70
Epoch 049	LOSS: 71.00	MAE: 38.37	RMSE: 39.23
Epoch 050	LOSS: 69.64	MAE: 37.90	RMSE: 38.76
Epoch 051	LOSS: 68.93	MAE: 37.43	RMSE: 38.29
Epoch 052	LOSS: 68.15	MAE: 36.96	RMSE: 37.83
Epoch 053	LOSS: 67.35	MAE: 36.49	RMSE: 37.36
Epoch 054	LOSS: 65.66	MAE: 36.02	RMSE: 36.90
Epoch 055	LOSS: 65.13	MAE: 35.56	RMSE: 36.43
Epoch 056	LOSS: 64.40	MAE: 35.09	RMSE: 35.97
Epoch 057	LOSS: 63.77	MAE: 34.63	RMSE: 35.51
Epoch 058	LOSS: 62.41	MAE: 34.17	RMSE: 35.05
Epoch 059	LOSS: 61.64	MAE: 33.71	RMSE: 34.59
Epoch 060	LOSS: 61.05	MAE: 33.25	RMSE: 34.14
Epoch 061	LOSS: 59.91	MAE: 32.79	RMSE: 33.68
Epoch 062	LOSS: 59.00	MAE: 32.33	RMSE: 33.23
Epoch 063	LOSS: 58.00	MAE: 31.88	RMSE: 32.77
Epoch 064	LOSS: 57.67	MAE: 31.43	RMSE: 32.32
Epoch 065	LOSS: 56.65	MAE: 30.97	RMSE: 31.87
Epoch 066	LOSS: 55.77	MAE: 30.53	RMSE: 31.43
Epoch 067	LOSS: 54.37	MAE: 30.08	RMSE: 30.98
Epoch 068	LOSS: 53.82	MAE: 29.63	RMSE: 30.54
Epoch 069	LOSS: 53.41	MAE: 29.18	RMSE: 30.09
Epoch 070	LOSS: 52.55	MAE: 28.74	RMSE: 29.65
Epoch 071	LOSS: 51.44	MAE: 28.30	RMSE: 29.21
Epoch 072	LOSS: 50.71	MAE: 27.85	RMSE: 28.77
Epoch 073	LOSS: 49.81	MAE: 27.41	RMSE: 28.34
Epoch 074	LOSS: 49.01	MAE: 26.97	RMSE: 27.90
Epoch 075	LOSS: 48.25	MAE: 26.53	RMSE: 27.46
Epoch 076	LOSS: 47.26	MAE: 26.10	RMSE: 27.03
Epoch 077	LOSS: 46.53	MAE: 25.66	RMSE: 26.60
Epoch 078	LOSS: 45.94	MAE: 25.23	RMSE: 26.17
Epoch 079	LOSS: 44.76	MAE: 24.80	RMSE: 25.75
Epoch 080	LOSS: 44.33	MAE: 24.37	RMSE: 25.33
Epoch 081	LOSS: 43.51	MAE: 23.94	RMSE: 24.90
Epoch 082	LOSS: 42.77	MAE: 23.51	RMSE: 24.48
Epoch 083	LOSS: 41.81	MAE: 23.08	RMSE: 24.07
Epoch 084	LOSS: 41.15	MAE: 22.65	RMSE: 23.65
Epoch 085	LOSS: 40.35	MAE: 22.23	RMSE: 23.24
Epoch 086	LOSS: 39.00	MAE: 21.81	RMSE: 22.83
Epoch 087	LOSS: 38.72	MAE: 21.39	RMSE: 22.42
Epoch 088	LOSS: 37.55	MAE: 20.97	RMSE: 22.01
