Epoch 000	LOSS: 117.73	MAE: 62.98	RMSE: 63.56
Epoch 001	LOSS: 116.50	MAE: 62.74	RMSE: 63.32
Epoch 002	LOSS: 116.04	MAE: 62.45	RMSE: 63.04
Epoch 003	LOSS: 114.90	MAE: 62.08	RMSE: 62.67
Epoch 004	LOSS: 113.92	MAE: 61.55	RMSE: 62.14
Epoch 005	LOSS: 112.41	MAE: 60.86	RMSE: 61.46
Epoch 006	LOSS: 111.80	MAE: 59.95	RMSE: 60.57
Epoch 007	LOSS: 110.91	MAE: 59.16	RMSE: 59.78
Epoch 008	LOSS: 109.85	MAE: 58.59	RMSE: 59.22
Epoch 009	LOSS: 108.00	MAE: 58.07	RMSE: 58.70
Epoch 010	LOSS: 107.61	MAE: 57.56	RMSE: 58.20
Epoch 011	LOSS: 106.50	MAE: 57.05	RMSE: 57.69
Epoch 012	LOSS: 105.92	MAE: 56.54	RMSE: 57.19
Epoch 013	LOSS: 103.80	MAE: 56.03	RMSE: 56.69
Epoch 014	LOSS: 103.35	MAE: 55.52	RMSE: 56.19
Epoch 015	LOSS: 103.11	MAE: 55.02	RMSE: 55.69
Epoch 016	LOSS: 101.46	MAE: 54.52	RMSE: 55.19
Epoch 017	LOSS: 100.68	MAE: 54.01	RMSE: 54.70
Epoch 018	LOSS: 99.39	MAE: 53.51	RMSE: 54.20
Epoch 019	LOSS: 98.45	MAE: 53.01	RMSE: 53.70
Epoch 020	LOSS: 98.25	MAE: 52.51	RMSE: 53.21
Epoch 021	LOSS: 96.98	MAE: 52.01	RMSE: 52.72
Epoch 022	LOSS: 95.86	MAE: 51.51	RMSE: 52.22
Epoch 023	LOSS: 95.08	MAE: 51.01	RMSE: 51.73
Epoch 024	LOSS: 93.53	MAE: 50.51	RMSE: 51.24
Epoch 025	LOSS: 93.35	MAE: 50.01	RMSE: 50.75
Epoch 026	LOSS: 92.10	MAE: 49.51	RMSE: 50.26
Epoch 027	LOSS: 90.83	MAE: 49.02	RMSE: 49.77
Epoch 028	LOSS: 89.62	MAE: 48.52	RMSE: 49.28
Epoch 029	LOSS: 89.43	MAE: 48.03	RMSE: 48.79
Epoch 030	LOSS: 87.53	MAE: 47.54	RMSE: 48.31
Epoch 031	LOSS: 87.71	MAE: 47.05	RMSE: 47.82
Epoch 032	LOSS: 85.90	MAE: 46.55	RMSE: 47.34
Epoch 033	LOSS: 85.45	MAE: 46.06	RMSE: 46.85
Epoch 034	LOSS: 84.01	MAE: 45.57	RMSE: 46.37
Epoch 035	LOSS: 82.94	MAE: 45.08	RMSE: 45.88
Epoch 036	LOSS: 82.49	MAE: 44.60	RMSE: 45.40
Epoch 037	LOSS: 81.57	MAE: 44.11	RMSE: 44.92
Epoch 038	LOSS: 81.10	MAE: 43.62	RMSE: 44.44
Epoch 039	LOSS: 79.89	MAE: 43.14	RMSE: 43.96
Epoch 040	LOSS: 78.32	MAE: 42.65	RMSE: 43.48
Epoch 041	LOSS: 77.36	MAE: 42.17	RMSE: 43.00
Epoch 042	LOSS: 77.37	MAE: 41.69	RMSE: 42.53
Epoch 043	LOSS: 76.61	MAE: 41.21	RMSE: 42.05
Epoch 044	LOSS: 74.89	MAE: 40.73	RMSE: 41.58
Epoch 045	LOSS: 74.27	MAE: 40.25	RMSE: 41.10
Epoch 046	LOSS: 73.55	MAE: 39.78	RMSE: 40.63
Epoch 047	LOSS: 72.49	MAE: 39.30	RMSE: 40.16
Epoch 048	LOSS: 71.25	MAE: 38.83	RMSE: 39.69
Epoch 049	LOSS: 70.44	MAE: 38.35	RMSE: 39.22
Epoch 050	LOSS: 69.67	MAE: 37.88	RMSE: 38.75
Epoch 051	LOSS: 68.61	MAE: 37.41	RMSE: 38.28
Epoch 052	LOSS: 67.93	MAE: 36.94	RMSE: 37.81
Epoch 053	LOSS: 66.69	MAE: 36.47	RMSE: 37.35
Epoch 054	LOSS: 66.03	MAE: 36.00	RMSE: 36.88
Epoch 055	LOSS: 64.79	MAE: 35.54	RMSE: 36.42
Epoch 056	LOSS: 64.60	MAE: 35.07	RMSE: 35.96
Epoch 057	LOSS: 63.34	MAE: 34.61	RMSE: 35.50
Epoch 058	LOSS: 62.83	MAE: 34.15	RMSE: 35.04
Epoch 059	LOSS: 61.84	MAE: 33.69	RMSE: 34.58
Epoch 060	LOSS: 60.63	MAE: 33.24	RMSE: 34.13
Epoch 061	LOSS: 59.89	MAE: 32.78	RMSE: 33.67
Epoch 062	LOSS: 58.69	MAE: 32.32	RMSE: 33.22
Epoch 063	LOSS: 58.60	MAE: 31.87	RMSE: 32.77
Epoch 064	LOSS: 57.53	MAE: 31.42	RMSE: 32.32
Epoch 065	LOSS: 56.68	MAE: 30.97	RMSE: 31.87
Epoch 066	LOSS: 55.56	MAE: 30.52	RMSE: 31.42
Epoch 067	LOSS: 54.56	MAE: 30.07	RMSE: 30.98
Epoch 068	LOSS: 54.14	MAE: 29.62	RMSE: 30.53
Epoch 069	LOSS: 52.73	MAE: 29.17	RMSE: 30.09
Epoch 070	LOSS: 52.26	MAE: 28.73	RMSE: 29.65
Epoch 071	LOSS: 51.73	MAE: 28.29	RMSE: 29.21
Epoch 072	LOSS: 50.87	MAE: 27.84	RMSE: 28.77
Epoch 073	LOSS: 50.12	MAE: 27.40	RMSE: 28.33
Epoch 074	LOSS: 49.26	MAE: 26.96	RMSE: 27.89
Epoch 075	LOSS: 47.90	MAE: 26.53	RMSE: 27.46
Epoch 076	LOSS: 47.78	MAE: 26.09	RMSE: 27.03
Epoch 077	LOSS: 46.72	MAE: 25.65	RMSE: 26.60
Epoch 078	LOSS: 45.63	MAE: 25.22	RMSE: 26.17
Epoch 079	LOSS: 45.20	MAE: 24.79	RMSE: 25.74
Epoch 080	LOSS: 44.33	MAE: 24.36	RMSE: 25.32
Epoch 081	LOSS: 43.50	MAE: 23.92	RMSE: 24.90
Epoch 082	LOSS: 42.70	MAE: 23.50	RMSE: 24.47
Epoch 083	LOSS: 41.36	MAE: 23.07	RMSE: 24.05
Epoch 084	LOSS: 40.93	MAE: 22.64	RMSE: 23.64
Epoch 085	LOSS: 40.21	MAE: 22.21	RMSE: 23.22
Epoch 086	LOSS: 39.66	MAE: 21.79	RMSE: 22.81
Epoch 087	LOSS: 38.55	MAE: 21.37	RMSE: 22.40
Epoch 088	LOSS: 37.66	MAE: 20.95	RMSE: 22.00
Epoch 089	LOSS: 36.83	MAE: 20.53	RMSE: 21.59
Epoch 090	LOSS: 36.16	MAE: 20.11	RMSE: 21.19
Epoch 091	LOSS: 35.71	MAE: 19.70	RMSE: 20.80
Epoch 092	LOSS: 34.87	MAE: 19.28	RMSE: 20.40
Epoch 093	LOSS: 34.01	MAE: 18.87	RMSE: 20.01
Epoch 094	LOSS: 33.24	MAE: 18.46	RMSE: 19.63
Epoch 095	LOSS: 32.26	MAE: 18.06	RMSE: 19.24
Epoch 096	LOSS: 31.48	MAE: 17.65	RMSE: 18.87
Epoch 097	LOSS: 30.74	MAE: 17.24	RMSE: 18.49
Epoch 098	LOSS: 29.98	MAE: 16.84	RMSE: 18.12
Epoch 099	LOSS: 29.42	MAE: 16.44	RMSE: 17.75
Epoch 100	LOSS: 28.44	MAE: 16.03	RMSE: 17.39
Epoch 101	LOSS: 27.86	MAE: 15.63	RMSE: 17.03
Epoch 102	LOSS: 27.25	MAE: 15.24	RMSE: 16.68
Epoch 103	LOSS: 26.25	MAE: 14.84	RMSE: 16.33
Epoch 104	LOSS: 25.68	MAE: 14.45	RMSE: 15.99
Epoch 105	LOSS: 25.00	MAE: 14.06	RMSE: 15.65
Epoch 106	LOSS: 24.24	MAE: 13.67	RMSE: 15.33
Epoch 107	LOSS: 23.49	MAE: 13.28	RMSE: 15.00
Epoch 108	LOSS: 22.81	MAE: 12.90	RMSE: 14.69
Epoch 109	LOSS: 21.96	MAE: 12.52	RMSE: 14.39
Epoch 110	LOSS: 21.27	MAE: 12.14	RMSE: 14.09
Epoch 111	LOSS: 20.68	MAE: 11.77	RMSE: 13.80
Epoch 112	LOSS: 20.07	MAE: 11.41	RMSE: 13.53
Epoch 113	LOSS: 19.36	MAE: 11.05	RMSE: 13.26
Epoch 114	LOSS: 18.75	MAE: 10.69	RMSE: 13.00
