Epoch 000	LOSS: 117.75	MAE: 62.98	RMSE: 63.56
Epoch 001	LOSS: 115.94	MAE: 62.75	RMSE: 63.33
Epoch 002	LOSS: 115.35	MAE: 62.47	RMSE: 63.06
Epoch 003	LOSS: 114.31	MAE: 62.11	RMSE: 62.71
Epoch 004	LOSS: 114.08	MAE: 61.57	RMSE: 62.18
Epoch 005	LOSS: 113.02	MAE: 60.90	RMSE: 61.51
Epoch 006	LOSS: 111.62	MAE: 60.16	RMSE: 60.77
Epoch 007	LOSS: 110.54	MAE: 59.27	RMSE: 59.90
Epoch 008	LOSS: 109.20	MAE: 58.61	RMSE: 59.24
Epoch 009	LOSS: 109.00	MAE: 58.06	RMSE: 58.70
Epoch 010	LOSS: 107.97	MAE: 57.54	RMSE: 58.18
Epoch 011	LOSS: 106.08	MAE: 57.03	RMSE: 57.68
Epoch 012	LOSS: 105.90	MAE: 56.52	RMSE: 57.18
Epoch 013	LOSS: 104.01	MAE: 56.01	RMSE: 56.68
Epoch 014	LOSS: 103.45	MAE: 55.51	RMSE: 56.18
Epoch 015	LOSS: 102.83	MAE: 55.00	RMSE: 55.68
Epoch 016	LOSS: 101.09	MAE: 54.50	RMSE: 55.18
Epoch 017	LOSS: 99.94	MAE: 53.99	RMSE: 54.68
Epoch 018	LOSS: 99.62	MAE: 53.49	RMSE: 54.19
Epoch 019	LOSS: 99.38	MAE: 52.99	RMSE: 53.69
Epoch 020	LOSS: 97.13	MAE: 52.49	RMSE: 53.20
Epoch 021	LOSS: 96.26	MAE: 51.99	RMSE: 52.70
Epoch 022	LOSS: 96.28	MAE: 51.49	RMSE: 52.21
Epoch 023	LOSS: 94.96	MAE: 50.99	RMSE: 51.72
Epoch 024	LOSS: 94.00	MAE: 50.49	RMSE: 51.22
Epoch 025	LOSS: 93.32	MAE: 49.99	RMSE: 50.73
Epoch 026	LOSS: 91.59	MAE: 49.49	RMSE: 50.24
Epoch 027	LOSS: 91.31	MAE: 49.00	RMSE: 49.75
Epoch 028	LOSS: 89.89	MAE: 48.50	RMSE: 49.26
Epoch 029	LOSS: 89.10	MAE: 48.01	RMSE: 48.77
Epoch 030	LOSS: 88.16	MAE: 47.51	RMSE: 48.29
Epoch 031	LOSS: 87.41	MAE: 47.02	RMSE: 47.80
Epoch 032	LOSS: 86.27	MAE: 46.53	RMSE: 47.31
Epoch 033	LOSS: 85.13	MAE: 46.03	RMSE: 46.83
Epoch 034	LOSS: 84.28	MAE: 45.54	RMSE: 46.34
Epoch 035	LOSS: 82.26	MAE: 45.05	RMSE: 45.86
Epoch 036	LOSS: 82.10	MAE: 44.57	RMSE: 45.38
Epoch 037	LOSS: 81.79	MAE: 44.08	RMSE: 44.90
Epoch 038	LOSS: 80.67	MAE: 43.59	RMSE: 44.42
Epoch 039	LOSS: 79.62	MAE: 43.11	RMSE: 43.94
Epoch 040	LOSS: 78.67	MAE: 42.62	RMSE: 43.46
Epoch 041	LOSS: 77.63	MAE: 42.14	RMSE: 42.98
Epoch 042	LOSS: 76.65	MAE: 41.66	RMSE: 42.50
Epoch 043	LOSS: 76.28	MAE: 41.17	RMSE: 42.02
Epoch 044	LOSS: 74.97	MAE: 40.69	RMSE: 41.55
Epoch 045	LOSS: 73.85	MAE: 40.21	RMSE: 41.07
Epoch 046	LOSS: 72.80	MAE: 39.74	RMSE: 40.60
Epoch 047	LOSS: 72.48	MAE: 39.26	RMSE: 40.12
Epoch 048	LOSS: 71.29	MAE: 38.79	RMSE: 39.65
Epoch 049	LOSS: 70.52	MAE: 38.31	RMSE: 39.18
Epoch 050	LOSS: 68.72	MAE: 37.84	RMSE: 38.71
Epoch 051	LOSS: 69.11	MAE: 37.37	RMSE: 38.25
Epoch 052	LOSS: 67.58	MAE: 36.90	RMSE: 37.78
Epoch 053	LOSS: 66.68	MAE: 36.43	RMSE: 37.31
Epoch 054	LOSS: 65.65	MAE: 35.96	RMSE: 36.85
Epoch 055	LOSS: 64.83	MAE: 35.50	RMSE: 36.38
Epoch 056	LOSS: 64.27	MAE: 35.03	RMSE: 35.92
Epoch 057	LOSS: 63.47	MAE: 34.57	RMSE: 35.46
Epoch 058	LOSS: 62.42	MAE: 34.10	RMSE: 35.00
Epoch 059	LOSS: 61.82	MAE: 33.65	RMSE: 34.54
Epoch 060	LOSS: 60.77	MAE: 33.19	RMSE: 34.09
Epoch 061	LOSS: 59.74	MAE: 32.73	RMSE: 33.63
Epoch 062	LOSS: 58.81	MAE: 32.27	RMSE: 33.18
Epoch 063	LOSS: 58.46	MAE: 31.82	RMSE: 32.73
Epoch 064	LOSS: 57.32	MAE: 31.37	RMSE: 32.28
Epoch 065	LOSS: 56.65	MAE: 30.92	RMSE: 31.83
Epoch 066	LOSS: 55.45	MAE: 30.46	RMSE: 31.38
Epoch 067	LOSS: 54.77	MAE: 30.02	RMSE: 30.93
Epoch 068	LOSS: 54.29	MAE: 29.57	RMSE: 30.49
Epoch 069	LOSS: 53.30	MAE: 29.12	RMSE: 30.05
Epoch 070	LOSS: 51.83	MAE: 28.68	RMSE: 29.60
Epoch 071	LOSS: 51.33	MAE: 28.24	RMSE: 29.17
Epoch 072	LOSS: 50.57	MAE: 27.80	RMSE: 28.73
Epoch 073	LOSS: 50.02	MAE: 27.36	RMSE: 28.29
Epoch 074	LOSS: 49.06	MAE: 26.92	RMSE: 27.86
Epoch 075	LOSS: 48.31	MAE: 26.48	RMSE: 27.43
Epoch 076	LOSS: 47.22	MAE: 26.05	RMSE: 27.00
Epoch 077	LOSS: 46.52	MAE: 25.61	RMSE: 26.57
Epoch 078	LOSS: 45.67	MAE: 25.18	RMSE: 26.14
Epoch 079	LOSS: 45.04	MAE: 24.75	RMSE: 25.71
Epoch 080	LOSS: 44.17	MAE: 24.32	RMSE: 25.29
Epoch 081	LOSS: 43.32	MAE: 23.89	RMSE: 24.87
Epoch 082	LOSS: 42.32	MAE: 23.46	RMSE: 24.44
Epoch 083	LOSS: 41.65	MAE: 23.03	RMSE: 24.03
Epoch 084	LOSS: 40.66	MAE: 22.60	RMSE: 23.61
Epoch 085	LOSS: 40.27	MAE: 22.18	RMSE: 23.20
Epoch 086	LOSS: 39.20	MAE: 21.76	RMSE: 22.79
Epoch 087	LOSS: 38.75	MAE: 21.34	RMSE: 22.38
Epoch 088	LOSS: 37.58	MAE: 20.92	RMSE: 21.98
Epoch 089	LOSS: 37.04	MAE: 20.50	RMSE: 21.57
Epoch 090	LOSS: 36.00	MAE: 20.08	RMSE: 21.17
Epoch 091	LOSS: 35.45	MAE: 19.67	RMSE: 20.78
Epoch 092	LOSS: 34.43	MAE: 19.25	RMSE: 20.38
Epoch 093	LOSS: 33.73	MAE: 18.84	RMSE: 19.99
Epoch 094	LOSS: 32.97	MAE: 18.42	RMSE: 19.60
Epoch 095	LOSS: 32.18	MAE: 18.02	RMSE: 19.22
Epoch 096	LOSS: 31.48	MAE: 17.61	RMSE: 18.84
Epoch 097	LOSS: 30.68	MAE: 17.20	RMSE: 18.46
Epoch 098	LOSS: 30.11	MAE: 16.80	RMSE: 18.09
Epoch 099	LOSS: 29.17	MAE: 16.39	RMSE: 17.72
Epoch 100	LOSS: 28.16	MAE: 15.99	RMSE: 17.36
Epoch 101	LOSS: 27.81	MAE: 15.59	RMSE: 17.00
Epoch 102	LOSS: 27.09	MAE: 15.20	RMSE: 16.65
Epoch 103	LOSS: 26.29	MAE: 14.80	RMSE: 16.31
Epoch 104	LOSS: 25.77	MAE: 14.41	RMSE: 15.97
Epoch 105	LOSS: 24.82	MAE: 14.02	RMSE: 15.63
Epoch 106	LOSS: 24.01	MAE: 13.63	RMSE: 15.31
Epoch 107	LOSS: 23.33	MAE: 13.25	RMSE: 14.99
Epoch 108	LOSS: 22.81	MAE: 12.87	RMSE: 14.68
Epoch 109	LOSS: 21.93	MAE: 12.49	RMSE: 14.37
Epoch 110	LOSS: 21.19	MAE: 12.11	RMSE: 14.08
Epoch 111	LOSS: 20.65	MAE: 11.74	RMSE: 13.79
Epoch 112	LOSS: 19.98	MAE: 11.38	RMSE: 13.51
Epoch 113	LOSS: 19.12	MAE: 11.02	RMSE: 13.25
Epoch 114	LOSS: 18.50	MAE: 10.66	RMSE: 12.99
Epoch 115	LOSS: 18.03	MAE: 10.31	RMSE: 12.75
Epoch 116	LOSS: 17.22	MAE: 9.97	RMSE: 12.51
Epoch 117	LOSS: 16.51	MAE: 9.63	RMSE: 12.29
Epoch 118	LOSS: 16.19	MAE: 9.31	RMSE: 12.08
Epoch 119	LOSS: 15.47	MAE: 8.99	RMSE: 11.88
Epoch 120	LOSS: 14.84	MAE: 8.68	RMSE: 11.70
Epoch 121	LOSS: 14.36	MAE: 8.38	RMSE: 11.53
Epoch 122	LOSS: 13.76	MAE: 8.09	RMSE: 11.37
Epoch 123	LOSS: 13.31	MAE: 7.82	RMSE: 11.23
Epoch 124	LOSS: 12.93	MAE: 7.55	RMSE: 11.10
Epoch 125	LOSS: 12.61	MAE: 7.31	RMSE: 10.98
Epoch 126	LOSS: 12.11	MAE: 7.07	RMSE: 10.88
Epoch 127	LOSS: 11.76	MAE: 6.86	RMSE: 10.79
Epoch 128	LOSS: 11.24	MAE: 6.65	RMSE: 10.71
