Epoch 000	LOSS: 120.61	MAE: 61.83	RMSE: 62.60
Epoch 001	LOSS: 119.73	MAE: 61.37	RMSE: 62.14
Epoch 002	LOSS: 118.82	MAE: 60.88	RMSE: 61.66
Epoch 003	LOSS: 117.62	MAE: 60.35	RMSE: 61.14
Epoch 004	LOSS: 116.64	MAE: 59.80	RMSE: 60.59
Epoch 005	LOSS: 115.40	MAE: 59.23	RMSE: 60.04
Epoch 006	LOSS: 113.98	MAE: 58.69	RMSE: 59.50
Epoch 007	LOSS: 113.32	MAE: 58.16	RMSE: 58.98
Epoch 008	LOSS: 112.84	MAE: 57.65	RMSE: 58.47
Epoch 009	LOSS: 111.16	MAE: 57.13	RMSE: 57.97
Epoch 010	LOSS: 110.40	MAE: 56.62	RMSE: 57.46
Epoch 011	LOSS: 109.64	MAE: 56.11	RMSE: 56.96
Epoch 012	LOSS: 108.66	MAE: 55.60	RMSE: 56.46
Epoch 013	LOSS: 107.58	MAE: 55.09	RMSE: 55.96
Epoch 014	LOSS: 105.87	MAE: 54.59	RMSE: 55.46
Epoch 015	LOSS: 105.44	MAE: 54.08	RMSE: 54.97
Epoch 016	LOSS: 104.40	MAE: 53.58	RMSE: 54.47
Epoch 017	LOSS: 103.19	MAE: 53.07	RMSE: 53.97
Epoch 018	LOSS: 102.57	MAE: 52.57	RMSE: 53.48
Epoch 019	LOSS: 101.36	MAE: 52.06	RMSE: 52.98
Epoch 020	LOSS: 100.44	MAE: 51.56	RMSE: 52.49
Epoch 021	LOSS: 99.68	MAE: 51.06	RMSE: 52.00
Epoch 022	LOSS: 98.50	MAE: 50.56	RMSE: 51.51
Epoch 023	LOSS: 97.63	MAE: 50.06	RMSE: 51.02
Epoch 024	LOSS: 96.48	MAE: 49.57	RMSE: 50.53
Epoch 025	LOSS: 95.65	MAE: 49.07	RMSE: 50.04
Epoch 026	LOSS: 94.66	MAE: 48.58	RMSE: 49.55
Epoch 027	LOSS: 93.74	MAE: 48.08	RMSE: 49.07
Epoch 028	LOSS: 92.55	MAE: 47.59	RMSE: 48.58
Epoch 029	LOSS: 91.71	MAE: 47.10	RMSE: 48.10
Epoch 030	LOSS: 90.33	MAE: 46.61	RMSE: 47.61
Epoch 031	LOSS: 89.66	MAE: 46.12	RMSE: 47.13
Epoch 032	LOSS: 88.54	MAE: 45.63	RMSE: 46.65
Epoch 033	LOSS: 87.63	MAE: 45.14	RMSE: 46.17
Epoch 034	LOSS: 86.72	MAE: 44.65	RMSE: 45.69
Epoch 035	LOSS: 85.53	MAE: 44.17	RMSE: 45.21
Epoch 036	LOSS: 84.98	MAE: 43.68	RMSE: 44.73
Epoch 037	LOSS: 83.78	MAE: 43.20	RMSE: 44.25
Epoch 038	LOSS: 82.88	MAE: 42.71	RMSE: 43.77
Epoch 039	LOSS: 82.09	MAE: 42.23	RMSE: 43.30
Epoch 040	LOSS: 81.16	MAE: 41.75	RMSE: 42.82
Epoch 041	LOSS: 80.04	MAE: 41.28	RMSE: 42.35
Epoch 042	LOSS: 78.86	MAE: 40.80	RMSE: 41.88
Epoch 043	LOSS: 78.02	MAE: 40.32	RMSE: 41.40
Epoch 044	LOSS: 77.61	MAE: 39.85	RMSE: 40.93
Epoch 045	LOSS: 76.06	MAE: 39.38	RMSE: 40.46
Epoch 046	LOSS: 75.66	MAE: 38.90	RMSE: 39.99
