Epoch 000	LOSS: 120.44	MAE: 61.86	RMSE: 62.63
Epoch 001	LOSS: 119.92	MAE: 61.40	RMSE: 62.18
Epoch 002	LOSS: 118.13	MAE: 60.92	RMSE: 61.70
Epoch 003	LOSS: 117.97	MAE: 60.42	RMSE: 61.21
Epoch 004	LOSS: 116.12	MAE: 59.88	RMSE: 60.68
Epoch 005	LOSS: 115.74	MAE: 59.33	RMSE: 60.13
Epoch 006	LOSS: 113.96	MAE: 58.79	RMSE: 59.60
Epoch 007	LOSS: 113.63	MAE: 58.27	RMSE: 59.09
Epoch 008	LOSS: 112.60	MAE: 57.75	RMSE: 58.57
Epoch 009	LOSS: 111.67	MAE: 57.22	RMSE: 58.06
Epoch 010	LOSS: 111.07	MAE: 56.70	RMSE: 57.54
Epoch 011	LOSS: 109.77	MAE: 56.18	RMSE: 57.03
Epoch 012	LOSS: 108.69	MAE: 55.67	RMSE: 56.53
Epoch 013	LOSS: 107.77	MAE: 55.15	RMSE: 56.02
Epoch 014	LOSS: 106.79	MAE: 54.64	RMSE: 55.52
Epoch 015	LOSS: 105.59	MAE: 54.13	RMSE: 55.02
Epoch 016	LOSS: 104.63	MAE: 53.63	RMSE: 54.52
Epoch 017	LOSS: 102.92	MAE: 53.12	RMSE: 54.03
Epoch 018	LOSS: 102.43	MAE: 52.62	RMSE: 53.53
Epoch 019	LOSS: 101.45	MAE: 52.12	RMSE: 53.04
Epoch 020	LOSS: 100.44	MAE: 51.61	RMSE: 52.54
Epoch 021	LOSS: 99.65	MAE: 51.11	RMSE: 52.05
Epoch 022	LOSS: 98.32	MAE: 50.61	RMSE: 51.55
Epoch 023	LOSS: 97.29	MAE: 50.11	RMSE: 51.06
Epoch 024	LOSS: 96.19	MAE: 49.61	RMSE: 50.57
Epoch 025	LOSS: 95.51	MAE: 49.11	RMSE: 50.08
Epoch 026	LOSS: 94.28	MAE: 48.61	RMSE: 49.59
Epoch 027	LOSS: 93.54	MAE: 48.12	RMSE: 49.10
Epoch 028	LOSS: 92.16	MAE: 47.62	RMSE: 48.62
Epoch 029	LOSS: 91.49	MAE: 47.13	RMSE: 48.13
Epoch 030	LOSS: 90.79	MAE: 46.64	RMSE: 47.64
Epoch 031	LOSS: 89.52	MAE: 46.15	RMSE: 47.16
Epoch 032	LOSS: 88.82	MAE: 45.66	RMSE: 46.68
Epoch 033	LOSS: 87.72	MAE: 45.17	RMSE: 46.19
Epoch 034	LOSS: 87.06	MAE: 44.68	RMSE: 45.71
Epoch 035	LOSS: 85.99	MAE: 44.19	RMSE: 45.23
