Epoch 000	LOSS: 120.99	MAE: 61.84	RMSE: 62.61
Epoch 001	LOSS: 119.49	MAE: 61.38	RMSE: 62.15
Epoch 002	LOSS: 118.81	MAE: 60.88	RMSE: 61.67
Epoch 003	LOSS: 117.22	MAE: 60.37	RMSE: 61.15
Epoch 004	LOSS: 116.24	MAE: 59.82	RMSE: 60.62
Epoch 005	LOSS: 115.30	MAE: 59.27	RMSE: 60.07
Epoch 006	LOSS: 114.32	MAE: 58.74	RMSE: 59.55
Epoch 007	LOSS: 113.50	MAE: 58.22	RMSE: 59.04
Epoch 008	LOSS: 112.79	MAE: 57.71	RMSE: 58.54
Epoch 009	LOSS: 111.73	MAE: 57.20	RMSE: 58.03
Epoch 010	LOSS: 110.39	MAE: 56.68	RMSE: 57.52
Epoch 011	LOSS: 109.01	MAE: 56.16	RMSE: 57.01
Epoch 012	LOSS: 108.71	MAE: 55.64	RMSE: 56.50
Epoch 013	LOSS: 107.48	MAE: 55.13	RMSE: 55.99
Epoch 014	LOSS: 106.63	MAE: 54.62	RMSE: 55.49
Epoch 015	LOSS: 105.69	MAE: 54.11	RMSE: 54.99
Epoch 016	LOSS: 104.18	MAE: 53.60	RMSE: 54.49
Epoch 017	LOSS: 103.47	MAE: 53.10	RMSE: 54.00
Epoch 018	LOSS: 102.49	MAE: 52.59	RMSE: 53.50
Epoch 019	LOSS: 101.63	MAE: 52.09	RMSE: 53.01
Epoch 020	LOSS: 100.43	MAE: 51.59	RMSE: 52.51
Epoch 021	LOSS: 99.20	MAE: 51.09	RMSE: 52.02
Epoch 022	LOSS: 98.27	MAE: 50.59	RMSE: 51.53
Epoch 023	LOSS: 97.62	MAE: 50.09	RMSE: 51.04
Epoch 024	LOSS: 96.35	MAE: 49.59	RMSE: 50.55
Epoch 025	LOSS: 95.80	MAE: 49.09	RMSE: 50.06
Epoch 026	LOSS: 94.27	MAE: 48.60	RMSE: 49.57
Epoch 027	LOSS: 93.48	MAE: 48.10	RMSE: 49.09
Epoch 028	LOSS: 92.67	MAE: 47.61	RMSE: 48.60
Epoch 029	LOSS: 91.78	MAE: 47.11	RMSE: 48.11
Epoch 030	LOSS: 90.73	MAE: 46.62	RMSE: 47.63
Epoch 031	LOSS: 89.78	MAE: 46.13	RMSE: 47.14
Epoch 032	LOSS: 88.52	MAE: 45.64	RMSE: 46.66
Epoch 033	LOSS: 87.95	MAE: 45.15	RMSE: 46.18
Epoch 034	LOSS: 86.87	MAE: 44.66	RMSE: 45.69
Epoch 035	LOSS: 86.05	MAE: 44.17	RMSE: 45.21
Epoch 036	LOSS: 84.49	MAE: 43.69	RMSE: 44.73
Epoch 037	LOSS: 83.66	MAE: 43.20	RMSE: 44.26
Epoch 038	LOSS: 82.94	MAE: 42.72	RMSE: 43.78
Epoch 039	LOSS: 82.00	MAE: 42.24	RMSE: 43.30
Epoch 040	LOSS: 81.06	MAE: 41.76	RMSE: 42.82
Epoch 041	LOSS: 80.13	MAE: 41.28	RMSE: 42.35
Epoch 042	LOSS: 79.26	MAE: 40.80	RMSE: 41.88
Epoch 043	LOSS: 78.06	MAE: 40.33	RMSE: 41.40
Epoch 044	LOSS: 77.31	MAE: 39.85	RMSE: 40.93
Epoch 045	LOSS: 76.19	MAE: 39.38	RMSE: 40.46
Epoch 046	LOSS: 75.39	MAE: 38.91	RMSE: 39.99
Epoch 047	LOSS: 74.06	MAE: 38.44	RMSE: 39.52
Epoch 048	LOSS: 73.74	MAE: 37.97	RMSE: 39.06
Epoch 049	LOSS: 72.53	MAE: 37.50	RMSE: 38.59
Epoch 050	LOSS: 71.32	MAE: 37.04	RMSE: 38.13
Epoch 051	LOSS: 70.60	MAE: 36.57	RMSE: 37.66
Epoch 052	LOSS: 69.99	MAE: 36.11	RMSE: 37.20
