Epoch 000	LOSS: 120.46	MAE: 61.83	RMSE: 62.60
Epoch 001	LOSS: 119.60	MAE: 61.36	RMSE: 62.14
Epoch 002	LOSS: 118.60	MAE: 60.86	RMSE: 61.64
Epoch 003	LOSS: 117.74	MAE: 60.34	RMSE: 61.13
Epoch 004	LOSS: 116.85	MAE: 59.79	RMSE: 60.59
Epoch 005	LOSS: 115.92	MAE: 59.25	RMSE: 60.05
Epoch 006	LOSS: 114.19	MAE: 58.72	RMSE: 59.53
Epoch 007	LOSS: 113.75	MAE: 58.20	RMSE: 59.02
Epoch 008	LOSS: 112.72	MAE: 57.69	RMSE: 58.51
Epoch 009	LOSS: 111.88	MAE: 57.17	RMSE: 58.01
Epoch 010	LOSS: 110.20	MAE: 56.66	RMSE: 57.50
Epoch 011	LOSS: 109.71	MAE: 56.14	RMSE: 56.99
Epoch 012	LOSS: 108.39	MAE: 55.62	RMSE: 56.48
Epoch 013	LOSS: 106.96	MAE: 55.11	RMSE: 55.98
Epoch 014	LOSS: 106.60	MAE: 54.60	RMSE: 55.47
Epoch 015	LOSS: 105.42	MAE: 54.08	RMSE: 54.97
Epoch 016	LOSS: 104.45	MAE: 53.57	RMSE: 54.47
Epoch 017	LOSS: 103.51	MAE: 53.07	RMSE: 53.97
Epoch 018	LOSS: 102.40	MAE: 52.56	RMSE: 53.47
Epoch 019	LOSS: 101.40	MAE: 52.06	RMSE: 52.98
Epoch 020	LOSS: 100.48	MAE: 51.56	RMSE: 52.49
Epoch 021	LOSS: 99.47	MAE: 51.06	RMSE: 51.99
Epoch 022	LOSS: 98.67	MAE: 50.56	RMSE: 51.50
Epoch 023	LOSS: 97.43	MAE: 50.06	RMSE: 51.01
Epoch 024	LOSS: 96.46	MAE: 49.56	RMSE: 50.52
Epoch 025	LOSS: 95.40	MAE: 49.06	RMSE: 50.03
Epoch 026	LOSS: 94.60	MAE: 48.57	RMSE: 49.55
Epoch 027	LOSS: 93.42	MAE: 48.07	RMSE: 49.06
Epoch 028	LOSS: 92.84	MAE: 47.58	RMSE: 48.57
Epoch 029	LOSS: 91.49	MAE: 47.09	RMSE: 48.09
Epoch 030	LOSS: 90.75	MAE: 46.60	RMSE: 47.60
Epoch 031	LOSS: 89.61	MAE: 46.10	RMSE: 47.12
Epoch 032	LOSS: 88.96	MAE: 45.61	RMSE: 46.64
Epoch 033	LOSS: 87.85	MAE: 45.13	RMSE: 46.15
Epoch 034	LOSS: 86.59	MAE: 44.64	RMSE: 45.67
Epoch 035	LOSS: 85.74	MAE: 44.15	RMSE: 45.19
Epoch 036	LOSS: 84.82	MAE: 43.66	RMSE: 44.71
Epoch 037	LOSS: 83.28	MAE: 43.18	RMSE: 44.23
Epoch 038	LOSS: 82.86	MAE: 42.70	RMSE: 43.75
Epoch 039	LOSS: 81.94	MAE: 42.21	RMSE: 43.27
Epoch 040	LOSS: 80.96	MAE: 41.73	RMSE: 42.80
Epoch 041	LOSS: 79.86	MAE: 41.25	RMSE: 42.32
Epoch 042	LOSS: 78.96	MAE: 40.77	RMSE: 41.85
Epoch 043	LOSS: 78.07	MAE: 40.30	RMSE: 41.37
Epoch 044	LOSS: 77.31	MAE: 39.82	RMSE: 40.90
Epoch 045	LOSS: 76.41	MAE: 39.35	RMSE: 40.43
Epoch 046	LOSS: 75.18	MAE: 38.88	RMSE: 39.97
Epoch 047	LOSS: 74.07	MAE: 38.41	RMSE: 39.50
Epoch 048	LOSS: 73.32	MAE: 37.95	RMSE: 39.03
Epoch 049	LOSS: 71.89	MAE: 37.48	RMSE: 38.57
Epoch 050	LOSS: 71.76	MAE: 37.02	RMSE: 38.10
Epoch 051	LOSS: 70.46	MAE: 36.55	RMSE: 37.64
Epoch 052	LOSS: 69.56	MAE: 36.09	RMSE: 37.18
Epoch 053	LOSS: 68.97	MAE: 35.63	RMSE: 36.72
Epoch 054	LOSS: 68.43	MAE: 35.17	RMSE: 36.26
Epoch 055	LOSS: 66.67	MAE: 34.71	RMSE: 35.80
Epoch 056	LOSS: 66.10	MAE: 34.26	RMSE: 35.34
Epoch 057	LOSS: 65.25	MAE: 33.80	RMSE: 34.88
Epoch 058	LOSS: 64.47	MAE: 33.35	RMSE: 34.43
Epoch 059	LOSS: 63.42	MAE: 32.90	RMSE: 33.97
Epoch 060	LOSS: 62.32	MAE: 32.45	RMSE: 33.52
Epoch 061	LOSS: 61.63	MAE: 32.00	RMSE: 33.07
Epoch 062	LOSS: 60.42	MAE: 31.56	RMSE: 32.62
Epoch 063	LOSS: 59.85	MAE: 31.11	RMSE: 32.17
Epoch 064	LOSS: 59.22	MAE: 30.67	RMSE: 31.73
Epoch 065	LOSS: 58.19	MAE: 30.22	RMSE: 31.28
Epoch 066	LOSS: 57.32	MAE: 29.78	RMSE: 30.84
Epoch 067	LOSS: 56.23	MAE: 29.35	RMSE: 30.40
Epoch 068	LOSS: 55.54	MAE: 28.91	RMSE: 29.96
Epoch 069	LOSS: 54.64	MAE: 28.47	RMSE: 29.52
Epoch 070	LOSS: 53.79	MAE: 28.04	RMSE: 29.08
Epoch 071	LOSS: 52.75	MAE: 27.61	RMSE: 28.65
Epoch 072	LOSS: 52.20	MAE: 27.18	RMSE: 28.21
Epoch 073	LOSS: 51.05	MAE: 26.75	RMSE: 27.78
Epoch 074	LOSS: 50.38	MAE: 26.32	RMSE: 27.36
Epoch 075	LOSS: 49.59	MAE: 25.90	RMSE: 26.93
Epoch 076	LOSS: 48.54	MAE: 25.47	RMSE: 26.50
Epoch 077	LOSS: 47.85	MAE: 25.05	RMSE: 26.08
