Epoch 000	LOSS: 120.77	MAE: 61.83	RMSE: 62.60
Epoch 001	LOSS: 119.49	MAE: 61.36	RMSE: 62.13
Epoch 002	LOSS: 118.98	MAE: 60.86	RMSE: 61.64
Epoch 003	LOSS: 117.76	MAE: 60.34	RMSE: 61.13
Epoch 004	LOSS: 116.53	MAE: 59.78	RMSE: 60.58
Epoch 005	LOSS: 115.57	MAE: 59.22	RMSE: 60.02
Epoch 006	LOSS: 114.79	MAE: 58.67	RMSE: 59.48
Epoch 007	LOSS: 113.85	MAE: 58.14	RMSE: 58.96
Epoch 008	LOSS: 112.39	MAE: 57.62	RMSE: 58.45
Epoch 009	LOSS: 111.55	MAE: 57.10	RMSE: 57.93
Epoch 010	LOSS: 110.59	MAE: 56.58	RMSE: 57.43
Epoch 011	LOSS: 109.68	MAE: 56.07	RMSE: 56.92
Epoch 012	LOSS: 108.64	MAE: 55.56	RMSE: 56.42
Epoch 013	LOSS: 107.11	MAE: 55.04	RMSE: 55.91
Epoch 014	LOSS: 106.69	MAE: 54.53	RMSE: 55.41
Epoch 015	LOSS: 105.59	MAE: 54.03	RMSE: 54.91
Epoch 016	LOSS: 104.94	MAE: 53.52	RMSE: 54.41
Epoch 017	LOSS: 103.41	MAE: 53.01	RMSE: 53.92
Epoch 018	LOSS: 102.22	MAE: 52.51	RMSE: 53.42
Epoch 019	LOSS: 101.50	MAE: 52.00	RMSE: 52.92
Epoch 020	LOSS: 100.81	MAE: 51.50	RMSE: 52.43
Epoch 021	LOSS: 99.45	MAE: 51.00	RMSE: 51.94
Epoch 022	LOSS: 98.62	MAE: 50.50	RMSE: 51.45
Epoch 023	LOSS: 97.72	MAE: 50.00	RMSE: 50.96
Epoch 024	LOSS: 96.32	MAE: 49.50	RMSE: 50.47
Epoch 025	LOSS: 95.49	MAE: 49.01	RMSE: 49.98
Epoch 026	LOSS: 94.34	MAE: 48.51	RMSE: 49.49
Epoch 027	LOSS: 93.90	MAE: 48.02	RMSE: 49.00
Epoch 028	LOSS: 92.97	MAE: 47.52	RMSE: 48.52
Epoch 029	LOSS: 91.88	MAE: 47.03	RMSE: 48.03
Epoch 030	LOSS: 90.62	MAE: 46.54	RMSE: 47.55
Epoch 031	LOSS: 88.94	MAE: 46.05	RMSE: 47.07
Epoch 032	LOSS: 88.78	MAE: 45.56	RMSE: 46.58
Epoch 033	LOSS: 88.28	MAE: 45.07	RMSE: 46.10
Epoch 034	LOSS: 86.70	MAE: 44.58	RMSE: 45.62
Epoch 035	LOSS: 85.47	MAE: 44.09	RMSE: 45.14
Epoch 036	LOSS: 84.81	MAE: 43.61	RMSE: 44.66
Epoch 037	LOSS: 83.74	MAE: 43.12	RMSE: 44.18
Epoch 038	LOSS: 82.86	MAE: 42.64	RMSE: 43.70
Epoch 039	LOSS: 81.89	MAE: 42.16	RMSE: 43.22
Epoch 040	LOSS: 80.82	MAE: 41.68	RMSE: 42.74
Epoch 041	LOSS: 79.95	MAE: 41.20	RMSE: 42.27
Epoch 042	LOSS: 79.04	MAE: 40.72	RMSE: 41.79
Epoch 043	LOSS: 77.97	MAE: 40.24	RMSE: 41.32
Epoch 044	LOSS: 77.00	MAE: 39.77	RMSE: 40.85
Epoch 045	LOSS: 76.22	MAE: 39.29	RMSE: 40.38
Epoch 046	LOSS: 75.36	MAE: 38.82	RMSE: 39.91
Epoch 047	LOSS: 74.54	MAE: 38.35	RMSE: 39.44
Epoch 048	LOSS: 73.56	MAE: 37.88	RMSE: 38.97
Epoch 049	LOSS: 72.13	MAE: 37.42	RMSE: 38.51
Epoch 050	LOSS: 71.52	MAE: 36.95	RMSE: 38.04
Epoch 051	LOSS: 70.49	MAE: 36.49	RMSE: 37.58
Epoch 052	LOSS: 69.47	MAE: 36.03	RMSE: 37.12
Epoch 053	LOSS: 68.96	MAE: 35.57	RMSE: 36.65
Epoch 054	LOSS: 67.89	MAE: 35.11	RMSE: 36.20
Epoch 055	LOSS: 66.92	MAE: 34.65	RMSE: 35.74
Epoch 056	LOSS: 66.16	MAE: 34.20	RMSE: 35.28
Epoch 057	LOSS: 65.28	MAE: 33.75	RMSE: 34.83
Epoch 058	LOSS: 64.18	MAE: 33.29	RMSE: 34.37
Epoch 059	LOSS: 63.08	MAE: 32.84	RMSE: 33.92
Epoch 060	LOSS: 62.46	MAE: 32.39	RMSE: 33.47
Epoch 061	LOSS: 61.67	MAE: 31.95	RMSE: 33.02
Epoch 062	LOSS: 60.92	MAE: 31.50	RMSE: 32.57
Epoch 063	LOSS: 59.57	MAE: 31.06	RMSE: 32.12
Epoch 064	LOSS: 58.90	MAE: 30.62	RMSE: 31.68
Epoch 065	LOSS: 58.03	MAE: 30.18	RMSE: 31.23
Epoch 066	LOSS: 57.05	MAE: 29.74	RMSE: 30.79
Epoch 067	LOSS: 56.27	MAE: 29.30	RMSE: 30.35
Epoch 068	LOSS: 55.54	MAE: 28.87	RMSE: 29.91
Epoch 069	LOSS: 54.59	MAE: 28.43	RMSE: 29.48
Epoch 070	LOSS: 53.87	MAE: 28.00	RMSE: 29.04
Epoch 071	LOSS: 52.78	MAE: 27.57	RMSE: 28.61
Epoch 072	LOSS: 51.97	MAE: 27.14	RMSE: 28.18
Epoch 073	LOSS: 51.07	MAE: 26.71	RMSE: 27.75
Epoch 074	LOSS: 50.36	MAE: 26.29	RMSE: 27.32
Epoch 075	LOSS: 49.54	MAE: 25.86	RMSE: 26.89
Epoch 076	LOSS: 48.42	MAE: 25.44	RMSE: 26.47
Epoch 077	LOSS: 47.89	MAE: 25.02	RMSE: 26.05
Epoch 078	LOSS: 47.16	MAE: 24.60	RMSE: 25.63
Epoch 079	LOSS: 46.11	MAE: 24.18	RMSE: 25.21
Epoch 080	LOSS: 45.21	MAE: 23.76	RMSE: 24.80
Epoch 081	LOSS: 44.40	MAE: 23.35	RMSE: 24.39
Epoch 082	LOSS: 43.68	MAE: 22.93	RMSE: 23.98
Epoch 083	LOSS: 42.89	MAE: 22.52	RMSE: 23.57
Epoch 084	LOSS: 41.94	MAE: 22.11	RMSE: 23.16
Epoch 085	LOSS: 41.11	MAE: 21.70	RMSE: 22.76
Epoch 086	LOSS: 40.44	MAE: 21.29	RMSE: 22.36
Epoch 087	LOSS: 39.58	MAE: 20.88	RMSE: 21.97
Epoch 088	LOSS: 38.74	MAE: 20.48	RMSE: 21.57
Epoch 089	LOSS: 37.91	MAE: 20.07	RMSE: 21.19
Epoch 090	LOSS: 37.12	MAE: 19.67	RMSE: 20.80
Epoch 091	LOSS: 36.35	MAE: 19.27	RMSE: 20.42
Epoch 092	LOSS: 35.76	MAE: 18.87	RMSE: 20.04
Epoch 093	LOSS: 34.80	MAE: 18.47	RMSE: 19.66
Epoch 094	LOSS: 33.97	MAE: 18.07	RMSE: 19.29
Epoch 095	LOSS: 33.24	MAE: 17.68	RMSE: 18.92
Epoch 096	LOSS: 32.48	MAE: 17.28	RMSE: 18.56
Epoch 097	LOSS: 31.59	MAE: 16.89	RMSE: 18.20
Epoch 098	LOSS: 30.78	MAE: 16.50	RMSE: 17.85
Epoch 099	LOSS: 30.01	MAE: 16.12	RMSE: 17.50
Epoch 100	LOSS: 29.24	MAE: 15.73	RMSE: 17.16
Epoch 101	LOSS: 28.51	MAE: 15.35	RMSE: 16.83
Epoch 102	LOSS: 27.83	MAE: 14.97	RMSE: 16.50
Epoch 103	LOSS: 26.92	MAE: 14.59	RMSE: 16.18
Epoch 104	LOSS: 26.38	MAE: 14.21	RMSE: 15.86
Epoch 105	LOSS: 25.43	MAE: 13.83	RMSE: 15.55
Epoch 106	LOSS: 24.78	MAE: 13.46	RMSE: 15.25
Epoch 107	LOSS: 24.02	MAE: 13.09	RMSE: 14.96
Epoch 108	LOSS: 23.20	MAE: 12.73	RMSE: 14.68
Epoch 109	LOSS: 22.47	MAE: 12.37	RMSE: 14.40
Epoch 110	LOSS: 21.81	MAE: 12.01	RMSE: 14.14
Epoch 111	LOSS: 21.09	MAE: 11.65	RMSE: 13.88
Epoch 112	LOSS: 20.39	MAE: 11.30	RMSE: 13.64
Epoch 113	LOSS: 19.78	MAE: 10.96	RMSE: 13.41
Epoch 114	LOSS: 19.07	MAE: 10.62	RMSE: 13.19
Epoch 115	LOSS: 18.43	MAE: 10.29	RMSE: 12.98
Epoch 116	LOSS: 17.81	MAE: 9.96	RMSE: 12.78
Epoch 117	LOSS: 17.08	MAE: 9.65	RMSE: 12.60
Epoch 118	LOSS: 16.50	MAE: 9.34	RMSE: 12.42
Epoch 119	LOSS: 15.75	MAE: 9.04	RMSE: 12.27
Epoch 120	LOSS: 15.30	MAE: 8.75	RMSE: 12.12
Epoch 121	LOSS: 14.72	MAE: 8.48	RMSE: 11.99
Epoch 122	LOSS: 14.21	MAE: 8.21	RMSE: 11.88
Epoch 123	LOSS: 13.59	MAE: 7.96	RMSE: 11.77
Epoch 124	LOSS: 13.17	MAE: 7.72	RMSE: 11.68
Epoch 125	LOSS: 12.71	MAE: 7.50	RMSE: 11.61
Epoch 126	LOSS: 12.40	MAE: 7.29	RMSE: 11.54
Epoch 127	LOSS: 11.79	MAE: 7.10	RMSE: 11.49
Epoch 128	LOSS: 11.51	MAE: 6.93	RMSE: 11.45
Epoch 129	LOSS: 11.19	MAE: 6.77	RMSE: 11.42
Epoch 130	LOSS: 10.98	MAE: 6.63	RMSE: 11.39
Epoch 131	LOSS: 10.59	MAE: 6.50	RMSE: 11.38
Epoch 132	LOSS: 10.43	MAE: 6.39	RMSE: 11.37
Epoch 133	LOSS: 10.04	MAE: 6.30	RMSE: 11.37
Epoch 134	LOSS: 9.81	MAE: 6.21	RMSE: 11.38
Epoch 135	LOSS: 9.93	MAE: 6.14	RMSE: 11.39
Epoch 136	LOSS: 9.42	MAE: 6.07	RMSE: 11.40
Epoch 137	LOSS: 9.49	MAE: 6.02	RMSE: 11.41
Epoch 138	LOSS: 9.48	MAE: 5.97	RMSE: 11.43
Epoch 139	LOSS: 9.36	MAE: 5.94	RMSE: 11.44
Epoch 140	LOSS: 9.25	MAE: 5.90	RMSE: 11.46
Epoch 141	LOSS: 9.12	MAE: 5.88	RMSE: 11.48
Epoch 142	LOSS: 9.08	MAE: 5.86	RMSE: 11.50
Epoch 143	LOSS: 8.97	MAE: 5.84	RMSE: 11.51
Epoch 144	LOSS: 9.25	MAE: 5.83	RMSE: 11.53
Epoch 145	LOSS: 8.98	MAE: 5.82	RMSE: 11.54
Epoch 146	LOSS: 8.93	MAE: 5.81	RMSE: 11.56
Epoch 147	LOSS: 8.98	MAE: 5.80	RMSE: 11.57
