Epoch 000	LOSS: 120.49	MAE: 61.86	RMSE: 62.63
Epoch 001	LOSS: 119.86	MAE: 61.39	RMSE: 62.16
Epoch 002	LOSS: 118.82	MAE: 60.89	RMSE: 61.68
Epoch 003	LOSS: 117.90	MAE: 60.37	RMSE: 61.16
Epoch 004	LOSS: 116.79	MAE: 59.82	RMSE: 60.62
Epoch 005	LOSS: 115.56	MAE: 59.26	RMSE: 60.07
Epoch 006	LOSS: 115.03	MAE: 58.73	RMSE: 59.54
Epoch 007	LOSS: 113.79	MAE: 58.21	RMSE: 59.03
Epoch 008	LOSS: 112.66	MAE: 57.69	RMSE: 58.52
Epoch 009	LOSS: 111.33	MAE: 57.17	RMSE: 58.01
Epoch 010	LOSS: 110.74	MAE: 56.65	RMSE: 57.50
Epoch 011	LOSS: 109.31	MAE: 56.14	RMSE: 56.99
Epoch 012	LOSS: 108.20	MAE: 55.63	RMSE: 56.49
Epoch 013	LOSS: 107.36	MAE: 55.12	RMSE: 55.99
Epoch 014	LOSS: 106.53	MAE: 54.61	RMSE: 55.49
Epoch 015	LOSS: 105.41	MAE: 54.10	RMSE: 54.99
Epoch 016	LOSS: 104.40	MAE: 53.59	RMSE: 54.48
Epoch 017	LOSS: 103.62	MAE: 53.09	RMSE: 53.99
Epoch 018	LOSS: 102.80	MAE: 52.58	RMSE: 53.49
Epoch 019	LOSS: 100.89	MAE: 52.08	RMSE: 53.00
Epoch 020	LOSS: 100.38	MAE: 51.58	RMSE: 52.50
Epoch 021	LOSS: 99.55	MAE: 51.08	RMSE: 52.01
Epoch 022	LOSS: 98.74	MAE: 50.58	RMSE: 51.52
Epoch 023	LOSS: 97.39	MAE: 50.08	RMSE: 51.03
Epoch 024	LOSS: 96.62	MAE: 49.58	RMSE: 50.54
Epoch 025	LOSS: 95.67	MAE: 49.08	RMSE: 50.05
Epoch 026	LOSS: 94.62	MAE: 48.58	RMSE: 49.56
Epoch 027	LOSS: 93.82	MAE: 48.08	RMSE: 49.07
Epoch 028	LOSS: 92.61	MAE: 47.59	RMSE: 48.58
Epoch 029	LOSS: 91.49	MAE: 47.10	RMSE: 48.10
Epoch 030	LOSS: 90.52	MAE: 46.60	RMSE: 47.61
Epoch 031	LOSS: 89.73	MAE: 46.11	RMSE: 47.13
Epoch 032	LOSS: 88.53	MAE: 45.62	RMSE: 46.64
Epoch 033	LOSS: 87.46	MAE: 45.13	RMSE: 46.16
Epoch 034	LOSS: 86.79	MAE: 44.65	RMSE: 45.68
Epoch 035	LOSS: 85.89	MAE: 44.16	RMSE: 45.20
Epoch 036	LOSS: 84.29	MAE: 43.67	RMSE: 44.72
Epoch 037	LOSS: 83.62	MAE: 43.19	RMSE: 44.24
Epoch 038	LOSS: 82.78	MAE: 42.71	RMSE: 43.76
Epoch 039	LOSS: 81.95	MAE: 42.23	RMSE: 43.29
