Epoch 000	LOSS: 438.82	MAE: 255.09	RMSE: 297.99
Epoch 001	LOSS: 428.99	MAE: 254.98	RMSE: 297.90
Epoch 002	LOSS: 433.94	MAE: 254.88	RMSE: 297.81
Epoch 003	LOSS: 440.93	MAE: 254.77	RMSE: 297.71
Epoch 004	LOSS: 430.12	MAE: 254.65	RMSE: 297.61
Epoch 005	LOSS: 436.52	MAE: 254.53	RMSE: 297.51
Epoch 006	LOSS: 435.19	MAE: 254.39	RMSE: 297.40
Epoch 007	LOSS: 436.72	MAE: 254.25	RMSE: 297.28
Epoch 008	LOSS: 434.71	MAE: 254.09	RMSE: 297.14
Epoch 009	LOSS: 436.35	MAE: 253.91	RMSE: 296.99
Epoch 010	LOSS: 436.50	MAE: 253.67	RMSE: 296.79
Epoch 011	LOSS: 429.40	MAE: 253.42	RMSE: 296.57
Epoch 012	LOSS: 437.04	MAE: 253.15	RMSE: 296.34
Epoch 013	LOSS: 430.45	MAE: 252.86	RMSE: 296.09
Epoch 014	LOSS: 436.17	MAE: 252.51	RMSE: 295.79
Epoch 015	LOSS: 436.45	MAE: 252.18	RMSE: 295.50
Epoch 016	LOSS: 427.00	MAE: 251.88	RMSE: 295.24
Epoch 017	LOSS: 428.64	MAE: 251.60	RMSE: 295.00
Epoch 018	LOSS: 430.04	MAE: 251.32	RMSE: 294.76
Epoch 019	LOSS: 423.17	MAE: 251.07	RMSE: 294.55
Epoch 020	LOSS: 423.48	MAE: 250.84	RMSE: 294.34
Epoch 021	LOSS: 422.02	MAE: 250.61	RMSE: 294.14
Epoch 022	LOSS: 429.79	MAE: 250.38	RMSE: 293.95
Epoch 023	LOSS: 425.16	MAE: 250.16	RMSE: 293.76
Epoch 024	LOSS: 428.82	MAE: 249.95	RMSE: 293.57
Epoch 025	LOSS: 429.33	MAE: 249.73	RMSE: 293.38
Epoch 026	LOSS: 431.35	MAE: 249.51	RMSE: 293.19
Epoch 027	LOSS: 430.92	MAE: 249.29	RMSE: 293.00
Epoch 028	LOSS: 431.42	MAE: 249.09	RMSE: 292.82
Epoch 029	LOSS: 424.44	MAE: 248.88	RMSE: 292.64
Epoch 030	LOSS: 428.92	MAE: 248.68	RMSE: 292.47
Epoch 031	LOSS: 427.96	MAE: 248.47	RMSE: 292.29
Epoch 032	LOSS: 429.13	MAE: 248.27	RMSE: 292.11
Epoch 033	LOSS: 422.01	MAE: 248.07	RMSE: 291.94
Epoch 034	LOSS: 419.90	MAE: 247.86	RMSE: 291.76
Epoch 035	LOSS: 426.40	MAE: 247.66	RMSE: 291.59
Epoch 036	LOSS: 421.26	MAE: 247.46	RMSE: 291.41
Epoch 037	LOSS: 420.04	MAE: 247.26	RMSE: 291.24
Epoch 038	LOSS: 420.06	MAE: 247.06	RMSE: 291.06
Epoch 039	LOSS: 422.82	MAE: 246.86	RMSE: 290.89
Epoch 040	LOSS: 419.40	MAE: 246.66	RMSE: 290.71
Epoch 041	LOSS: 420.09	MAE: 246.46	RMSE: 290.54
Epoch 042	LOSS: 422.76	MAE: 246.26	RMSE: 290.37
Epoch 043	LOSS: 417.19	MAE: 246.06	RMSE: 290.19
Epoch 044	LOSS: 418.56	MAE: 245.86	RMSE: 290.02
Epoch 045	LOSS: 416.11	MAE: 245.66	RMSE: 289.85
Epoch 046	LOSS: 417.66	MAE: 245.47	RMSE: 289.67
Epoch 047	LOSS: 418.11	MAE: 245.27	RMSE: 289.50
Epoch 048	LOSS: 427.37	MAE: 245.07	RMSE: 289.33
Epoch 049	LOSS: 416.94	MAE: 244.87	RMSE: 289.16
Epoch 050	LOSS: 413.93	MAE: 244.68	RMSE: 288.98
Epoch 051	LOSS: 413.59	MAE: 244.48	RMSE: 288.81
Epoch 052	LOSS: 418.26	MAE: 244.28	RMSE: 288.64
Epoch 053	LOSS: 416.49	MAE: 244.09	RMSE: 288.47
Epoch 054	LOSS: 414.70	MAE: 243.89	RMSE: 288.30
Epoch 055	LOSS: 410.48	MAE: 243.70	RMSE: 288.13
Epoch 056	LOSS: 419.04	MAE: 243.50	RMSE: 287.95
Epoch 057	LOSS: 413.69	MAE: 243.30	RMSE: 287.78
Epoch 058	LOSS: 419.34	MAE: 243.11	RMSE: 287.61
Epoch 059	LOSS: 414.80	MAE: 242.91	RMSE: 287.44
Epoch 060	LOSS: 416.26	MAE: 242.72	RMSE: 287.27
Epoch 061	LOSS: 412.45	MAE: 242.52	RMSE: 287.10
Epoch 062	LOSS: 411.57	MAE: 242.33	RMSE: 286.93
Epoch 063	LOSS: 412.27	MAE: 242.14	RMSE: 286.76
Epoch 064	LOSS: 408.65	MAE: 241.94	RMSE: 286.59
Epoch 065	LOSS: 416.55	MAE: 241.75	RMSE: 286.42
Epoch 066	LOSS: 408.09	MAE: 241.55	RMSE: 286.25
Epoch 067	LOSS: 409.93	MAE: 241.36	RMSE: 286.08
Epoch 068	LOSS: 406.58	MAE: 241.17	RMSE: 285.91
Epoch 069	LOSS: 408.49	MAE: 240.97	RMSE: 285.74
Epoch 070	LOSS: 408.15	MAE: 240.78	RMSE: 285.57
Epoch 071	LOSS: 410.95	MAE: 240.59	RMSE: 285.40
