Epoch 000	LOSS: 441.94	MAE: 255.11	RMSE: 297.99
Epoch 001	LOSS: 437.77	MAE: 255.02	RMSE: 297.90
Epoch 002	LOSS: 431.86	MAE: 254.93	RMSE: 297.82
Epoch 003	LOSS: 439.00	MAE: 254.84	RMSE: 297.74
Epoch 004	LOSS: 433.21	MAE: 254.74	RMSE: 297.66
Epoch 005	LOSS: 439.68	MAE: 254.64	RMSE: 297.57
Epoch 006	LOSS: 433.36	MAE: 254.52	RMSE: 297.47
Epoch 007	LOSS: 432.54	MAE: 254.39	RMSE: 297.36
Epoch 008	LOSS: 438.77	MAE: 254.25	RMSE: 297.24
Epoch 009	LOSS: 434.20	MAE: 254.09	RMSE: 297.10
Epoch 010	LOSS: 429.78	MAE: 253.91	RMSE: 296.95
Epoch 011	LOSS: 435.47	MAE: 253.72	RMSE: 296.78
Epoch 012	LOSS: 430.60	MAE: 253.50	RMSE: 296.59
Epoch 013	LOSS: 430.79	MAE: 253.24	RMSE: 296.37
Epoch 014	LOSS: 428.35	MAE: 252.95	RMSE: 296.12
Epoch 015	LOSS: 425.07	MAE: 252.63	RMSE: 295.84
Epoch 016	LOSS: 422.57	MAE: 252.28	RMSE: 295.54
Epoch 017	LOSS: 433.19	MAE: 251.92	RMSE: 295.23
Epoch 018	LOSS: 432.70	MAE: 251.57	RMSE: 294.93
Epoch 019	LOSS: 429.55	MAE: 251.25	RMSE: 294.65
Epoch 020	LOSS: 427.53	MAE: 250.96	RMSE: 294.40
Epoch 021	LOSS: 424.96	MAE: 250.71	RMSE: 294.18
Epoch 022	LOSS: 429.30	MAE: 250.48	RMSE: 293.98
Epoch 023	LOSS: 433.14	MAE: 250.27	RMSE: 293.80
Epoch 024	LOSS: 422.59	MAE: 250.05	RMSE: 293.61
Epoch 025	LOSS: 426.08	MAE: 249.84	RMSE: 293.43
Epoch 026	LOSS: 425.59	MAE: 249.64	RMSE: 293.25
Epoch 027	LOSS: 422.22	MAE: 249.43	RMSE: 293.07
Epoch 028	LOSS: 429.57	MAE: 249.22	RMSE: 292.89
Epoch 029	LOSS: 430.84	MAE: 249.02	RMSE: 292.71
Epoch 030	LOSS: 426.32	MAE: 248.81	RMSE: 292.53
Epoch 031	LOSS: 422.02	MAE: 248.61	RMSE: 292.36
Epoch 032	LOSS: 429.60	MAE: 248.41	RMSE: 292.18
Epoch 033	LOSS: 424.02	MAE: 248.20	RMSE: 292.00
Epoch 034	LOSS: 425.93	MAE: 248.00	RMSE: 291.83
Epoch 035	LOSS: 421.83	MAE: 247.80	RMSE: 291.65
Epoch 036	LOSS: 420.82	MAE: 247.60	RMSE: 291.48
Epoch 037	LOSS: 424.35	MAE: 247.40	RMSE: 291.30
Epoch 038	LOSS: 423.19	MAE: 247.19	RMSE: 291.13
Epoch 039	LOSS: 427.66	MAE: 246.99	RMSE: 290.95
Epoch 040	LOSS: 421.98	MAE: 246.79	RMSE: 290.78
Epoch 041	LOSS: 418.85	MAE: 246.59	RMSE: 290.60
Epoch 042	LOSS: 423.11	MAE: 246.39	RMSE: 290.43
Epoch 043	LOSS: 418.24	MAE: 246.19	RMSE: 290.25
Epoch 044	LOSS: 412.84	MAE: 245.99	RMSE: 290.08
Epoch 045	LOSS: 412.90	MAE: 245.79	RMSE: 289.91
Epoch 046	LOSS: 418.40	MAE: 245.60	RMSE: 289.73
Epoch 047	LOSS: 418.95	MAE: 245.40	RMSE: 289.56
Epoch 048	LOSS: 421.27	MAE: 245.20	RMSE: 289.39
Epoch 049	LOSS: 412.29	MAE: 245.00	RMSE: 289.21
Epoch 050	LOSS: 412.60	MAE: 244.80	RMSE: 289.04
Epoch 051	LOSS: 418.11	MAE: 244.61	RMSE: 288.87
Epoch 052	LOSS: 415.00	MAE: 244.41	RMSE: 288.70
Epoch 053	LOSS: 411.27	MAE: 244.21	RMSE: 288.52
Epoch 054	LOSS: 411.95	MAE: 244.02	RMSE: 288.35
Epoch 055	LOSS: 418.56	MAE: 243.82	RMSE: 288.18
Epoch 056	LOSS: 414.28	MAE: 243.63	RMSE: 288.01
Epoch 057	LOSS: 409.53	MAE: 243.43	RMSE: 287.84
Epoch 058	LOSS: 417.81	MAE: 243.23	RMSE: 287.67
