Epoch 000	LOSS: 434.31	MAE: 255.07	RMSE: 297.95
Epoch 001	LOSS: 431.36	MAE: 254.96	RMSE: 297.86
Epoch 002	LOSS: 441.33	MAE: 254.85	RMSE: 297.77
Epoch 003	LOSS: 426.73	MAE: 254.73	RMSE: 297.67
Epoch 004	LOSS: 431.15	MAE: 254.61	RMSE: 297.57
Epoch 005	LOSS: 437.11	MAE: 254.49	RMSE: 297.47
Epoch 006	LOSS: 436.16	MAE: 254.37	RMSE: 297.37
Epoch 007	LOSS: 425.57	MAE: 254.24	RMSE: 297.25
Epoch 008	LOSS: 430.24	MAE: 254.09	RMSE: 297.13
Epoch 009	LOSS: 427.12	MAE: 253.93	RMSE: 297.00
Epoch 010	LOSS: 436.29	MAE: 253.75	RMSE: 296.83
Epoch 011	LOSS: 430.39	MAE: 253.54	RMSE: 296.65
Epoch 012	LOSS: 434.34	MAE: 253.29	RMSE: 296.44
Epoch 013	LOSS: 434.79	MAE: 253.02	RMSE: 296.20
Epoch 014	LOSS: 426.63	MAE: 252.70	RMSE: 295.93
Epoch 015	LOSS: 434.04	MAE: 252.36	RMSE: 295.63
Epoch 016	LOSS: 427.55	MAE: 251.99	RMSE: 295.31
Epoch 017	LOSS: 430.45	MAE: 251.62	RMSE: 294.99
Epoch 018	LOSS: 432.06	MAE: 251.29	RMSE: 294.71
Epoch 019	LOSS: 429.86	MAE: 251.00	RMSE: 294.45
Epoch 020	LOSS: 431.24	MAE: 250.74	RMSE: 294.23
Epoch 021	LOSS: 428.63	MAE: 250.51	RMSE: 294.03
Epoch 022	LOSS: 427.65	MAE: 250.28	RMSE: 293.83
Epoch 023	LOSS: 423.25	MAE: 250.07	RMSE: 293.65
Epoch 024	LOSS: 432.56	MAE: 249.86	RMSE: 293.47
Epoch 025	LOSS: 434.27	MAE: 249.65	RMSE: 293.29
Epoch 026	LOSS: 428.03	MAE: 249.45	RMSE: 293.11
Epoch 027	LOSS: 421.11	MAE: 249.24	RMSE: 292.93
Epoch 028	LOSS: 427.59	MAE: 249.04	RMSE: 292.75
Epoch 029	LOSS: 426.20	MAE: 248.83	RMSE: 292.57
Epoch 030	LOSS: 414.45	MAE: 248.63	RMSE: 292.40
Epoch 031	LOSS: 424.82	MAE: 248.43	RMSE: 292.22
Epoch 032	LOSS: 425.34	MAE: 248.22	RMSE: 292.05
Epoch 033	LOSS: 421.06	MAE: 248.02	RMSE: 291.87
Epoch 034	LOSS: 423.32	MAE: 247.82	RMSE: 291.70
Epoch 035	LOSS: 424.79	MAE: 247.62	RMSE: 291.52
Epoch 036	LOSS: 415.55	MAE: 247.42	RMSE: 291.35
Epoch 037	LOSS: 420.66	MAE: 247.22	RMSE: 291.17
Epoch 038	LOSS: 424.74	MAE: 247.02	RMSE: 291.00
Epoch 039	LOSS: 423.09	MAE: 246.82	RMSE: 290.83
Epoch 040	LOSS: 424.21	MAE: 246.62	RMSE: 290.65
Epoch 041	LOSS: 425.23	MAE: 246.42	RMSE: 290.48
Epoch 042	LOSS: 411.78	MAE: 246.23	RMSE: 290.30
Epoch 043	LOSS: 419.71	MAE: 246.03	RMSE: 290.13
Epoch 044	LOSS: 417.17	MAE: 245.83	RMSE: 289.96
Epoch 045	LOSS: 416.34	MAE: 245.63	RMSE: 289.79
Epoch 046	LOSS: 421.83	MAE: 245.43	RMSE: 289.61
Epoch 047	LOSS: 420.92	MAE: 245.24	RMSE: 289.44
Epoch 048	LOSS: 427.11	MAE: 245.04	RMSE: 289.27
Epoch 049	LOSS: 414.34	MAE: 244.84	RMSE: 289.10
Epoch 050	LOSS: 419.20	MAE: 244.65	RMSE: 288.93
Epoch 051	LOSS: 413.86	MAE: 244.45	RMSE: 288.75
Epoch 052	LOSS: 415.67	MAE: 244.25	RMSE: 288.58
Epoch 053	LOSS: 415.87	MAE: 244.06	RMSE: 288.41
Epoch 054	LOSS: 417.21	MAE: 243.86	RMSE: 288.24
Epoch 055	LOSS: 413.40	MAE: 243.67	RMSE: 288.07
Epoch 056	LOSS: 414.28	MAE: 243.47	RMSE: 287.90
Epoch 057	LOSS: 418.47	MAE: 243.28	RMSE: 287.73
Epoch 058	LOSS: 415.56	MAE: 243.08	RMSE: 287.56
Epoch 059	LOSS: 407.95	MAE: 242.89	RMSE: 287.38
Epoch 060	LOSS: 409.46	MAE: 242.69	RMSE: 287.21
Epoch 061	LOSS: 414.30	MAE: 242.50	RMSE: 287.04
Epoch 062	LOSS: 414.68	MAE: 242.30	RMSE: 286.87
Epoch 063	LOSS: 402.02	MAE: 242.11	RMSE: 286.70
Epoch 064	LOSS: 416.13	MAE: 241.92	RMSE: 286.53
Epoch 065	LOSS: 412.06	MAE: 241.72	RMSE: 286.36
Epoch 066	LOSS: 407.87	MAE: 241.53	RMSE: 286.19
Epoch 067	LOSS: 412.01	MAE: 241.34	RMSE: 286.02
Epoch 068	LOSS: 410.10	MAE: 241.14	RMSE: 285.85
Epoch 069	LOSS: 410.23	MAE: 240.95	RMSE: 285.68
Epoch 070	LOSS: 411.50	MAE: 240.76	RMSE: 285.52
Epoch 071	LOSS: 409.79	MAE: 240.56	RMSE: 285.35
Epoch 072	LOSS: 404.90	MAE: 240.37	RMSE: 285.18
Epoch 073	LOSS: 405.65	MAE: 240.18	RMSE: 285.01
Epoch 074	LOSS: 413.02	MAE: 239.99	RMSE: 284.84
Epoch 075	LOSS: 401.01	MAE: 239.79	RMSE: 284.67
Epoch 076	LOSS: 406.38	MAE: 239.60	RMSE: 284.50
Epoch 077	LOSS: 400.80	MAE: 239.41	RMSE: 284.33
Epoch 078	LOSS: 418.84	MAE: 239.22	RMSE: 284.17
Epoch 079	LOSS: 405.14	MAE: 239.03	RMSE: 284.00
