Epoch 000	LOSS: 439.75	MAE: 255.03	RMSE: 297.93
Epoch 001	LOSS: 435.57	MAE: 254.92	RMSE: 297.84
Epoch 002	LOSS: 433.39	MAE: 254.81	RMSE: 297.75
Epoch 003	LOSS: 433.20	MAE: 254.70	RMSE: 297.65
Epoch 004	LOSS: 424.38	MAE: 254.58	RMSE: 297.55
Epoch 005	LOSS: 440.57	MAE: 254.46	RMSE: 297.45
Epoch 006	LOSS: 432.82	MAE: 254.34	RMSE: 297.35
Epoch 007	LOSS: 428.71	MAE: 254.20	RMSE: 297.23
Epoch 008	LOSS: 432.57	MAE: 254.05	RMSE: 297.11
Epoch 009	LOSS: 432.70	MAE: 253.89	RMSE: 296.97
Epoch 010	LOSS: 431.95	MAE: 253.70	RMSE: 296.80
Epoch 011	LOSS: 426.39	MAE: 253.48	RMSE: 296.61
Epoch 012	LOSS: 429.61	MAE: 253.23	RMSE: 296.40
Epoch 013	LOSS: 431.13	MAE: 252.94	RMSE: 296.15
Epoch 014	LOSS: 436.77	MAE: 252.64	RMSE: 295.89
Epoch 015	LOSS: 429.78	MAE: 252.31	RMSE: 295.61
Epoch 016	LOSS: 430.58	MAE: 251.96	RMSE: 295.30
Epoch 017	LOSS: 427.36	MAE: 251.61	RMSE: 295.00
Epoch 018	LOSS: 425.84	MAE: 251.28	RMSE: 294.71
Epoch 019	LOSS: 428.05	MAE: 250.99	RMSE: 294.46
Epoch 020	LOSS: 431.32	MAE: 250.73	RMSE: 294.24
Epoch 021	LOSS: 430.02	MAE: 250.50	RMSE: 294.04
Epoch 022	LOSS: 424.39	MAE: 250.28	RMSE: 293.85
Epoch 023	LOSS: 430.14	MAE: 250.07	RMSE: 293.66
Epoch 024	LOSS: 430.48	MAE: 249.86	RMSE: 293.48
Epoch 025	LOSS: 427.89	MAE: 249.66	RMSE: 293.31
Epoch 026	LOSS: 425.70	MAE: 249.45	RMSE: 293.13
Epoch 027	LOSS: 413.67	MAE: 249.25	RMSE: 292.95
Epoch 028	LOSS: 425.58	MAE: 249.05	RMSE: 292.78
Epoch 029	LOSS: 427.35	MAE: 248.84	RMSE: 292.60
Epoch 030	LOSS: 428.63	MAE: 248.64	RMSE: 292.42
Epoch 031	LOSS: 427.52	MAE: 248.44	RMSE: 292.25
Epoch 032	LOSS: 419.92	MAE: 248.24	RMSE: 292.07
Epoch 033	LOSS: 423.86	MAE: 248.04	RMSE: 291.90
Epoch 034	LOSS: 429.67	MAE: 247.84	RMSE: 291.73
Epoch 035	LOSS: 424.10	MAE: 247.64	RMSE: 291.55
Epoch 036	LOSS: 421.73	MAE: 247.44	RMSE: 291.38
Epoch 037	LOSS: 416.84	MAE: 247.24	RMSE: 291.20
Epoch 038	LOSS: 424.89	MAE: 247.04	RMSE: 291.03
Epoch 039	LOSS: 423.97	MAE: 246.84	RMSE: 290.86
Epoch 040	LOSS: 424.84	MAE: 246.64	RMSE: 290.68
Epoch 041	LOSS: 432.49	MAE: 246.44	RMSE: 290.51
Epoch 042	LOSS: 422.21	MAE: 246.25	RMSE: 290.34
Epoch 043	LOSS: 420.78	MAE: 246.05	RMSE: 290.17
Epoch 044	LOSS: 422.29	MAE: 245.85	RMSE: 290.00
Epoch 045	LOSS: 411.96	MAE: 245.66	RMSE: 289.82
Epoch 046	LOSS: 417.65	MAE: 245.46	RMSE: 289.65
Epoch 047	LOSS: 412.86	MAE: 245.26	RMSE: 289.48
Epoch 048	LOSS: 421.12	MAE: 245.07	RMSE: 289.31
Epoch 049	LOSS: 413.40	MAE: 244.87	RMSE: 289.14
Epoch 050	LOSS: 415.20	MAE: 244.68	RMSE: 288.97
Epoch 051	LOSS: 419.52	MAE: 244.48	RMSE: 288.80
Epoch 052	LOSS: 416.28	MAE: 244.29	RMSE: 288.63
Epoch 053	LOSS: 424.79	MAE: 244.09	RMSE: 288.46
Epoch 054	LOSS: 424.91	MAE: 243.90	RMSE: 288.29
Epoch 055	LOSS: 416.22	MAE: 243.70	RMSE: 288.12
Epoch 056	LOSS: 417.09	MAE: 243.51	RMSE: 287.95
Epoch 057	LOSS: 414.95	MAE: 243.31	RMSE: 287.77
Epoch 058	LOSS: 418.38	MAE: 243.12	RMSE: 287.60
Epoch 059	LOSS: 417.87	MAE: 242.92	RMSE: 287.43
Epoch 060	LOSS: 415.89	MAE: 242.73	RMSE: 287.26
Epoch 061	LOSS: 410.48	MAE: 242.53	RMSE: 287.09
Epoch 062	LOSS: 421.86	MAE: 242.34	RMSE: 286.92
Epoch 063	LOSS: 410.99	MAE: 242.15	RMSE: 286.75
Epoch 064	LOSS: 404.47	MAE: 241.95	RMSE: 286.59
Epoch 065	LOSS: 411.83	MAE: 241.76	RMSE: 286.42
Epoch 066	LOSS: 407.94	MAE: 241.57	RMSE: 286.25
Epoch 067	LOSS: 412.51	MAE: 241.37	RMSE: 286.08
Epoch 068	LOSS: 406.63	MAE: 241.18	RMSE: 285.91
Epoch 069	LOSS: 407.92	MAE: 240.99	RMSE: 285.74
Epoch 070	LOSS: 406.13	MAE: 240.80	RMSE: 285.57
Epoch 071	LOSS: 405.58	MAE: 240.60	RMSE: 285.40
Epoch 072	LOSS: 406.42	MAE: 240.41	RMSE: 285.23
Epoch 073	LOSS: 414.22	MAE: 240.22	RMSE: 285.07
Epoch 074	LOSS: 405.98	MAE: 240.03	RMSE: 284.90
Epoch 075	LOSS: 408.05	MAE: 239.84	RMSE: 284.73
Epoch 076	LOSS: 409.13	MAE: 239.65	RMSE: 284.56
Epoch 077	LOSS: 405.94	MAE: 239.45	RMSE: 284.39
Epoch 078	LOSS: 410.33	MAE: 239.26	RMSE: 284.22
Epoch 079	LOSS: 400.90	MAE: 239.07	RMSE: 284.06
Epoch 080	LOSS: 411.74	MAE: 238.88	RMSE: 283.89
Epoch 081	LOSS: 399.54	MAE: 238.69	RMSE: 283.72
Epoch 082	LOSS: 409.93	MAE: 238.50	RMSE: 283.55
Epoch 083	LOSS: 405.57	MAE: 238.31	RMSE: 283.39
Epoch 084	LOSS: 402.08	MAE: 238.12	RMSE: 283.22
Epoch 085	LOSS: 406.60	MAE: 237.93	RMSE: 283.05
Epoch 086	LOSS: 401.97	MAE: 237.74	RMSE: 282.88
Epoch 087	LOSS: 399.83	MAE: 237.55	RMSE: 282.71
Epoch 088	LOSS: 403.20	MAE: 237.36	RMSE: 282.55
Epoch 089	LOSS: 393.08	MAE: 237.17	RMSE: 282.38
Epoch 090	LOSS: 400.45	MAE: 236.98	RMSE: 282.21
Epoch 091	LOSS: 403.11	MAE: 236.79	RMSE: 282.05
Epoch 092	LOSS: 401.34	MAE: 236.60	RMSE: 281.88
Epoch 093	LOSS: 398.08	MAE: 236.41	RMSE: 281.71
Epoch 094	LOSS: 406.70	MAE: 236.22	RMSE: 281.54
Epoch 095	LOSS: 400.51	MAE: 236.03	RMSE: 281.38
Epoch 096	LOSS: 402.73	MAE: 235.84	RMSE: 281.21
Epoch 097	LOSS: 400.35	MAE: 235.65	RMSE: 281.05
Epoch 098	LOSS: 399.86	MAE: 235.46	RMSE: 280.88
Epoch 099	LOSS: 407.23	MAE: 235.27	RMSE: 280.71
Epoch 100	LOSS: 398.43	MAE: 235.08	RMSE: 280.55
Epoch 101	LOSS: 401.59	MAE: 234.90	RMSE: 280.38
Epoch 102	LOSS: 399.96	MAE: 234.71	RMSE: 280.21
Epoch 103	LOSS: 394.56	MAE: 234.52	RMSE: 280.05
Epoch 104	LOSS: 403.44	MAE: 234.33	RMSE: 279.88
Epoch 105	LOSS: 391.78	MAE: 234.14	RMSE: 279.71
Epoch 106	LOSS: 397.41	MAE: 233.95	RMSE: 279.55
Epoch 107	LOSS: 387.46	MAE: 233.77	RMSE: 279.38
Epoch 108	LOSS: 402.23	MAE: 233.58	RMSE: 279.22
