Epoch 000	LOSS: 438.55	MAE: 255.08	RMSE: 297.98
Epoch 001	LOSS: 436.02	MAE: 254.97	RMSE: 297.89
Epoch 002	LOSS: 435.17	MAE: 254.86	RMSE: 297.79
Epoch 003	LOSS: 439.11	MAE: 254.75	RMSE: 297.70
Epoch 004	LOSS: 435.78	MAE: 254.64	RMSE: 297.61
Epoch 005	LOSS: 436.08	MAE: 254.52	RMSE: 297.51
Epoch 006	LOSS: 429.73	MAE: 254.39	RMSE: 297.39
Epoch 007	LOSS: 432.94	MAE: 254.24	RMSE: 297.27
Epoch 008	LOSS: 431.52	MAE: 254.07	RMSE: 297.13
Epoch 009	LOSS: 430.55	MAE: 253.89	RMSE: 296.97
Epoch 010	LOSS: 430.44	MAE: 253.68	RMSE: 296.78
Epoch 011	LOSS: 436.91	MAE: 253.43	RMSE: 296.57
Epoch 012	LOSS: 428.99	MAE: 253.16	RMSE: 296.34
Epoch 013	LOSS: 440.69	MAE: 252.85	RMSE: 296.07
Epoch 014	LOSS: 431.02	MAE: 252.52	RMSE: 295.79
Epoch 015	LOSS: 432.73	MAE: 252.18	RMSE: 295.49
Epoch 016	LOSS: 434.08	MAE: 251.83	RMSE: 295.19
Epoch 017	LOSS: 426.64	MAE: 251.52	RMSE: 294.92
Epoch 018	LOSS: 431.86	MAE: 251.23	RMSE: 294.68
Epoch 019	LOSS: 426.68	MAE: 250.97	RMSE: 294.45
Epoch 020	LOSS: 434.53	MAE: 250.74	RMSE: 294.25
Epoch 021	LOSS: 433.82	MAE: 250.52	RMSE: 294.06
Epoch 022	LOSS: 429.40	MAE: 250.30	RMSE: 293.87
Epoch 023	LOSS: 423.67	MAE: 250.09	RMSE: 293.69
Epoch 024	LOSS: 425.52	MAE: 249.88	RMSE: 293.51
Epoch 025	LOSS: 433.97	MAE: 249.68	RMSE: 293.33
Epoch 026	LOSS: 426.40	MAE: 249.47	RMSE: 293.15
Epoch 027	LOSS: 418.62	MAE: 249.27	RMSE: 292.98
Epoch 028	LOSS: 424.59	MAE: 249.07	RMSE: 292.80
Epoch 029	LOSS: 428.75	MAE: 248.86	RMSE: 292.62
Epoch 030	LOSS: 421.54	MAE: 248.66	RMSE: 292.45
Epoch 031	LOSS: 427.19	MAE: 248.46	RMSE: 292.27
Epoch 032	LOSS: 423.74	MAE: 248.26	RMSE: 292.10
Epoch 033	LOSS: 422.36	MAE: 248.06	RMSE: 291.92
Epoch 034	LOSS: 432.32	MAE: 247.86	RMSE: 291.75
Epoch 035	LOSS: 425.43	MAE: 247.66	RMSE: 291.57
Epoch 036	LOSS: 417.93	MAE: 247.46	RMSE: 291.40
Epoch 037	LOSS: 422.91	MAE: 247.26	RMSE: 291.23
Epoch 038	LOSS: 426.08	MAE: 247.06	RMSE: 291.05
Epoch 039	LOSS: 418.68	MAE: 246.86	RMSE: 290.88
Epoch 040	LOSS: 416.98	MAE: 246.66	RMSE: 290.71
Epoch 041	LOSS: 421.66	MAE: 246.46	RMSE: 290.53
Epoch 042	LOSS: 420.42	MAE: 246.26	RMSE: 290.36
Epoch 043	LOSS: 418.54	MAE: 246.07	RMSE: 290.19
Epoch 044	LOSS: 422.52	MAE: 245.87	RMSE: 290.02
Epoch 045	LOSS: 414.15	MAE: 245.67	RMSE: 289.84
Epoch 046	LOSS: 420.29	MAE: 245.47	RMSE: 289.67
Epoch 047	LOSS: 420.80	MAE: 245.28	RMSE: 289.50
Epoch 048	LOSS: 418.97	MAE: 245.08	RMSE: 289.33
Epoch 049	LOSS: 416.66	MAE: 244.88	RMSE: 289.16
Epoch 050	LOSS: 416.78	MAE: 244.69	RMSE: 288.99
Epoch 051	LOSS: 422.92	MAE: 244.49	RMSE: 288.81
Epoch 052	LOSS: 412.91	MAE: 244.30	RMSE: 288.64
Epoch 053	LOSS: 415.92	MAE: 244.10	RMSE: 288.47
Epoch 054	LOSS: 413.08	MAE: 243.90	RMSE: 288.30
Epoch 055	LOSS: 412.02	MAE: 243.71	RMSE: 288.13
Epoch 056	LOSS: 413.26	MAE: 243.51	RMSE: 287.96
Epoch 057	LOSS: 413.62	MAE: 243.32	RMSE: 287.79
Epoch 058	LOSS: 413.66	MAE: 243.12	RMSE: 287.62
Epoch 059	LOSS: 417.34	MAE: 242.93	RMSE: 287.45
Epoch 060	LOSS: 408.48	MAE: 242.74	RMSE: 287.28
Epoch 061	LOSS: 416.01	MAE: 242.54	RMSE: 287.11
Epoch 062	LOSS: 412.66	MAE: 242.35	RMSE: 286.94
Epoch 063	LOSS: 409.87	MAE: 242.15	RMSE: 286.77
Epoch 064	LOSS: 407.13	MAE: 241.96	RMSE: 286.60
Epoch 065	LOSS: 408.78	MAE: 241.77	RMSE: 286.43
Epoch 066	LOSS: 411.88	MAE: 241.57	RMSE: 286.26
Epoch 067	LOSS: 417.81	MAE: 241.38	RMSE: 286.09
Epoch 068	LOSS: 410.39	MAE: 241.19	RMSE: 285.92
Epoch 069	LOSS: 404.52	MAE: 240.99	RMSE: 285.75
Epoch 070	LOSS: 408.46	MAE: 240.80	RMSE: 285.58
Epoch 071	LOSS: 402.65	MAE: 240.61	RMSE: 285.41
Epoch 072	LOSS: 409.79	MAE: 240.42	RMSE: 285.24
Epoch 073	LOSS: 408.53	MAE: 240.22	RMSE: 285.07
Epoch 074	LOSS: 407.83	MAE: 240.03	RMSE: 284.90
Epoch 075	LOSS: 402.83	MAE: 239.84	RMSE: 284.74
Epoch 076	LOSS: 406.50	MAE: 239.65	RMSE: 284.57
Epoch 077	LOSS: 408.96	MAE: 239.46	RMSE: 284.40
Epoch 078	LOSS: 408.96	MAE: 239.26	RMSE: 284.23
Epoch 079	LOSS: 405.23	MAE: 239.07	RMSE: 284.06
Epoch 080	LOSS: 407.33	MAE: 238.88	RMSE: 283.89
Epoch 081	LOSS: 412.91	MAE: 238.69	RMSE: 283.73
