Epoch 000	LOSS: 436.79	MAE: 255.07	RMSE: 297.97
Epoch 001	LOSS: 438.28	MAE: 254.97	RMSE: 297.88
Epoch 002	LOSS: 437.04	MAE: 254.87	RMSE: 297.80
Epoch 003	LOSS: 438.41	MAE: 254.76	RMSE: 297.71
Epoch 004	LOSS: 425.97	MAE: 254.65	RMSE: 297.61
Epoch 005	LOSS: 434.08	MAE: 254.53	RMSE: 297.51
Epoch 006	LOSS: 435.98	MAE: 254.41	RMSE: 297.41
Epoch 007	LOSS: 427.82	MAE: 254.29	RMSE: 297.30
Epoch 008	LOSS: 426.14	MAE: 254.15	RMSE: 297.18
Epoch 009	LOSS: 427.28	MAE: 254.00	RMSE: 297.05
Epoch 010	LOSS: 429.76	MAE: 253.83	RMSE: 296.90
Epoch 011	LOSS: 425.58	MAE: 253.64	RMSE: 296.74
Epoch 012	LOSS: 434.78	MAE: 253.43	RMSE: 296.56
Epoch 013	LOSS: 432.19	MAE: 253.17	RMSE: 296.34
Epoch 014	LOSS: 433.04	MAE: 252.87	RMSE: 296.08
Epoch 015	LOSS: 429.95	MAE: 252.54	RMSE: 295.79
Epoch 016	LOSS: 428.76	MAE: 252.19	RMSE: 295.48
Epoch 017	LOSS: 433.24	MAE: 251.81	RMSE: 295.16
Epoch 018	LOSS: 422.48	MAE: 251.44	RMSE: 294.83
Epoch 019	LOSS: 433.35	MAE: 251.11	RMSE: 294.55
Epoch 020	LOSS: 432.41	MAE: 250.82	RMSE: 294.30
Epoch 021	LOSS: 434.49	MAE: 250.57	RMSE: 294.08
Epoch 022	LOSS: 435.14	MAE: 250.34	RMSE: 293.88
Epoch 023	LOSS: 437.07	MAE: 250.12	RMSE: 293.69
Epoch 024	LOSS: 419.58	MAE: 249.91	RMSE: 293.51
Epoch 025	LOSS: 427.96	MAE: 249.70	RMSE: 293.33
Epoch 026	LOSS: 422.48	MAE: 249.49	RMSE: 293.15
Epoch 027	LOSS: 426.27	MAE: 249.29	RMSE: 292.97
Epoch 028	LOSS: 420.92	MAE: 249.09	RMSE: 292.79
Epoch 029	LOSS: 427.15	MAE: 248.88	RMSE: 292.62
Epoch 030	LOSS: 421.54	MAE: 248.68	RMSE: 292.44
Epoch 031	LOSS: 427.41	MAE: 248.48	RMSE: 292.26
Epoch 032	LOSS: 432.30	MAE: 248.27	RMSE: 292.09
Epoch 033	LOSS: 423.19	MAE: 248.07	RMSE: 291.91
Epoch 034	LOSS: 417.12	MAE: 247.87	RMSE: 291.74
Epoch 035	LOSS: 423.88	MAE: 247.67	RMSE: 291.56
Epoch 036	LOSS: 417.64	MAE: 247.47	RMSE: 291.39
Epoch 037	LOSS: 421.48	MAE: 247.27	RMSE: 291.22
Epoch 038	LOSS: 431.14	MAE: 247.07	RMSE: 291.04
Epoch 039	LOSS: 425.10	MAE: 246.87	RMSE: 290.87
Epoch 040	LOSS: 417.18	MAE: 246.67	RMSE: 290.70
Epoch 041	LOSS: 423.65	MAE: 246.47	RMSE: 290.52
Epoch 042	LOSS: 416.28	MAE: 246.27	RMSE: 290.35
Epoch 043	LOSS: 421.30	MAE: 246.08	RMSE: 290.18
Epoch 044	LOSS: 419.40	MAE: 245.88	RMSE: 290.00
Epoch 045	LOSS: 419.42	MAE: 245.68	RMSE: 289.83
Epoch 046	LOSS: 422.06	MAE: 245.48	RMSE: 289.66
Epoch 047	LOSS: 420.35	MAE: 245.29	RMSE: 289.49
Epoch 048	LOSS: 419.75	MAE: 245.09	RMSE: 289.31
Epoch 049	LOSS: 418.34	MAE: 244.89	RMSE: 289.14
Epoch 050	LOSS: 419.04	MAE: 244.70	RMSE: 288.97
Epoch 051	LOSS: 417.96	MAE: 244.50	RMSE: 288.80
Epoch 052	LOSS: 416.59	MAE: 244.30	RMSE: 288.63
Epoch 053	LOSS: 415.53	MAE: 244.11	RMSE: 288.46
Epoch 054	LOSS: 421.75	MAE: 243.91	RMSE: 288.29
Epoch 055	LOSS: 414.18	MAE: 243.72	RMSE: 288.11
Epoch 056	LOSS: 417.60	MAE: 243.52	RMSE: 287.94
Epoch 057	LOSS: 412.85	MAE: 243.33	RMSE: 287.77
Epoch 058	LOSS: 414.78	MAE: 243.13	RMSE: 287.60
Epoch 059	LOSS: 417.64	MAE: 242.94	RMSE: 287.43
Epoch 060	LOSS: 416.73	MAE: 242.74	RMSE: 287.26
Epoch 061	LOSS: 421.40	MAE: 242.55	RMSE: 287.09
Epoch 062	LOSS: 411.20	MAE: 242.35	RMSE: 286.92
Epoch 063	LOSS: 414.59	MAE: 242.16	RMSE: 286.75
Epoch 064	LOSS: 414.52	MAE: 241.97	RMSE: 286.58
Epoch 065	LOSS: 406.68	MAE: 241.77	RMSE: 286.41
Epoch 066	LOSS: 411.86	MAE: 241.58	RMSE: 286.24
Epoch 067	LOSS: 413.35	MAE: 241.38	RMSE: 286.07
Epoch 068	LOSS: 411.33	MAE: 241.19	RMSE: 285.90
Epoch 069	LOSS: 414.25	MAE: 241.00	RMSE: 285.73
Epoch 070	LOSS: 412.38	MAE: 240.81	RMSE: 285.56
Epoch 071	LOSS: 407.81	MAE: 240.61	RMSE: 285.39
Epoch 072	LOSS: 403.12	MAE: 240.42	RMSE: 285.22
Epoch 073	LOSS: 410.79	MAE: 240.23	RMSE: 285.06
Epoch 074	LOSS: 414.34	MAE: 240.03	RMSE: 284.89
Epoch 075	LOSS: 407.70	MAE: 239.84	RMSE: 284.72
Epoch 076	LOSS: 409.97	MAE: 239.65	RMSE: 284.55
Epoch 077	LOSS: 404.73	MAE: 239.46	RMSE: 284.38
Epoch 078	LOSS: 409.48	MAE: 239.27	RMSE: 284.21
Epoch 079	LOSS: 400.27	MAE: 239.07	RMSE: 284.04
Epoch 080	LOSS: 405.53	MAE: 238.88	RMSE: 283.88
Epoch 081	LOSS: 408.66	MAE: 238.69	RMSE: 283.71
Epoch 082	LOSS: 404.88	MAE: 238.50	RMSE: 283.54
Epoch 083	LOSS: 413.15	MAE: 238.31	RMSE: 283.37
Epoch 084	LOSS: 400.59	MAE: 238.12	RMSE: 283.20
Epoch 085	LOSS: 403.25	MAE: 237.93	RMSE: 283.04
Epoch 086	LOSS: 405.28	MAE: 237.74	RMSE: 282.87
Epoch 087	LOSS: 403.41	MAE: 237.55	RMSE: 282.70
Epoch 088	LOSS: 403.20	MAE: 237.36	RMSE: 282.53
Epoch 089	LOSS: 396.23	MAE: 237.16	RMSE: 282.36
Epoch 090	LOSS: 404.48	MAE: 236.97	RMSE: 282.20
Epoch 091	LOSS: 401.02	MAE: 236.78	RMSE: 282.03
Epoch 092	LOSS: 398.93	MAE: 236.59	RMSE: 281.86
Epoch 093	LOSS: 401.49	MAE: 236.40	RMSE: 281.70
Epoch 094	LOSS: 401.61	MAE: 236.22	RMSE: 281.53
Epoch 095	LOSS: 394.62	MAE: 236.03	RMSE: 281.36
Epoch 096	LOSS: 397.19	MAE: 235.84	RMSE: 281.19
Epoch 097	LOSS: 403.84	MAE: 235.65	RMSE: 281.03
Epoch 098	LOSS: 392.59	MAE: 235.46	RMSE: 280.86
Epoch 099	LOSS: 402.60	MAE: 235.27	RMSE: 280.70
Epoch 100	LOSS: 397.78	MAE: 235.08	RMSE: 280.53
Epoch 101	LOSS: 401.77	MAE: 234.89	RMSE: 280.36
Epoch 102	LOSS: 398.68	MAE: 234.70	RMSE: 280.20
Epoch 103	LOSS: 390.66	MAE: 234.52	RMSE: 280.03
Epoch 104	LOSS: 395.64	MAE: 234.33	RMSE: 279.86
Epoch 105	LOSS: 395.81	MAE: 234.14	RMSE: 279.70
Epoch 106	LOSS: 388.50	MAE: 233.95	RMSE: 279.53
Epoch 107	LOSS: 393.71	MAE: 233.76	RMSE: 279.37
Epoch 108	LOSS: 394.71	MAE: 233.58	RMSE: 279.20
Epoch 109	LOSS: 399.28	MAE: 233.39	RMSE: 279.03
Epoch 110	LOSS: 392.47	MAE: 233.20	RMSE: 278.87
Epoch 111	LOSS: 390.13	MAE: 233.02	RMSE: 278.70
Epoch 112	LOSS: 389.35	MAE: 232.83	RMSE: 278.54
Epoch 113	LOSS: 398.35	MAE: 232.64	RMSE: 278.37
Epoch 114	LOSS: 397.52	MAE: 232.46	RMSE: 278.21
Epoch 115	LOSS: 402.45	MAE: 232.27	RMSE: 278.04
Epoch 116	LOSS: 390.99	MAE: 232.08	RMSE: 277.88
Epoch 117	LOSS: 388.96	MAE: 231.90	RMSE: 277.71
Epoch 118	LOSS: 398.60	MAE: 231.71	RMSE: 277.55
Epoch 119	LOSS: 388.48	MAE: 231.52	RMSE: 277.38
Epoch 120	LOSS: 386.79	MAE: 231.34	RMSE: 277.22
Epoch 121	LOSS: 389.04	MAE: 231.15	RMSE: 277.05
Epoch 122	LOSS: 392.71	MAE: 230.97	RMSE: 276.89
Epoch 123	LOSS: 390.88	MAE: 230.78	RMSE: 276.72
Epoch 124	LOSS: 393.30	MAE: 230.60	RMSE: 276.56
Epoch 125	LOSS: 388.68	MAE: 230.41	RMSE: 276.39
Epoch 126	LOSS: 394.38	MAE: 230.23	RMSE: 276.23
Epoch 127	LOSS: 384.21	MAE: 230.04	RMSE: 276.06
