Epoch 000	LOSS: 451.30	MAE: 219.83	RMSE: 265.92
Epoch 001	LOSS: 447.71	MAE: 219.62	RMSE: 265.76
Epoch 002	LOSS: 450.63	MAE: 219.41	RMSE: 265.59
Epoch 003	LOSS: 453.36	MAE: 219.19	RMSE: 265.41
Epoch 004	LOSS: 449.56	MAE: 218.96	RMSE: 265.22
Epoch 005	LOSS: 447.63	MAE: 218.74	RMSE: 265.04
Epoch 006	LOSS: 449.43	MAE: 218.52	RMSE: 264.86
Epoch 007	LOSS: 451.58	MAE: 218.31	RMSE: 264.68
Epoch 008	LOSS: 449.07	MAE: 218.10	RMSE: 264.51
Epoch 009	LOSS: 454.57	MAE: 217.89	RMSE: 264.33
Epoch 010	LOSS: 445.55	MAE: 217.68	RMSE: 264.16
Epoch 011	LOSS: 449.11	MAE: 217.47	RMSE: 263.98
Epoch 012	LOSS: 448.32	MAE: 217.26	RMSE: 263.80
Epoch 013	LOSS: 448.45	MAE: 217.05	RMSE: 263.63
Epoch 014	LOSS: 445.46	MAE: 216.84	RMSE: 263.45
Epoch 015	LOSS: 452.78	MAE: 216.63	RMSE: 263.27
Epoch 016	LOSS: 451.66	MAE: 216.42	RMSE: 263.10
Epoch 017	LOSS: 454.25	MAE: 216.21	RMSE: 262.92
Epoch 018	LOSS: 451.29	MAE: 216.01	RMSE: 262.74
Epoch 019	LOSS: 443.26	MAE: 215.80	RMSE: 262.57
Epoch 020	LOSS: 445.29	MAE: 215.60	RMSE: 262.40
Epoch 021	LOSS: 441.60	MAE: 215.39	RMSE: 262.22
Epoch 022	LOSS: 444.48	MAE: 215.19	RMSE: 262.05
Epoch 023	LOSS: 441.06	MAE: 214.98	RMSE: 261.88
Epoch 024	LOSS: 444.27	MAE: 214.78	RMSE: 261.71
Epoch 025	LOSS: 448.74	MAE: 214.58	RMSE: 261.54
Epoch 026	LOSS: 439.49	MAE: 214.38	RMSE: 261.36
Epoch 027	LOSS: 438.31	MAE: 214.18	RMSE: 261.19
