Epoch 000	LOSS: 452.67	MAE: 219.87	RMSE: 265.95
Epoch 001	LOSS: 454.11	MAE: 219.67	RMSE: 265.76
Epoch 002	LOSS: 450.31	MAE: 219.46	RMSE: 265.58
Epoch 003	LOSS: 446.18	MAE: 219.24	RMSE: 265.39
Epoch 004	LOSS: 447.21	MAE: 219.02	RMSE: 265.21
Epoch 005	LOSS: 446.59	MAE: 218.80	RMSE: 265.02
Epoch 006	LOSS: 450.51	MAE: 218.58	RMSE: 264.84
Epoch 007	LOSS: 449.29	MAE: 218.37	RMSE: 264.67
Epoch 008	LOSS: 451.60	MAE: 218.16	RMSE: 264.49
Epoch 009	LOSS: 445.13	MAE: 217.95	RMSE: 264.32
Epoch 010	LOSS: 449.44	MAE: 217.74	RMSE: 264.14
Epoch 011	LOSS: 448.65	MAE: 217.53	RMSE: 263.96
Epoch 012	LOSS: 448.52	MAE: 217.32	RMSE: 263.78
Epoch 013	LOSS: 442.10	MAE: 217.10	RMSE: 263.60
Epoch 014	LOSS: 450.89	MAE: 216.89	RMSE: 263.42
Epoch 015	LOSS: 447.54	MAE: 216.68	RMSE: 263.25
Epoch 016	LOSS: 448.93	MAE: 216.47	RMSE: 263.07
Epoch 017	LOSS: 447.63	MAE: 216.26	RMSE: 262.89
Epoch 018	LOSS: 444.32	MAE: 216.06	RMSE: 262.72
Epoch 019	LOSS: 449.79	MAE: 215.85	RMSE: 262.54
Epoch 020	LOSS: 441.77	MAE: 215.64	RMSE: 262.37
Epoch 021	LOSS: 442.87	MAE: 215.44	RMSE: 262.20
Epoch 022	LOSS: 436.21	MAE: 215.23	RMSE: 262.02
Epoch 023	LOSS: 449.21	MAE: 215.03	RMSE: 261.85
Epoch 024	LOSS: 446.98	MAE: 214.83	RMSE: 261.68
Epoch 025	LOSS: 443.80	MAE: 214.62	RMSE: 261.51
Epoch 026	LOSS: 443.64	MAE: 214.42	RMSE: 261.34
Epoch 027	LOSS: 443.77	MAE: 214.22	RMSE: 261.16
Epoch 028	LOSS: 441.03	MAE: 214.02	RMSE: 260.99
Epoch 029	LOSS: 443.51	MAE: 213.82	RMSE: 260.82
Epoch 030	LOSS: 442.66	MAE: 213.62	RMSE: 260.65
Epoch 031	LOSS: 438.49	MAE: 213.42	RMSE: 260.48
Epoch 032	LOSS: 435.77	MAE: 213.22	RMSE: 260.31
