Epoch 000	LOSS: 458.92	MAE: 219.82	RMSE: 265.91
Epoch 001	LOSS: 457.84	MAE: 219.63	RMSE: 265.76
Epoch 002	LOSS: 454.25	MAE: 219.43	RMSE: 265.60
Epoch 003	LOSS: 453.12	MAE: 219.22	RMSE: 265.43
Epoch 004	LOSS: 449.07	MAE: 219.01	RMSE: 265.25
Epoch 005	LOSS: 449.95	MAE: 218.80	RMSE: 265.08
Epoch 006	LOSS: 452.26	MAE: 218.59	RMSE: 264.90
Epoch 007	LOSS: 445.81	MAE: 218.38	RMSE: 264.73
Epoch 008	LOSS: 455.21	MAE: 218.17	RMSE: 264.56
Epoch 009	LOSS: 447.87	MAE: 217.96	RMSE: 264.38
Epoch 010	LOSS: 443.27	MAE: 217.75	RMSE: 264.20
Epoch 011	LOSS: 445.89	MAE: 217.54	RMSE: 264.03
Epoch 012	LOSS: 447.50	MAE: 217.33	RMSE: 263.85
Epoch 013	LOSS: 442.23	MAE: 217.12	RMSE: 263.67
Epoch 014	LOSS: 449.15	MAE: 216.91	RMSE: 263.50
Epoch 015	LOSS: 450.33	MAE: 216.70	RMSE: 263.32
Epoch 016	LOSS: 446.48	MAE: 216.49	RMSE: 263.15
Epoch 017	LOSS: 449.42	MAE: 216.28	RMSE: 262.97
Epoch 018	LOSS: 443.90	MAE: 216.08	RMSE: 262.80
Epoch 019	LOSS: 442.73	MAE: 215.87	RMSE: 262.62
Epoch 020	LOSS: 445.25	MAE: 215.67	RMSE: 262.45
Epoch 021	LOSS: 440.36	MAE: 215.46	RMSE: 262.28
Epoch 022	LOSS: 447.35	MAE: 215.26	RMSE: 262.11
Epoch 023	LOSS: 443.71	MAE: 215.06	RMSE: 261.93
Epoch 024	LOSS: 439.12	MAE: 214.85	RMSE: 261.76
Epoch 025	LOSS: 448.63	MAE: 214.65	RMSE: 261.59
Epoch 026	LOSS: 443.58	MAE: 214.45	RMSE: 261.42
Epoch 027	LOSS: 439.06	MAE: 214.25	RMSE: 261.25
Epoch 028	LOSS: 443.82	MAE: 214.05	RMSE: 261.08
Epoch 029	LOSS: 445.48	MAE: 213.85	RMSE: 260.91
Epoch 030	LOSS: 437.64	MAE: 213.65	RMSE: 260.74
Epoch 031	LOSS: 443.97	MAE: 213.45	RMSE: 260.57
Epoch 032	LOSS: 436.11	MAE: 213.25	RMSE: 260.40
Epoch 033	LOSS: 437.90	MAE: 213.06	RMSE: 260.23
Epoch 034	LOSS: 445.64	MAE: 212.86	RMSE: 260.07
Epoch 035	LOSS: 438.55	MAE: 212.66	RMSE: 259.90
