Epoch 000	LOSS: 451.12	MAE: 219.82	RMSE: 265.91
Epoch 001	LOSS: 450.19	MAE: 219.62	RMSE: 265.75
Epoch 002	LOSS: 455.40	MAE: 219.41	RMSE: 265.57
Epoch 003	LOSS: 453.61	MAE: 219.20	RMSE: 265.39
Epoch 004	LOSS: 457.53	MAE: 218.98	RMSE: 265.21
Epoch 005	LOSS: 456.84	MAE: 218.76	RMSE: 265.03
Epoch 006	LOSS: 455.59	MAE: 218.55	RMSE: 264.85
Epoch 007	LOSS: 451.92	MAE: 218.34	RMSE: 264.67
Epoch 008	LOSS: 452.80	MAE: 218.13	RMSE: 264.50
Epoch 009	LOSS: 454.54	MAE: 217.92	RMSE: 264.32
Epoch 010	LOSS: 453.90	MAE: 217.71	RMSE: 264.15
Epoch 011	LOSS: 452.68	MAE: 217.50	RMSE: 263.97
Epoch 012	LOSS: 443.71	MAE: 217.29	RMSE: 263.79
Epoch 013	LOSS: 444.87	MAE: 217.08	RMSE: 263.61
Epoch 014	LOSS: 444.27	MAE: 216.87	RMSE: 263.44
Epoch 015	LOSS: 440.66	MAE: 216.66	RMSE: 263.26
Epoch 016	LOSS: 450.53	MAE: 216.45	RMSE: 263.08
Epoch 017	LOSS: 445.64	MAE: 216.24	RMSE: 262.90
Epoch 018	LOSS: 444.03	MAE: 216.03	RMSE: 262.73
Epoch 019	LOSS: 444.09	MAE: 215.83	RMSE: 262.55
Epoch 020	LOSS: 446.76	MAE: 215.62	RMSE: 262.38
Epoch 021	LOSS: 442.04	MAE: 215.41	RMSE: 262.20
Epoch 022	LOSS: 441.02	MAE: 215.21	RMSE: 262.03
Epoch 023	LOSS: 440.65	MAE: 215.01	RMSE: 261.86
Epoch 024	LOSS: 438.49	MAE: 214.80	RMSE: 261.69
Epoch 025	LOSS: 448.16	MAE: 214.60	RMSE: 261.51
Epoch 026	LOSS: 443.67	MAE: 214.40	RMSE: 261.34
Epoch 027	LOSS: 440.60	MAE: 214.20	RMSE: 261.17
Epoch 028	LOSS: 443.32	MAE: 213.99	RMSE: 261.00
Epoch 029	LOSS: 441.30	MAE: 213.79	RMSE: 260.83
Epoch 030	LOSS: 436.69	MAE: 213.59	RMSE: 260.66
Epoch 031	LOSS: 435.15	MAE: 213.39	RMSE: 260.49
Epoch 032	LOSS: 443.47	MAE: 213.20	RMSE: 260.32
Epoch 033	LOSS: 444.57	MAE: 213.00	RMSE: 260.15
Epoch 034	LOSS: 441.44	MAE: 212.80	RMSE: 259.98
Epoch 035	LOSS: 430.65	MAE: 212.60	RMSE: 259.81
Epoch 036	LOSS: 440.34	MAE: 212.40	RMSE: 259.65
Epoch 037	LOSS: 436.98	MAE: 212.20	RMSE: 259.48
Epoch 038	LOSS: 438.57	MAE: 212.01	RMSE: 259.31
Epoch 039	LOSS: 437.92	MAE: 211.81	RMSE: 259.14
Epoch 040	LOSS: 437.34	MAE: 211.61	RMSE: 258.97
Epoch 041	LOSS: 431.08	MAE: 211.42	RMSE: 258.81
Epoch 042	LOSS: 436.68	MAE: 211.22	RMSE: 258.64
Epoch 043	LOSS: 436.74	MAE: 211.03	RMSE: 258.47
Epoch 044	LOSS: 436.57	MAE: 210.83	RMSE: 258.31
Epoch 045	LOSS: 433.86	MAE: 210.64	RMSE: 258.14
Epoch 046	LOSS: 440.56	MAE: 210.44	RMSE: 257.97
Epoch 047	LOSS: 435.69	MAE: 210.25	RMSE: 257.81
Epoch 048	LOSS: 431.74	MAE: 210.06	RMSE: 257.64
Epoch 049	LOSS: 429.59	MAE: 209.86	RMSE: 257.48
Epoch 050	LOSS: 429.64	MAE: 209.67	RMSE: 257.31
Epoch 051	LOSS: 436.18	MAE: 209.48	RMSE: 257.15
Epoch 052	LOSS: 433.56	MAE: 209.29	RMSE: 256.98
Epoch 053	LOSS: 437.61	MAE: 209.09	RMSE: 256.82
Epoch 054	LOSS: 435.38	MAE: 208.90	RMSE: 256.65
Epoch 055	LOSS: 429.89	MAE: 208.71	RMSE: 256.49
Epoch 056	LOSS: 427.39	MAE: 208.52	RMSE: 256.32
Epoch 057	LOSS: 431.57	MAE: 208.33	RMSE: 256.16
Epoch 058	LOSS: 430.25	MAE: 208.14	RMSE: 256.00
Epoch 059	LOSS: 428.66	MAE: 207.95	RMSE: 255.83
Epoch 060	LOSS: 429.36	MAE: 207.76	RMSE: 255.67
Epoch 061	LOSS: 427.42	MAE: 207.56	RMSE: 255.50
Epoch 062	LOSS: 427.61	MAE: 207.37	RMSE: 255.34
Epoch 063	LOSS: 423.42	MAE: 207.18	RMSE: 255.18
Epoch 064	LOSS: 426.55	MAE: 206.99	RMSE: 255.01
Epoch 065	LOSS: 420.97	MAE: 206.81	RMSE: 254.85
Epoch 066	LOSS: 424.22	MAE: 206.62	RMSE: 254.69
Epoch 067	LOSS: 422.16	MAE: 206.43	RMSE: 254.53
Epoch 068	LOSS: 422.63	MAE: 206.24	RMSE: 254.36
Epoch 069	LOSS: 429.25	MAE: 206.05	RMSE: 254.20
Epoch 070	LOSS: 424.14	MAE: 205.86	RMSE: 254.04
Epoch 071	LOSS: 420.50	MAE: 205.67	RMSE: 253.87
Epoch 072	LOSS: 427.17	MAE: 205.48	RMSE: 253.71
Epoch 073	LOSS: 417.40	MAE: 205.29	RMSE: 253.55
Epoch 074	LOSS: 424.70	MAE: 205.11	RMSE: 253.39
Epoch 075	LOSS: 422.48	MAE: 204.92	RMSE: 253.23
Epoch 076	LOSS: 425.42	MAE: 204.73	RMSE: 253.06
Epoch 077	LOSS: 419.22	MAE: 204.54	RMSE: 252.90
Epoch 078	LOSS: 420.39	MAE: 204.36	RMSE: 252.74
Epoch 079	LOSS: 420.17	MAE: 204.17	RMSE: 252.58
Epoch 080	LOSS: 422.10	MAE: 203.98	RMSE: 252.42
Epoch 081	LOSS: 423.79	MAE: 203.79	RMSE: 252.26
Epoch 082	LOSS: 429.53	MAE: 203.61	RMSE: 252.09
Epoch 083	LOSS: 416.36	MAE: 203.42	RMSE: 251.93
Epoch 084	LOSS: 416.56	MAE: 203.24	RMSE: 251.77
Epoch 085	LOSS: 422.03	MAE: 203.05	RMSE: 251.61
Epoch 086	LOSS: 415.28	MAE: 202.86	RMSE: 251.45
Epoch 087	LOSS: 421.92	MAE: 202.68	RMSE: 251.29
Epoch 088	LOSS: 415.75	MAE: 202.49	RMSE: 251.13
Epoch 089	LOSS: 418.43	MAE: 202.31	RMSE: 250.97
Epoch 090	LOSS: 419.79	MAE: 202.12	RMSE: 250.81
Epoch 091	LOSS: 421.01	MAE: 201.94	RMSE: 250.65
Epoch 092	LOSS: 422.83	MAE: 201.75	RMSE: 250.49
Epoch 093	LOSS: 420.84	MAE: 201.57	RMSE: 250.33
Epoch 094	LOSS: 414.49	MAE: 201.38	RMSE: 250.17
Epoch 095	LOSS: 414.68	MAE: 201.20	RMSE: 250.01
Epoch 096	LOSS: 413.00	MAE: 201.01	RMSE: 249.85
Epoch 097	LOSS: 412.09	MAE: 200.83	RMSE: 249.69
Epoch 098	LOSS: 413.44	MAE: 200.65	RMSE: 249.53
Epoch 099	LOSS: 417.61	MAE: 200.46	RMSE: 249.37
Epoch 100	LOSS: 416.48	MAE: 200.28	RMSE: 249.21
Epoch 101	LOSS: 409.04	MAE: 200.10	RMSE: 249.05
Epoch 102	LOSS: 419.60	MAE: 199.91	RMSE: 248.89
Epoch 103	LOSS: 408.34	MAE: 199.73	RMSE: 248.73
Epoch 104	LOSS: 411.86	MAE: 199.55	RMSE: 248.57
Epoch 105	LOSS: 417.05	MAE: 199.36	RMSE: 248.41
Epoch 106	LOSS: 411.25	MAE: 199.18	RMSE: 248.25
Epoch 107	LOSS: 407.57	MAE: 199.00	RMSE: 248.09
Epoch 108	LOSS: 409.98	MAE: 198.82	RMSE: 247.93
Epoch 109	LOSS: 414.93	MAE: 198.64	RMSE: 247.77
Epoch 110	LOSS: 409.79	MAE: 198.46	RMSE: 247.62
Epoch 111	LOSS: 411.54	MAE: 198.28	RMSE: 247.46
Epoch 112	LOSS: 411.70	MAE: 198.10	RMSE: 247.30
Epoch 113	LOSS: 404.36	MAE: 197.91	RMSE: 247.14
Epoch 114	LOSS: 412.50	MAE: 197.73	RMSE: 246.98
Epoch 115	LOSS: 404.30	MAE: 197.55	RMSE: 246.82
Epoch 116	LOSS: 407.36	MAE: 197.37	RMSE: 246.67
Epoch 117	LOSS: 406.96	MAE: 197.19	RMSE: 246.51
Epoch 118	LOSS: 409.72	MAE: 197.01	RMSE: 246.35
Epoch 119	LOSS: 405.91	MAE: 196.83	RMSE: 246.19
Epoch 120	LOSS: 410.75	MAE: 196.65	RMSE: 246.04
Epoch 121	LOSS: 411.98	MAE: 196.47	RMSE: 245.88
Epoch 122	LOSS: 410.47	MAE: 196.29	RMSE: 245.72
Epoch 123	LOSS: 410.17	MAE: 196.12	RMSE: 245.56
Epoch 124	LOSS: 407.61	MAE: 195.94	RMSE: 245.40
Epoch 125	LOSS: 405.98	MAE: 195.76	RMSE: 245.25
Epoch 126	LOSS: 406.40	MAE: 195.58	RMSE: 245.09
Epoch 127	LOSS: 401.63	MAE: 195.40	RMSE: 244.93
Epoch 128	LOSS: 402.29	MAE: 195.22	RMSE: 244.78
Epoch 129	LOSS: 401.71	MAE: 195.04	RMSE: 244.62
Epoch 130	LOSS: 403.03	MAE: 194.87	RMSE: 244.46
Epoch 131	LOSS: 406.30	MAE: 194.69	RMSE: 244.30
Epoch 132	LOSS: 402.82	MAE: 194.51	RMSE: 244.15
Epoch 133	LOSS: 403.00	MAE: 194.33	RMSE: 243.99
Epoch 134	LOSS: 404.04	MAE: 194.16	RMSE: 243.83
Epoch 135	LOSS: 406.07	MAE: 193.98	RMSE: 243.68
Epoch 136	LOSS: 400.86	MAE: 193.80	RMSE: 243.52
Epoch 137	LOSS: 391.85	MAE: 193.63	RMSE: 243.36
Epoch 138	LOSS: 397.43	MAE: 193.45	RMSE: 243.21
Epoch 139	LOSS: 406.00	MAE: 193.27	RMSE: 243.05
Epoch 140	LOSS: 403.41	MAE: 193.10	RMSE: 242.90
Epoch 141	LOSS: 399.70	MAE: 192.92	RMSE: 242.74
Epoch 142	LOSS: 400.81	MAE: 192.74	RMSE: 242.59
Epoch 143	LOSS: 397.11	MAE: 192.57	RMSE: 242.43
Epoch 144	LOSS: 397.54	MAE: 192.39	RMSE: 242.27
Epoch 145	LOSS: 404.48	MAE: 192.22	RMSE: 242.12
Epoch 146	LOSS: 393.75	MAE: 192.04	RMSE: 241.96
Epoch 147	LOSS: 397.72	MAE: 191.87	RMSE: 241.81
Epoch 148	LOSS: 396.07	MAE: 191.70	RMSE: 241.65
Epoch 149	LOSS: 399.07	MAE: 191.52	RMSE: 241.50
Epoch 150	LOSS: 400.57	MAE: 191.35	RMSE: 241.34
