Epoch 000	LOSS: 449.21	MAE: 219.82	RMSE: 265.91
Epoch 001	LOSS: 460.19	MAE: 219.60	RMSE: 265.72
Epoch 002	LOSS: 445.87	MAE: 219.39	RMSE: 265.55
Epoch 003	LOSS: 449.52	MAE: 219.18	RMSE: 265.37
Epoch 004	LOSS: 450.34	MAE: 218.96	RMSE: 265.19
Epoch 005	LOSS: 451.38	MAE: 218.75	RMSE: 265.01
Epoch 006	LOSS: 448.33	MAE: 218.54	RMSE: 264.84
Epoch 007	LOSS: 453.99	MAE: 218.34	RMSE: 264.66
Epoch 008	LOSS: 450.17	MAE: 218.13	RMSE: 264.49
Epoch 009	LOSS: 451.34	MAE: 217.92	RMSE: 264.32
Epoch 010	LOSS: 448.28	MAE: 217.71	RMSE: 264.14
Epoch 011	LOSS: 452.53	MAE: 217.50	RMSE: 263.96
Epoch 012	LOSS: 444.21	MAE: 217.29	RMSE: 263.79
Epoch 013	LOSS: 444.70	MAE: 217.08	RMSE: 263.61
Epoch 014	LOSS: 441.57	MAE: 216.87	RMSE: 263.43
Epoch 015	LOSS: 453.46	MAE: 216.67	RMSE: 263.26
Epoch 016	LOSS: 451.20	MAE: 216.46	RMSE: 263.08
Epoch 017	LOSS: 445.02	MAE: 216.25	RMSE: 262.91
Epoch 018	LOSS: 444.24	MAE: 216.04	RMSE: 262.73
Epoch 019	LOSS: 443.11	MAE: 215.84	RMSE: 262.56
Epoch 020	LOSS: 444.01	MAE: 215.63	RMSE: 262.39
Epoch 021	LOSS: 443.59	MAE: 215.43	RMSE: 262.21
Epoch 022	LOSS: 446.67	MAE: 215.23	RMSE: 262.04
Epoch 023	LOSS: 446.98	MAE: 215.02	RMSE: 261.87
Epoch 024	LOSS: 440.81	MAE: 214.82	RMSE: 261.70
Epoch 025	LOSS: 437.42	MAE: 214.62	RMSE: 261.53
Epoch 026	LOSS: 442.68	MAE: 214.42	RMSE: 261.36
Epoch 027	LOSS: 445.33	MAE: 214.22	RMSE: 261.19
Epoch 028	LOSS: 441.14	MAE: 214.02	RMSE: 261.02
Epoch 029	LOSS: 444.09	MAE: 213.82	RMSE: 260.85
Epoch 030	LOSS: 446.77	MAE: 213.62	RMSE: 260.68
Epoch 031	LOSS: 436.30	MAE: 213.42	RMSE: 260.51
Epoch 032	LOSS: 440.95	MAE: 213.22	RMSE: 260.34
Epoch 033	LOSS: 436.18	MAE: 213.02	RMSE: 260.17
Epoch 034	LOSS: 439.82	MAE: 212.82	RMSE: 260.00
Epoch 035	LOSS: 436.02	MAE: 212.63	RMSE: 259.83
Epoch 036	LOSS: 442.00	MAE: 212.43	RMSE: 259.66
Epoch 037	LOSS: 432.48	MAE: 212.23	RMSE: 259.50
Epoch 038	LOSS: 437.93	MAE: 212.04	RMSE: 259.33
Epoch 039	LOSS: 437.79	MAE: 211.84	RMSE: 259.16
Epoch 040	LOSS: 440.78	MAE: 211.64	RMSE: 259.00
Epoch 041	LOSS: 438.82	MAE: 211.45	RMSE: 258.83
Epoch 042	LOSS: 435.51	MAE: 211.25	RMSE: 258.66
Epoch 043	LOSS: 434.11	MAE: 211.06	RMSE: 258.50
Epoch 044	LOSS: 439.05	MAE: 210.86	RMSE: 258.33
Epoch 045	LOSS: 433.72	MAE: 210.67	RMSE: 258.16
Epoch 046	LOSS: 443.16	MAE: 210.48	RMSE: 258.00
Epoch 047	LOSS: 431.13	MAE: 210.28	RMSE: 257.83
Epoch 048	LOSS: 430.66	MAE: 210.09	RMSE: 257.67
Epoch 049	LOSS: 439.51	MAE: 209.90	RMSE: 257.50
Epoch 050	LOSS: 432.86	MAE: 209.70	RMSE: 257.34
Epoch 051	LOSS: 437.39	MAE: 209.51	RMSE: 257.17
Epoch 052	LOSS: 435.42	MAE: 209.32	RMSE: 257.01
Epoch 053	LOSS: 436.61	MAE: 209.13	RMSE: 256.84
Epoch 054	LOSS: 430.68	MAE: 208.94	RMSE: 256.68
Epoch 055	LOSS: 433.41	MAE: 208.74	RMSE: 256.51
Epoch 056	LOSS: 439.49	MAE: 208.55	RMSE: 256.35
Epoch 057	LOSS: 427.33	MAE: 208.36	RMSE: 256.19
Epoch 058	LOSS: 439.38	MAE: 208.17	RMSE: 256.02
Epoch 059	LOSS: 428.21	MAE: 207.98	RMSE: 255.86
Epoch 060	LOSS: 434.03	MAE: 207.79	RMSE: 255.69
Epoch 061	LOSS: 434.71	MAE: 207.60	RMSE: 255.53
Epoch 062	LOSS: 430.06	MAE: 207.41	RMSE: 255.37
Epoch 063	LOSS: 437.70	MAE: 207.22	RMSE: 255.20
Epoch 064	LOSS: 420.38	MAE: 207.03	RMSE: 255.04
Epoch 065	LOSS: 423.25	MAE: 206.84	RMSE: 254.88
Epoch 066	LOSS: 432.02	MAE: 206.65	RMSE: 254.72
Epoch 067	LOSS: 420.51	MAE: 206.46	RMSE: 254.55
Epoch 068	LOSS: 427.84	MAE: 206.27	RMSE: 254.39
Epoch 069	LOSS: 419.80	MAE: 206.08	RMSE: 254.23
Epoch 070	LOSS: 428.10	MAE: 205.89	RMSE: 254.06
Epoch 071	LOSS: 426.40	MAE: 205.71	RMSE: 253.90
Epoch 072	LOSS: 427.27	MAE: 205.52	RMSE: 253.74
Epoch 073	LOSS: 422.57	MAE: 205.33	RMSE: 253.58
Epoch 074	LOSS: 425.31	MAE: 205.14	RMSE: 253.42
Epoch 075	LOSS: 424.41	MAE: 204.95	RMSE: 253.25
Epoch 076	LOSS: 421.55	MAE: 204.77	RMSE: 253.09
Epoch 077	LOSS: 421.58	MAE: 204.58	RMSE: 252.93
Epoch 078	LOSS: 423.34	MAE: 204.39	RMSE: 252.77
Epoch 079	LOSS: 427.80	MAE: 204.20	RMSE: 252.61
Epoch 080	LOSS: 424.66	MAE: 204.02	RMSE: 252.44
Epoch 081	LOSS: 426.58	MAE: 203.83	RMSE: 252.28
Epoch 082	LOSS: 422.55	MAE: 203.64	RMSE: 252.12
Epoch 083	LOSS: 419.67	MAE: 203.46	RMSE: 251.96
Epoch 084	LOSS: 428.06	MAE: 203.27	RMSE: 251.80
Epoch 085	LOSS: 418.98	MAE: 203.09	RMSE: 251.64
Epoch 086	LOSS: 423.43	MAE: 202.90	RMSE: 251.48
