Epoch 000	LOSS: 450.48	MAE: 219.85	RMSE: 265.94
Epoch 001	LOSS: 450.22	MAE: 219.66	RMSE: 265.78
Epoch 002	LOSS: 450.94	MAE: 219.45	RMSE: 265.60
Epoch 003	LOSS: 450.75	MAE: 219.23	RMSE: 265.41
Epoch 004	LOSS: 448.11	MAE: 219.01	RMSE: 265.23
Epoch 005	LOSS: 457.63	MAE: 218.78	RMSE: 265.04
Epoch 006	LOSS: 449.26	MAE: 218.56	RMSE: 264.86
Epoch 007	LOSS: 458.29	MAE: 218.35	RMSE: 264.67
Epoch 008	LOSS: 454.02	MAE: 218.13	RMSE: 264.50
Epoch 009	LOSS: 450.70	MAE: 217.92	RMSE: 264.32
Epoch 010	LOSS: 445.35	MAE: 217.71	RMSE: 264.14
Epoch 011	LOSS: 448.93	MAE: 217.50	RMSE: 263.97
Epoch 012	LOSS: 441.95	MAE: 217.29	RMSE: 263.79
Epoch 013	LOSS: 447.40	MAE: 217.08	RMSE: 263.61
Epoch 014	LOSS: 450.81	MAE: 216.87	RMSE: 263.43
Epoch 015	LOSS: 447.48	MAE: 216.66	RMSE: 263.26
Epoch 016	LOSS: 450.61	MAE: 216.45	RMSE: 263.08
Epoch 017	LOSS: 448.37	MAE: 216.24	RMSE: 262.90
Epoch 018	LOSS: 450.86	MAE: 216.03	RMSE: 262.73
Epoch 019	LOSS: 448.30	MAE: 215.83	RMSE: 262.56
Epoch 020	LOSS: 446.51	MAE: 215.62	RMSE: 262.38
Epoch 021	LOSS: 450.46	MAE: 215.42	RMSE: 262.21
Epoch 022	LOSS: 446.55	MAE: 215.21	RMSE: 262.04
Epoch 023	LOSS: 445.23	MAE: 215.01	RMSE: 261.86
Epoch 024	LOSS: 433.16	MAE: 214.80	RMSE: 261.69
Epoch 025	LOSS: 439.51	MAE: 214.60	RMSE: 261.52
Epoch 026	LOSS: 444.07	MAE: 214.40	RMSE: 261.35
Epoch 027	LOSS: 443.28	MAE: 214.20	RMSE: 261.18
Epoch 028	LOSS: 441.16	MAE: 214.00	RMSE: 261.01
Epoch 029	LOSS: 442.98	MAE: 213.80	RMSE: 260.84
Epoch 030	LOSS: 440.33	MAE: 213.60	RMSE: 260.67
Epoch 031	LOSS: 439.42	MAE: 213.40	RMSE: 260.50
Epoch 032	LOSS: 438.50	MAE: 213.20	RMSE: 260.33
Epoch 033	LOSS: 439.76	MAE: 213.00	RMSE: 260.16
Epoch 034	LOSS: 435.66	MAE: 212.80	RMSE: 259.99
Epoch 035	LOSS: 441.47	MAE: 212.60	RMSE: 259.83
Epoch 036	LOSS: 441.10	MAE: 212.41	RMSE: 259.66
Epoch 037	LOSS: 437.61	MAE: 212.21	RMSE: 259.49
Epoch 038	LOSS: 441.08	MAE: 212.01	RMSE: 259.32
Epoch 039	LOSS: 433.67	MAE: 211.82	RMSE: 259.16
Epoch 040	LOSS: 435.88	MAE: 211.62	RMSE: 258.99
Epoch 041	LOSS: 432.00	MAE: 211.43	RMSE: 258.82
Epoch 042	LOSS: 440.79	MAE: 211.23	RMSE: 258.65
Epoch 043	LOSS: 437.12	MAE: 211.04	RMSE: 258.49
Epoch 044	LOSS: 433.37	MAE: 210.84	RMSE: 258.32
Epoch 045	LOSS: 435.90	MAE: 210.65	RMSE: 258.16
Epoch 046	LOSS: 436.05	MAE: 210.45	RMSE: 257.99
Epoch 047	LOSS: 436.56	MAE: 210.26	RMSE: 257.83
Epoch 048	LOSS: 433.89	MAE: 210.07	RMSE: 257.66
Epoch 049	LOSS: 433.71	MAE: 209.87	RMSE: 257.49
Epoch 050	LOSS: 434.37	MAE: 209.68	RMSE: 257.33
Epoch 051	LOSS: 437.84	MAE: 209.49	RMSE: 257.16
Epoch 052	LOSS: 438.13	MAE: 209.29	RMSE: 257.00
Epoch 053	LOSS: 435.16	MAE: 209.10	RMSE: 256.83
Epoch 054	LOSS: 426.41	MAE: 208.91	RMSE: 256.67
Epoch 055	LOSS: 434.39	MAE: 208.72	RMSE: 256.50
Epoch 056	LOSS: 433.41	MAE: 208.53	RMSE: 256.34
Epoch 057	LOSS: 425.20	MAE: 208.34	RMSE: 256.18
Epoch 058	LOSS: 426.18	MAE: 208.14	RMSE: 256.01
Epoch 059	LOSS: 435.54	MAE: 207.95	RMSE: 255.85
Epoch 060	LOSS: 427.84	MAE: 207.76	RMSE: 255.69
Epoch 061	LOSS: 433.39	MAE: 207.57	RMSE: 255.52
Epoch 062	LOSS: 430.65	MAE: 207.38	RMSE: 255.36
Epoch 063	LOSS: 425.72	MAE: 207.19	RMSE: 255.20
Epoch 064	LOSS: 431.86	MAE: 207.00	RMSE: 255.03
Epoch 065	LOSS: 423.04	MAE: 206.81	RMSE: 254.87
Epoch 066	LOSS: 423.86	MAE: 206.62	RMSE: 254.71
Epoch 067	LOSS: 431.87	MAE: 206.43	RMSE: 254.54
Epoch 068	LOSS: 422.47	MAE: 206.24	RMSE: 254.38
Epoch 069	LOSS: 419.58	MAE: 206.06	RMSE: 254.22
Epoch 070	LOSS: 420.06	MAE: 205.87	RMSE: 254.05
Epoch 071	LOSS: 426.67	MAE: 205.68	RMSE: 253.89
Epoch 072	LOSS: 426.82	MAE: 205.49	RMSE: 253.73
Epoch 073	LOSS: 426.59	MAE: 205.30	RMSE: 253.57
Epoch 074	LOSS: 424.90	MAE: 205.11	RMSE: 253.41
Epoch 075	LOSS: 421.62	MAE: 204.93	RMSE: 253.24
Epoch 076	LOSS: 421.11	MAE: 204.74	RMSE: 253.08
Epoch 077	LOSS: 425.83	MAE: 204.55	RMSE: 252.92
Epoch 078	LOSS: 424.49	MAE: 204.36	RMSE: 252.76
Epoch 079	LOSS: 423.02	MAE: 204.17	RMSE: 252.60
Epoch 080	LOSS: 419.67	MAE: 203.99	RMSE: 252.43
Epoch 081	LOSS: 422.14	MAE: 203.80	RMSE: 252.27
Epoch 082	LOSS: 422.37	MAE: 203.61	RMSE: 252.11
Epoch 083	LOSS: 420.99	MAE: 203.43	RMSE: 251.95
Epoch 084	LOSS: 426.14	MAE: 203.24	RMSE: 251.79
Epoch 085	LOSS: 429.13	MAE: 203.05	RMSE: 251.63
Epoch 086	LOSS: 425.24	MAE: 202.87	RMSE: 251.47
Epoch 087	LOSS: 414.75	MAE: 202.68	RMSE: 251.31
Epoch 088	LOSS: 422.43	MAE: 202.50	RMSE: 251.15
Epoch 089	LOSS: 424.38	MAE: 202.31	RMSE: 250.98
Epoch 090	LOSS: 417.85	MAE: 202.13	RMSE: 250.82
Epoch 091	LOSS: 425.41	MAE: 201.94	RMSE: 250.66
Epoch 092	LOSS: 416.20	MAE: 201.76	RMSE: 250.50
Epoch 093	LOSS: 417.70	MAE: 201.57	RMSE: 250.34
Epoch 094	LOSS: 417.79	MAE: 201.39	RMSE: 250.18
Epoch 095	LOSS: 412.07	MAE: 201.20	RMSE: 250.02
Epoch 096	LOSS: 416.53	MAE: 201.02	RMSE: 249.86
Epoch 097	LOSS: 417.32	MAE: 200.83	RMSE: 249.70
Epoch 098	LOSS: 419.82	MAE: 200.65	RMSE: 249.54
Epoch 099	LOSS: 421.66	MAE: 200.47	RMSE: 249.38
Epoch 100	LOSS: 415.13	MAE: 200.28	RMSE: 249.22
Epoch 101	LOSS: 407.14	MAE: 200.10	RMSE: 249.06
