Epoch 000	LOSS: 135.61	MAE: 72.87	RMSE: 85.92
Epoch 001	LOSS: 133.96	MAE: 72.39	RMSE: 85.50
Epoch 002	LOSS: 132.07	MAE: 71.59	RMSE: 84.80
Epoch 003	LOSS: 130.38	MAE: 70.34	RMSE: 83.71
Epoch 004	LOSS: 128.21	MAE: 69.08	RMSE: 82.60
Epoch 005	LOSS: 127.28	MAE: 68.02	RMSE: 81.66
Epoch 006	LOSS: 125.77	MAE: 67.11	RMSE: 80.82
Epoch 007	LOSS: 123.48	MAE: 66.31	RMSE: 80.08
Epoch 008	LOSS: 121.80	MAE: 65.54	RMSE: 79.36
Epoch 009	LOSS: 121.06	MAE: 64.80	RMSE: 78.65
Epoch 010	LOSS: 119.40	MAE: 64.08	RMSE: 77.95
Epoch 011	LOSS: 117.94	MAE: 63.39	RMSE: 77.27
Epoch 012	LOSS: 117.14	MAE: 62.73	RMSE: 76.59
Epoch 013	LOSS: 115.54	MAE: 62.10	RMSE: 75.94
Epoch 014	LOSS: 114.60	MAE: 61.50	RMSE: 75.30
Epoch 015	LOSS: 112.98	MAE: 60.92	RMSE: 74.66
Epoch 016	LOSS: 112.12	MAE: 60.36	RMSE: 74.05
Epoch 017	LOSS: 111.37	MAE: 59.83	RMSE: 73.44
Epoch 018	LOSS: 110.15	MAE: 59.31	RMSE: 72.84
Epoch 019	LOSS: 108.73	MAE: 58.82	RMSE: 72.26
Epoch 020	LOSS: 108.36	MAE: 58.33	RMSE: 71.69
Epoch 021	LOSS: 106.70	MAE: 57.86	RMSE: 71.12
Epoch 022	LOSS: 106.72	MAE: 57.41	RMSE: 70.56
Epoch 023	LOSS: 105.40	MAE: 56.97	RMSE: 70.01
Epoch 024	LOSS: 104.81	MAE: 56.54	RMSE: 69.48
Epoch 025	LOSS: 104.00	MAE: 56.12	RMSE: 68.94
Epoch 026	LOSS: 103.11	MAE: 55.72	RMSE: 68.42
Epoch 027	LOSS: 102.44	MAE: 55.31	RMSE: 67.90
Epoch 028	LOSS: 101.69	MAE: 54.94	RMSE: 67.41
Epoch 029	LOSS: 100.78	MAE: 54.54	RMSE: 66.88
Epoch 030	LOSS: 99.61	MAE: 54.13	RMSE: 66.38
Epoch 031	LOSS: 98.49	MAE: 53.57	RMSE: 65.85
Epoch 032	LOSS: 97.53	MAE: 53.15	RMSE: 65.30
Epoch 033	LOSS: 96.40	MAE: 52.68	RMSE: 64.76
Epoch 034	LOSS: 95.55	MAE: 52.29	RMSE: 64.23
Epoch 035	LOSS: 94.58	MAE: 51.85	RMSE: 63.69
Epoch 036	LOSS: 93.69	MAE: 51.46	RMSE: 63.16
Epoch 037	LOSS: 92.68	MAE: 51.05	RMSE: 62.63
Epoch 038	LOSS: 91.81	MAE: 50.70	RMSE: 62.12
Epoch 039	LOSS: 90.80	MAE: 50.27	RMSE: 61.60
Epoch 040	LOSS: 90.06	MAE: 49.93	RMSE: 61.10
Epoch 041	LOSS: 89.25	MAE: 49.56	RMSE: 60.60
Epoch 042	LOSS: 88.40	MAE: 49.17	RMSE: 60.10
Epoch 043	LOSS: 87.61	MAE: 48.84	RMSE: 59.62
