Epoch 000	LOSS: 135.07	MAE: 72.84	RMSE: 85.89
Epoch 001	LOSS: 133.43	MAE: 72.50	RMSE: 85.59
Epoch 002	LOSS: 131.31	MAE: 71.98	RMSE: 85.14
Epoch 003	LOSS: 130.01	MAE: 71.35	RMSE: 84.59
Epoch 004	LOSS: 128.47	MAE: 70.46	RMSE: 83.82
Epoch 005	LOSS: 127.16	MAE: 68.82	RMSE: 82.37
Epoch 006	LOSS: 125.44	MAE: 67.31	RMSE: 81.01
Epoch 007	LOSS: 123.56	MAE: 66.35	RMSE: 80.13
Epoch 008	LOSS: 121.86	MAE: 65.58	RMSE: 79.39
Epoch 009	LOSS: 120.64	MAE: 64.85	RMSE: 78.70
Epoch 010	LOSS: 118.97	MAE: 64.14	RMSE: 78.01
Epoch 011	LOSS: 117.90	MAE: 63.44	RMSE: 77.31
Epoch 012	LOSS: 117.16	MAE: 62.76	RMSE: 76.63
Epoch 013	LOSS: 115.72	MAE: 62.15	RMSE: 75.99
Epoch 014	LOSS: 114.33	MAE: 61.55	RMSE: 75.35
Epoch 015	LOSS: 113.46	MAE: 60.97	RMSE: 74.72
Epoch 016	LOSS: 112.47	MAE: 60.40	RMSE: 74.09
Epoch 017	LOSS: 111.26	MAE: 59.85	RMSE: 73.47
Epoch 018	LOSS: 110.03	MAE: 59.36	RMSE: 72.90
Epoch 019	LOSS: 109.19	MAE: 58.86	RMSE: 72.31
Epoch 020	LOSS: 108.57	MAE: 58.37	RMSE: 71.74
Epoch 021	LOSS: 107.41	MAE: 57.91	RMSE: 71.18
Epoch 022	LOSS: 106.84	MAE: 57.46	RMSE: 70.62
Epoch 023	LOSS: 105.43	MAE: 57.01	RMSE: 70.06
Epoch 024	LOSS: 104.57	MAE: 56.56	RMSE: 69.51
Epoch 025	LOSS: 104.47	MAE: 56.18	RMSE: 69.02
Epoch 026	LOSS: 103.05	MAE: 55.75	RMSE: 68.46
Epoch 027	LOSS: 102.41	MAE: 55.36	RMSE: 67.96
Epoch 028	LOSS: 101.35	MAE: 54.96	RMSE: 67.43
Epoch 029	LOSS: 100.62	MAE: 54.57	RMSE: 66.92
Epoch 030	LOSS: 100.36	MAE: 54.20	RMSE: 66.42
Epoch 031	LOSS: 99.22	MAE: 53.84	RMSE: 65.94
Epoch 032	LOSS: 98.41	MAE: 53.48	RMSE: 65.45
Epoch 033	LOSS: 98.13	MAE: 53.11	RMSE: 64.95
Epoch 034	LOSS: 96.96	MAE: 52.78	RMSE: 64.49
Epoch 035	LOSS: 96.65	MAE: 52.45	RMSE: 64.04
Epoch 036	LOSS: 95.75	MAE: 52.09	RMSE: 63.53
Epoch 037	LOSS: 95.52	MAE: 51.77	RMSE: 63.08
Epoch 038	LOSS: 94.28	MAE: 51.47	RMSE: 62.65
Epoch 039	LOSS: 94.07	MAE: 51.14	RMSE: 62.19
Epoch 040	LOSS: 93.69	MAE: 50.83	RMSE: 61.75
Epoch 041	LOSS: 92.63	MAE: 50.53	RMSE: 61.32
Epoch 042	LOSS: 91.98	MAE: 50.24	RMSE: 60.89
Epoch 043	LOSS: 91.86	MAE: 49.94	RMSE: 60.46
Epoch 044	LOSS: 90.77	MAE: 49.66	RMSE: 60.05
Epoch 045	LOSS: 90.37	MAE: 49.36	RMSE: 59.62
Epoch 046	LOSS: 90.14	MAE: 49.09	RMSE: 59.22
Epoch 047	LOSS: 89.29	MAE: 48.81	RMSE: 58.81
Epoch 048	LOSS: 88.76	MAE: 48.55	RMSE: 58.42
Epoch 049	LOSS: 88.01	MAE: 48.28	RMSE: 58.03
Epoch 050	LOSS: 87.75	MAE: 48.02	RMSE: 57.65
Epoch 051	LOSS: 87.44	MAE: 47.77	RMSE: 57.28
Epoch 052	LOSS: 86.77	MAE: 47.51	RMSE: 56.89
Epoch 053	LOSS: 86.41	MAE: 47.27	RMSE: 56.53
Epoch 054	LOSS: 85.78	MAE: 47.01	RMSE: 56.14
Epoch 055	LOSS: 85.13	MAE: 46.77	RMSE: 55.79
Epoch 056	LOSS: 84.57	MAE: 46.53	RMSE: 55.42
Epoch 057	LOSS: 84.40	MAE: 46.30	RMSE: 55.08
Epoch 058	LOSS: 83.92	MAE: 46.07	RMSE: 54.73
Epoch 059	LOSS: 83.50	MAE: 45.85	RMSE: 54.40
Epoch 060	LOSS: 82.96	MAE: 45.63	RMSE: 54.07
Epoch 061	LOSS: 82.80	MAE: 45.41	RMSE: 53.75
Epoch 062	LOSS: 82.15	MAE: 45.20	RMSE: 53.43
Epoch 063	LOSS: 81.64	MAE: 44.99	RMSE: 53.12
Epoch 064	LOSS: 81.29	MAE: 44.79	RMSE: 52.81
Epoch 065	LOSS: 80.79	MAE: 44.59	RMSE: 52.51
Epoch 066	LOSS: 80.60	MAE: 44.39	RMSE: 52.21
Epoch 067	LOSS: 80.20	MAE: 44.20	RMSE: 51.92
Epoch 068	LOSS: 79.88	MAE: 44.00	RMSE: 51.63
Epoch 069	LOSS: 79.65	MAE: 43.82	RMSE: 51.36
Epoch 070	LOSS: 78.90	MAE: 43.63	RMSE: 51.08
Epoch 071	LOSS: 78.60	MAE: 43.45	RMSE: 50.81
Epoch 072	LOSS: 78.26	MAE: 43.28	RMSE: 50.56
Epoch 073	LOSS: 78.38	MAE: 43.42	RMSE: 50.77
Epoch 074	LOSS: 78.19	MAE: 43.25	RMSE: 50.53
Epoch 075	LOSS: 77.50	MAE: 43.02	RMSE: 50.17
Epoch 076	LOSS: 77.31	MAE: 42.84	RMSE: 49.92
Epoch 077	LOSS: 77.05	MAE: 42.68	RMSE: 49.69
Epoch 078	LOSS: 76.60	MAE: 42.52	RMSE: 49.45
Epoch 079	LOSS: 76.51	MAE: 42.37	RMSE: 49.23
Epoch 080	LOSS: 76.07	MAE: 42.22	RMSE: 49.02
Epoch 081	LOSS: 75.74	MAE: 42.07	RMSE: 48.80
Epoch 082	LOSS: 75.62	MAE: 41.92	RMSE: 48.59
Epoch 083	LOSS: 75.35	MAE: 41.79	RMSE: 48.40
Epoch 084	LOSS: 74.81	MAE: 41.64	RMSE: 48.18
Epoch 085	LOSS: 74.66	MAE: 41.50	RMSE: 47.99
Epoch 086	LOSS: 74.43	MAE: 41.37	RMSE: 47.80
Epoch 087	LOSS: 74.20	MAE: 41.23	RMSE: 47.62
Epoch 088	LOSS: 73.94	MAE: 41.12	RMSE: 47.46
Epoch 089	LOSS: 73.69	MAE: 40.99	RMSE: 47.29
Epoch 090	LOSS: 73.47	MAE: 40.88	RMSE: 47.14
Epoch 091	LOSS: 73.14	MAE: 40.77	RMSE: 46.99
Epoch 092	LOSS: 73.12	MAE: 40.63	RMSE: 46.80
Epoch 093	LOSS: 72.90	MAE: 40.50	RMSE: 46.63
Epoch 094	LOSS: 72.38	MAE: 40.41	RMSE: 46.50
Epoch 095	LOSS: 72.24	MAE: 40.30	RMSE: 46.37
Epoch 096	LOSS: 71.95	MAE: 40.19	RMSE: 46.25
Epoch 097	LOSS: 71.86	MAE: 40.04	RMSE: 46.05
Epoch 098	LOSS: 71.25	MAE: 39.93	RMSE: 45.93
Epoch 099	LOSS: 69.25	MAE: 39.46	RMSE: 45.48
Epoch 100	LOSS: 62.99	MAE: 37.85	RMSE: 44.28
Epoch 101	LOSS: 61.95	MAE: 37.72	RMSE: 44.04
Epoch 102	LOSS: 61.20	MAE: 37.57	RMSE: 43.84
Epoch 103	LOSS: 60.52	MAE: 37.47	RMSE: 43.74
Epoch 104	LOSS: 60.04	MAE: 37.34	RMSE: 43.60
Epoch 105	LOSS: 59.61	MAE: 37.16	RMSE: 43.37
Epoch 106	LOSS: 58.95	MAE: 37.03	RMSE: 43.23
Epoch 107	LOSS: 58.59	MAE: 36.86	RMSE: 43.05
Epoch 108	LOSS: 58.02	MAE: 36.75	RMSE: 42.91
Epoch 109	LOSS: 57.31	MAE: 36.59	RMSE: 42.77
Epoch 110	LOSS: 57.42	MAE: 36.96	RMSE: 43.38
Epoch 111	LOSS: 50.47	MAE: 36.46	RMSE: 43.75
Epoch 112	LOSS: 47.27	MAE: 35.45	RMSE: 42.83
Epoch 113	LOSS: 45.42	MAE: 35.03	RMSE: 42.44
Epoch 114	LOSS: 45.00	MAE: 34.75	RMSE: 42.11
Epoch 115	LOSS: 44.02	MAE: 34.56	RMSE: 41.90
Epoch 116	LOSS: 43.14	MAE: 34.36	RMSE: 41.71
Epoch 117	LOSS: 42.34	MAE: 34.10	RMSE: 41.43
Epoch 118	LOSS: 41.58	MAE: 33.89	RMSE: 41.20
Epoch 119	LOSS: 40.72	MAE: 33.64	RMSE: 40.93
Epoch 120	LOSS: 40.07	MAE: 33.39	RMSE: 40.66
