Epoch 000	LOSS: 134.93	MAE: 72.87	RMSE: 85.92
Epoch 001	LOSS: 133.52	MAE: 72.51	RMSE: 85.60
Epoch 002	LOSS: 131.90	MAE: 71.97	RMSE: 85.13
Epoch 003	LOSS: 130.21	MAE: 71.45	RMSE: 84.68
Epoch 004	LOSS: 128.91	MAE: 70.43	RMSE: 83.79
Epoch 005	LOSS: 127.30	MAE: 68.64	RMSE: 82.21
Epoch 006	LOSS: 125.51	MAE: 67.27	RMSE: 80.97
Epoch 007	LOSS: 123.96	MAE: 66.37	RMSE: 80.14
Epoch 008	LOSS: 122.84	MAE: 65.60	RMSE: 79.42
Epoch 009	LOSS: 121.35	MAE: 64.86	RMSE: 78.71
Epoch 010	LOSS: 119.55	MAE: 64.17	RMSE: 78.04
Epoch 011	LOSS: 118.60	MAE: 63.48	RMSE: 77.36
Epoch 012	LOSS: 116.94	MAE: 62.83	RMSE: 76.69
Epoch 013	LOSS: 115.91	MAE: 62.23	RMSE: 76.07
Epoch 014	LOSS: 114.47	MAE: 61.62	RMSE: 75.43
Epoch 015	LOSS: 113.34	MAE: 60.99	RMSE: 74.74
Epoch 016	LOSS: 112.66	MAE: 60.43	RMSE: 74.12
Epoch 017	LOSS: 110.63	MAE: 59.93	RMSE: 73.55
Epoch 018	LOSS: 110.26	MAE: 59.38	RMSE: 72.93
Epoch 019	LOSS: 109.08	MAE: 58.89	RMSE: 72.35
Epoch 020	LOSS: 108.26	MAE: 58.41	RMSE: 71.78
Epoch 021	LOSS: 107.62	MAE: 57.92	RMSE: 71.19
Epoch 022	LOSS: 106.35	MAE: 57.48	RMSE: 70.65
Epoch 023	LOSS: 105.74	MAE: 57.04	RMSE: 70.11
Epoch 024	LOSS: 104.54	MAE: 56.59	RMSE: 69.54
Epoch 025	LOSS: 104.09	MAE: 56.19	RMSE: 69.03
Epoch 026	LOSS: 102.96	MAE: 55.81	RMSE: 68.54
Epoch 027	LOSS: 102.05	MAE: 55.63	RMSE: 68.41
Epoch 028	LOSS: 100.39	MAE: 54.86	RMSE: 67.53
Epoch 029	LOSS: 99.92	MAE: 54.28	RMSE: 66.81
Epoch 030	LOSS: 98.89	MAE: 53.85	RMSE: 66.26
Epoch 031	LOSS: 97.64	MAE: 53.39	RMSE: 65.70
Epoch 032	LOSS: 96.98	MAE: 52.96	RMSE: 65.16
Epoch 033	LOSS: 95.80	MAE: 52.63	RMSE: 64.72
Epoch 034	LOSS: 95.24	MAE: 52.24	RMSE: 64.21
Epoch 035	LOSS: 94.15	MAE: 51.83	RMSE: 63.68
Epoch 036	LOSS: 93.33	MAE: 51.44	RMSE: 63.15
Epoch 037	LOSS: 92.18	MAE: 51.04	RMSE: 62.64
Epoch 038	LOSS: 91.47	MAE: 50.70	RMSE: 62.20
Epoch 039	LOSS: 90.63	MAE: 50.35	RMSE: 61.78
Epoch 040	LOSS: 87.87	MAE: 49.83	RMSE: 61.40
Epoch 041	LOSS: 86.96	MAE: 49.40	RMSE: 60.83
