Epoch 000	LOSS: 134.73	MAE: 72.89	RMSE: 85.94
Epoch 001	LOSS: 133.57	MAE: 72.54	RMSE: 85.63
Epoch 002	LOSS: 131.73	MAE: 72.09	RMSE: 85.24
Epoch 003	LOSS: 130.13	MAE: 71.30	RMSE: 84.55
Epoch 004	LOSS: 128.80	MAE: 70.10	RMSE: 83.50
Epoch 005	LOSS: 126.60	MAE: 68.47	RMSE: 82.05
Epoch 006	LOSS: 125.69	MAE: 67.31	RMSE: 81.01
Epoch 007	LOSS: 123.67	MAE: 66.45	RMSE: 80.21
Epoch 008	LOSS: 122.32	MAE: 65.63	RMSE: 79.44
Epoch 009	LOSS: 121.31	MAE: 64.88	RMSE: 78.73
Epoch 010	LOSS: 119.61	MAE: 64.16	RMSE: 78.03
Epoch 011	LOSS: 118.28	MAE: 63.46	RMSE: 77.33
Epoch 012	LOSS: 116.76	MAE: 62.82	RMSE: 76.68
Epoch 013	LOSS: 115.55	MAE: 62.20	RMSE: 76.03
Epoch 014	LOSS: 114.13	MAE: 61.59	RMSE: 75.39
Epoch 015	LOSS: 113.19	MAE: 61.03	RMSE: 74.78
Epoch 016	LOSS: 112.49	MAE: 60.48	RMSE: 74.17
Epoch 017	LOSS: 111.41	MAE: 59.97	RMSE: 73.60
Epoch 018	LOSS: 110.33	MAE: 59.44	RMSE: 72.98
Epoch 019	LOSS: 109.45	MAE: 58.92	RMSE: 72.39
Epoch 020	LOSS: 108.68	MAE: 58.43	RMSE: 71.79
Epoch 021	LOSS: 107.67	MAE: 57.97	RMSE: 71.25
Epoch 022	LOSS: 107.01	MAE: 57.52	RMSE: 70.69
Epoch 023	LOSS: 105.72	MAE: 57.04	RMSE: 70.10
Epoch 024	LOSS: 104.67	MAE: 56.64	RMSE: 69.60
Epoch 025	LOSS: 103.55	MAE: 56.35	RMSE: 69.29
Epoch 026	LOSS: 102.39	MAE: 56.09	RMSE: 69.05
Epoch 027	LOSS: 100.68	MAE: 56.49	RMSE: 69.68
Epoch 028	LOSS: 99.77	MAE: 56.17	RMSE: 69.37
Epoch 029	LOSS: 98.10	MAE: 55.41	RMSE: 68.46
Epoch 030	LOSS: 97.32	MAE: 54.82	RMSE: 67.76
Epoch 031	LOSS: 95.72	MAE: 54.02	RMSE: 66.76
Epoch 032	LOSS: 94.66	MAE: 53.51	RMSE: 66.14
Epoch 033	LOSS: 93.39	MAE: 52.91	RMSE: 65.40
Epoch 034	LOSS: 92.27	MAE: 52.41	RMSE: 64.76
Epoch 035	LOSS: 91.31	MAE: 51.92	RMSE: 64.15
Epoch 036	LOSS: 90.35	MAE: 51.49	RMSE: 63.62
Epoch 037	LOSS: 89.43	MAE: 51.02	RMSE: 63.04
Epoch 038	LOSS: 88.24	MAE: 50.57	RMSE: 62.47
Epoch 039	LOSS: 87.26	MAE: 50.09	RMSE: 61.87
Epoch 040	LOSS: 85.76	MAE: 49.57	RMSE: 61.17
Epoch 041	LOSS: 85.62	MAE: 49.12	RMSE: 60.59
Epoch 042	LOSS: 83.94	MAE: 48.70	RMSE: 60.06
Epoch 043	LOSS: 82.86	MAE: 48.32	RMSE: 59.58
Epoch 044	LOSS: 82.09	MAE: 47.90	RMSE: 59.02
Epoch 045	LOSS: 81.49	MAE: 47.53	RMSE: 58.56
Epoch 046	LOSS: 79.77	MAE: 47.16	RMSE: 58.08
Epoch 047	LOSS: 78.95	MAE: 46.82	RMSE: 57.65
Epoch 048	LOSS: 78.34	MAE: 46.36	RMSE: 57.03
Epoch 049	LOSS: 77.31	MAE: 46.01	RMSE: 56.57
Epoch 050	LOSS: 76.60	MAE: 45.53	RMSE: 55.93
Epoch 051	LOSS: 75.31	MAE: 45.22	RMSE: 55.53
Epoch 052	LOSS: 75.01	MAE: 44.83	RMSE: 55.01
Epoch 053	LOSS: 73.03	MAE: 44.47	RMSE: 54.53
Epoch 054	LOSS: 72.40	MAE: 44.11	RMSE: 54.06
Epoch 055	LOSS: 71.59	MAE: 43.79	RMSE: 53.65
Epoch 056	LOSS: 70.49	MAE: 43.44	RMSE: 53.20
Epoch 057	LOSS: 69.90	MAE: 43.08	RMSE: 52.71
Epoch 058	LOSS: 68.76	MAE: 42.80	RMSE: 52.37
Epoch 059	LOSS: 68.05	MAE: 42.42	RMSE: 51.84
