Epoch 000	LOSS: 135.01	MAE: 72.89	RMSE: 85.92
Epoch 001	LOSS: 134.12	MAE: 72.51	RMSE: 85.60
Epoch 002	LOSS: 131.82	MAE: 71.97	RMSE: 85.13
Epoch 003	LOSS: 130.08	MAE: 71.31	RMSE: 84.55
Epoch 004	LOSS: 128.45	MAE: 70.04	RMSE: 83.44
Epoch 005	LOSS: 126.84	MAE: 68.53	RMSE: 82.10
Epoch 006	LOSS: 125.52	MAE: 67.29	RMSE: 80.99
Epoch 007	LOSS: 123.87	MAE: 66.43	RMSE: 80.19
Epoch 008	LOSS: 122.83	MAE: 65.68	RMSE: 79.49
Epoch 009	LOSS: 120.98	MAE: 64.93	RMSE: 78.78
Epoch 010	LOSS: 119.37	MAE: 64.22	RMSE: 78.09
Epoch 011	LOSS: 118.05	MAE: 63.54	RMSE: 77.42
Epoch 012	LOSS: 117.21	MAE: 62.88	RMSE: 76.75
Epoch 013	LOSS: 115.96	MAE: 62.21	RMSE: 76.05
Epoch 014	LOSS: 114.89	MAE: 61.60	RMSE: 75.40
Epoch 015	LOSS: 113.38	MAE: 61.01	RMSE: 74.76
Epoch 016	LOSS: 112.35	MAE: 60.45	RMSE: 74.15
Epoch 017	LOSS: 111.74	MAE: 59.91	RMSE: 73.54
Epoch 018	LOSS: 110.41	MAE: 59.42	RMSE: 72.97
Epoch 019	LOSS: 109.19	MAE: 58.92	RMSE: 72.39
Epoch 020	LOSS: 108.33	MAE: 58.46	RMSE: 71.84
Epoch 021	LOSS: 107.88	MAE: 57.98	RMSE: 71.26
Epoch 022	LOSS: 106.03	MAE: 57.53	RMSE: 70.76
Epoch 023	LOSS: 105.51	MAE: 57.17	RMSE: 70.37
Epoch 024	LOSS: 104.42	MAE: 56.53	RMSE: 69.63
Epoch 025	LOSS: 102.99	MAE: 55.96	RMSE: 68.94
Epoch 026	LOSS: 102.22	MAE: 55.45	RMSE: 68.32
Epoch 027	LOSS: 101.99	MAE: 55.00	RMSE: 67.75
Epoch 028	LOSS: 100.13	MAE: 54.55	RMSE: 67.20
Epoch 029	LOSS: 99.23	MAE: 54.27	RMSE: 66.87
Epoch 030	LOSS: 97.66	MAE: 54.08	RMSE: 66.75
Epoch 031	LOSS: 96.32	MAE: 53.49	RMSE: 66.06
Epoch 032	LOSS: 95.28	MAE: 52.89	RMSE: 65.29
Epoch 033	LOSS: 94.16	MAE: 52.41	RMSE: 64.71
Epoch 034	LOSS: 92.44	MAE: 51.81	RMSE: 63.95
Epoch 035	LOSS: 91.74	MAE: 51.33	RMSE: 63.33
Epoch 036	LOSS: 90.24	MAE: 50.89	RMSE: 62.78
Epoch 037	LOSS: 89.63	MAE: 50.50	RMSE: 62.29
Epoch 038	LOSS: 88.17	MAE: 50.08	RMSE: 61.78
Epoch 039	LOSS: 87.32	MAE: 49.51	RMSE: 61.02
Epoch 040	LOSS: 86.57	MAE: 50.97	RMSE: 63.15
Epoch 041	LOSS: 85.57	MAE: 48.65	RMSE: 59.91
Epoch 042	LOSS: 84.36	MAE: 48.23	RMSE: 59.38
Epoch 043	LOSS: 83.46	MAE: 47.82	RMSE: 58.84
Epoch 044	LOSS: 81.94	MAE: 47.42	RMSE: 58.32
Epoch 045	LOSS: 81.07	MAE: 47.02	RMSE: 57.80
Epoch 046	LOSS: 80.45	MAE: 46.64	RMSE: 57.32
Epoch 047	LOSS: 79.41	MAE: 46.31	RMSE: 56.90
Epoch 048	LOSS: 78.47	MAE: 45.85	RMSE: 56.27
Epoch 049	LOSS: 77.51	MAE: 45.48	RMSE: 55.78
Epoch 050	LOSS: 76.49	MAE: 45.18	RMSE: 55.38
Epoch 051	LOSS: 75.16	MAE: 44.79	RMSE: 54.87
Epoch 052	LOSS: 74.54	MAE: 44.50	RMSE: 54.51
Epoch 053	LOSS: 73.52	MAE: 44.07	RMSE: 53.94
Epoch 054	LOSS: 72.45	MAE: 43.74	RMSE: 53.50
Epoch 055	LOSS: 71.55	MAE: 43.41	RMSE: 53.07
Epoch 056	LOSS: 70.86	MAE: 43.09	RMSE: 52.63
Epoch 057	LOSS: 70.01	MAE: 42.75	RMSE: 52.19
Epoch 058	LOSS: 69.01	MAE: 42.42	RMSE: 51.77
Epoch 059	LOSS: 68.25	MAE: 42.08	RMSE: 51.31
Epoch 060	LOSS: 67.00	MAE: 41.79	RMSE: 50.94
Epoch 061	LOSS: 66.56	MAE: 41.40	RMSE: 50.41
Epoch 062	LOSS: 65.88	MAE: 41.09	RMSE: 50.01
Epoch 063	LOSS: 64.86	MAE: 40.79	RMSE: 49.62
Epoch 064	LOSS: 63.59	MAE: 40.55	RMSE: 49.32
Epoch 065	LOSS: 63.06	MAE: 40.24	RMSE: 48.92
Epoch 066	LOSS: 62.33	MAE: 39.95	RMSE: 48.52
Epoch 067	LOSS: 61.35	MAE: 39.66	RMSE: 48.14
Epoch 068	LOSS: 60.74	MAE: 39.27	RMSE: 47.62
Epoch 069	LOSS: 59.69	MAE: 39.01	RMSE: 47.27
Epoch 070	LOSS: 58.91	MAE: 38.73	RMSE: 46.91
Epoch 071	LOSS: 58.19	MAE: 38.50	RMSE: 46.63
Epoch 072	LOSS: 57.60	MAE: 38.32	RMSE: 46.43
Epoch 073	LOSS: 56.68	MAE: 38.01	RMSE: 46.02
Epoch 074	LOSS: 56.05	MAE: 37.87	RMSE: 45.86
Epoch 075	LOSS: 55.40	MAE: 37.60	RMSE: 45.52
Epoch 076	LOSS: 54.36	MAE: 37.37	RMSE: 45.23
Epoch 077	LOSS: 53.90	MAE: 39.77	RMSE: 49.04
Epoch 078	LOSS: 52.79	MAE: 36.89	RMSE: 44.63
