Epoch 000	LOSS: 135.08	MAE: 72.87	RMSE: 85.92
Epoch 001	LOSS: 133.31	MAE: 72.51	RMSE: 85.61
Epoch 002	LOSS: 132.15	MAE: 72.07	RMSE: 85.22
Epoch 003	LOSS: 130.22	MAE: 71.44	RMSE: 84.67
Epoch 004	LOSS: 128.56	MAE: 70.59	RMSE: 83.92
Epoch 005	LOSS: 126.76	MAE: 69.23	RMSE: 82.73
Epoch 006	LOSS: 125.08	MAE: 67.41	RMSE: 81.09
Epoch 007	LOSS: 123.34	MAE: 66.38	RMSE: 80.15
Epoch 008	LOSS: 122.65	MAE: 65.59	RMSE: 79.40
Epoch 009	LOSS: 121.85	MAE: 64.84	RMSE: 78.69
Epoch 010	LOSS: 119.32	MAE: 64.14	RMSE: 78.01
Epoch 011	LOSS: 118.09	MAE: 63.46	RMSE: 77.33
Epoch 012	LOSS: 116.79	MAE: 62.83	RMSE: 76.69
Epoch 013	LOSS: 115.88	MAE: 62.23	RMSE: 76.07
Epoch 014	LOSS: 114.21	MAE: 61.63	RMSE: 75.44
Epoch 015	LOSS: 113.06	MAE: 61.02	RMSE: 74.78
Epoch 016	LOSS: 112.43	MAE: 60.47	RMSE: 74.17
Epoch 017	LOSS: 111.28	MAE: 59.94	RMSE: 73.57
Epoch 018	LOSS: 110.17	MAE: 59.43	RMSE: 72.98
Epoch 019	LOSS: 109.19	MAE: 58.92	RMSE: 72.38
Epoch 020	LOSS: 108.16	MAE: 58.41	RMSE: 71.78
Epoch 021	LOSS: 107.23	MAE: 57.96	RMSE: 71.24
Epoch 022	LOSS: 106.15	MAE: 57.49	RMSE: 70.67
Epoch 023	LOSS: 105.35	MAE: 57.10	RMSE: 70.25
Epoch 024	LOSS: 104.17	MAE: 56.61	RMSE: 69.71
Epoch 025	LOSS: 102.73	MAE: 56.03	RMSE: 69.02
Epoch 026	LOSS: 102.42	MAE: 55.47	RMSE: 68.32
Epoch 027	LOSS: 101.47	MAE: 55.08	RMSE: 67.87
Epoch 028	LOSS: 100.23	MAE: 54.67	RMSE: 67.36
Epoch 029	LOSS: 98.68	MAE: 54.34	RMSE: 66.95
Epoch 030	LOSS: 98.42	MAE: 53.95	RMSE: 66.47
Epoch 031	LOSS: 97.01	MAE: 53.57	RMSE: 66.10
Epoch 032	LOSS: 95.54	MAE: 52.96	RMSE: 65.36
Epoch 033	LOSS: 94.52	MAE: 52.38	RMSE: 64.65
Epoch 034	LOSS: 92.93	MAE: 51.92	RMSE: 64.07
Epoch 035	LOSS: 91.83	MAE: 51.43	RMSE: 63.47
Epoch 036	LOSS: 90.97	MAE: 50.97	RMSE: 62.88
Epoch 037	LOSS: 89.64	MAE: 50.50	RMSE: 62.28
Epoch 038	LOSS: 88.66	MAE: 50.01	RMSE: 61.67
Epoch 039	LOSS: 87.55	MAE: 49.59	RMSE: 61.12
Epoch 040	LOSS: 86.36	MAE: 49.15	RMSE: 60.55
Epoch 041	LOSS: 85.21	MAE: 48.70	RMSE: 59.98
Epoch 042	LOSS: 84.36	MAE: 48.28	RMSE: 59.44
Epoch 043	LOSS: 83.35	MAE: 47.87	RMSE: 58.91
Epoch 044	LOSS: 82.19	MAE: 47.45	RMSE: 58.37
Epoch 045	LOSS: 81.71	MAE: 47.03	RMSE: 57.81
Epoch 046	LOSS: 80.07	MAE: 46.66	RMSE: 57.33
Epoch 047	LOSS: 79.11	MAE: 46.26	RMSE: 56.80
Epoch 048	LOSS: 78.52	MAE: 47.06	RMSE: 58.06
Epoch 049	LOSS: 77.67	MAE: 46.12	RMSE: 56.75
Epoch 050	LOSS: 76.14	MAE: 45.48	RMSE: 55.86
Epoch 051	LOSS: 75.51	MAE: 45.13	RMSE: 55.42
Epoch 052	LOSS: 74.63	MAE: 44.69	RMSE: 54.81
Epoch 053	LOSS: 73.52	MAE: 44.56	RMSE: 54.68
Epoch 054	LOSS: 72.55	MAE: 44.01	RMSE: 53.92
Epoch 055	LOSS: 71.91	MAE: 43.59	RMSE: 53.35
Epoch 056	LOSS: 70.82	MAE: 43.27	RMSE: 52.94
Epoch 057	LOSS: 69.83	MAE: 42.92	RMSE: 52.46
Epoch 058	LOSS: 68.85	MAE: 42.62	RMSE: 52.08
Epoch 059	LOSS: 68.20	MAE: 42.32	RMSE: 51.70
Epoch 060	LOSS: 67.69	MAE: 41.94	RMSE: 51.18
Epoch 061	LOSS: 66.10	MAE: 41.60	RMSE: 50.76
Epoch 062	LOSS: 65.59	MAE: 41.29	RMSE: 50.34
Epoch 063	LOSS: 64.81	MAE: 40.98	RMSE: 49.92
Epoch 064	LOSS: 63.77	MAE: 40.66	RMSE: 49.51
Epoch 065	LOSS: 62.99	MAE: 40.43	RMSE: 49.21
Epoch 066	LOSS: 62.09	MAE: 40.11	RMSE: 48.78
Epoch 067	LOSS: 61.57	MAE: 39.77	RMSE: 48.32
Epoch 068	LOSS: 60.35	MAE: 39.47	RMSE: 47.93
Epoch 069	LOSS: 59.69	MAE: 39.20	RMSE: 47.58
Epoch 070	LOSS: 59.27	MAE: 38.92	RMSE: 47.22
Epoch 071	LOSS: 58.23	MAE: 38.67	RMSE: 46.90
Epoch 072	LOSS: 57.39	MAE: 38.39	RMSE: 46.54
Epoch 073	LOSS: 56.83	MAE: 38.11	RMSE: 46.18
Epoch 074	LOSS: 56.00	MAE: 37.86	RMSE: 45.86
Epoch 075	LOSS: 55.10	MAE: 37.66	RMSE: 45.61
Epoch 076	LOSS: 54.59	MAE: 37.35	RMSE: 45.21
