Epoch 000	LOSS: 140.73	MAE: 70.75	RMSE: 83.21
Epoch 001	LOSS: 139.72	MAE: 69.89	RMSE: 82.45
Epoch 002	LOSS: 138.05	MAE: 68.97	RMSE: 81.64
Epoch 003	LOSS: 135.51	MAE: 68.06	RMSE: 80.83
Epoch 004	LOSS: 134.45	MAE: 67.20	RMSE: 80.05
Epoch 005	LOSS: 132.54	MAE: 66.36	RMSE: 79.29
Epoch 006	LOSS: 130.90	MAE: 65.54	RMSE: 78.53
Epoch 007	LOSS: 129.20	MAE: 64.74	RMSE: 77.78
Epoch 008	LOSS: 127.52	MAE: 63.98	RMSE: 77.05
Epoch 009	LOSS: 126.40	MAE: 63.22	RMSE: 76.33
Epoch 010	LOSS: 125.18	MAE: 62.50	RMSE: 75.62
Epoch 011	LOSS: 123.98	MAE: 61.82	RMSE: 74.94
Epoch 012	LOSS: 122.00	MAE: 61.16	RMSE: 74.27
Epoch 013	LOSS: 120.89	MAE: 60.53	RMSE: 73.61
Epoch 014	LOSS: 119.21	MAE: 59.93	RMSE: 72.97
Epoch 015	LOSS: 118.12	MAE: 59.35	RMSE: 72.35
Epoch 016	LOSS: 117.31	MAE: 58.80	RMSE: 71.74
Epoch 017	LOSS: 116.45	MAE: 58.26	RMSE: 71.13
Epoch 018	LOSS: 115.09	MAE: 57.74	RMSE: 70.55
Epoch 019	LOSS: 114.22	MAE: 57.24	RMSE: 69.97
Epoch 020	LOSS: 113.49	MAE: 56.76	RMSE: 69.40
Epoch 021	LOSS: 111.82	MAE: 56.29	RMSE: 68.84
Epoch 022	LOSS: 111.51	MAE: 55.82	RMSE: 68.29
Epoch 023	LOSS: 110.25	MAE: 55.38	RMSE: 67.74
Epoch 024	LOSS: 109.65	MAE: 54.94	RMSE: 67.21
Epoch 025	LOSS: 108.43	MAE: 54.52	RMSE: 66.68
Epoch 026	LOSS: 107.45	MAE: 54.10	RMSE: 66.16
Epoch 027	LOSS: 106.67	MAE: 53.69	RMSE: 65.64
Epoch 028	LOSS: 106.33	MAE: 53.29	RMSE: 65.14
Epoch 029	LOSS: 105.33	MAE: 52.90	RMSE: 64.63
Epoch 030	LOSS: 104.74	MAE: 52.52	RMSE: 64.14
Epoch 031	LOSS: 103.53	MAE: 52.15	RMSE: 63.65
Epoch 032	LOSS: 103.24	MAE: 51.78	RMSE: 63.17
Epoch 033	LOSS: 102.01	MAE: 51.42	RMSE: 62.69
Epoch 034	LOSS: 101.62	MAE: 51.06	RMSE: 62.22
Epoch 035	LOSS: 100.65	MAE: 50.72	RMSE: 61.76
Epoch 036	LOSS: 100.01	MAE: 50.37	RMSE: 61.29
Epoch 037	LOSS: 99.72	MAE: 50.03	RMSE: 60.84
Epoch 038	LOSS: 98.77	MAE: 49.70	RMSE: 60.39
Epoch 039	LOSS: 98.09	MAE: 49.38	RMSE: 59.95
Epoch 040	LOSS: 97.14	MAE: 49.06	RMSE: 59.52
Epoch 041	LOSS: 97.28	MAE: 48.75	RMSE: 59.08
Epoch 042	LOSS: 96.21	MAE: 48.44	RMSE: 58.66
Epoch 043	LOSS: 95.62	MAE: 48.12	RMSE: 58.23
Epoch 044	LOSS: 95.13	MAE: 47.82	RMSE: 57.81
Epoch 045	LOSS: 94.54	MAE: 47.52	RMSE: 57.40
Epoch 046	LOSS: 94.01	MAE: 47.23	RMSE: 57.00
Epoch 047	LOSS: 93.26	MAE: 46.95	RMSE: 56.60
Epoch 048	LOSS: 92.93	MAE: 46.77	RMSE: 56.39
Epoch 049	LOSS: 90.77	MAE: 45.99	RMSE: 55.73
Epoch 050	LOSS: 88.52	MAE: 44.51	RMSE: 54.90
Epoch 051	LOSS: 87.65	MAE: 43.96	RMSE: 54.34
Epoch 052	LOSS: 86.45	MAE: 43.68	RMSE: 53.95
Epoch 053	LOSS: 85.74	MAE: 43.19	RMSE: 53.38
Epoch 054	LOSS: 84.90	MAE: 42.73	RMSE: 52.88
Epoch 055	LOSS: 84.26	MAE: 42.39	RMSE: 52.46
Epoch 056	LOSS: 83.32	MAE: 42.03	RMSE: 51.93
Epoch 057	LOSS: 81.94	MAE: 41.54	RMSE: 51.80
Epoch 058	LOSS: 78.05	MAE: 40.04	RMSE: 50.75
Epoch 059	LOSS: 76.44	MAE: 39.32	RMSE: 50.10
Epoch 060	LOSS: 75.32	MAE: 38.64	RMSE: 49.51
Epoch 061	LOSS: 74.37	MAE: 38.20	RMSE: 49.12
Epoch 062	LOSS: 73.40	MAE: 37.61	RMSE: 48.37
Epoch 063	LOSS: 72.37	MAE: 37.11	RMSE: 47.95
Epoch 064	LOSS: 71.22	MAE: 36.60	RMSE: 47.28
Epoch 065	LOSS: 70.09	MAE: 36.10	RMSE: 46.71
Epoch 066	LOSS: 69.01	MAE: 35.63	RMSE: 46.17
Epoch 067	LOSS: 68.03	MAE: 35.28	RMSE: 45.66
Epoch 068	LOSS: 67.13	MAE: 34.72	RMSE: 45.15
Epoch 069	LOSS: 66.13	MAE: 34.46	RMSE: 44.64
Epoch 070	LOSS: 65.24	MAE: 33.93	RMSE: 44.10
Epoch 071	LOSS: 64.25	MAE: 33.44	RMSE: 43.60
Epoch 072	LOSS: 63.72	MAE: 33.00	RMSE: 43.09
Epoch 073	LOSS: 62.37	MAE: 32.54	RMSE: 42.61
Epoch 074	LOSS: 61.50	MAE: 32.07	RMSE: 42.09
Epoch 075	LOSS: 60.75	MAE: 31.65	RMSE: 41.62
Epoch 076	LOSS: 59.77	MAE: 31.25	RMSE: 41.16
Epoch 077	LOSS: 58.89	MAE: 30.91	RMSE: 40.79
Epoch 078	LOSS: 58.05	MAE: 30.50	RMSE: 40.25
Epoch 079	LOSS: 57.46	MAE: 30.12	RMSE: 39.80
Epoch 080	LOSS: 56.29	MAE: 29.72	RMSE: 39.35
Epoch 081	LOSS: 55.59	MAE: 29.31	RMSE: 38.91
Epoch 082	LOSS: 54.85	MAE: 28.98	RMSE: 38.48
Epoch 083	LOSS: 54.14	MAE: 28.60	RMSE: 38.06
Epoch 084	LOSS: 53.44	MAE: 28.35	RMSE: 37.84
Epoch 085	LOSS: 52.74	MAE: 27.97	RMSE: 37.27
Epoch 086	LOSS: 51.91	MAE: 27.69	RMSE: 36.88
Epoch 087	LOSS: 51.35	MAE: 27.33	RMSE: 36.74
Epoch 088	LOSS: 50.54	MAE: 26.97	RMSE: 36.16
Epoch 089	LOSS: 49.87	MAE: 26.77	RMSE: 35.77
Epoch 090	LOSS: 49.10	MAE: 26.33	RMSE: 35.35
Epoch 091	LOSS: 48.29	MAE: 25.96	RMSE: 34.96
Epoch 092	LOSS: 47.71	MAE: 25.72	RMSE: 34.73
Epoch 093	LOSS: 47.02	MAE: 25.50	RMSE: 34.42
Epoch 094	LOSS: 46.40	MAE: 25.09	RMSE: 33.95
Epoch 095	LOSS: 45.98	MAE: 24.80	RMSE: 33.61
Epoch 096	LOSS: 44.94	MAE: 24.54	RMSE: 33.27
Epoch 097	LOSS: 44.88	MAE: 24.40	RMSE: 33.37
Epoch 098	LOSS: 44.00	MAE: 24.36	RMSE: 33.70
Epoch 099	LOSS: 43.39	MAE: 24.01	RMSE: 32.88
Epoch 100	LOSS: 42.73	MAE: 23.64	RMSE: 32.57
Epoch 101	LOSS: 42.11	MAE: 23.39	RMSE: 32.17
