Epoch 000	LOSS: 141.34	MAE: 70.78	RMSE: 83.24
Epoch 001	LOSS: 139.30	MAE: 69.92	RMSE: 82.48
Epoch 002	LOSS: 138.06	MAE: 69.03	RMSE: 81.70
Epoch 003	LOSS: 135.74	MAE: 68.13	RMSE: 80.90
Epoch 004	LOSS: 134.21	MAE: 67.26	RMSE: 80.11
Epoch 005	LOSS: 132.31	MAE: 66.42	RMSE: 79.34
Epoch 006	LOSS: 130.74	MAE: 65.58	RMSE: 78.57
Epoch 007	LOSS: 129.15	MAE: 64.75	RMSE: 77.80
Epoch 008	LOSS: 128.10	MAE: 63.98	RMSE: 77.06
Epoch 009	LOSS: 126.65	MAE: 63.24	RMSE: 76.35
Epoch 010	LOSS: 125.28	MAE: 62.52	RMSE: 75.65
Epoch 011	LOSS: 123.47	MAE: 61.84	RMSE: 74.97
Epoch 012	LOSS: 122.30	MAE: 61.19	RMSE: 74.30
Epoch 013	LOSS: 120.96	MAE: 60.56	RMSE: 73.65
Epoch 014	LOSS: 119.74	MAE: 59.96	RMSE: 73.01
Epoch 015	LOSS: 118.54	MAE: 59.38	RMSE: 72.38
Epoch 016	LOSS: 117.42	MAE: 58.82	RMSE: 71.77
Epoch 017	LOSS: 116.43	MAE: 58.28	RMSE: 71.17
Epoch 018	LOSS: 114.85	MAE: 57.77	RMSE: 70.58
Epoch 019	LOSS: 114.18	MAE: 57.26	RMSE: 70.00
Epoch 020	LOSS: 113.32	MAE: 56.78	RMSE: 69.43
Epoch 021	LOSS: 111.82	MAE: 56.30	RMSE: 68.87
Epoch 022	LOSS: 111.20	MAE: 55.84	RMSE: 68.31
Epoch 023	LOSS: 110.36	MAE: 55.40	RMSE: 67.77
Epoch 024	LOSS: 109.26	MAE: 54.96	RMSE: 67.23
Epoch 025	LOSS: 109.04	MAE: 54.53	RMSE: 66.70
Epoch 026	LOSS: 107.75	MAE: 54.11	RMSE: 66.18
Epoch 027	LOSS: 106.95	MAE: 53.71	RMSE: 65.67
Epoch 028	LOSS: 105.99	MAE: 53.31	RMSE: 65.16
Epoch 029	LOSS: 105.28	MAE: 52.92	RMSE: 64.66
Epoch 030	LOSS: 104.50	MAE: 52.53	RMSE: 64.16
Epoch 031	LOSS: 103.93	MAE: 52.16	RMSE: 63.67
Epoch 032	LOSS: 103.09	MAE: 51.79	RMSE: 63.19
Epoch 033	LOSS: 102.05	MAE: 51.43	RMSE: 62.71
Epoch 034	LOSS: 101.31	MAE: 51.08	RMSE: 62.25
Epoch 035	LOSS: 100.84	MAE: 50.73	RMSE: 61.78
Epoch 036	LOSS: 100.00	MAE: 50.39	RMSE: 61.32
Epoch 037	LOSS: 99.71	MAE: 50.05	RMSE: 60.87
Epoch 038	LOSS: 98.79	MAE: 49.72	RMSE: 60.41
Epoch 039	LOSS: 97.85	MAE: 49.39	RMSE: 59.97
Epoch 040	LOSS: 97.65	MAE: 49.08	RMSE: 59.54
Epoch 041	LOSS: 96.87	MAE: 48.76	RMSE: 59.10
Epoch 042	LOSS: 96.35	MAE: 48.45	RMSE: 58.68
Epoch 043	LOSS: 95.34	MAE: 48.15	RMSE: 58.26
Epoch 044	LOSS: 95.08	MAE: 47.85	RMSE: 57.85
Epoch 045	LOSS: 94.63	MAE: 47.56	RMSE: 57.44
Epoch 046	LOSS: 93.92	MAE: 47.27	RMSE: 57.03
Epoch 047	LOSS: 93.36	MAE: 46.98	RMSE: 56.63
Epoch 048	LOSS: 92.46	MAE: 46.70	RMSE: 56.24
Epoch 049	LOSS: 92.27	MAE: 46.43	RMSE: 55.85
Epoch 050	LOSS: 91.63	MAE: 46.16	RMSE: 55.47
Epoch 051	LOSS: 90.95	MAE: 45.89	RMSE: 55.10
Epoch 052	LOSS: 90.86	MAE: 45.64	RMSE: 54.73
Epoch 053	LOSS: 90.24	MAE: 45.38	RMSE: 54.37
Epoch 054	LOSS: 89.45	MAE: 45.13	RMSE: 54.01
Epoch 055	LOSS: 89.31	MAE: 44.88	RMSE: 53.66
Epoch 056	LOSS: 88.49	MAE: 44.63	RMSE: 53.31
Epoch 057	LOSS: 88.00	MAE: 44.40	RMSE: 52.97
Epoch 058	LOSS: 87.56	MAE: 44.16	RMSE: 52.64
Epoch 059	LOSS: 87.00	MAE: 43.93	RMSE: 52.31
Epoch 060	LOSS: 86.72	MAE: 43.70	RMSE: 51.97
Epoch 061	LOSS: 86.27	MAE: 43.47	RMSE: 51.66
Epoch 062	LOSS: 85.75	MAE: 43.25	RMSE: 51.34
Epoch 063	LOSS: 85.16	MAE: 43.04	RMSE: 51.04
Epoch 064	LOSS: 84.57	MAE: 42.82	RMSE: 50.74
Epoch 065	LOSS: 84.78	MAE: 42.61	RMSE: 50.44
Epoch 066	LOSS: 84.20	MAE: 42.40	RMSE: 50.15
Epoch 067	LOSS: 83.67	MAE: 42.20	RMSE: 49.86
Epoch 068	LOSS: 82.77	MAE: 41.87	RMSE: 49.53
Epoch 069	LOSS: 81.31	MAE: 41.23	RMSE: 49.11
Epoch 070	LOSS: 77.54	MAE: 39.32	RMSE: 47.93
Epoch 071	LOSS: 75.94	MAE: 38.35	RMSE: 47.07
Epoch 072	LOSS: 75.30	MAE: 38.05	RMSE: 46.66
Epoch 073	LOSS: 74.26	MAE: 37.71	RMSE: 46.24
Epoch 074	LOSS: 73.71	MAE: 37.37	RMSE: 45.83
Epoch 075	LOSS: 73.11	MAE: 37.07	RMSE: 45.43
Epoch 076	LOSS: 72.65	MAE: 36.72	RMSE: 45.01
Epoch 077	LOSS: 71.53	MAE: 36.23	RMSE: 44.60
Epoch 078	LOSS: 71.25	MAE: 36.06	RMSE: 44.28
Epoch 079	LOSS: 68.03	MAE: 35.10	RMSE: 43.93
Epoch 080	LOSS: 63.36	MAE: 33.83	RMSE: 44.17
Epoch 081	LOSS: 61.85	MAE: 33.46	RMSE: 44.17
Epoch 082	LOSS: 60.74	MAE: 32.54	RMSE: 42.98
Epoch 083	LOSS: 59.60	MAE: 31.87	RMSE: 42.15
Epoch 084	LOSS: 58.31	MAE: 31.30	RMSE: 41.53
Epoch 085	LOSS: 57.83	MAE: 30.87	RMSE: 41.06
Epoch 086	LOSS: 56.62	MAE: 30.43	RMSE: 40.60
Epoch 087	LOSS: 55.79	MAE: 30.02	RMSE: 40.14
Epoch 088	LOSS: 54.91	MAE: 29.61	RMSE: 39.68
Epoch 089	LOSS: 54.16	MAE: 29.19	RMSE: 39.22
Epoch 090	LOSS: 53.26	MAE: 28.81	RMSE: 38.80
Epoch 091	LOSS: 52.25	MAE: 28.43	RMSE: 38.35
Epoch 092	LOSS: 51.47	MAE: 28.01	RMSE: 37.88
Epoch 093	LOSS: 50.80	MAE: 27.66	RMSE: 37.45
Epoch 094	LOSS: 49.91	MAE: 27.27	RMSE: 37.06
Epoch 095	LOSS: 49.17	MAE: 26.94	RMSE: 36.62
Epoch 096	LOSS: 48.54	MAE: 26.60	RMSE: 36.19
Epoch 097	LOSS: 47.71	MAE: 26.25	RMSE: 35.82
Epoch 098	LOSS: 47.16	MAE: 25.89	RMSE: 35.41
Epoch 099	LOSS: 46.06	MAE: 25.56	RMSE: 35.02
Epoch 100	LOSS: 45.73	MAE: 25.25	RMSE: 34.65
Epoch 101	LOSS: 44.74	MAE: 24.95	RMSE: 34.25
Epoch 102	LOSS: 44.19	MAE: 24.62	RMSE: 33.91
Epoch 103	LOSS: 43.71	MAE: 24.34	RMSE: 33.66
Epoch 104	LOSS: 43.00	MAE: 24.04	RMSE: 33.26
Epoch 105	LOSS: 42.32	MAE: 23.80	RMSE: 32.93
Epoch 106	LOSS: 41.78	MAE: 23.45	RMSE: 32.59
Epoch 107	LOSS: 41.29	MAE: 23.22	RMSE: 32.29
Epoch 108	LOSS: 40.66	MAE: 22.95	RMSE: 32.03
Epoch 109	LOSS: 40.22	MAE: 22.70	RMSE: 31.82
Epoch 110	LOSS: 39.42	MAE: 22.43	RMSE: 31.49
Epoch 111	LOSS: 38.82	MAE: 22.18	RMSE: 31.20
Epoch 112	LOSS: 38.37	MAE: 21.90	RMSE: 30.88
Epoch 113	LOSS: 37.82	MAE: 21.70	RMSE: 30.60
Epoch 114	LOSS: 37.42	MAE: 21.45	RMSE: 30.27
Epoch 115	LOSS: 37.00	MAE: 21.26	RMSE: 30.06
Epoch 116	LOSS: 36.49	MAE: 21.00	RMSE: 29.75
Epoch 117	LOSS: 35.91	MAE: 20.75	RMSE: 29.61
Epoch 118	LOSS: 35.57	MAE: 20.55	RMSE: 29.31
Epoch 119	LOSS: 35.07	MAE: 20.42	RMSE: 29.19
Epoch 120	LOSS: 34.55	MAE: 20.22	RMSE: 29.05
Epoch 121	LOSS: 34.11	MAE: 19.97	RMSE: 28.72
Epoch 122	LOSS: 33.67	MAE: 19.77	RMSE: 28.49
Epoch 123	LOSS: 33.39	MAE: 19.58	RMSE: 28.33
Epoch 124	LOSS: 32.97	MAE: 19.42	RMSE: 28.07
Epoch 125	LOSS: 32.61	MAE: 19.23	RMSE: 27.91
Epoch 126	LOSS: 32.18	MAE: 19.12	RMSE: 27.76
Epoch 127	LOSS: 31.79	MAE: 18.92	RMSE: 27.67
Epoch 128	LOSS: 31.49	MAE: 18.82	RMSE: 27.46
Epoch 129	LOSS: 31.17	MAE: 18.63	RMSE: 27.27
Epoch 130	LOSS: 30.83	MAE: 18.50	RMSE: 27.06
Epoch 131	LOSS: 30.49	MAE: 18.31	RMSE: 27.03
Epoch 132	LOSS: 30.22	MAE: 18.26	RMSE: 26.97
Epoch 133	LOSS: 30.01	MAE: 18.10	RMSE: 26.92
Epoch 134	LOSS: 29.62	MAE: 18.01	RMSE: 26.73
Epoch 135	LOSS: 29.36	MAE: 17.85	RMSE: 26.54
Epoch 136	LOSS: 29.06	MAE: 17.77	RMSE: 26.51
Epoch 137	LOSS: 28.75	MAE: 17.62	RMSE: 26.34
Epoch 138	LOSS: 28.57	MAE: 17.52	RMSE: 26.19
Epoch 139	LOSS: 28.33	MAE: 17.40	RMSE: 26.11
Epoch 140	LOSS: 28.09	MAE: 17.33	RMSE: 25.92
Epoch 141	LOSS: 27.87	MAE: 17.19	RMSE: 25.86
Epoch 142	LOSS: 27.63	MAE: 17.13	RMSE: 25.81
Epoch 143	LOSS: 27.50	MAE: 16.98	RMSE: 25.58
Epoch 144	LOSS: 27.29	MAE: 16.90	RMSE: 25.53
Epoch 145	LOSS: 26.97	MAE: 16.78	RMSE: 25.44
Epoch 146	LOSS: 26.79	MAE: 16.70	RMSE: 25.32
Epoch 147	LOSS: 26.71	MAE: 16.62	RMSE: 25.28
Epoch 148	LOSS: 26.44	MAE: 16.54	RMSE: 25.11
Epoch 149	LOSS: 26.25	MAE: 16.47	RMSE: 25.08
Epoch 150	LOSS: 26.05	MAE: 16.37	RMSE: 24.95
Epoch 151	LOSS: 26.01	MAE: 16.32	RMSE: 24.83
Epoch 152	LOSS: 25.83	MAE: 16.25	RMSE: 24.83
Epoch 153	LOSS: 25.83	MAE: 16.18	RMSE: 24.73
Epoch 154	LOSS: 25.57	MAE: 16.16	RMSE: 24.67
Epoch 155	LOSS: 25.45	MAE: 16.10	RMSE: 24.64
Epoch 156	LOSS: 25.33	MAE: 16.01	RMSE: 24.55
Epoch 157	LOSS: 25.13	MAE: 15.95	RMSE: 24.50
Epoch 158	LOSS: 25.08	MAE: 15.92	RMSE: 24.47
Epoch 159	LOSS: 24.97	MAE: 15.88	RMSE: 24.45
Epoch 160	LOSS: 24.92	MAE: 15.87	RMSE: 24.36
Epoch 161	LOSS: 24.71	MAE: 15.80	RMSE: 24.43
Epoch 162	LOSS: 24.63	MAE: 15.75	RMSE: 24.30
Epoch 163	LOSS: 24.58	MAE: 15.68	RMSE: 24.25
Epoch 164	LOSS: 24.54	MAE: 15.68	RMSE: 24.27
Epoch 165	LOSS: 24.44	MAE: 15.60	RMSE: 24.17
Epoch 166	LOSS: 24.32	MAE: 15.58	RMSE: 24.22
Epoch 167	LOSS: 24.27	MAE: 15.55	RMSE: 24.10
Epoch 168	LOSS: 24.13	MAE: 15.51	RMSE: 24.07
Epoch 169	LOSS: 24.17	MAE: 15.47	RMSE: 24.09
Epoch 170	LOSS: 24.05	MAE: 15.44	RMSE: 24.07
Epoch 171	LOSS: 23.95	MAE: 15.42	RMSE: 24.04
Epoch 172	LOSS: 23.83	MAE: 15.35	RMSE: 23.89
Epoch 173	LOSS: 23.84	MAE: 15.36	RMSE: 23.92
Epoch 174	LOSS: 23.69	MAE: 15.31	RMSE: 23.92
Epoch 175	LOSS: 23.67	MAE: 15.30	RMSE: 23.89
Epoch 176	LOSS: 23.69	MAE: 15.27	RMSE: 23.83
Epoch 177	LOSS: 23.67	MAE: 15.24	RMSE: 23.83
Epoch 178	LOSS: 23.58	MAE: 15.21	RMSE: 23.85
Epoch 179	LOSS: 23.54	MAE: 15.23	RMSE: 23.89
Epoch 180	LOSS: 23.54	MAE: 15.23	RMSE: 23.91
Epoch 181	LOSS: 23.51	MAE: 15.19	RMSE: 23.95
Epoch 182	LOSS: 23.35	MAE: 15.15	RMSE: 23.85
Epoch 183	LOSS: 23.38	MAE: 15.17	RMSE: 23.85
Epoch 184	LOSS: 23.30	MAE: 15.13	RMSE: 23.83
Epoch 185	LOSS: 23.33	MAE: 15.14	RMSE: 23.75
Epoch 186	LOSS: 23.33	MAE: 15.07	RMSE: 23.78
Epoch 187	LOSS: 23.22	MAE: 15.12	RMSE: 23.85
Epoch 188	LOSS: 23.28	MAE: 15.10	RMSE: 23.91
Epoch 189	LOSS: 23.19	MAE: 15.07	RMSE: 23.66
Epoch 190	LOSS: 23.16	MAE: 15.04	RMSE: 23.75
Epoch 191	LOSS: 23.16	MAE: 15.05	RMSE: 23.69
Epoch 192	LOSS: 23.07	MAE: 15.03	RMSE: 23.71
Epoch 193	LOSS: 23.20	MAE: 15.00	RMSE: 23.67
Epoch 194	LOSS: 23.07	MAE: 15.03	RMSE: 23.77
Epoch 195	LOSS: 23.09	MAE: 14.97	RMSE: 23.68
Epoch 196	LOSS: 23.03	MAE: 14.97	RMSE: 23.61
Epoch 197	LOSS: 23.01	MAE: 14.95	RMSE: 23.60
Epoch 198	LOSS: 23.02	MAE: 14.97	RMSE: 23.58
Epoch 199	LOSS: 22.90	MAE: 14.90	RMSE: 23.52
Epoch 200	LOSS: 22.91	MAE: 14.88	RMSE: 23.47
Epoch 201	LOSS: 22.93	MAE: 14.90	RMSE: 23.58
Epoch 202	LOSS: 22.93	MAE: 14.94	RMSE: 23.55
Epoch 203	LOSS: 22.84	MAE: 14.91	RMSE: 23.67
Epoch 204	LOSS: 22.92	MAE: 14.89	RMSE: 23.47
Epoch 205	LOSS: 22.90	MAE: 14.82	RMSE: 23.46
Epoch 206	LOSS: 22.83	MAE: 14.87	RMSE: 23.58
Epoch 207	LOSS: 22.89	MAE: 14.87	RMSE: 23.49
