Epoch 000	LOSS: 141.81	MAE: 70.77	RMSE: 83.23
Epoch 001	LOSS: 140.11	MAE: 69.90	RMSE: 82.47
Epoch 002	LOSS: 138.01	MAE: 69.01	RMSE: 81.68
Epoch 003	LOSS: 136.31	MAE: 68.10	RMSE: 80.87
Epoch 004	LOSS: 134.15	MAE: 67.22	RMSE: 80.08
Epoch 005	LOSS: 133.03	MAE: 66.38	RMSE: 79.31
Epoch 006	LOSS: 130.82	MAE: 65.55	RMSE: 78.54
Epoch 007	LOSS: 129.76	MAE: 64.75	RMSE: 77.80
Epoch 008	LOSS: 128.00	MAE: 63.99	RMSE: 77.08
Epoch 009	LOSS: 125.68	MAE: 63.25	RMSE: 76.37
Epoch 010	LOSS: 125.35	MAE: 62.54	RMSE: 75.66
Epoch 011	LOSS: 123.38	MAE: 61.85	RMSE: 74.97
Epoch 012	LOSS: 122.38	MAE: 61.19	RMSE: 74.30
Epoch 013	LOSS: 120.81	MAE: 60.56	RMSE: 73.65
Epoch 014	LOSS: 119.37	MAE: 59.96	RMSE: 73.01
Epoch 015	LOSS: 118.71	MAE: 59.38	RMSE: 72.38
Epoch 016	LOSS: 117.60	MAE: 58.82	RMSE: 71.77
Epoch 017	LOSS: 116.56	MAE: 58.29	RMSE: 71.17
Epoch 018	LOSS: 115.17	MAE: 57.77	RMSE: 70.58
Epoch 019	LOSS: 113.97	MAE: 57.27	RMSE: 70.01
Epoch 020	LOSS: 113.16	MAE: 56.78	RMSE: 69.43
Epoch 021	LOSS: 112.53	MAE: 56.31	RMSE: 68.88
Epoch 022	LOSS: 111.66	MAE: 55.85	RMSE: 68.32
Epoch 023	LOSS: 110.34	MAE: 55.40	RMSE: 67.78
Epoch 024	LOSS: 109.63	MAE: 54.96	RMSE: 67.24
Epoch 025	LOSS: 108.93	MAE: 54.54	RMSE: 66.71
Epoch 026	LOSS: 107.64	MAE: 54.12	RMSE: 66.19
Epoch 027	LOSS: 106.63	MAE: 53.71	RMSE: 65.68
Epoch 028	LOSS: 106.07	MAE: 53.32	RMSE: 65.17
Epoch 029	LOSS: 105.39	MAE: 52.92	RMSE: 64.66
Epoch 030	LOSS: 104.76	MAE: 52.54	RMSE: 64.17
Epoch 031	LOSS: 103.81	MAE: 52.16	RMSE: 63.67
Epoch 032	LOSS: 103.16	MAE: 51.79	RMSE: 63.19
Epoch 033	LOSS: 102.20	MAE: 51.43	RMSE: 62.72
Epoch 034	LOSS: 101.65	MAE: 51.08	RMSE: 62.25
Epoch 035	LOSS: 101.19	MAE: 50.73	RMSE: 61.78
Epoch 036	LOSS: 100.77	MAE: 50.39	RMSE: 61.32
Epoch 037	LOSS: 99.49	MAE: 50.05	RMSE: 60.86
Epoch 038	LOSS: 99.26	MAE: 49.72	RMSE: 60.43
Epoch 039	LOSS: 98.27	MAE: 49.39	RMSE: 59.97
Epoch 040	LOSS: 97.49	MAE: 49.07	RMSE: 59.54
Epoch 041	LOSS: 96.99	MAE: 48.74	RMSE: 59.10
Epoch 042	LOSS: 96.24	MAE: 48.43	RMSE: 58.68
Epoch 043	LOSS: 95.42	MAE: 48.05	RMSE: 58.25
Epoch 044	LOSS: 93.90	MAE: 46.96	RMSE: 57.94
Epoch 045	LOSS: 91.70	MAE: 46.15	RMSE: 56.99
Epoch 046	LOSS: 90.54	MAE: 45.74	RMSE: 56.49
Epoch 047	LOSS: 89.91	MAE: 45.28	RMSE: 56.01
Epoch 048	LOSS: 89.15	MAE: 44.82	RMSE: 55.47
Epoch 049	LOSS: 87.82	MAE: 44.37	RMSE: 55.17
Epoch 050	LOSS: 84.94	MAE: 43.16	RMSE: 54.40
Epoch 051	LOSS: 83.12	MAE: 42.26	RMSE: 53.69
Epoch 052	LOSS: 81.81	MAE: 41.70	RMSE: 53.11
Epoch 053	LOSS: 80.78	MAE: 41.20	RMSE: 52.53
Epoch 054	LOSS: 79.32	MAE: 40.67	RMSE: 51.94
Epoch 055	LOSS: 78.43	MAE: 40.15	RMSE: 51.37
Epoch 056	LOSS: 77.33	MAE: 39.62	RMSE: 50.78
Epoch 057	LOSS: 76.39	MAE: 39.15	RMSE: 50.23
Epoch 058	LOSS: 75.58	MAE: 38.62	RMSE: 49.66
Epoch 059	LOSS: 74.32	MAE: 38.10	RMSE: 49.09
Epoch 060	LOSS: 73.46	MAE: 37.64	RMSE: 48.55
Epoch 061	LOSS: 72.56	MAE: 37.16	RMSE: 48.00
Epoch 062	LOSS: 71.19	MAE: 36.69	RMSE: 47.48
Epoch 063	LOSS: 70.27	MAE: 36.21	RMSE: 46.92
Epoch 064	LOSS: 69.30	MAE: 35.75	RMSE: 46.43
Epoch 065	LOSS: 68.10	MAE: 35.31	RMSE: 45.89
Epoch 066	LOSS: 67.45	MAE: 34.84	RMSE: 45.38
Epoch 067	LOSS: 66.25	MAE: 34.42	RMSE: 44.88
Epoch 068	LOSS: 65.36	MAE: 34.00	RMSE: 44.39
Epoch 069	LOSS: 64.78	MAE: 33.82	RMSE: 44.50
Epoch 070	LOSS: 63.90	MAE: 33.39	RMSE: 43.98
Epoch 071	LOSS: 62.77	MAE: 32.98	RMSE: 43.47
Epoch 072	LOSS: 62.04	MAE: 32.55	RMSE: 42.99
Epoch 073	LOSS: 61.08	MAE: 32.19	RMSE: 42.52
Epoch 074	LOSS: 60.27	MAE: 31.74	RMSE: 42.07
