Epoch 000	LOSS: 141.51	MAE: 70.78	RMSE: 83.24
Epoch 001	LOSS: 139.49	MAE: 69.91	RMSE: 82.48
Epoch 002	LOSS: 137.64	MAE: 69.02	RMSE: 81.68
Epoch 003	LOSS: 136.23	MAE: 68.10	RMSE: 80.87
Epoch 004	LOSS: 134.22	MAE: 67.22	RMSE: 80.08
Epoch 005	LOSS: 133.13	MAE: 66.39	RMSE: 79.32
Epoch 006	LOSS: 130.95	MAE: 65.56	RMSE: 78.56
Epoch 007	LOSS: 129.31	MAE: 64.74	RMSE: 77.79
Epoch 008	LOSS: 127.82	MAE: 63.98	RMSE: 77.06
Epoch 009	LOSS: 126.45	MAE: 63.23	RMSE: 76.35
Epoch 010	LOSS: 124.88	MAE: 62.52	RMSE: 75.64
Epoch 011	LOSS: 123.51	MAE: 61.83	RMSE: 74.96
Epoch 012	LOSS: 122.35	MAE: 61.18	RMSE: 74.29
Epoch 013	LOSS: 121.72	MAE: 60.55	RMSE: 73.64
Epoch 014	LOSS: 119.88	MAE: 59.95	RMSE: 73.00
Epoch 015	LOSS: 118.71	MAE: 59.37	RMSE: 72.37
Epoch 016	LOSS: 117.16	MAE: 58.81	RMSE: 71.76
Epoch 017	LOSS: 116.52	MAE: 58.28	RMSE: 71.16
Epoch 018	LOSS: 115.48	MAE: 57.76	RMSE: 70.57
Epoch 019	LOSS: 113.86	MAE: 57.26	RMSE: 69.99
Epoch 020	LOSS: 113.40	MAE: 56.78	RMSE: 69.43
Epoch 021	LOSS: 112.45	MAE: 56.31	RMSE: 68.87
Epoch 022	LOSS: 111.18	MAE: 55.84	RMSE: 68.31
Epoch 023	LOSS: 110.45	MAE: 55.39	RMSE: 67.77
Epoch 024	LOSS: 109.24	MAE: 54.96	RMSE: 67.23
Epoch 025	LOSS: 108.91	MAE: 54.53	RMSE: 66.70
Epoch 026	LOSS: 107.65	MAE: 54.12	RMSE: 66.19
Epoch 027	LOSS: 106.45	MAE: 53.71	RMSE: 65.67
Epoch 028	LOSS: 105.97	MAE: 53.31	RMSE: 65.16
Epoch 029	LOSS: 105.48	MAE: 52.92	RMSE: 64.66
Epoch 030	LOSS: 104.79	MAE: 52.53	RMSE: 64.16
Epoch 031	LOSS: 103.83	MAE: 52.16	RMSE: 63.67
Epoch 032	LOSS: 102.97	MAE: 51.80	RMSE: 63.20
Epoch 033	LOSS: 102.60	MAE: 51.44	RMSE: 62.72
Epoch 034	LOSS: 101.60	MAE: 51.08	RMSE: 62.25
