Epoch 000	LOSS: 141.93	MAE: 70.85	RMSE: 83.30
Epoch 001	LOSS: 139.96	MAE: 69.99	RMSE: 82.55
Epoch 002	LOSS: 137.96	MAE: 69.08	RMSE: 81.75
Epoch 003	LOSS: 136.30	MAE: 68.15	RMSE: 80.92
Epoch 004	LOSS: 134.47	MAE: 67.27	RMSE: 80.13
Epoch 005	LOSS: 132.30	MAE: 66.42	RMSE: 79.35
Epoch 006	LOSS: 130.82	MAE: 65.58	RMSE: 78.57
Epoch 007	LOSS: 129.02	MAE: 64.77	RMSE: 77.82
Epoch 008	LOSS: 127.87	MAE: 64.01	RMSE: 77.09
Epoch 009	LOSS: 126.59	MAE: 63.26	RMSE: 76.38
Epoch 010	LOSS: 125.02	MAE: 62.55	RMSE: 75.68
Epoch 011	LOSS: 123.19	MAE: 61.86	RMSE: 74.99
Epoch 012	LOSS: 122.32	MAE: 61.21	RMSE: 74.32
Epoch 013	LOSS: 120.90	MAE: 60.58	RMSE: 73.67
Epoch 014	LOSS: 119.44	MAE: 59.97	RMSE: 73.03
Epoch 015	LOSS: 118.53	MAE: 59.40	RMSE: 72.40
Epoch 016	LOSS: 116.91	MAE: 58.84	RMSE: 71.79
Epoch 017	LOSS: 115.83	MAE: 58.30	RMSE: 71.18
Epoch 018	LOSS: 115.53	MAE: 57.78	RMSE: 70.59
Epoch 019	LOSS: 114.01	MAE: 57.27	RMSE: 70.01
Epoch 020	LOSS: 112.98	MAE: 56.78	RMSE: 69.44
Epoch 021	LOSS: 112.42	MAE: 56.31	RMSE: 68.88
Epoch 022	LOSS: 110.99	MAE: 55.86	RMSE: 68.33
Epoch 023	LOSS: 110.39	MAE: 55.41	RMSE: 67.79
Epoch 024	LOSS: 109.46	MAE: 54.98	RMSE: 67.26
Epoch 025	LOSS: 108.51	MAE: 54.54	RMSE: 66.72
Epoch 026	LOSS: 107.80	MAE: 54.13	RMSE: 66.20
Epoch 027	LOSS: 107.23	MAE: 53.72	RMSE: 65.68
Epoch 028	LOSS: 106.64	MAE: 53.32	RMSE: 65.17
Epoch 029	LOSS: 105.26	MAE: 52.93	RMSE: 64.67
Epoch 030	LOSS: 104.17	MAE: 52.54	RMSE: 64.18
Epoch 031	LOSS: 103.79	MAE: 52.17	RMSE: 63.69
Epoch 032	LOSS: 102.89	MAE: 51.80	RMSE: 63.20
Epoch 033	LOSS: 102.33	MAE: 51.43	RMSE: 62.72
Epoch 034	LOSS: 101.64	MAE: 51.08	RMSE: 62.26
Epoch 035	LOSS: 101.12	MAE: 50.74	RMSE: 61.80
Epoch 036	LOSS: 99.90	MAE: 50.39	RMSE: 61.33
Epoch 037	LOSS: 99.68	MAE: 50.05	RMSE: 60.88
Epoch 038	LOSS: 98.30	MAE: 49.71	RMSE: 60.43
Epoch 039	LOSS: 97.86	MAE: 49.29	RMSE: 59.99
Epoch 040	LOSS: 96.32	MAE: 48.62	RMSE: 59.52
Epoch 041	LOSS: 94.57	MAE: 47.65	RMSE: 58.81
Epoch 042	LOSS: 93.55	MAE: 47.02	RMSE: 58.25
Epoch 043	LOSS: 92.85	MAE: 46.68	RMSE: 57.74
Epoch 044	LOSS: 91.74	MAE: 46.06	RMSE: 57.22
Epoch 045	LOSS: 88.81	MAE: 45.03	RMSE: 56.75
Epoch 046	LOSS: 86.99	MAE: 44.23	RMSE: 55.98
Epoch 047	LOSS: 85.99	MAE: 43.70	RMSE: 55.36
Epoch 048	LOSS: 84.60	MAE: 43.17	RMSE: 54.76
Epoch 049	LOSS: 83.61	MAE: 42.59	RMSE: 54.15
Epoch 050	LOSS: 82.54	MAE: 42.08	RMSE: 53.56
Epoch 051	LOSS: 81.54	MAE: 41.67	RMSE: 53.23
Epoch 052	LOSS: 80.56	MAE: 41.03	RMSE: 52.41
Epoch 053	LOSS: 79.40	MAE: 40.54	RMSE: 51.84
Epoch 054	LOSS: 78.39	MAE: 40.23	RMSE: 51.67
Epoch 055	LOSS: 77.30	MAE: 39.57	RMSE: 50.74
Epoch 056	LOSS: 75.90	MAE: 39.06	RMSE: 50.25
Epoch 057	LOSS: 75.13	MAE: 38.62	RMSE: 49.64
Epoch 058	LOSS: 74.45	MAE: 38.10	RMSE: 49.16
Epoch 059	LOSS: 73.02	MAE: 37.62	RMSE: 48.56
Epoch 060	LOSS: 72.12	MAE: 37.14	RMSE: 48.03
Epoch 061	LOSS: 71.34	MAE: 36.72	RMSE: 47.50
Epoch 062	LOSS: 70.09	MAE: 36.22	RMSE: 47.01
Epoch 063	LOSS: 69.13	MAE: 35.78	RMSE: 46.47
Epoch 064	LOSS: 68.42	MAE: 35.32	RMSE: 45.97
Epoch 065	LOSS: 67.16	MAE: 34.90	RMSE: 45.46
Epoch 066	LOSS: 66.68	MAE: 34.48	RMSE: 44.98
Epoch 067	LOSS: 65.64	MAE: 34.07	RMSE: 44.51
Epoch 068	LOSS: 64.81	MAE: 33.62	RMSE: 43.99
Epoch 069	LOSS: 63.86	MAE: 33.22	RMSE: 43.53
Epoch 070	LOSS: 62.89	MAE: 32.78	RMSE: 43.06
Epoch 071	LOSS: 62.15	MAE: 32.43	RMSE: 42.58
Epoch 072	LOSS: 61.33	MAE: 32.04	RMSE: 42.11
Epoch 073	LOSS: 60.46	MAE: 31.62	RMSE: 41.66
Epoch 074	LOSS: 59.60	MAE: 31.25	RMSE: 41.22
Epoch 075	LOSS: 58.83	MAE: 30.93	RMSE: 40.77
Epoch 076	LOSS: 58.06	MAE: 30.47	RMSE: 40.32
Epoch 077	LOSS: 57.17	MAE: 30.10	RMSE: 39.88
Epoch 078	LOSS: 56.60	MAE: 29.73	RMSE: 39.46
Epoch 079	LOSS: 55.53	MAE: 29.39	RMSE: 39.05
Epoch 080	LOSS: 54.92	MAE: 29.06	RMSE: 38.64
Epoch 081	LOSS: 54.29	MAE: 28.68	RMSE: 38.23
Epoch 082	LOSS: 53.19	MAE: 28.39	RMSE: 37.84
Epoch 083	LOSS: 52.73	MAE: 28.03	RMSE: 37.44
Epoch 084	LOSS: 51.99	MAE: 27.73	RMSE: 37.05
Epoch 085	LOSS: 51.23	MAE: 27.36	RMSE: 36.66
Epoch 086	LOSS: 50.48	MAE: 27.06	RMSE: 36.28
Epoch 087	LOSS: 49.93	MAE: 26.70	RMSE: 35.90
Epoch 088	LOSS: 49.16	MAE: 26.41	RMSE: 35.54
Epoch 089	LOSS: 48.67	MAE: 26.11	RMSE: 35.20
Epoch 090	LOSS: 48.03	MAE: 25.93	RMSE: 34.84
Epoch 091	LOSS: 47.29	MAE: 25.55	RMSE: 34.48
Epoch 092	LOSS: 46.76	MAE: 25.23	RMSE: 34.14
Epoch 093	LOSS: 46.00	MAE: 24.96	RMSE: 33.83
