Epoch 000	LOSS: 141.66	MAE: 70.79	RMSE: 83.25
Epoch 001	LOSS: 139.39	MAE: 69.95	RMSE: 82.50
Epoch 002	LOSS: 137.63	MAE: 69.08	RMSE: 81.73
Epoch 003	LOSS: 136.17	MAE: 68.16	RMSE: 80.92
Epoch 004	LOSS: 134.42	MAE: 67.26	RMSE: 80.11
Epoch 005	LOSS: 132.86	MAE: 66.41	RMSE: 79.33
Epoch 006	LOSS: 131.06	MAE: 65.58	RMSE: 78.57
Epoch 007	LOSS: 129.87	MAE: 64.78	RMSE: 77.82
Epoch 008	LOSS: 128.32	MAE: 64.01	RMSE: 77.09
Epoch 009	LOSS: 126.27	MAE: 63.26	RMSE: 76.37
Epoch 010	LOSS: 125.01	MAE: 62.55	RMSE: 75.66
Epoch 011	LOSS: 123.96	MAE: 61.85	RMSE: 74.97
Epoch 012	LOSS: 121.99	MAE: 61.19	RMSE: 74.30
Epoch 013	LOSS: 120.43	MAE: 60.56	RMSE: 73.64
Epoch 014	LOSS: 119.48	MAE: 59.96	RMSE: 73.00
Epoch 015	LOSS: 118.44	MAE: 59.38	RMSE: 72.37
Epoch 016	LOSS: 117.42	MAE: 58.82	RMSE: 71.77
Epoch 017	LOSS: 116.39	MAE: 58.29	RMSE: 71.17
Epoch 018	LOSS: 115.43	MAE: 57.77	RMSE: 70.58
Epoch 019	LOSS: 114.06	MAE: 57.27	RMSE: 69.99
Epoch 020	LOSS: 113.20	MAE: 56.78	RMSE: 69.42
Epoch 021	LOSS: 112.00	MAE: 56.30	RMSE: 68.86
Epoch 022	LOSS: 111.22	MAE: 55.85	RMSE: 68.31
Epoch 023	LOSS: 110.30	MAE: 55.40	RMSE: 67.77
Epoch 024	LOSS: 109.48	MAE: 54.96	RMSE: 67.22
Epoch 025	LOSS: 108.62	MAE: 54.53	RMSE: 66.70
Epoch 026	LOSS: 107.85	MAE: 54.11	RMSE: 66.17
Epoch 027	LOSS: 106.57	MAE: 53.71	RMSE: 65.66
Epoch 028	LOSS: 105.85	MAE: 53.31	RMSE: 65.15
Epoch 029	LOSS: 105.02	MAE: 52.91	RMSE: 64.65
Epoch 030	LOSS: 104.50	MAE: 52.53	RMSE: 64.15
Epoch 031	LOSS: 103.74	MAE: 52.16	RMSE: 63.67
Epoch 032	LOSS: 102.81	MAE: 51.79	RMSE: 63.18
Epoch 033	LOSS: 102.54	MAE: 51.42	RMSE: 62.70
Epoch 034	LOSS: 101.34	MAE: 51.07	RMSE: 62.23
Epoch 035	LOSS: 101.07	MAE: 50.72	RMSE: 61.76
Epoch 036	LOSS: 99.81	MAE: 50.38	RMSE: 61.31
Epoch 037	LOSS: 99.62	MAE: 50.04	RMSE: 60.85
Epoch 038	LOSS: 98.56	MAE: 49.70	RMSE: 60.40
Epoch 039	LOSS: 98.04	MAE: 49.37	RMSE: 59.95
Epoch 040	LOSS: 97.36	MAE: 49.05	RMSE: 59.52
Epoch 041	LOSS: 96.54	MAE: 48.65	RMSE: 59.13
Epoch 042	LOSS: 93.96	MAE: 47.26	RMSE: 58.34
Epoch 043	LOSS: 92.85	MAE: 46.80	RMSE: 57.80
Epoch 044	LOSS: 91.96	MAE: 46.24	RMSE: 57.26
Epoch 045	LOSS: 90.76	MAE: 45.81	RMSE: 56.78
Epoch 046	LOSS: 90.05	MAE: 45.24	RMSE: 56.21
Epoch 047	LOSS: 89.13	MAE: 44.77	RMSE: 55.79
Epoch 048	LOSS: 85.17	MAE: 43.47	RMSE: 55.04
Epoch 049	LOSS: 84.64	MAE: 42.95	RMSE: 54.45
Epoch 050	LOSS: 83.17	MAE: 42.71	RMSE: 54.51
Epoch 051	LOSS: 82.20	MAE: 42.16	RMSE: 53.88
Epoch 052	LOSS: 80.72	MAE: 41.60	RMSE: 53.25
Epoch 053	LOSS: 79.72	MAE: 41.07	RMSE: 52.66
Epoch 054	LOSS: 78.82	MAE: 40.55	RMSE: 52.08
Epoch 055	LOSS: 78.07	MAE: 40.04	RMSE: 51.48
Epoch 056	LOSS: 76.76	MAE: 39.50	RMSE: 50.87
Epoch 057	LOSS: 75.77	MAE: 38.99	RMSE: 50.29
Epoch 058	LOSS: 74.65	MAE: 38.49	RMSE: 49.73
Epoch 059	LOSS: 73.64	MAE: 38.01	RMSE: 49.17
Epoch 060	LOSS: 72.35	MAE: 37.54	RMSE: 48.66
Epoch 061	LOSS: 71.37	MAE: 37.07	RMSE: 48.12
Epoch 062	LOSS: 70.57	MAE: 36.61	RMSE: 47.58
Epoch 063	LOSS: 69.69	MAE: 36.13	RMSE: 47.06
Epoch 064	LOSS: 68.91	MAE: 35.69	RMSE: 46.56
Epoch 065	LOSS: 68.11	MAE: 35.26	RMSE: 46.04
Epoch 066	LOSS: 66.52	MAE: 34.79	RMSE: 45.52
Epoch 067	LOSS: 65.84	MAE: 34.38	RMSE: 45.05
Epoch 068	LOSS: 65.03	MAE: 33.95	RMSE: 44.57
Epoch 069	LOSS: 64.08	MAE: 33.50	RMSE: 44.07
Epoch 070	LOSS: 63.18	MAE: 33.11	RMSE: 43.58
Epoch 071	LOSS: 62.42	MAE: 32.69	RMSE: 43.13
Epoch 072	LOSS: 61.60	MAE: 32.32	RMSE: 42.69
Epoch 073	LOSS: 60.79	MAE: 31.91	RMSE: 42.19
Epoch 074	LOSS: 59.77	MAE: 31.54	RMSE: 41.71
Epoch 075	LOSS: 58.81	MAE: 31.13	RMSE: 41.25
Epoch 076	LOSS: 58.48	MAE: 30.76	RMSE: 40.85
Epoch 077	LOSS: 57.44	MAE: 30.45	RMSE: 40.55
Epoch 078	LOSS: 56.43	MAE: 30.05	RMSE: 40.06
Epoch 079	LOSS: 55.80	MAE: 29.66	RMSE: 39.60
Epoch 080	LOSS: 55.03	MAE: 29.31	RMSE: 39.12
Epoch 081	LOSS: 54.55	MAE: 28.96	RMSE: 38.65
Epoch 082	LOSS: 53.75	MAE: 28.63	RMSE: 38.30
