Epoch 000	LOSS: 54.24	MAE: 56.82	RMSE: 57.45
Epoch 001	LOSS: 53.79	MAE: 56.19	RMSE: 56.83
Epoch 002	LOSS: 52.90	MAE: 55.56	RMSE: 56.22
Epoch 003	LOSS: 52.66	MAE: 54.90	RMSE: 55.56
Epoch 004	LOSS: 52.01	MAE: 54.21	RMSE: 54.88
Epoch 005	LOSS: 50.93	MAE: 53.49	RMSE: 54.17
Epoch 006	LOSS: 50.27	MAE: 52.74	RMSE: 53.42
Epoch 007	LOSS: 49.50	MAE: 51.96	RMSE: 52.65
Epoch 008	LOSS: 48.88	MAE: 51.14	RMSE: 51.85
Epoch 009	LOSS: 48.06	MAE: 50.30	RMSE: 51.01
Epoch 010	LOSS: 47.25	MAE: 49.43	RMSE: 50.15
Epoch 011	LOSS: 46.01	MAE: 48.54	RMSE: 49.26
Epoch 012	LOSS: 45.71	MAE: 47.61	RMSE: 48.35
Epoch 013	LOSS: 44.56	MAE: 46.65	RMSE: 47.40
Epoch 014	LOSS: 43.71	MAE: 45.67	RMSE: 46.42
Epoch 015	LOSS: 42.50	MAE: 44.66	RMSE: 45.42
Epoch 016	LOSS: 41.64	MAE: 43.62	RMSE: 44.39
Epoch 017	LOSS: 40.46	MAE: 42.56	RMSE: 43.33
Epoch 018	LOSS: 39.66	MAE: 41.48	RMSE: 42.25
Epoch 019	LOSS: 38.38	MAE: 40.37	RMSE: 41.15
Epoch 020	LOSS: 37.43	MAE: 39.24	RMSE: 40.02
Epoch 021	LOSS: 36.29	MAE: 38.10	RMSE: 38.87
Epoch 022	LOSS: 35.24	MAE: 36.93	RMSE: 37.70
Epoch 023	LOSS: 34.19	MAE: 35.75	RMSE: 36.51
Epoch 024	LOSS: 32.86	MAE: 34.54	RMSE: 35.30
Epoch 025	LOSS: 31.49	MAE: 33.32	RMSE: 34.07
Epoch 026	LOSS: 30.48	MAE: 32.08	RMSE: 32.82
Epoch 027	LOSS: 29.39	MAE: 30.83	RMSE: 31.55
Epoch 028	LOSS: 28.32	MAE: 29.55	RMSE: 30.25
Epoch 029	LOSS: 26.94	MAE: 28.27	RMSE: 28.95
Epoch 030	LOSS: 25.87	MAE: 26.97	RMSE: 27.63
Epoch 031	LOSS: 24.41	MAE: 25.65	RMSE: 26.30
Epoch 032	LOSS: 23.07	MAE: 24.33	RMSE: 24.95
Epoch 033	LOSS: 22.08	MAE: 23.00	RMSE: 23.60
Epoch 034	LOSS: 20.71	MAE: 21.65	RMSE: 22.24
Epoch 035	LOSS: 19.59	MAE: 20.30	RMSE: 20.88
Epoch 036	LOSS: 18.39	MAE: 18.93	RMSE: 19.51
Epoch 037	LOSS: 17.06	MAE: 17.56	RMSE: 18.15
Epoch 038	LOSS: 15.66	MAE: 16.19	RMSE: 16.81
Epoch 039	LOSS: 14.33	MAE: 14.81	RMSE: 15.48
Epoch 040	LOSS: 13.03	MAE: 13.43	RMSE: 14.19
Epoch 041	LOSS: 11.79	MAE: 12.06	RMSE: 12.96
Epoch 042	LOSS: 10.45	MAE: 10.71	RMSE: 11.80
Epoch 043	LOSS: 9.27	MAE: 9.39	RMSE: 10.76
Epoch 044	LOSS: 8.17	MAE: 8.13	RMSE: 9.88
Epoch 045	LOSS: 7.10	MAE: 6.98	RMSE: 9.20
Epoch 046	LOSS: 6.19	MAE: 5.99	RMSE: 8.76
Epoch 047	LOSS: 5.50	MAE: 5.22	RMSE: 8.57
Epoch 048	LOSS: 5.04	MAE: 4.75	RMSE: 8.58
Epoch 049	LOSS: 5.00	MAE: 4.56	RMSE: 8.72
Epoch 050	LOSS: 4.87	MAE: 4.53	RMSE: 8.87
Epoch 051	LOSS: 4.91	MAE: 4.55	RMSE: 8.95
Epoch 052	LOSS: 4.92	MAE: 4.56	RMSE: 8.73
Epoch 053	LOSS: 5.02	MAE: 4.53	RMSE: 8.86
Epoch 054	LOSS: 5.06	MAE: 4.53	RMSE: 8.82
Epoch 055	LOSS: 4.91	MAE: 4.56	RMSE: 8.67
Epoch 056	LOSS: 4.85	MAE: 4.73	RMSE: 8.51
Epoch 057	LOSS: 5.08	MAE: 4.56	RMSE: 9.06
Epoch 058	LOSS: 4.84	MAE: 4.51	RMSE: 8.83
Epoch 059	LOSS: 4.88	MAE: 4.55	RMSE: 8.98
Epoch 060	LOSS: 4.79	MAE: 4.55	RMSE: 9.01
Epoch 061	LOSS: 5.48	MAE: 4.83	RMSE: 8.99
Epoch 062	LOSS: 4.85	MAE: 4.54	RMSE: 8.86
Epoch 063	LOSS: 4.82	MAE: 4.50	RMSE: 8.81
