Epoch 000	LOSS: 54.24	MAE: 56.72	RMSE: 57.36
Epoch 001	LOSS: 53.84	MAE: 56.11	RMSE: 56.75
Epoch 002	LOSS: 53.07	MAE: 55.48	RMSE: 56.13
Epoch 003	LOSS: 51.78	MAE: 54.82	RMSE: 55.48
Epoch 004	LOSS: 51.75	MAE: 54.14	RMSE: 54.80
Epoch 005	LOSS: 51.24	MAE: 53.42	RMSE: 54.09
Epoch 006	LOSS: 50.44	MAE: 52.67	RMSE: 53.35
Epoch 007	LOSS: 49.41	MAE: 51.89	RMSE: 52.58
Epoch 008	LOSS: 48.80	MAE: 51.08	RMSE: 51.78
Epoch 009	LOSS: 47.76	MAE: 50.24	RMSE: 50.95
Epoch 010	LOSS: 47.21	MAE: 49.37	RMSE: 50.09
Epoch 011	LOSS: 45.87	MAE: 48.47	RMSE: 49.20
Epoch 012	LOSS: 45.08	MAE: 47.54	RMSE: 48.28
Epoch 013	LOSS: 44.13	MAE: 46.58	RMSE: 47.33
Epoch 014	LOSS: 43.72	MAE: 45.60	RMSE: 46.36
Epoch 015	LOSS: 42.60	MAE: 44.59	RMSE: 45.35
Epoch 016	LOSS: 41.57	MAE: 43.55	RMSE: 44.32
Epoch 017	LOSS: 40.70	MAE: 42.49	RMSE: 43.26
Epoch 018	LOSS: 39.51	MAE: 41.41	RMSE: 42.18
Epoch 019	LOSS: 38.71	MAE: 40.30	RMSE: 41.08
Epoch 020	LOSS: 37.31	MAE: 39.18	RMSE: 39.95
Epoch 021	LOSS: 36.11	MAE: 38.03	RMSE: 38.80
Epoch 022	LOSS: 35.11	MAE: 36.86	RMSE: 37.63
Epoch 023	LOSS: 34.02	MAE: 35.67	RMSE: 36.43
Epoch 024	LOSS: 32.81	MAE: 34.46	RMSE: 35.22
Epoch 025	LOSS: 31.93	MAE: 33.24	RMSE: 33.98
Epoch 026	LOSS: 30.41	MAE: 32.00	RMSE: 32.73
Epoch 027	LOSS: 29.48	MAE: 30.74	RMSE: 31.46
Epoch 028	LOSS: 28.05	MAE: 29.47	RMSE: 30.17
Epoch 029	LOSS: 26.94	MAE: 28.18	RMSE: 28.86
Epoch 030	LOSS: 25.51	MAE: 26.88	RMSE: 27.54
Epoch 031	LOSS: 24.51	MAE: 25.56	RMSE: 26.20
Epoch 032	LOSS: 23.17	MAE: 24.24	RMSE: 24.86
Epoch 033	LOSS: 21.96	MAE: 22.90	RMSE: 23.50
Epoch 034	LOSS: 20.61	MAE: 21.55	RMSE: 22.14
Epoch 035	LOSS: 19.30	MAE: 20.19	RMSE: 20.77
Epoch 036	LOSS: 18.09	MAE: 18.83	RMSE: 19.41
Epoch 037	LOSS: 16.78	MAE: 17.45	RMSE: 18.05
Epoch 038	LOSS: 15.49	MAE: 16.08	RMSE: 16.70
Epoch 039	LOSS: 14.28	MAE: 14.70	RMSE: 15.38
Epoch 040	LOSS: 12.93	MAE: 13.32	RMSE: 14.10
Epoch 041	LOSS: 11.73	MAE: 11.95	RMSE: 12.87
Epoch 042	LOSS: 10.39	MAE: 10.60	RMSE: 11.72
Epoch 043	LOSS: 9.22	MAE: 9.29	RMSE: 10.69
Epoch 044	LOSS: 8.06	MAE: 8.04	RMSE: 9.82
Epoch 045	LOSS: 7.09	MAE: 6.89	RMSE: 9.15
Epoch 046	LOSS: 6.05	MAE: 5.91	RMSE: 8.73
Epoch 047	LOSS: 5.53	MAE: 5.16	RMSE: 8.56
Epoch 048	LOSS: 5.05	MAE: 4.72	RMSE: 8.59
Epoch 049	LOSS: 4.87	MAE: 4.55	RMSE: 8.73
Epoch 050	LOSS: 5.00	MAE: 4.54	RMSE: 8.88
Epoch 051	LOSS: 5.00	MAE: 4.55	RMSE: 8.96
Epoch 052	LOSS: 5.02	MAE: 4.53	RMSE: 8.86
Epoch 053	LOSS: 4.99	MAE: 4.54	RMSE: 8.79
Epoch 054	LOSS: 4.90	MAE: 4.53	RMSE: 8.88
Epoch 055	LOSS: 5.02	MAE: 4.55	RMSE: 8.71
Epoch 056	LOSS: 4.83	MAE: 4.55	RMSE: 8.64
Epoch 057	LOSS: 4.74	MAE: 4.53	RMSE: 8.72
Epoch 058	LOSS: 4.69	MAE: 4.52	RMSE: 8.61
Epoch 059	LOSS: 4.71	MAE: 4.48	RMSE: 8.82
Epoch 060	LOSS: 4.74	MAE: 4.50	RMSE: 8.78
Epoch 061	LOSS: 4.51	MAE: 4.47	RMSE: 8.79
Epoch 062	LOSS: 4.53	MAE: 4.48	RMSE: 8.82
