Epoch 000	LOSS: 53.80	MAE: 56.26	RMSE: 56.91
Epoch 001	LOSS: 53.39	MAE: 55.62	RMSE: 56.27
Epoch 002	LOSS: 52.64	MAE: 54.97	RMSE: 55.63
Epoch 003	LOSS: 52.04	MAE: 54.32	RMSE: 54.99
Epoch 004	LOSS: 51.44	MAE: 53.60	RMSE: 54.27
Epoch 005	LOSS: 50.64	MAE: 52.86	RMSE: 53.54
Epoch 006	LOSS: 49.67	MAE: 52.10	RMSE: 52.79
Epoch 007	LOSS: 49.11	MAE: 51.31	RMSE: 52.01
Epoch 008	LOSS: 47.78	MAE: 50.49	RMSE: 51.20
Epoch 009	LOSS: 47.50	MAE: 49.65	RMSE: 50.37
Epoch 010	LOSS: 46.57	MAE: 48.78	RMSE: 49.51
Epoch 011	LOSS: 45.69	MAE: 47.88	RMSE: 48.62
Epoch 012	LOSS: 44.80	MAE: 46.96	RMSE: 47.70
Epoch 013	LOSS: 44.14	MAE: 46.00	RMSE: 46.76
Epoch 014	LOSS: 43.02	MAE: 45.03	RMSE: 45.79
Epoch 015	LOSS: 42.10	MAE: 44.03	RMSE: 44.79
Epoch 016	LOSS: 41.17	MAE: 43.00	RMSE: 43.78
Epoch 017	LOSS: 39.76	MAE: 41.96	RMSE: 42.73
Epoch 018	LOSS: 39.10	MAE: 40.88	RMSE: 41.66
Epoch 019	LOSS: 38.16	MAE: 39.79	RMSE: 40.57
Epoch 020	LOSS: 36.83	MAE: 38.67	RMSE: 39.45
Epoch 021	LOSS: 35.60	MAE: 37.54	RMSE: 38.31
Epoch 022	LOSS: 34.71	MAE: 36.38	RMSE: 37.15
Epoch 023	LOSS: 33.86	MAE: 35.21	RMSE: 35.97
Epoch 024	LOSS: 32.57	MAE: 34.01	RMSE: 34.76
Epoch 025	LOSS: 31.32	MAE: 32.80	RMSE: 33.54
Epoch 026	LOSS: 30.25	MAE: 31.58	RMSE: 32.30
Epoch 027	LOSS: 29.07	MAE: 30.33	RMSE: 31.04
Epoch 028	LOSS: 27.73	MAE: 29.07	RMSE: 29.77
Epoch 029	LOSS: 26.42	MAE: 27.80	RMSE: 28.47
Epoch 030	LOSS: 25.38	MAE: 26.51	RMSE: 27.16
Epoch 031	LOSS: 24.17	MAE: 25.21	RMSE: 25.84
Epoch 032	LOSS: 22.77	MAE: 23.90	RMSE: 24.52
Epoch 033	LOSS: 21.56	MAE: 22.58	RMSE: 23.18
Epoch 034	LOSS: 20.50	MAE: 21.25	RMSE: 21.83
Epoch 035	LOSS: 19.17	MAE: 19.90	RMSE: 20.48
Epoch 036	LOSS: 17.82	MAE: 18.55	RMSE: 19.13
Epoch 037	LOSS: 16.48	MAE: 17.19	RMSE: 17.79
Epoch 038	LOSS: 15.38	MAE: 15.83	RMSE: 16.46
Epoch 039	LOSS: 14.01	MAE: 14.46	RMSE: 15.16
Epoch 040	LOSS: 12.76	MAE: 13.09	RMSE: 13.89
Epoch 041	LOSS: 11.46	MAE: 11.74	RMSE: 12.68
Epoch 042	LOSS: 10.22	MAE: 10.41	RMSE: 11.56
Epoch 043	LOSS: 9.04	MAE: 9.11	RMSE: 10.56
Epoch 044	LOSS: 7.84	MAE: 7.89	RMSE: 9.72
Epoch 045	LOSS: 6.79	MAE: 6.77	RMSE: 9.09
Epoch 046	LOSS: 6.02	MAE: 5.83	RMSE: 8.70
Epoch 047	LOSS: 5.36	MAE: 5.13	RMSE: 8.56
Epoch 048	LOSS: 5.06	MAE: 4.71	RMSE: 8.60
Epoch 049	LOSS: 4.86	MAE: 4.55	RMSE: 8.73
Epoch 050	LOSS: 4.99	MAE: 4.53	RMSE: 8.87
Epoch 051	LOSS: 4.92	MAE: 4.55	RMSE: 8.95
Epoch 052	LOSS: 5.01	MAE: 4.53	RMSE: 8.83
Epoch 053	LOSS: 4.87	MAE: 4.53	RMSE: 8.81
Epoch 054	LOSS: 4.89	MAE: 4.53	RMSE: 8.88
Epoch 055	LOSS: 4.89	MAE: 4.63	RMSE: 8.58
Epoch 056	LOSS: 4.82	MAE: 4.51	RMSE: 8.75
Epoch 057	LOSS: 4.66	MAE: 4.47	RMSE: 8.73
Epoch 058	LOSS: 4.70	MAE: 4.47	RMSE: 8.68
Epoch 059	LOSS: 4.66	MAE: 4.47	RMSE: 8.76
Epoch 060	LOSS: 5.17	MAE: 4.86	RMSE: 8.55
Epoch 061	LOSS: 4.99	MAE: 4.60	RMSE: 9.03
Epoch 062	LOSS: 4.91	MAE: 4.64	RMSE: 8.58
Epoch 063	LOSS: 4.72	MAE: 4.52	RMSE: 8.63
Epoch 064	LOSS: 4.63	MAE: 4.59	RMSE: 8.53
Epoch 065	LOSS: 4.61	MAE: 4.68	RMSE: 8.48
Epoch 066	LOSS: 4.46	MAE: 4.52	RMSE: 8.58
Epoch 067	LOSS: 4.54	MAE: 4.49	RMSE: 8.64
Epoch 068	LOSS: 4.65	MAE: 4.49	RMSE: 8.68
Epoch 069	LOSS: 4.52	MAE: 4.54	RMSE: 8.89
Epoch 070	LOSS: 4.62	MAE: 4.53	RMSE: 8.92
Epoch 071	LOSS: 4.60	MAE: 4.50	RMSE: 8.79
Epoch 072	LOSS: 4.50	MAE: 4.51	RMSE: 8.82
Epoch 073	LOSS: 4.53	MAE: 4.49	RMSE: 8.82
Epoch 074	LOSS: 4.49	MAE: 4.49	RMSE: 8.82
Epoch 075	LOSS: 4.51	MAE: 4.49	RMSE: 8.82
Epoch 076	LOSS: 4.58	MAE: 4.49	RMSE: 8.81
Epoch 077	LOSS: 4.55	MAE: 4.50	RMSE: 8.82
Epoch 078	LOSS: 4.59	MAE: 4.49	RMSE: 8.84
Epoch 079	LOSS: 4.48	MAE: 4.50	RMSE: 8.84
Epoch 080	LOSS: 4.41	MAE: 4.50	RMSE: 8.79
Epoch 081	LOSS: 4.54	MAE: 4.49	RMSE: 8.79
Epoch 082	LOSS: 4.51	MAE: 4.49	RMSE: 8.82
Epoch 083	LOSS: 4.52	MAE: 4.50	RMSE: 8.86
Epoch 084	LOSS: 4.53	MAE: 4.49	RMSE: 8.79
Epoch 085	LOSS: 4.52	MAE: 4.50	RMSE: 8.82
