Epoch 000	LOSS: 53.99	MAE: 56.46	RMSE: 57.11
Epoch 001	LOSS: 53.32	MAE: 55.83	RMSE: 56.48
Epoch 002	LOSS: 52.77	MAE: 55.19	RMSE: 55.85
Epoch 003	LOSS: 51.83	MAE: 54.52	RMSE: 55.18
Epoch 004	LOSS: 51.35	MAE: 53.81	RMSE: 54.48
Epoch 005	LOSS: 50.37	MAE: 53.08	RMSE: 53.76
Epoch 006	LOSS: 49.89	MAE: 52.32	RMSE: 53.01
Epoch 007	LOSS: 49.47	MAE: 51.54	RMSE: 52.23
Epoch 008	LOSS: 48.35	MAE: 50.72	RMSE: 51.43
Epoch 009	LOSS: 47.89	MAE: 49.88	RMSE: 50.60
Epoch 010	LOSS: 46.73	MAE: 49.01	RMSE: 49.73
Epoch 011	LOSS: 46.09	MAE: 48.11	RMSE: 48.84
Epoch 012	LOSS: 44.90	MAE: 47.18	RMSE: 47.92
Epoch 013	LOSS: 44.14	MAE: 46.23	RMSE: 46.98
Epoch 014	LOSS: 43.28	MAE: 45.25	RMSE: 46.01
Epoch 015	LOSS: 42.40	MAE: 44.25	RMSE: 45.01
Epoch 016	LOSS: 41.15	MAE: 43.22	RMSE: 43.99
Epoch 017	LOSS: 40.12	MAE: 42.17	RMSE: 42.95
Epoch 018	LOSS: 39.17	MAE: 41.10	RMSE: 41.88
Epoch 019	LOSS: 38.18	MAE: 40.00	RMSE: 40.78
Epoch 020	LOSS: 36.81	MAE: 38.89	RMSE: 39.66
Epoch 021	LOSS: 36.22	MAE: 37.75	RMSE: 38.52
Epoch 022	LOSS: 34.78	MAE: 36.59	RMSE: 37.36
Epoch 023	LOSS: 33.72	MAE: 35.41	RMSE: 36.17
Epoch 024	LOSS: 32.78	MAE: 34.22	RMSE: 34.97
Epoch 025	LOSS: 31.68	MAE: 33.01	RMSE: 33.75
Epoch 026	LOSS: 30.11	MAE: 31.78	RMSE: 32.51
Epoch 027	LOSS: 29.26	MAE: 30.53	RMSE: 31.25
Epoch 028	LOSS: 27.82	MAE: 29.27	RMSE: 29.97
Epoch 029	LOSS: 26.73	MAE: 27.99	RMSE: 28.67
Epoch 030	LOSS: 25.62	MAE: 26.70	RMSE: 27.35
Epoch 031	LOSS: 24.35	MAE: 25.39	RMSE: 26.03
Epoch 032	LOSS: 23.10	MAE: 24.08	RMSE: 24.70
Epoch 033	LOSS: 21.70	MAE: 22.75	RMSE: 23.35
Epoch 034	LOSS: 20.59	MAE: 21.41	RMSE: 22.00
Epoch 035	LOSS: 19.32	MAE: 20.06	RMSE: 20.64
Epoch 036	LOSS: 17.96	MAE: 18.70	RMSE: 19.28
Epoch 037	LOSS: 16.69	MAE: 17.33	RMSE: 17.93
Epoch 038	LOSS: 15.33	MAE: 15.96	RMSE: 16.59
Epoch 039	LOSS: 14.13	MAE: 14.60	RMSE: 15.28
Epoch 040	LOSS: 12.86	MAE: 13.23	RMSE: 14.01
Epoch 041	LOSS: 11.64	MAE: 11.87	RMSE: 12.80
Epoch 042	LOSS: 10.37	MAE: 10.54	RMSE: 11.67
Epoch 043	LOSS: 9.19	MAE: 9.24	RMSE: 10.65
Epoch 044	LOSS: 7.94	MAE: 8.00	RMSE: 9.79
Epoch 045	LOSS: 6.93	MAE: 6.86	RMSE: 9.14
Epoch 046	LOSS: 6.10	MAE: 5.89	RMSE: 8.72
Epoch 047	LOSS: 5.44	MAE: 5.16	RMSE: 8.56
Epoch 048	LOSS: 5.10	MAE: 4.72	RMSE: 8.59
Epoch 049	LOSS: 4.81	MAE: 4.56	RMSE: 8.73
Epoch 050	LOSS: 4.88	MAE: 4.53	RMSE: 8.87
Epoch 051	LOSS: 4.88	MAE: 4.55	RMSE: 8.95
Epoch 052	LOSS: 4.91	MAE: 4.53	RMSE: 8.85
Epoch 053	LOSS: 5.03	MAE: 4.54	RMSE: 8.79
Epoch 054	LOSS: 4.90	MAE: 4.53	RMSE: 8.77
Epoch 055	LOSS: 5.00	MAE: 4.64	RMSE: 8.55
Epoch 056	LOSS: 4.78	MAE: 4.55	RMSE: 8.76
Epoch 057	LOSS: 4.79	MAE: 4.51	RMSE: 8.76
Epoch 058	LOSS: 4.64	MAE: 4.47	RMSE: 8.76
