Epoch 000	LOSS: 54.25	MAE: 56.99	RMSE: 57.63
Epoch 001	LOSS: 54.01	MAE: 56.35	RMSE: 56.99
Epoch 002	LOSS: 52.95	MAE: 55.71	RMSE: 56.36
Epoch 003	LOSS: 52.03	MAE: 55.04	RMSE: 55.70
Epoch 004	LOSS: 51.57	MAE: 54.34	RMSE: 55.01
Epoch 005	LOSS: 51.19	MAE: 53.62	RMSE: 54.29
Epoch 006	LOSS: 50.65	MAE: 52.86	RMSE: 53.55
Epoch 007	LOSS: 49.89	MAE: 52.08	RMSE: 52.77
Epoch 008	LOSS: 49.19	MAE: 51.27	RMSE: 51.97
Epoch 009	LOSS: 47.84	MAE: 50.43	RMSE: 51.14
Epoch 010	LOSS: 47.13	MAE: 49.56	RMSE: 50.28
Epoch 011	LOSS: 46.74	MAE: 48.67	RMSE: 49.39
Epoch 012	LOSS: 45.66	MAE: 47.74	RMSE: 48.48
Epoch 013	LOSS: 44.91	MAE: 46.79	RMSE: 47.54
Epoch 014	LOSS: 43.81	MAE: 45.82	RMSE: 46.57
Epoch 015	LOSS: 42.74	MAE: 44.81	RMSE: 45.57
Epoch 016	LOSS: 41.80	MAE: 43.78	RMSE: 44.55
Epoch 017	LOSS: 40.81	MAE: 42.73	RMSE: 43.50
Epoch 018	LOSS: 39.59	MAE: 41.65	RMSE: 42.43
Epoch 019	LOSS: 38.91	MAE: 40.56	RMSE: 41.33
Epoch 020	LOSS: 37.59	MAE: 39.43	RMSE: 40.21
Epoch 021	LOSS: 36.38	MAE: 38.29	RMSE: 39.06
Epoch 022	LOSS: 35.47	MAE: 37.13	RMSE: 37.90
Epoch 023	LOSS: 34.36	MAE: 35.95	RMSE: 36.71
Epoch 024	LOSS: 33.35	MAE: 34.75	RMSE: 35.51
Epoch 025	LOSS: 32.04	MAE: 33.53	RMSE: 34.28
Epoch 026	LOSS: 30.76	MAE: 32.30	RMSE: 33.03
Epoch 027	LOSS: 29.64	MAE: 31.05	RMSE: 31.77
Epoch 028	LOSS: 28.47	MAE: 29.78	RMSE: 30.48
Epoch 029	LOSS: 27.23	MAE: 28.50	RMSE: 29.18
Epoch 030	LOSS: 26.03	MAE: 27.20	RMSE: 27.87
Epoch 031	LOSS: 24.79	MAE: 25.90	RMSE: 26.54
Epoch 032	LOSS: 23.49	MAE: 24.58	RMSE: 25.21
