Epoch 000	LOSS: 53.94	MAE: 56.48	RMSE: 57.12
Epoch 001	LOSS: 53.26	MAE: 55.83	RMSE: 56.48
Epoch 002	LOSS: 52.78	MAE: 55.18	RMSE: 55.84
Epoch 003	LOSS: 51.92	MAE: 54.51	RMSE: 55.17
Epoch 004	LOSS: 51.43	MAE: 53.80	RMSE: 54.47
Epoch 005	LOSS: 50.69	MAE: 53.07	RMSE: 53.75
Epoch 006	LOSS: 49.72	MAE: 52.31	RMSE: 53.00
Epoch 007	LOSS: 49.16	MAE: 51.52	RMSE: 52.22
Epoch 008	LOSS: 48.53	MAE: 50.71	RMSE: 51.42
Epoch 009	LOSS: 47.51	MAE: 49.87	RMSE: 50.58
Epoch 010	LOSS: 46.94	MAE: 49.00	RMSE: 49.72
Epoch 011	LOSS: 45.74	MAE: 48.10	RMSE: 48.84
Epoch 012	LOSS: 45.05	MAE: 47.18	RMSE: 47.92
Epoch 013	LOSS: 44.13	MAE: 46.23	RMSE: 46.98
Epoch 014	LOSS: 43.39	MAE: 45.25	RMSE: 46.01
Epoch 015	LOSS: 42.02	MAE: 44.25	RMSE: 45.02
Epoch 016	LOSS: 41.35	MAE: 43.23	RMSE: 44.00
Epoch 017	LOSS: 40.02	MAE: 42.18	RMSE: 42.95
Epoch 018	LOSS: 39.31	MAE: 41.10	RMSE: 41.88
Epoch 019	LOSS: 38.16	MAE: 40.01	RMSE: 40.79
Epoch 020	LOSS: 37.14	MAE: 38.89	RMSE: 39.67
Epoch 021	LOSS: 35.97	MAE: 37.76	RMSE: 38.54
Epoch 022	LOSS: 34.69	MAE: 36.61	RMSE: 37.38
Epoch 023	LOSS: 33.79	MAE: 35.44	RMSE: 36.20
Epoch 024	LOSS: 32.27	MAE: 34.25	RMSE: 35.00
Epoch 025	LOSS: 31.57	MAE: 33.04	RMSE: 33.78
Epoch 026	LOSS: 30.14	MAE: 31.81	RMSE: 32.54
Epoch 027	LOSS: 29.40	MAE: 30.57	RMSE: 31.28
Epoch 028	LOSS: 28.06	MAE: 29.31	RMSE: 30.00
Epoch 029	LOSS: 26.92	MAE: 28.03	RMSE: 28.71
Epoch 030	LOSS: 25.55	MAE: 26.75	RMSE: 27.41
Epoch 031	LOSS: 24.56	MAE: 25.45	RMSE: 26.09
Epoch 032	LOSS: 23.11	MAE: 24.13	RMSE: 24.75
Epoch 033	LOSS: 21.92	MAE: 22.81	RMSE: 23.41
Epoch 034	LOSS: 20.57	MAE: 21.47	RMSE: 22.06
Epoch 035	LOSS: 19.34	MAE: 20.13	RMSE: 20.71
Epoch 036	LOSS: 18.09	MAE: 18.77	RMSE: 19.36
Epoch 037	LOSS: 16.85	MAE: 17.41	RMSE: 18.01
Epoch 038	LOSS: 15.45	MAE: 16.05	RMSE: 16.68
Epoch 039	LOSS: 14.26	MAE: 14.69	RMSE: 15.37
Epoch 040	LOSS: 12.83	MAE: 13.32	RMSE: 14.10
Epoch 041	LOSS: 11.71	MAE: 11.97	RMSE: 12.88
Epoch 042	LOSS: 10.40	MAE: 10.63	RMSE: 11.74
Epoch 043	LOSS: 9.25	MAE: 9.33	RMSE: 10.72
Epoch 044	LOSS: 8.14	MAE: 8.09	RMSE: 9.85
Epoch 045	LOSS: 7.05	MAE: 6.95	RMSE: 9.18
Epoch 046	LOSS: 6.17	MAE: 5.97	RMSE: 8.75
Epoch 047	LOSS: 5.61	MAE: 5.22	RMSE: 8.57
Epoch 048	LOSS: 5.04	MAE: 4.75	RMSE: 8.58
Epoch 049	LOSS: 4.96	MAE: 4.57	RMSE: 8.71
Epoch 050	LOSS: 4.92	MAE: 4.53	RMSE: 8.85
Epoch 051	LOSS: 4.90	MAE: 4.54	RMSE: 8.93
Epoch 052	LOSS: 4.86	MAE: 4.55	RMSE: 8.74
Epoch 053	LOSS: 4.88	MAE: 4.53	RMSE: 8.84
Epoch 054	LOSS: 4.89	MAE: 4.55	RMSE: 8.73
Epoch 055	LOSS: 5.01	MAE: 4.53	RMSE: 8.85
Epoch 056	LOSS: 4.89	MAE: 4.54	RMSE: 8.78
Epoch 057	LOSS: 4.97	MAE: 4.53	RMSE: 8.77
Epoch 058	LOSS: 4.81	MAE: 4.53	RMSE: 8.67
Epoch 059	LOSS: 5.04	MAE: 4.68	RMSE: 8.64
Epoch 060	LOSS: 5.01	MAE: 4.56	RMSE: 8.85
Epoch 061	LOSS: 4.95	MAE: 4.57	RMSE: 8.71
Epoch 062	LOSS: 4.85	MAE: 4.53	RMSE: 8.86
Epoch 063	LOSS: 4.95	MAE: 4.54	RMSE: 8.78
Epoch 064	LOSS: 4.93	MAE: 4.53	RMSE: 8.79
Epoch 065	LOSS: 4.95	MAE: 4.53	RMSE: 8.84
Epoch 066	LOSS: 4.83	MAE: 4.54	RMSE: 8.75
Epoch 067	LOSS: 4.99	MAE: 4.52	RMSE: 8.78
Epoch 068	LOSS: 4.73	MAE: 4.63	RMSE: 8.66
Epoch 069	LOSS: 4.76	MAE: 4.60	RMSE: 8.70
Epoch 070	LOSS: 4.79	MAE: 4.72	RMSE: 8.63
Epoch 071	LOSS: 4.70	MAE: 4.64	RMSE: 8.58
Epoch 072	LOSS: 4.71	MAE: 4.75	RMSE: 8.49
Epoch 073	LOSS: 4.68	MAE: 4.59	RMSE: 8.50
Epoch 074	LOSS: 4.67	MAE: 4.61	RMSE: 8.49
Epoch 075	LOSS: 4.58	MAE: 4.54	RMSE: 8.59
Epoch 076	LOSS: 4.59	MAE: 4.56	RMSE: 8.50
Epoch 077	LOSS: 4.59	MAE: 4.54	RMSE: 8.51
Epoch 078	LOSS: 4.62	MAE: 4.55	RMSE: 8.52
Epoch 079	LOSS: 4.65	MAE: 4.48	RMSE: 8.53
Epoch 080	LOSS: 4.47	MAE: 4.51	RMSE: 8.50
Epoch 081	LOSS: 4.58	MAE: 4.47	RMSE: 8.54
Epoch 082	LOSS: 4.54	MAE: 4.50	RMSE: 8.49
Epoch 083	LOSS: 4.66	MAE: 4.45	RMSE: 8.51
Epoch 084	LOSS: 4.52	MAE: 4.48	RMSE: 8.46
Epoch 085	LOSS: 4.56	MAE: 4.50	RMSE: 8.43
Epoch 086	LOSS: 4.57	MAE: 4.56	RMSE: 8.39
Epoch 087	LOSS: 4.54	MAE: 4.45	RMSE: 8.47
