Epoch 000	LOSS: 55.52	MAE: 55.63	RMSE: 56.48
Epoch 001	LOSS: 54.90	MAE: 54.98	RMSE: 55.84
Epoch 002	LOSS: 54.27	MAE: 54.33	RMSE: 55.20
Epoch 003	LOSS: 53.47	MAE: 53.65	RMSE: 54.53
Epoch 004	LOSS: 53.04	MAE: 52.94	RMSE: 53.83
Epoch 005	LOSS: 52.20	MAE: 52.21	RMSE: 53.11
Epoch 006	LOSS: 51.56	MAE: 51.45	RMSE: 52.36
Epoch 007	LOSS: 50.81	MAE: 50.66	RMSE: 51.59
Epoch 008	LOSS: 49.80	MAE: 49.85	RMSE: 50.79
Epoch 009	LOSS: 49.10	MAE: 49.01	RMSE: 49.96
Epoch 010	LOSS: 48.24	MAE: 48.15	RMSE: 49.11
Epoch 011	LOSS: 47.03	MAE: 47.26	RMSE: 48.23
Epoch 012	LOSS: 46.26	MAE: 46.34	RMSE: 47.32
Epoch 013	LOSS: 45.40	MAE: 45.40	RMSE: 46.39
Epoch 014	LOSS: 44.35	MAE: 44.43	RMSE: 45.43
Epoch 015	LOSS: 43.51	MAE: 43.44	RMSE: 44.45
Epoch 016	LOSS: 42.50	MAE: 42.43	RMSE: 43.44
Epoch 017	LOSS: 41.40	MAE: 41.39	RMSE: 42.40
Epoch 018	LOSS: 40.36	MAE: 40.33	RMSE: 41.34
Epoch 019	LOSS: 39.34	MAE: 39.25	RMSE: 40.26
Epoch 020	LOSS: 38.14	MAE: 38.15	RMSE: 39.16
Epoch 021	LOSS: 37.14	MAE: 37.03	RMSE: 38.03
Epoch 022	LOSS: 35.96	MAE: 35.89	RMSE: 36.88
Epoch 023	LOSS: 34.72	MAE: 34.74	RMSE: 35.71
Epoch 024	LOSS: 33.59	MAE: 33.57	RMSE: 34.52
Epoch 025	LOSS: 32.46	MAE: 32.39	RMSE: 33.31
Epoch 026	LOSS: 31.41	MAE: 31.19	RMSE: 32.09
Epoch 027	LOSS: 30.00	MAE: 29.98	RMSE: 30.84
Epoch 028	LOSS: 29.00	MAE: 28.75	RMSE: 29.59
Epoch 029	LOSS: 27.56	MAE: 27.52	RMSE: 28.32
Epoch 030	LOSS: 26.35	MAE: 26.27	RMSE: 27.03
Epoch 031	LOSS: 25.12	MAE: 25.01	RMSE: 25.74
Epoch 032	LOSS: 23.90	MAE: 23.74	RMSE: 24.43
Epoch 033	LOSS: 22.61	MAE: 22.46	RMSE: 23.12
Epoch 034	LOSS: 21.17	MAE: 21.17	RMSE: 21.81
Epoch 035	LOSS: 19.98	MAE: 19.87	RMSE: 20.50
Epoch 036	LOSS: 18.68	MAE: 18.56	RMSE: 19.20
Epoch 037	LOSS: 17.37	MAE: 17.26	RMSE: 17.91
Epoch 038	LOSS: 15.98	MAE: 15.94	RMSE: 16.65
Epoch 039	LOSS: 14.65	MAE: 14.63	RMSE: 15.42
Epoch 040	LOSS: 13.44	MAE: 13.32	RMSE: 14.24
Epoch 041	LOSS: 12.02	MAE: 12.02	RMSE: 13.13
Epoch 042	LOSS: 10.77	MAE: 10.74	RMSE: 12.13
Epoch 043	LOSS: 9.54	MAE: 9.50	RMSE: 11.26
Epoch 044	LOSS: 8.35	MAE: 8.33	RMSE: 10.56
Epoch 045	LOSS: 7.30	MAE: 7.26	RMSE: 10.07
Epoch 046	LOSS: 6.25	MAE: 6.36	RMSE: 9.81
Epoch 047	LOSS: 5.66	MAE: 5.70	RMSE: 9.77
Epoch 048	LOSS: 5.17	MAE: 5.33	RMSE: 9.90
Epoch 049	LOSS: 5.03	MAE: 5.22	RMSE: 10.10
Epoch 050	LOSS: 4.99	MAE: 5.24	RMSE: 10.28
Epoch 051	LOSS: 5.15	MAE: 5.28	RMSE: 10.38
Epoch 052	LOSS: 5.06	MAE: 5.25	RMSE: 10.30
Epoch 053	LOSS: 5.00	MAE: 5.23	RMSE: 10.23
