Epoch 000	LOSS: 55.62	MAE: 55.69	RMSE: 56.54
Epoch 001	LOSS: 54.99	MAE: 55.07	RMSE: 55.93
Epoch 002	LOSS: 54.49	MAE: 54.43	RMSE: 55.30
Epoch 003	LOSS: 53.77	MAE: 53.77	RMSE: 54.64
Epoch 004	LOSS: 53.11	MAE: 53.07	RMSE: 53.96
Epoch 005	LOSS: 52.39	MAE: 52.35	RMSE: 53.25
Epoch 006	LOSS: 51.61	MAE: 51.60	RMSE: 52.51
Epoch 007	LOSS: 50.81	MAE: 50.82	RMSE: 51.74
Epoch 008	LOSS: 49.85	MAE: 50.01	RMSE: 50.95
Epoch 009	LOSS: 49.08	MAE: 49.18	RMSE: 50.12
Epoch 010	LOSS: 48.21	MAE: 48.31	RMSE: 49.27
Epoch 011	LOSS: 47.51	MAE: 47.42	RMSE: 48.39
Epoch 012	LOSS: 46.49	MAE: 46.50	RMSE: 47.48
Epoch 013	LOSS: 45.58	MAE: 45.55	RMSE: 46.54
Epoch 014	LOSS: 44.57	MAE: 44.58	RMSE: 45.58
Epoch 015	LOSS: 43.69	MAE: 43.58	RMSE: 44.59
Epoch 016	LOSS: 42.62	MAE: 42.56	RMSE: 43.57
Epoch 017	LOSS: 41.60	MAE: 41.52	RMSE: 42.53
Epoch 018	LOSS: 40.57	MAE: 40.45	RMSE: 41.46
Epoch 019	LOSS: 39.42	MAE: 39.36	RMSE: 40.37
Epoch 020	LOSS: 38.04	MAE: 38.25	RMSE: 39.26
Epoch 021	LOSS: 36.92	MAE: 37.13	RMSE: 38.12
Epoch 022	LOSS: 36.03	MAE: 35.98	RMSE: 36.97
Epoch 023	LOSS: 34.88	MAE: 34.82	RMSE: 35.79
Epoch 024	LOSS: 33.72	MAE: 33.64	RMSE: 34.59
Epoch 025	LOSS: 32.56	MAE: 32.45	RMSE: 33.38
Epoch 026	LOSS: 31.41	MAE: 31.24	RMSE: 32.14
Epoch 027	LOSS: 30.15	MAE: 30.03	RMSE: 30.89
Epoch 028	LOSS: 28.93	MAE: 28.79	RMSE: 29.63
Epoch 029	LOSS: 27.78	MAE: 27.55	RMSE: 28.35
Epoch 030	LOSS: 26.32	MAE: 26.29	RMSE: 27.06
Epoch 031	LOSS: 25.05	MAE: 25.03	RMSE: 25.76
Epoch 032	LOSS: 23.82	MAE: 23.75	RMSE: 24.45
Epoch 033	LOSS: 22.64	MAE: 22.47	RMSE: 23.14
Epoch 034	LOSS: 21.24	MAE: 21.17	RMSE: 21.82
Epoch 035	LOSS: 19.98	MAE: 19.87	RMSE: 20.51
Epoch 036	LOSS: 18.69	MAE: 18.56	RMSE: 19.20
Epoch 037	LOSS: 17.38	MAE: 17.25	RMSE: 17.91
