Epoch 000	LOSS: 55.31	MAE: 55.39	RMSE: 56.24
Epoch 001	LOSS: 54.74	MAE: 54.75	RMSE: 55.61
Epoch 002	LOSS: 54.11	MAE: 54.11	RMSE: 54.98
Epoch 003	LOSS: 53.47	MAE: 53.44	RMSE: 54.32
Epoch 004	LOSS: 52.59	MAE: 52.74	RMSE: 53.63
Epoch 005	LOSS: 51.95	MAE: 52.01	RMSE: 52.91
Epoch 006	LOSS: 50.98	MAE: 51.25	RMSE: 52.17
Epoch 007	LOSS: 50.34	MAE: 50.47	RMSE: 51.40
Epoch 008	LOSS: 49.40	MAE: 49.66	RMSE: 50.60
Epoch 009	LOSS: 48.91	MAE: 48.82	RMSE: 49.77
Epoch 010	LOSS: 48.02	MAE: 47.95	RMSE: 48.91
Epoch 011	LOSS: 47.13	MAE: 47.05	RMSE: 48.03
Epoch 012	LOSS: 46.29	MAE: 46.13	RMSE: 47.11
Epoch 013	LOSS: 45.03	MAE: 45.18	RMSE: 46.18
Epoch 014	LOSS: 44.10	MAE: 44.21	RMSE: 45.21
Epoch 015	LOSS: 43.21	MAE: 43.22	RMSE: 44.22
Epoch 016	LOSS: 42.22	MAE: 42.20	RMSE: 43.21
Epoch 017	LOSS: 41.19	MAE: 41.15	RMSE: 42.17
Epoch 018	LOSS: 40.05	MAE: 40.09	RMSE: 41.11
Epoch 019	LOSS: 39.10	MAE: 39.01	RMSE: 40.02
Epoch 020	LOSS: 38.03	MAE: 37.90	RMSE: 38.91
Epoch 021	LOSS: 36.76	MAE: 36.78	RMSE: 37.77
Epoch 022	LOSS: 35.59	MAE: 35.64	RMSE: 36.62
Epoch 023	LOSS: 34.68	MAE: 34.49	RMSE: 35.45
Epoch 024	LOSS: 33.37	MAE: 33.31	RMSE: 34.26
Epoch 025	LOSS: 32.24	MAE: 32.13	RMSE: 33.05
Epoch 026	LOSS: 31.09	MAE: 30.93	RMSE: 31.82
Epoch 027	LOSS: 29.85	MAE: 29.71	RMSE: 30.58
Epoch 028	LOSS: 28.56	MAE: 28.49	RMSE: 29.31
Epoch 029	LOSS: 27.38	MAE: 27.25	RMSE: 28.04
Epoch 030	LOSS: 26.17	MAE: 26.00	RMSE: 26.75
Epoch 031	LOSS: 24.77	MAE: 24.74	RMSE: 25.46
Epoch 032	LOSS: 23.64	MAE: 23.46	RMSE: 24.16
Epoch 033	LOSS: 22.26	MAE: 22.18	RMSE: 22.85
Epoch 034	LOSS: 20.88	MAE: 20.89	RMSE: 21.53
Epoch 035	LOSS: 19.67	MAE: 19.59	RMSE: 20.23
Epoch 036	LOSS: 18.35	MAE: 18.29	RMSE: 18.93
Epoch 037	LOSS: 17.10	MAE: 16.98	RMSE: 17.64
Epoch 038	LOSS: 15.80	MAE: 15.67	RMSE: 16.39
Epoch 039	LOSS: 14.48	MAE: 14.37	RMSE: 15.18
Epoch 040	LOSS: 13.12	MAE: 13.06	RMSE: 14.01
Epoch 041	LOSS: 11.86	MAE: 11.77	RMSE: 12.93
Epoch 042	LOSS: 10.57	MAE: 10.50	RMSE: 11.95
Epoch 043	LOSS: 9.29	MAE: 9.27	RMSE: 11.11
Epoch 044	LOSS: 8.15	MAE: 8.11	RMSE: 10.45
Epoch 045	LOSS: 7.06	MAE: 7.07	RMSE: 10.00
Epoch 046	LOSS: 6.22	MAE: 6.21	RMSE: 9.79
Epoch 047	LOSS: 5.53	MAE: 5.61	RMSE: 9.79
Epoch 048	LOSS: 5.14	MAE: 5.29	RMSE: 9.94
Epoch 049	LOSS: 5.09	MAE: 5.22	RMSE: 10.14
Epoch 050	LOSS: 5.12	MAE: 5.26	RMSE: 10.32
Epoch 051	LOSS: 5.16	MAE: 5.30	RMSE: 10.41
Epoch 052	LOSS: 4.97	MAE: 5.27	RMSE: 10.35
Epoch 053	LOSS: 5.08	MAE: 5.22	RMSE: 10.17
Epoch 054	LOSS: 5.09	MAE: 5.25	RMSE: 10.31
Epoch 055	LOSS: 5.03	MAE: 5.22	RMSE: 10.13
Epoch 056	LOSS: 4.98	MAE: 5.23	RMSE: 10.23
Epoch 057	LOSS: 5.02	MAE: 5.22	RMSE: 10.20
Epoch 058	LOSS: 4.91	MAE: 5.15	RMSE: 10.00
Epoch 059	LOSS: 5.07	MAE: 5.19	RMSE: 10.15
Epoch 060	LOSS: 5.03	MAE: 5.21	RMSE: 9.96
Epoch 061	LOSS: 4.74	MAE: 5.05	RMSE: 9.86
Epoch 062	LOSS: 4.87	MAE: 5.03	RMSE: 9.94
Epoch 063	LOSS: 4.81	MAE: 5.03	RMSE: 9.91
Epoch 064	LOSS: 4.79	MAE: 5.00	RMSE: 9.58
Epoch 065	LOSS: 4.76	MAE: 4.98	RMSE: 9.79
Epoch 066	LOSS: 4.66	MAE: 4.95	RMSE: 9.75
Epoch 067	LOSS: 4.87	MAE: 4.94	RMSE: 9.77
Epoch 068	LOSS: 4.70	MAE: 4.95	RMSE: 9.68
Epoch 069	LOSS: 4.69	MAE: 4.93	RMSE: 9.70
Epoch 070	LOSS: 4.77	MAE: 4.93	RMSE: 9.66
Epoch 071	LOSS: 4.66	MAE: 4.92	RMSE: 9.62
Epoch 072	LOSS: 4.73	MAE: 4.91	RMSE: 9.74
Epoch 073	LOSS: 4.84	MAE: 4.91	RMSE: 9.70
Epoch 074	LOSS: 4.73	MAE: 4.91	RMSE: 9.67
Epoch 075	LOSS: 4.72	MAE: 4.91	RMSE: 9.61
Epoch 076	LOSS: 4.78	MAE: 4.91	RMSE: 9.61
Epoch 077	LOSS: 4.69	MAE: 4.91	RMSE: 9.56
Epoch 078	LOSS: 4.68	MAE: 4.90	RMSE: 9.59
Epoch 079	LOSS: 4.67	MAE: 4.89	RMSE: 9.62
Epoch 080	LOSS: 4.64	MAE: 4.88	RMSE: 9.61
Epoch 081	LOSS: 4.68	MAE: 4.88	RMSE: 9.56
Epoch 082	LOSS: 4.59	MAE: 4.87	RMSE: 9.71
Epoch 083	LOSS: 4.59	MAE: 4.87	RMSE: 9.59
Epoch 084	LOSS: 4.59	MAE: 4.86	RMSE: 9.64
Epoch 085	LOSS: 4.62	MAE: 4.88	RMSE: 9.56
Epoch 086	LOSS: 4.63	MAE: 4.86	RMSE: 9.70
Epoch 087	LOSS: 4.61	MAE: 4.86	RMSE: 9.59
Epoch 088	LOSS: 4.68	MAE: 4.85	RMSE: 9.57
Epoch 089	LOSS: 4.62	MAE: 4.87	RMSE: 9.50
Epoch 090	LOSS: 4.62	MAE: 4.89	RMSE: 9.81
Epoch 091	LOSS: 4.67	MAE: 4.93	RMSE: 9.45
Epoch 092	LOSS: 4.65	MAE: 4.88	RMSE: 9.60
Epoch 093	LOSS: 4.60	MAE: 4.86	RMSE: 9.65
Epoch 094	LOSS: 4.69	MAE: 4.85	RMSE: 9.58
Epoch 095	LOSS: 4.61	MAE: 4.85	RMSE: 9.67
Epoch 096	LOSS: 4.62	MAE: 4.85	RMSE: 9.65
Epoch 097	LOSS: 4.68	MAE: 4.86	RMSE: 9.57
Epoch 098	LOSS: 4.57	MAE: 4.87	RMSE: 9.52
Epoch 099	LOSS: 4.57	MAE: 4.85	RMSE: 9.58
Epoch 100	LOSS: 4.70	MAE: 4.86	RMSE: 9.59
Epoch 101	LOSS: 4.74	MAE: 4.86	RMSE: 9.55
Epoch 102	LOSS: 4.61	MAE: 4.86	RMSE: 9.58
Epoch 103	LOSS: 4.57	MAE: 4.86	RMSE: 9.62
Epoch 104	LOSS: 4.55	MAE: 4.85	RMSE: 9.56
Epoch 105	LOSS: 4.65	MAE: 4.87	RMSE: 9.52
Epoch 106	LOSS: 4.62	MAE: 4.86	RMSE: 9.57
Epoch 107	LOSS: 4.57	MAE: 4.85	RMSE: 9.58
Epoch 108	LOSS: 4.63	MAE: 4.86	RMSE: 9.50
Epoch 109	LOSS: 4.55	MAE: 4.86	RMSE: 9.51
Epoch 110	LOSS: 4.54	MAE: 4.85	RMSE: 9.59
Epoch 111	LOSS: 4.68	MAE: 4.85	RMSE: 9.56
Epoch 112	LOSS: 4.50	MAE: 4.86	RMSE: 9.53
Epoch 113	LOSS: 4.59	MAE: 4.85	RMSE: 9.64
Epoch 114	LOSS: 4.61	MAE: 4.86	RMSE: 9.45
Epoch 115	LOSS: 4.62	MAE: 4.84	RMSE: 9.61
Epoch 116	LOSS: 4.55	MAE: 4.85	RMSE: 9.51
Epoch 117	LOSS: 4.53	MAE: 4.85	RMSE: 9.62
Epoch 118	LOSS: 4.60	MAE: 4.84	RMSE: 9.59
Epoch 119	LOSS: 4.64	MAE: 4.86	RMSE: 9.47
Epoch 120	LOSS: 4.50	MAE: 4.85	RMSE: 9.54
Epoch 121	LOSS: 4.50	MAE: 4.85	RMSE: 9.54
Epoch 122	LOSS: 4.57	MAE: 4.85	RMSE: 9.55
Epoch 123	LOSS: 4.55	MAE: 4.85	RMSE: 9.52
Epoch 124	LOSS: 4.54	MAE: 4.85	RMSE: 9.54
Epoch 125	LOSS: 4.64	MAE: 4.84	RMSE: 9.55
Epoch 126	LOSS: 4.56	MAE: 4.84	RMSE: 9.54
Epoch 127	LOSS: 4.60	MAE: 4.84	RMSE: 9.52
Epoch 128	LOSS: 4.65	MAE: 4.85	RMSE: 9.48
Epoch 129	LOSS: 4.57	MAE: 4.84	RMSE: 9.56
Epoch 130	LOSS: 4.46	MAE: 4.84	RMSE: 9.50
