Epoch 000	LOSS: 55.42	MAE: 55.36	RMSE: 56.22
Epoch 001	LOSS: 54.77	MAE: 54.74	RMSE: 55.60
Epoch 002	LOSS: 54.09	MAE: 54.09	RMSE: 54.96
Epoch 003	LOSS: 53.46	MAE: 53.41	RMSE: 54.29
Epoch 004	LOSS: 52.80	MAE: 52.71	RMSE: 53.60
Epoch 005	LOSS: 52.04	MAE: 51.98	RMSE: 52.89
Epoch 006	LOSS: 51.35	MAE: 51.23	RMSE: 52.14
Epoch 007	LOSS: 50.52	MAE: 50.44	RMSE: 51.37
Epoch 008	LOSS: 49.48	MAE: 49.63	RMSE: 50.57
Epoch 009	LOSS: 48.79	MAE: 48.79	RMSE: 49.74
Epoch 010	LOSS: 47.86	MAE: 47.93	RMSE: 48.89
Epoch 011	LOSS: 46.99	MAE: 47.04	RMSE: 48.01
Epoch 012	LOSS: 46.11	MAE: 46.12	RMSE: 47.10
Epoch 013	LOSS: 44.94	MAE: 45.17	RMSE: 46.16
Epoch 014	LOSS: 44.13	MAE: 44.20	RMSE: 45.20
Epoch 015	LOSS: 43.25	MAE: 43.20	RMSE: 44.21
Epoch 016	LOSS: 42.19	MAE: 42.18	RMSE: 43.19
Epoch 017	LOSS: 41.22	MAE: 41.14	RMSE: 42.15
Epoch 018	LOSS: 40.23	MAE: 40.07	RMSE: 41.09
Epoch 019	LOSS: 39.03	MAE: 38.99	RMSE: 40.00
Epoch 020	LOSS: 38.10	MAE: 37.89	RMSE: 38.90
Epoch 021	LOSS: 36.73	MAE: 36.77	RMSE: 37.76
Epoch 022	LOSS: 35.72	MAE: 35.63	RMSE: 36.61
Epoch 023	LOSS: 34.45	MAE: 34.47	RMSE: 35.43
Epoch 024	LOSS: 33.39	MAE: 33.30	RMSE: 34.24
Epoch 025	LOSS: 32.30	MAE: 32.11	RMSE: 33.03
Epoch 026	LOSS: 31.02	MAE: 30.90	RMSE: 31.80
Epoch 027	LOSS: 29.73	MAE: 29.69	RMSE: 30.55
Epoch 028	LOSS: 28.59	MAE: 28.47	RMSE: 29.29
Epoch 029	LOSS: 27.17	MAE: 27.23	RMSE: 28.02
Epoch 030	LOSS: 26.00	MAE: 25.98	RMSE: 26.74
Epoch 031	LOSS: 24.83	MAE: 24.72	RMSE: 25.44
Epoch 032	LOSS: 23.45	MAE: 23.45	RMSE: 24.14
Epoch 033	LOSS: 22.20	MAE: 22.17	RMSE: 22.84
Epoch 034	LOSS: 21.05	MAE: 20.89	RMSE: 21.53
Epoch 035	LOSS: 19.64	MAE: 19.59	RMSE: 20.23
Epoch 036	LOSS: 18.35	MAE: 18.29	RMSE: 18.93
