Epoch 000	LOSS: 55.24	MAE: 55.36	RMSE: 56.21
Epoch 001	LOSS: 54.58	MAE: 54.73	RMSE: 55.59
Epoch 002	LOSS: 54.10	MAE: 54.09	RMSE: 54.96
Epoch 003	LOSS: 53.45	MAE: 53.41	RMSE: 54.30
Epoch 004	LOSS: 52.78	MAE: 52.71	RMSE: 53.61
Epoch 005	LOSS: 51.90	MAE: 51.99	RMSE: 52.89
Epoch 006	LOSS: 51.28	MAE: 51.23	RMSE: 52.15
Epoch 007	LOSS: 50.43	MAE: 50.45	RMSE: 51.38
Epoch 008	LOSS: 49.69	MAE: 49.64	RMSE: 50.58
Epoch 009	LOSS: 48.78	MAE: 48.80	RMSE: 49.75
Epoch 010	LOSS: 48.01	MAE: 47.94	RMSE: 48.90
Epoch 011	LOSS: 47.16	MAE: 47.04	RMSE: 48.02
Epoch 012	LOSS: 46.14	MAE: 46.12	RMSE: 47.11
Epoch 013	LOSS: 45.19	MAE: 45.18	RMSE: 46.17
Epoch 014	LOSS: 44.07	MAE: 44.20	RMSE: 45.20
Epoch 015	LOSS: 43.01	MAE: 43.21	RMSE: 44.21
Epoch 016	LOSS: 42.22	MAE: 42.19	RMSE: 43.20
Epoch 017	LOSS: 41.24	MAE: 41.14	RMSE: 42.15
Epoch 018	LOSS: 40.19	MAE: 40.07	RMSE: 41.09
Epoch 019	LOSS: 39.01	MAE: 38.99	RMSE: 40.00
Epoch 020	LOSS: 38.04	MAE: 37.88	RMSE: 38.89
Epoch 021	LOSS: 36.86	MAE: 36.76	RMSE: 37.75
Epoch 022	LOSS: 35.73	MAE: 35.62	RMSE: 36.60
Epoch 023	LOSS: 34.65	MAE: 34.46	RMSE: 35.42
Epoch 024	LOSS: 33.40	MAE: 33.29	RMSE: 34.23
Epoch 025	LOSS: 32.16	MAE: 32.10	RMSE: 33.02
Epoch 026	LOSS: 31.03	MAE: 30.89	RMSE: 31.79
Epoch 027	LOSS: 29.85	MAE: 29.68	RMSE: 30.54
Epoch 028	LOSS: 28.64	MAE: 28.45	RMSE: 29.28
Epoch 029	LOSS: 27.21	MAE: 27.21	RMSE: 28.00
Epoch 030	LOSS: 26.09	MAE: 25.96	RMSE: 26.72
Epoch 031	LOSS: 24.77	MAE: 24.70	RMSE: 25.42
Epoch 032	LOSS: 23.44	MAE: 23.42	RMSE: 24.11
Epoch 033	LOSS: 22.22	MAE: 22.14	RMSE: 22.80
Epoch 034	LOSS: 20.93	MAE: 20.85	RMSE: 21.49
Epoch 035	LOSS: 19.64	MAE: 19.55	RMSE: 20.18
Epoch 036	LOSS: 18.40	MAE: 18.25	RMSE: 18.88
Epoch 037	LOSS: 17.00	MAE: 16.94	RMSE: 17.60
Epoch 038	LOSS: 15.70	MAE: 15.62	RMSE: 16.34
Epoch 039	LOSS: 14.38	MAE: 14.31	RMSE: 15.13
Epoch 040	LOSS: 13.09	MAE: 13.00	RMSE: 13.96
Epoch 041	LOSS: 11.79	MAE: 11.71	RMSE: 12.88
Epoch 042	LOSS: 10.52	MAE: 10.44	RMSE: 11.90
Epoch 043	LOSS: 9.25	MAE: 9.20	RMSE: 11.07
Epoch 044	LOSS: 8.01	MAE: 8.05	RMSE: 10.42
Epoch 045	LOSS: 7.05	MAE: 7.02	RMSE: 9.99
Epoch 046	LOSS: 6.14	MAE: 6.17	RMSE: 9.78
Epoch 047	LOSS: 5.52	MAE: 5.59	RMSE: 9.79
Epoch 048	LOSS: 5.24	MAE: 5.29	RMSE: 9.94
Epoch 049	LOSS: 5.11	MAE: 5.22	RMSE: 10.14
Epoch 050	LOSS: 5.01	MAE: 5.25	RMSE: 10.31
Epoch 051	LOSS: 4.94	MAE: 5.29	RMSE: 10.40
Epoch 052	LOSS: 5.13	MAE: 5.22	RMSE: 10.14
Epoch 053	LOSS: 5.09	MAE: 5.25	RMSE: 10.31
Epoch 054	LOSS: 5.08	MAE: 5.20	RMSE: 10.02
Epoch 055	LOSS: 4.93	MAE: 5.13	RMSE: 10.02
Epoch 056	LOSS: 4.95	MAE: 5.12	RMSE: 9.66
Epoch 057	LOSS: 5.02	MAE: 5.19	RMSE: 9.75
Epoch 058	LOSS: 5.04	MAE: 5.20	RMSE: 10.16
Epoch 059	LOSS: 4.94	MAE: 5.20	RMSE: 10.32
Epoch 060	LOSS: 4.85	MAE: 5.07	RMSE: 10.00
Epoch 061	LOSS: 4.78	MAE: 5.04	RMSE: 9.86
Epoch 062	LOSS: 4.77	MAE: 5.05	RMSE: 9.89
Epoch 063	LOSS: 4.76	MAE: 5.05	RMSE: 10.02
Epoch 064	LOSS: 4.66	MAE: 5.01	RMSE: 9.91
Epoch 065	LOSS: 4.66	MAE: 4.98	RMSE: 9.88
Epoch 066	LOSS: 4.78	MAE: 4.96	RMSE: 9.86
Epoch 067	LOSS: 4.65	MAE: 4.94	RMSE: 9.84
Epoch 068	LOSS: 4.71	MAE: 4.95	RMSE: 9.71
Epoch 069	LOSS: 4.86	MAE: 4.94	RMSE: 9.78
Epoch 070	LOSS: 4.68	MAE: 4.97	RMSE: 9.95
Epoch 071	LOSS: 4.68	MAE: 4.94	RMSE: 9.80
Epoch 072	LOSS: 4.71	MAE: 4.94	RMSE: 9.72
Epoch 073	LOSS: 4.75	MAE: 4.93	RMSE: 9.78
Epoch 074	LOSS: 4.67	MAE: 4.93	RMSE: 9.69
Epoch 075	LOSS: 4.66	MAE: 4.92	RMSE: 9.74
Epoch 076	LOSS: 4.73	MAE: 4.91	RMSE: 9.75
Epoch 077	LOSS: 4.64	MAE: 4.91	RMSE: 9.77
Epoch 078	LOSS: 4.68	MAE: 4.92	RMSE: 9.68
Epoch 079	LOSS: 4.69	MAE: 4.92	RMSE: 9.63
Epoch 080	LOSS: 4.56	MAE: 4.92	RMSE: 9.58
Epoch 081	LOSS: 4.72	MAE: 4.95	RMSE: 9.53
Epoch 082	LOSS: 4.65	MAE: 4.91	RMSE: 9.56
Epoch 083	LOSS: 4.62	MAE: 4.90	RMSE: 9.67
Epoch 084	LOSS: 4.74	MAE: 4.89	RMSE: 9.73
Epoch 085	LOSS: 4.68	MAE: 4.88	RMSE: 9.70
Epoch 086	LOSS: 4.68	MAE: 4.89	RMSE: 9.72
Epoch 087	LOSS: 4.71	MAE: 4.88	RMSE: 9.64
Epoch 088	LOSS: 4.72	MAE: 4.88	RMSE: 9.60
Epoch 089	LOSS: 4.65	MAE: 4.87	RMSE: 9.61
Epoch 090	LOSS: 4.66	MAE: 4.87	RMSE: 9.58
Epoch 091	LOSS: 4.61	MAE: 4.87	RMSE: 9.56
Epoch 092	LOSS: 4.53	MAE: 4.87	RMSE: 9.57
Epoch 093	LOSS: 4.60	MAE: 4.87	RMSE: 9.67
Epoch 094	LOSS: 4.60	MAE: 4.87	RMSE: 9.57
Epoch 095	LOSS: 4.61	MAE: 4.86	RMSE: 9.57
Epoch 096	LOSS: 4.69	MAE: 4.87	RMSE: 9.51
Epoch 097	LOSS: 4.58	MAE: 4.86	RMSE: 9.56
Epoch 098	LOSS: 4.48	MAE: 4.86	RMSE: 9.55
Epoch 099	LOSS: 4.64	MAE: 4.85	RMSE: 9.57
Epoch 100	LOSS: 4.55	MAE: 4.86	RMSE: 9.49
Epoch 101	LOSS: 4.55	MAE: 4.85	RMSE: 9.58
Epoch 102	LOSS: 4.59	MAE: 4.85	RMSE: 9.49
Epoch 103	LOSS: 4.58	MAE: 4.85	RMSE: 9.51
